Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
d/vUPGnO_1_0,Bijelo Dugme,Bijelo Dugme,A i ti me iznevjeri,206480,"Ti, nisi ti vise i sto mi je najbolnije
nikom na svijetu kao meni nije
liju mi teske novembarske kise
a ti ne pitas kako mi je
jer ti, nisi ti vise

Kazu, da me varas
kazu, da me ostavljas
kazu mi da si zavoljela drugog
i da ti nista moje drago nije
a ti ne pitas kako mi je
 
Ref.
Godine prolaze
laste mi ne dolaze
ne mirisu mi zumbuli
a i ti me iznevjeri

Ti, nisi ti vise i sto mi je najbolnije
kazu mi da si zavoljela drugog
i da ti nista moje drago nije
a ti ne pitas kako mi je

Ref.

Laste mi ne dolaze
ne mirisu mi zumbuli
a i ti me iznevjeri","https://tekstovi.net/2,33,468.html"
d/vUPGnO_1_1,Bijelo Dugme,Bijelo Dugme,A koliko si ih imala do sad,44195,"Stani, stani i ne kvari sve
zagrli me ili radi bilo sta
al' cuti molim te

Stani, stani necu da znam
sta ti znaci ime neko
neka stara pjesma neki dan
 
Pusti to, ni otrov, ni lijek
osim toga ovo je 20-ti vijek

Stani, stani saznat' cu i sam
bezveze je da ceprkam
stvari koje bole, ja ih znam

Stani, stani nemoj mi rec'
sta me briga sta je bilo
kad je bilo vec

Pusti to ni sreca, ni par
al' reci, a koliko si ih imala do sad

Ref.
Nije ljubomora, nije ljubomora
nije ljubomora
ipak reci
a koliko si ih imala do sad","https://tekstovi.net/2,33,469.html"
d/vUPGnO_1_2,Bijelo Dugme,Bijelo Dugme,Aiaio radi radio,23509,"Zaspao je cijeli svijet
nista ne talasa
zaspala je i radnicka klasa
zaspala je vasiona, mi se ljubimo
i radi radio

Zaspao je KGB, zaspala je CIA
odmara se nasa milicija
svi spavaju a mi se
jos uvijek ljubimo
i radi radio
 
O-o-o, radimo ja i radio
o-o-o, samo ja i radio

Ref.
Aiaio, radi radio
aiaio, radi radio
za mene i za moju curicu
koja ne da svoju suknjicu
aiaio radimo ja i radio

Spava Pariz, spava Sid
Njujork, Moskva, London, Madrid
spavaju pederi, manijaci
u muriji spavaju murijaci

Spavaju pametni i kreteni
spavaju svi, a sta je meni
ja jos uvijek moju curicu
nagovaram da skine suknjicu

Ref.","https://tekstovi.net/2,33,470.html"
d/vUPGnO_1_3,Bijelo Dugme,Bijelo Dugme,Ako ima Boga,237424,"Negdje u tvome adresaru
pod slovom B je moje ime
prekrizi ga nocas i stavi
krst pepela i krst tisine

Ako ima Boga
sto zima, a nijedno ljeto
poneka mrvica sa tvoga stola
a nikad niko nije cek'o
kao sto cekah ja do bola
ako ima Boga
 
Ref.
Moji drugovi, odavno, kuce imaju 
samo moja kuca je bez krova 
prokleta bit' ces, o, ako ima Boga 
u paklu gorit' ces

Sanjao sam e, kako
ulazis u moju pjesmu
ulazis, prosto k'o u svoju bastu
pod pazuh dolijecu ti lastavice
ja pjevam, bijela mi krila rastu
al' vise me ne boli

Sanjao sam e, kako
s andjelima jedes tresnje
i kako andjeli na mene lice
i kako sapucem u tvoje krilo
radjaj mi djecu kao kolacice
al' vise me ne boli

Ref. 2x","https://tekstovi.net/2,33,471.html"
d/vUPGnO_1_4,Bijelo Dugme,Bijelo Dugme,"Ako mozes, zaboravi",123248,"Gdje da krenes u ovo strasno doba
nemas gdje
sama u tom haljetku
cirkuske jahacice

Milijun rubalja
za tvoja glatka ramena
daj makar ne varaj
ovog andjela na dlanu
 
Zaboravi, ako mozes
zaboravi
zaboravi, ako mozes

Otmjeno izgubljena opklada
to ti je
kao spremljen krevet
malo tijesan za dvoje

Kao haljina
kada se rasiva
ej, ma porodi me
kao srna na snijegu

I zaboravi, ako mozes
zaboravi
zaboravi, ako mozes

Gdje da krenes u ovo strasno doba
nemas gdje
tebi svaki krevet ovog svijeta
tijesan je

Idi pod laznim imenom
idi i putuj sjeverom
ili porodi me
kao srna na snijegu

I zaboravi, ako mozes 
zaboravi 
zaboravi, ako mozes","https://tekstovi.net/2,33,472.html"
d/vUPGnO_1_5,Bijelo Dugme,Bijelo Dugme,Ala je glupo zaboravit' njen broj,32828,"Ja nikad ne zaboravljam
i dobro pamtim tudje, a i svoje 
ali sam glup
da zapamtim njen broj

Ja nikad ne zapisujem
sta mi je danas
ala je glupo
zaboravit' njen broj
 
I vrtim
i opet vrtim
i opet djon
i vrtim
taj prokleti telefon

A sto ne bi ona nazvala 
i ona ima ovaj glupi stroj 
mozda isto ona
ne pamti moj broj

I onda mislim
nije losa stvar
a i sto moram javit' se bas njoj 
mozda je najbolje zaboraviti broj

308-208
302-202
307-201
111111","https://tekstovi.net/2,33,473.html"
d/vUPGnO_1_6,Bijelo Dugme,Bijelo Dugme,Bekrija si cijelo selo vice,23895,"Im'o kucu, nemam je 
im'o zemlju, prodo je 
svo imanje prokock'o pa sta 

Bilo mi cejf
bilo mi cejf
bilo mi cejf
bilo mi cejf, cejf, cejf
zar je tako nesto grijeh 
 
Im'o dragu, nemam je 
imam zato druge sve 
sve sam pare prokocko pa sta 

Bekrija sam, bekrija sam 
prvi bekrija sam 
to mi je u krvi, ljudi 

Bekrija sam, bekrija sam ludi 
bekrija si, cijelo selo vice 
e pa jesam 
sta se koga tice,tice 
hej hej hej","https://tekstovi.net/2,33,474.html"
d/vUPGnO_1_7,Bijelo Dugme,Bijelo Dugme,"Bila mama Kukunka, bio tata Taranta",78954,"Bila mama Kukunka, Kukunka
bio tata Taranta, Taranta
imali su maloga Ju-Ju

Jednom su se setali, setali
kraj duboke rijeke Nil, rijeke Nil
gdje je bio velik' krokodil
 
I skocio krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
uhvatio maloga Ju-Ju

Place mama Kukunka, Kukunka
place tata Taranta, Taranta
vrati nama nasega Ju-Ju

Progovara krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
dones'te mi vola pecenog

Trci mama Kukunka, Kukunka
trci tata Taranta, Taranta
donijeli su vola pecenog

Progovara krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
evo vama vasega Ju-ju 

","https://tekstovi.net/2,33,12896.html"
d/vUPGnO_1_8,Bijelo Dugme,Bijelo Dugme,Bitanga i princeza,260723,"Luda noc, ja sam momak 
na losem glasu u ovom gradu
a ko si ti, a ona kaze, luda noc
ja sam bila mamina princeza 
sve do sad

I sta mi bi
al' tebe traze, ponoc je vec
tebe traze, sta ce tata rec'
bitanga i princeza par, ne ide to
 
Svice dan
ja sam momak na losem glasu 
u ovom gradu, sad moras poc'
a ona kaze, ma, ne trebam
jos bi malo bila s tobom
bas si dobar, jos jednu noc
ali tebe traze, jutro je vec,
tebe traze, sta ce tata rec'
bitanga i princeza par, ne ide to

Rek'o sam joj da sam sit
i princeza i svih drugih 
prevarenih zena, a i nje
rek'o sam joj da cu otic'
otic' iz ovog smijesnog grada
i da me pusti da spavam","https://tekstovi.net/2,33,475.html"
d/vUPGnO_1_9,Bijelo Dugme,Bijelo Dugme,Blues za moju bivsu dragu,54493,"Nikad se necu vratit'
u svoj rodni grad
tamo me ne ceka niko
i vec odavno su izblijedila sva lica
i vec odavno imena im ne znam

Samo ponekad zimi
dok vjetrovi oplakuju dane
sjetim se tebe
tebe moja bivsa draga
i neke njeznosti davne
nesto mi sapne u srcu, i znam
da sam na svijetu sam

I da te ponovo vidim
sta bih ti o sebi mogao reci
osim da sam sreo mnogo ljudi
a da mi prijatelj nije bio nijedan

Da sam bio
i gladan i slavan i veseo i placan
i bijedan i sjajan
i da me ljubilo, ljubilo mnogo zena
a da nijednu volio nisam

Nesto mi sapne u srcu i znam
da sam na svijetu sam

Ref.
Moja draga moja draga
bivsa draga, moja draga
i evo umoran starac sam sad
mada izgledam mlad","https://tekstovi.net/2,33,476.html"
d/vUPGnO_1_10,Bijelo Dugme,Bijelo Dugme,Ciribiribela,29833,"Ako si, ljubo, posla spat'
sta cemo ja i ti 

Kao prvo vrata zakljucati 
kao drugo prozor zatvoriti 
kao trece spustiti zavjese 
ostacemo doma i ljubit' se
ostacemo doma i ljubit' se
 
Ako se sutra zarati
moja mala, sta cemo ja i ti
vrata zakljucati, prozore zatvoriti
spustiti zavjese
ostacemo kuci i ljubit' se

A kada pocne pucati
preko glave cemo se pokriti
ispod male dekice
ja i ti i zvjezdice
grickacemo grozdje
cekacemo rat da prodje 

Ref.
Vodi me na ples, vodi me na ples
vodi me na ples
ciribiribela moja mala
vodi me na ples, vodi me na ples
vodi me na ples, vodi me na ples

Ali ako odem
ne zaboravi me
ciribiribela, odoh u marine 

Ona nece pit' kafe
vengo cokoladu
ona misli sempjasta
da se soldi kradu 

Biz'te mi vanka iz kuce
jer cu te brostulinom
ne sporkaj mi kuzine
jer cu te mazininom 

Ref.","https://tekstovi.net/2,33,477.html"
