,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Url_diskografija,Song_diskografija,Aranžman_diskografija
0,d/vUPGnO_1_0,Bijelo Dugme,Bijelo Dugme,A i ti me iznevjeri,206480,"Ti, nisi ti vise i sto mi je najbolnije
nikom na svijetu kao meni nije
liju mi teske novembarske kise
a ti ne pitas kako mi je
jer ti, nisi ti vise

Kazu, da me varas
kazu, da me ostavljas
kazu mi da si zavoljela drugog
i da ti nista moje drago nije
a ti ne pitas kako mi je
 
Ref.
Godine prolaze
laste mi ne dolaze
ne mirisu mi zumbuli
a i ti me iznevjeri

Ti, nisi ti vise i sto mi je najbolnije
kazu mi da si zavoljela drugog
i da ti nista moje drago nije
a ti ne pitas kako mi je

Ref.

Laste mi ne dolaze
ne mirisu mi zumbuli
a i ti me iznevjeri","https://tekstovi.net/2,33,468.html",,A i ti me iznevjeri,You have also let me down,Pljuni i zapjevaj moja Jugoslavijo (1986),"Ti, nisi ti više i što mi je najbolnije
nikom na svijetu kao meni nije
liju mi teške novembarske kiše
a ti ne pitaš kako mi je
jer ti, nisi ti više. Kažu, da me varaš
kažu, da me ostavljaš
kažu mi da si zavoljela drugog
i da ti ništa moje drago nije
a ti ne pitaš kako mi je. Ref.
Godine prolaze
laste mi ne dolaze
ne mirišu mi zumbuli
a i ti me iznevjeri. Ti, nisi ti više i što mi je najbolnije
kažu mi da si zavoljela drugog
i da ti ništa moje drago nije
a ti ne pitaš kako mi je. Ref.","You, you are not you anymore... And that's the most painful...
No one in the world doesn't feel like I do.
Hard, november rains are falling.
And you don't even ask about me.
Because you, you are not you anymore. They say that you are fooling me.
They say that you are leaving me.
They say that you fell in love with another man.
And you hold nothing kind for me.
And you don't even ask how I feel.... Ref.
Years are passing.
Swallows dont come back.
I cant smell the bluebells.
You have also let me down. You, you are not you anymore... And that's the most painful...
They say that you fell in love with another man.
And you hold nothing kind for me.
And you don't even ask how I feel.... Ref.",https://lyricstranslate.com/en/i-ti-me-iznevjeri-you-have-also-let-me-down.html,['Goran Bregović'],['Goran Bregović'],['Bijelo Dugme'],1986 - Pljuni i zapjevaj moja Jugoslavijo,2002 - Vjerujem - Anita Horvatić,2002 - Vjerujem - remix - Anita Horvatić,2003 - Live Zagreb - uživo - 4 asa,"2004 - Nakon svih ovih godina - 4 asa
Aranžman: Rajko Dujmić / Vlado Kalember / Alen Islamović / Jurica Pađen",2007 - Moje 80e - Giuliano,https://diskografija.com/pjesma/a-i-ti-me-iznevjeri-5149.htm,A i ti me iznevjeri,
1,d/vUPGnO_1_1,Bijelo Dugme,Bijelo Dugme,A koliko si ih imala do sad,44195,"Stani, stani i ne kvari sve
zagrli me ili radi bilo sta
al' cuti molim te

Stani, stani necu da znam
sta ti znaci ime neko
neka stara pjesma neki dan
 
Pusti to, ni otrov, ni lijek
osim toga ovo je 20-ti vijek

Stani, stani saznat' cu i sam
bezveze je da ceprkam
stvari koje bole, ja ih znam

Stani, stani nemoj mi rec'
sta me briga sta je bilo
kad je bilo vec

Pusti to ni sreca, ni par
al' reci, a koliko si ih imala do sad

Ref.
Nije ljubomora, nije ljubomora
nije ljubomora
ipak reci
a koliko si ih imala do sad","https://tekstovi.net/2,33,469.html",Bregovic Goran,A koliko si ih imala do sad?,How many of them have you had till now?,Bitanga i princeza - 1979,"stani stani
1
i ne kvari sve
zagrli me
ili radi bilo šta
al ćuti molim te
stani stani
neću da znam
šta ti znači ime neko
neka stara pjesma
neki dan
pusti to
ni otrov ni lijek
osim toga ovo je 20. vijek
stani stani
saznat ću i sam
bez veze je da čeprkam
stvari koje bole
ja ih znam
stani stani
nemoj mi reć'
šta me briga
kad je bilo već
pusti to
ni sreća ni par
al reci
a koliko si ih imala do sad?
nije ljubomora
nije ljubomora
nije ljubomora
ipak reci
a koliko si ih imala do sad?","stop stop
don´t ruin everything
hug me
or do anything
but please listen
stop stop
I don´t want to know
what some name mean to you
some old song
some day
let it go
however this is 20th century
stop stop
I´ll hear it from others
no need to investigate
the things that hurt
I know them
stop stop
don´t tell me
I don´ care
´cause it already happened
let it go
nor happiness nor cupple
but tell me
how many of them have you had till now ?
It´s not jelousy
It´s not jelousy
It´s not jelousy
but tell me
how many have you had till now?",https://lyricstranslate.com/en/koliko-si-ih-imala-do-sad-how-many-them-have-you-had-till-now.html,,,,,,,,,,,,
2,d/vUPGnO_1_2,Bijelo Dugme,Bijelo Dugme,Aiaio radi radio,23509,"Zaspao je cijeli svijet
nista ne talasa
zaspala je i radnicka klasa
zaspala je vasiona, mi se ljubimo
i radi radio

Zaspao je KGB, zaspala je CIA
odmara se nasa milicija
svi spavaju a mi se
jos uvijek ljubimo
i radi radio
 
O-o-o, radimo ja i radio
o-o-o, samo ja i radio

Ref.
Aiaio, radi radio
aiaio, radi radio
za mene i za moju curicu
koja ne da svoju suknjicu
aiaio radimo ja i radio

Spava Pariz, spava Sid
Njujork, Moskva, London, Madrid
spavaju pederi, manijaci
u muriji spavaju murijaci

Spavaju pametni i kreteni
spavaju svi, a sta je meni
ja jos uvijek moju curicu
nagovaram da skine suknjicu

Ref.","https://tekstovi.net/2,33,470.html",,Aiaio radi radio,Aiaio The Radio's On [Working],Bijelo dugme - 1984,"Zaspao je cijeli svijet
ništa ne talasa
zaspala je i radnička klasa
zaspala je vasiona
mi se ljubimo
i radi radio. Zaspao je KGB
zaspala je CIA
odmara se naša milicija
svi spavaju a mi se još uvijek ljubimo
i radi radio. Ooo radimo ja i radio
ooo samo ja i radio
aiaio radi radio
aiaio radi radio
za mene i za moju curicu
koja ne da svoju suknjicu
aiaio radimo ja i radio. Spava Pariz, spava Sid,
New York, Moskva, London, Madrid
spavaju pederi, manijaci,
u muriji spavaju murijaci.
Spavaju pametni i kreteni
spavaju svi a šta je meni
ja još uvijek moju curicu
nagovaram da skine suknjicu","The whole world's asleep
Nothing is moving
Even the working class is asleep
The universe is sleeping
And we're kissing
And the radio's working. The KGB's asleep
The CIA too
Our militia's resting
Everyone's asleep but we're still kissing
And the radio's working. Ooo, the radio and I are working
Ooo, just the radio and I
Aiaio, the radio's working
Aiaio, the radio's working
For me and for my girl
Who won't give up her skirt
Aiaio, the radio and I are working. Paris is asleep, Šid is asleep
New York, Moscow, London, Madrid
The gays and the madmen are asleep
The cops are asleep in their stations
The smart and idiotic are asleep
Everyone's asleep but what's with me
I'm still with my girl
Persuading her to take off her skirt!",https://lyricstranslate.com/en/aiaio-radi-radio-aiaio-radios-working.html,['Goran Bregović'],['Goran Bregović'],['Bijelo Dugme'],,,,,,,https://diskografija.com/pjesma/aiaio-radi-radio-5129.htm,Aiaio radi radio,
3,d/vUPGnO_1_3,Bijelo Dugme,Bijelo Dugme,Ako ima Boga,237424,"Negdje u tvome adresaru
pod slovom B je moje ime
prekrizi ga nocas i stavi
krst pepela i krst tisine

Ako ima Boga
sto zima, a nijedno ljeto
poneka mrvica sa tvoga stola
a nikad niko nije cek'o
kao sto cekah ja do bola
ako ima Boga
 
Ref.
Moji drugovi, odavno, kuce imaju 
samo moja kuca je bez krova 
prokleta bit' ces, o, ako ima Boga 
u paklu gorit' ces

Sanjao sam e, kako
ulazis u moju pjesmu
ulazis, prosto k'o u svoju bastu
pod pazuh dolijecu ti lastavice
ja pjevam, bijela mi krila rastu
al' vise me ne boli

Sanjao sam e, kako
s andjelima jedes tresnje
i kako andjeli na mene lice
i kako sapucem u tvoje krilo
radjaj mi djecu kao kolacice
al' vise me ne boli

Ref. 2x","https://tekstovi.net/2,33,471.html",Goran Bregovic,Ako ima Boga,If there is a God,Ćiribiribela - 1988,"Negdje u tvome adresaru
1
Pod slovom B je moje ime
Prekriži ga noćas i stavi
Krst pepela i krst tišine
Ako ima Boga. Sto zima a nijedno ljeto
Poneka mrvica sa tvog stola
A nikad niko nije ček'o
Kao što čekah ja do bola
Ako ima Boga. Moji drugovi odavno
Kuće imaju
Samo moja kuća je
Bez krova
Prokleta bit ćeš
O ako ima Boga
U paklu gorit ćeš. Sanjao sam
E kako ulaziš u moju pjesmu
Ulaziš prosto k'o u svoju baštu
Pod pazuh doliječu ti lastavice
Ja pjevam bijela mi krila rastu
A više me ne boli. Sanjao sam
E kako s anđelima jedeš trešnje
I kako anđeli na mene liče
I kako šapučem u tvoje krilo
Rađaj mi djecu kao kolačiće
A više me ne boli","Somewhere in your directory
Under the letter “B” is my name
Cross it out tonight and put
Cross of dust and cross of silence
If there is a God..
One hundred of winters, not one summer
Few crumbs from your table
And no one has never waited
As I did, to the length of pain
If there is a God...
My friends since long ago
Have houses
Only my house is
roofless
You’ll be damned
Oh, If there is a God
You’ll burn in hell
I dreamt of
Hey, you entering my song
Entering freely as into your own garden
Swallows flying up to your armpit
I sing, growing out white wings
It doesn’t hurt me anymore
I dreamt of
Hey, you eating cherries with angels
And the angels look like me
And I’m whispering into your lap
Give birth to my kids like cookies
And it doesn’t hurt me anymore",https://lyricstranslate.com/en/node/94307,['Goran Bregović'],['Goran Bregović'],['Bijelo Dugme'],,,,,,,https://diskografija.com/pjesma/ako-ima-boga-5158.htm,Ako ima Boga,
4,d/vUPGnO_1_4,Bijelo Dugme,Bijelo Dugme,"Ako mozes, zaboravi",123248,"Gdje da krenes u ovo strasno doba
nemas gdje
sama u tom haljetku
cirkuske jahacice

Milijun rubalja
za tvoja glatka ramena
daj makar ne varaj
ovog andjela na dlanu
 
Zaboravi, ako mozes
zaboravi
zaboravi, ako mozes

Otmjeno izgubljena opklada
to ti je
kao spremljen krevet
malo tijesan za dvoje

Kao haljina
kada se rasiva
ej, ma porodi me
kao srna na snijegu

I zaboravi, ako mozes
zaboravi
zaboravi, ako mozes

Gdje da krenes u ovo strasno doba
nemas gdje
tebi svaki krevet ovog svijeta
tijesan je

Idi pod laznim imenom
idi i putuj sjeverom
ili porodi me
kao srna na snijegu

I zaboravi, ako mozes 
zaboravi 
zaboravi, ako mozes","https://tekstovi.net/2,33,472.html",Bregovic Goran,"Ako možeš, zaboravi",Forget if you can,Uspavanka za Radmilu M. - 1983,"Gdje da u kreneš ovo strašno doba,
1
Nemaš gdje,
Sama u tom haljetku
Cirkuske jahačice
Milijun rubalja za
Tvoja glatka ramena,
Daj, makar ne varaj ovog
Anđela na dlanu,
Zaboravi, ako možeš
Zaboravi, zaboravi
Ako možeš. Otmjeno izgubljena opklada to ti je
Kao spremljen krevet
Malo tijesan za dvoje,
Kao haljina kada se rašiva,
Evo porodi me kao srna na snijegu,
I zaboravi ako možeš
Zaboravi, zaboravi,
Ako možeš. Gdje da u kreneš ovo strašno doba,
Nemaš gdje
Tebi svaki krevet ovog svijeta tijesan je
Idi pod lažnim imenom,
Idi i putuj sjeverom,
Ili porodi me kao srna na snijegu
I zaboravi","Where would you go
In these horrible times
You've got nowhere
Alone, in that little dress
Of a circus rider. A million rubles
For your smooth shoulders
Come, at least don't deceive this
Angel on your palm
Forget, if you can
Forget, forget
If you can. It's like an
elegantly lost bet
Like a made up bed
A bit tight for two
Like a dress when it tears
Then bear (deliver, give birth) me like a doe
On the snow
And forget if you can
Forget, forget
If you can. Where would you go
In these horrible times
You've got nowhere
To you every bed in
This world is tight
Go under a false name
Go and travel north
Or bear me like a doe
On the snow
And forget",https://lyricstranslate.com/en/ako-mo%C5%BEe%C5%A1-zaboravi-forget-if-you-can.html,,,['Bijelo Dugme'],1983 - Uspavanka za Radmilu M.,2005 - Mramor kamen i željezo - uživo,,,,,https://diskografija.com/pjesma/ako-mozes-zaboravi-5138.htm,Ako možeš zaboravi,
5,d/vUPGnO_1_5,Bijelo Dugme,Bijelo Dugme,Ala je glupo zaboravit' njen broj,32828,"Ja nikad ne zaboravljam
i dobro pamtim tudje, a i svoje 
ali sam glup
da zapamtim njen broj

Ja nikad ne zapisujem
sta mi je danas
ala je glupo
zaboravit' njen broj
 
I vrtim
i opet vrtim
i opet djon
i vrtim
taj prokleti telefon

A sto ne bi ona nazvala 
i ona ima ovaj glupi stroj 
mozda isto ona
ne pamti moj broj

I onda mislim
nije losa stvar
a i sto moram javit' se bas njoj 
mozda je najbolje zaboraviti broj

308-208
302-202
307-201
111111","https://tekstovi.net/2,33,473.html",Bregovic Goran,Ala je glupo zaboravit' njen broj,It was so stupid to forget her number,Bitanga i princeza (1979),"ja nikad ne zaboravljam
1
i bolje pamtim
tuđe, a i svoje
ali sam glup
da zapamtim njen broj. ja nikad ne zapišem njen
šta mi je danas
o, ala je glupo
zaboravit njen broj. i vrtim
i opet vrtim
i opet đon
i vrtim
taj prokleti telefon. a što ne bi ona nazvala
i ona ima
ovaj glupi stroj
možda isto ona
ne pamti moj broj. i onda mislim
nije loša stvar
a i što moram
javit se baš njoj
možda je najbolje
zaboraviti broj. 308-208
302-202
307-201
111-111","I never forget
I always remember
other people's numbers and my numbers too
But I'm too stupid
to remember her number. I never write it on the paper
What's wrong with me today?
Oh it was so stupid
to forget her number. And I spin
and I spin it again
and nothing again
And I spin
that motherfucking phone. And why can't she call me?
She also has
this stupid machine
Maybe she
can't remember my number, too. And then I think:
""It's not so bad,
and why do I have
call just HER
Maybe it's the best
to forget her number."". 308-208
302-202
307-201
111-111",https://lyricstranslate.com/en/ala-je-glupo-zaboravit039-njen-broj-it-was-so-stupid-forget-her-number.html,,,,,,,,,,,,
6,d/vUPGnO_1_6,Bijelo Dugme,Bijelo Dugme,Bekrija si cijelo selo vice,23895,"Im'o kucu, nemam je 
im'o zemlju, prodo je 
svo imanje prokock'o pa sta 

Bilo mi cejf
bilo mi cejf
bilo mi cejf
bilo mi cejf, cejf, cejf
zar je tako nesto grijeh 
 
Im'o dragu, nemam je 
imam zato druge sve 
sve sam pare prokocko pa sta 

Bekrija sam, bekrija sam 
prvi bekrija sam 
to mi je u krvi, ljudi 

Bekrija sam, bekrija sam ludi 
bekrija si, cijelo selo vice 
e pa jesam 
sta se koga tice,tice 
hej hej hej","https://tekstovi.net/2,33,474.html",Goran Bregovic,"Bekrija si cijelo selo viče, e pa jesam šta se koga tiče","Everybody says that I'm tippler, well yes I am and that's not his business",Šta bi dao da si na mom mjestu (1975),"imo kuću nemam je
1
imo zemlju prodo je
svo imanje prokocko pa šta. Bilo mi ćejf
bilo mi ćejf
bilo mi ćejf
bilo mi ćejf ćejf ćejf
zar je tako nešto grijeh. imo dragu nemam je
imam zato druge sve
sve sam pare prokocko pa šta. bekrija sam bekrija sam
prvi
bekrija sam
to mi je u krvi
ljubi
bekrija sam bekrija sam
ljudi
bekrija si cijelo selo viče
e pa jesam
šta se koga tiče
tiče
hej hej hej","I've had a house, now I don't
I've had some land, but I sold it
I've gambled away my whole estate, so what?. That was what I wanted
That was what I wanted
That was what I wanted
That was what I wanted, wanted, wanted
Is something like that a sin?. I've had a darling, now I don't
That's why I have all the other girls
I've gambled away all my money, so what?. I'm a tippler, I'm a tippler
The first one
I'm a tippler
It's in my blood
Kissing
I'm a tippler, I'm a tippler
Hey people!
Everybody says that I'm tippler,
Well yes I am
And that's not his business
Business
Hey, hey, hey!",https://lyricstranslate.com/en/bekrija-si-cijelo-selo-vice-e-pa-jesam-sta-se-koga-tice-everyone-screaming-im-tippler-well-yes-i-am-,['Goran Bregović'],['Goran Bregović'],['Bijelo Dugme'],1975 - Šta bi dao da si na mom mjestu,1995 - Iz sve snage,,,,,https://diskografija.com/pjesma/bekrija-si-cijelo-selo-vice-e-pa-jesam-sta-se-koga-tice-5419.htm,"Bekrija si cijelo selo viče, e pa jesam, šta se koga tiče",
7,d/vUPGnO_1_7,Bijelo Dugme,Bijelo Dugme,"Bila mama Kukunka, bio tata Taranta",78954,"Bila mama Kukunka, Kukunka
bio tata Taranta, Taranta
imali su maloga Ju-Ju

Jednom su se setali, setali
kraj duboke rijeke Nil, rijeke Nil
gdje je bio velik' krokodil
 
I skocio krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
uhvatio maloga Ju-Ju

Place mama Kukunka, Kukunka
place tata Taranta, Taranta
vrati nama nasega Ju-Ju

Progovara krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
dones'te mi vola pecenog

Trci mama Kukunka, Kukunka
trci tata Taranta, Taranta
donijeli su vola pecenog

Progovara krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
evo vama vasega Ju-ju 

","https://tekstovi.net/2,33,12896.html",,"Bila mama Kukunka, bio tata Taranta","There was mom named Kukunka, there was dad named Taranta",Glavni junak jedne knjige SP,"Bila mama Kukunka, Kukunka
bio tata Taranta, Taranta
imali su maloga Ju-Ju. Jednom su se šetali, šetali
kraj duboke rijeke Nil, rijeke Nil
gdje je bio velik' krokodil. I skočio krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
uhvatio maloga Ju-Ju. Plače mama Kukunka, Kukunka
plače tata Taranta, Taranta
vrati nama našega Ju-Ju. Progovara krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
dones'te mi vola pečenog. Trči mama Kukunka, Kukunka
trči tata Taranta, Taranta
donijeli su vola pečenog. Progovara krokodil, krokodil
iz duboke rijeke Nil, rijeke Nil
evo vama vašega Ju-ju","There was mom named Kukunka,
There was dad named Taranta
They had a little Ju-Ju. One time they were walking, walking
Next to the deep Nile river, Nile river
Where was a huge crocodile. So crocodile jumped, jumped
Out of the deep Nile river, Nile river
And caught little Ju-Ju. Mom Kukunka is crying, crying
Dad Taranta is crying, crying
""Give us our Ju-Ju back!"". The crocodile is speaking, speaking
From the deep Nile river, Nile river
""Bring me a roasted ox!"". Mom Kukunka is running, running
Dad Taranta is running, running
They brought a roasted ox. The crocodile is speaking, speaking
From the deep Nile river, Nile river
""There you go, you can have your Ju-Ju""",https://lyricstranslate.com/en/bila-mama-kukunka-bio-tata-taranta-there-was-mom-named-kukunka-there-was-dad-named-taranta.html,,,['Bijelo Dugme'],,,,,,,https://diskografija.com/pjesma/bila-mama-kukunka-bio-tata-taranta-9570.htm,"Bila mama kukunka, bio tata taranta",
8,d/vUPGnO_1_8,Bijelo Dugme,Bijelo Dugme,Bitanga i princeza,260723,"Luda noc, ja sam momak 
na losem glasu u ovom gradu
a ko si ti, a ona kaze, luda noc
ja sam bila mamina princeza 
sve do sad

I sta mi bi
al' tebe traze, ponoc je vec
tebe traze, sta ce tata rec'
bitanga i princeza par, ne ide to
 
Svice dan
ja sam momak na losem glasu 
u ovom gradu, sad moras poc'
a ona kaze, ma, ne trebam
jos bi malo bila s tobom
bas si dobar, jos jednu noc
ali tebe traze, jutro je vec,
tebe traze, sta ce tata rec'
bitanga i princeza par, ne ide to

Rek'o sam joj da sam sit
i princeza i svih drugih 
prevarenih zena, a i nje
rek'o sam joj da cu otic'
otic' iz ovog smijesnog grada
i da me pusti da spavam","https://tekstovi.net/2,33,475.html",Bregovic Goran,Bitanga i princeza,A Tramp And A Princess,Bitanga i princeza (1979),"Luda noć, ja sam momak
1
na lošem glasu u ovom gradu
a ko si ti, a ona kaže, luda noć
ja sam bila mamina princeza
sve do sad. I šta mi bi
al' tebe traže, ponoć je već
tebe traže, šta će tata reć'
bitanga i princeza par, ne ide to. Sviće dan
ja sam momak na lošem glasu
u ovom gradu, sad moraš poć'
a ona kaže, ma, ne trebam
još bi malo bila s tobom
bas si dobar, još jednu noć
ali tebe traže, jutro je već,
tebe traže, šta ce tata reć'
bitanga i princeza par, ne ide to. Rek'o sam joj da sam sit
i princeza i svih drugih
prevarenih žena, a i nje
rek'o sam joj da ću otić'
otić' iz ovog smiješnog grada
i da me pusti da spavam","Crazy night, I’m a guy
with a bad reputation in this city
And who are you? And she says, crazy night
I used to be mummy’s princess
up until now. And what came over me
They’re looking for you, it’s midnight already
They’re looking for you, what will daddy say?
a tramp and a princess as a couple
that doesn’t work. The day is dawning
I’m a guy with bad reputation
in this city, You got to go
and she says, but, it isn't necessary
I’d like to stay with you a bit longer
you’re really nice, one more night
But they’re looking for you, it’s morning already
But they’re looking for you, what will daddy say
a tramp and a princess as a couple that doesn’t work. I told her I was fed up with
princesses and all other
deceited women and with her as well
I told her I’d leave
from this silly city
and to let me sleep",https://lyricstranslate.com/en/bitanga-i-princeza-tramp-and-princess.html-0,['Goran Bregović'],['Goran Bregović'],['Bijelo Dugme'],1979 - Bitanga i princeza,1982 - Singl ploče 1974-1980,"2009 - Gdje je srce tu je dom - Antonija Šola
Aranžman: Branimir Mihaljević",,,,https://diskografija.com/pjesma/bitanga-i-princeza-9558.htm,Bitanga i princeza,
9,d/vUPGnO_1_9,Bijelo Dugme,Bijelo Dugme,Blues za moju bivsu dragu,54493,"Nikad se necu vratit'
u svoj rodni grad
tamo me ne ceka niko
i vec odavno su izblijedila sva lica
i vec odavno imena im ne znam

Samo ponekad zimi
dok vjetrovi oplakuju dane
sjetim se tebe
tebe moja bivsa draga
i neke njeznosti davne
nesto mi sapne u srcu, i znam
da sam na svijetu sam

I da te ponovo vidim
sta bih ti o sebi mogao reci
osim da sam sreo mnogo ljudi
a da mi prijatelj nije bio nijedan

Da sam bio
i gladan i slavan i veseo i placan
i bijedan i sjajan
i da me ljubilo, ljubilo mnogo zena
a da nijednu volio nisam

Nesto mi sapne u srcu i znam
da sam na svijetu sam

Ref.
Moja draga moja draga
bivsa draga, moja draga
i evo umoran starac sam sad
mada izgledam mlad","https://tekstovi.net/2,33,476.html",,Blues za moju bivsu dragu,Blues For My Former Love,Kad bi bio bijelo dugme (1974),"I nikad se neću vratit
u svoj rodni grad
tamo me ne čeka niko
i već odavno su izblijedila sva lica
i već odavno imena i mi ne znam
samo ponekad zimi
sjetih se tebe
tebe moja bivša draga
neke nježnosti davne
nešto mi šapne u srcu i znam
da sam na svijetu sam
i da te ponovo vidim
šta bih ti o sebi mogao reći
osim da sam sreo mnogo ljudi
a da ni prijatelj nije bio nijedan
i da sam bio
i gladan i slavan i veseo i placan
i bijedan
i da me ljubilo mnogo žena
a da nijednu volio nisam
nešto mi šapne u srcu i znam
da sam na svijetu sam
moja draga moja draga
bivša draga
moja draga
i evo umoran starac sam sad
mada izgledam mlad","And I will never go back
To my home town
No one is waiting for me there
And all faces are long gone from my memory
And their names are long gone too
Only at times, in winter
I remember you
You, my former love
Some old sentiments
Something whispers in my heart and I know
That I’m all alone in this world
Even if I see you again
What could I tell you about myself?
Except that I met many people
And that no one was my friend
And that I was
Hungry and famous and cheerful and lachrymose
And pathetic
And that many women have kissed me
But I didn’t love any of those
Something whispers in my heart and I know
That I’m all alone in this world
My former love, my former love
Former love
My love
And here, I’m a tired, old man now
Although I look young",https://lyricstranslate.com/en/blues-za-moju-bivsu-dragu-blues-my-former-love.html,,,['Bijelo Dugme'],1974 - Kad bi bio bijelo dugme,1982 - Singl ploče 1974-1980,,,,,https://diskografija.com/pjesma/blues-za-moju-bivsu-dragu-5415.htm,Blues za moju bivšu dragu,
10,d/vUPGnO_1_10,Bijelo Dugme,Bijelo Dugme,Ciribiribela,29833,"Ako si, ljubo, posla spat'
sta cemo ja i ti 

Kao prvo vrata zakljucati 
kao drugo prozor zatvoriti 
kao trece spustiti zavjese 
ostacemo doma i ljubit' se
ostacemo doma i ljubit' se
 
Ako se sutra zarati
moja mala, sta cemo ja i ti
vrata zakljucati, prozore zatvoriti
spustiti zavjese
ostacemo kuci i ljubit' se

A kada pocne pucati
preko glave cemo se pokriti
ispod male dekice
ja i ti i zvjezdice
grickacemo grozdje
cekacemo rat da prodje 

Ref.
Vodi me na ples, vodi me na ples
vodi me na ples
ciribiribela moja mala
vodi me na ples, vodi me na ples
vodi me na ples, vodi me na ples

Ali ako odem
ne zaboravi me
ciribiribela, odoh u marine 

Ona nece pit' kafe
vengo cokoladu
ona misli sempjasta
da se soldi kradu 

Biz'te mi vanka iz kuce
jer cu te brostulinom
ne sporkaj mi kuzine
jer cu te mazininom 

Ref.","https://tekstovi.net/2,33,477.html",Goran Bregovic,Ciribiribela,Chiribiribella,Ćiribiribela - 1988,"Ako si, ljubo, pošla spat'
1
šta ćemo ja i ti
kao prvo vrata zaključati
kao drugo prozor zatvoriti
kao treće spustiti zavjese
ostat' ćemo doma i ljubit' se
ostat' ćemo doma i ljubit' se. Ako se sutra zarati
moja mala, šta ćemo ja i ti
vrata zaključati, prozore zatvoriti
spustiti zavjese
ostat' ćemo kući i ljubit' se. A kad pođe pucati
preko glave ćemo se pokriti
ispod male dekice
ja i ti i zvjezdice
grickat' ćemo grozđe
čekat' ćemo rat da prođe. Vodi me na ples (x3)
Ćiribiribela moja mala
vodi me na ples (x3). Ali ako odem ne zaboravi me
Ćiribiribela, odoh u marine. Ona neće pit' kafe
vengo čokoladu
ona misli šempjasta
da se šoldi kradu. Biž'te mi vanka iz kuće
jer ću te broštulinom
ne šporkaj mi kužine
jer ću te mazininom","If, my love, you’re going to sleep
what are we gonna do
First of all, lock the door
Second, close the window
Third, put down the curtains
We will stay in and kiss…
We will stay in and kiss…. If a war starts tomorrow
My dear what are we gonna do
Lock the door
Close the windows
Put down the curtains
We will stay in and kiss. And when the shootings start
We’ll cover our heads
under little blanket
You and me and the little stars
We’ll eat grapes
we’ll wait for the war to be over. Take me dancing
Chiribiribella, my little one
Take me dancing. And if I leave, don’t forget me
Chiribiribella, I’m joining the marines. She won't drink coffee
dont' want chocolate
She thinks cutely
that money gets stolen. Get out of my house
because I will grind you
.....
.....",https://lyricstranslate.com/en/ciribiribela-chiribiribella.html,['Goran Bregović'],['Goran Bregović'],['Bijelo Dugme'],,,,,,,https://diskografija.com/pjesma/ciribiribela-5153.htm,Ćiribiribela,
