,Song_ID,Song,Lyrics
0,vmjQPyJ5_1_0,Ajša,"Istog dana smo rođeni. U dlan nam nisu gledali. Tajnu vječnost otkrili. Nisu nikada. Suze idu u gomili. Topla groznica ljubavi. Tvoje oči mi sklonili. Neki ljudi zli. Ajša, Ajša, moja pustinja. Ajša, Ajša, moja svetinja. Ajša, Ajša, suze padaju. Ajša, Ajša, molim te ostani tu. Moja duša ti robinja. Srce gori k'o buktinja. Ne daj im da me otrijezne. Ne daj molim te"
1,vmjQPyJ5_1_1,Bijeli golub,"Čudno neko vrijeme gazi. Svakojake zablude. Oštre mjere su na snazi. Svatko misli samo na sebe. Niti D od dostojanstva. Nikome ne ostaje. Sinja mora i prostranstva. Ugošćuju samo ratove. A ja, k'o ja između jave i sna. A ja, k'o ja korak naprijed nazad dva. I isto pitam se svih ovih godina. Gdje da nađem bijelog goluba. Nešto što se zvalo mladost. Šapatom progovara. Nema smisla biti glasan. Mladost nikom ne odgovara. I dok tako lažu ljudi. Godine nam prolaze. Sve se manje grli, ljubi, K'o da se oluja nazire"
2,vmjQPyJ5_1_2,Bilo je davno,"Tekla je godina sretna i sjetna. Sreca me pratila jos od pocetka. Al' ne ide svakome od ruke sve. I tako to krene lose po mene. Nisam ni sumnjao u njene oci. Da ce me zauvijek ljubit' moci. Al' ne ide svakome od ruke sve. I tako to krene lose po mene. Bilo je davno, davno, davno. Trajali mi smo samo, samo. Tek mjesec dana, tek mjesec dana. A godina ima dvanaest rana. Trajali mi smo tek mjesec dana. A godina ima dvanaest rana. Nisam ni sumnjao u njene oci. Da ce me zauvijek ljubit' moci. Al' ne ide svakome od ruke sve. Tako je lako otisla od mene. Trajali mi smo tek mjesec dana. A godina ima dvanaest rana. Trajali mi smo tek mjesec dana. A godina ima dvanaest rana"
3,vmjQPyJ5_1_3,Bit' ću dobro ja,"Nije ništa sa mnom. Nemoj brinuti se. Nije ništa sa mnom. Ovo loš dan samo je. Samo loša noć. Al' i ona će proć. I bit' ću dobro ja. Vjeruj najdraža. I bit' ću dobro ja, ja, ja. Vjeruj najdraža. Još jedan sivi dan. Kad krivo pošlo je sve. Bez razloga. Stare tuge vratile se. Dosadne priče. Ali što me se tiće. Kretena raznih. Glava im praznih sjeti se, riječi otrova. Malih lažova peku me. Pa vrtim film stari. U meni se kvari zrno radosti. Ništa ne pitaj. Topli dodir daj i ostani. Ti znaš takve dane. Neću ti pričat o lošoj sreći. O stvarima bolnim. Što kroz sjećanje poče se teći. Kišu u meni sunce zamjeni"
4,vmjQPyJ5_1_4,Blagoslov,"Ne trosi suzu, sto da kane, sad nece moci da me gane, ne mogu na to pasti opet, znam te vec napamet. Potrosila si sve adute, i usne kao kamen zute, sad vidis gdje smo stigli eto, bilo je napeto. Nek se na dobro okrene, iz mrtve tocke pokrene, da nadjes s nekim miran krov, dajem ti blagoslov. Nek se na dobro okrene, samo sto dalje od mene, pa bicu kao nov, imas moj blagoslov. Znam da ti je sada krivo, al' ne padaj na zadnji nivo, jer ti si ipak njezna zena, ostani otmjena. Znam te, voljet ces jos mnoge, ma hajde kreni, put pod noge, sad vidis gdje smo stigli eto, bilo je napeto"
5,vmjQPyJ5_1_5,Branim se,"Svaka mi druga srca lomila, ona ga slomila. Svaka me druga malo ljubila, ona me ubila. I uvijek kad sam na dno padao. Njoj sam se nadao. I uvijek kad se Bogu zaklinjem. Samo nju spominjem. Branim se, branim, da nije mi sve. Ali mi ne ide, ne ide. Lažem i sebe i prijatelje. Da nije mi stalo do nje. Svaka je druga prošlost postala. Ona je ostala. Svaka me druga malo voljela. Ona me boljela. I uvijek kad sam na dno padao. Njoj sam se nadao. I uvijek kad se Bogu zaklinjem. Samo nju spominjem. Branim se, branim, da nije mi sve. Ali mi ne ide, ne ide. Lažem i sebe i prijatelje. Da nije mi stalo do nje"
6,vmjQPyJ5_1_6,Budi tu,"Budi tu, bar ti si kao ja. Budi tu, moj poraz i pobjeda. Budi tu, dug je put odavde pa dovjeka. A bez tebe sam ko pola covjeka. Budi tu, moj grijeh i molitva. Budi tu, kaplja onog ludila. Budi tu, bozji dar, kao pjesak zelim te. Vec predugo s daljinom dijelim te. Budi tu, moj vlak vec prolazi. Budi tu, vrag po svoje dolazi. Budi tu, bar jos tren pa nek se svijet preokrene. Ma neka idu svi, bar ti ne izdaj me"
7,vmjQPyJ5_1_7,"Bye, baby, bye","Otisla brodom je, ponijela fotose, ne znam joj prezime, kazem bye, baby, bye. Sad mrtve su obale, kise mi dolaze, mnoge sad prolaze, pjevam bye, baby, bye. Djevojke mirisu na ljeto, djevojke su sunca sjaj, a mnoge mi odlaze, dok pjevam bye, baby, bye. Prazne su ulice, ptice su nemirne, da l' misli na mene, i pjevam bye, baby, bye"
8,vmjQPyJ5_1_8,Casa vina,"Ona je bila ponesto, u rodu sa zvijezdama, kroz prste mi promakla vjesto, ko pijesak je nestala. Najdraza igracka njena, bila je oduvijek laz, a sada kada je nema, ne treba mi istina. K'o casu vina me je popila, a njoj bih sad da nazdravim, ako je bila greska, briga me, ma sto put bih da je ponovim. Za nju je ovaj svijet, bio slijepa ulica, a za mene svaki dan bez nje, jos i kao ludnica. A znao sam onda o njoj, sve ono sto i sada znam, ali pamet nikada s tim, nista nije imala"
9,vmjQPyJ5_1_9,Čini mi se,"Večer kao svaka. Malo tuge, kaplja mraka. Kao balerina. Prolazi tišina iznad. To se zove osama. Noć ko svaka, vjetar drijema. Nemam zraka. To je sve što imam. Nebo boje dima. Da mi da. Otkad tebe nemam ja. Čini mi se od tada. Sve je kako ne treba. Čini mi se od tada. Vrijeme mi je nevolja. Bez tebe stoje sve, ne ide. Čini mi se od tada. Sve je kako ne treba. Čini mi se od tada. Bilo bi mi utjeha. Da se raspem kao sjena. Da me nema"
10,vmjQPyJ5_1_10,Čista ljubav,"Sjetit ćeš se jednom mene, kada prođu vlakovi, kad ti suza sama krene, kao tuđi svatovi. Mene nema niti pola, pola još je kod tebe, jer od istine do snova, samo ljubav bitna je. Zauvijek pamtit ćemo dušo ja i ti, te dane kad smo jedno drugo imali, i sve na svijetu činilo se važnije, al naša ljubav čudo je najsnažnije. Zauvijek pamtit ćemo kog smo ljubili, dok s nekim drugim mi smo vrijeme gubili, i ne znam dal je sada prekasno za to, da jedno drugom u oči priznamo da to je, čista ljubav jer to je čista ljuba. Sjetit ćeš se jednom mene, kada prođu vlakovi, kad ti suza sama krene, kao tuđi svatovi. Zauvijek pamtit ćemo dušo ja i ti, te dane kad smo jedno drugo imali, i sve na svijetu činilo se važnije, al naša ljubav čudo je najsnažnije. Zauvijek pamtit ćemo kog smo ljubili, dok s nekim drugim mi smo vrijeme gubili, i ne znam dal je sada prekasno za to, da jedno drugom u oči priznamo da to je, čista ljubav jer to je čista ljuba"
11,vmjQPyJ5_1_11,Čisto ludilo,"Jednom sam te sreo ja. To je mjera dovoljna. Da prazno uzdišem. Iskra crnog oka tvog. Dohvati se srca mog. Pa na te mirišem. O, o, o, za tobom čisto ludilo. Šeta, ovog ljeta. O, o, o, srce mi izludilo. Pa smeta i leta. Da li bi se smirilo. Kad bi te dodirnuo. Kad bi me poljubila. Bi li se zaljubila. Čak i piti lakše je. Nego mislit na tebe. Tek zrno pjeska sna. Al' dođe ljuta nevera. I vjetrovi sjevera. Tebi me nose, znam."
12,vmjQPyJ5_1_12,Čitam te ko knjigu,"Kao sebe ja te znam, mogu zamisliti sve, kad god potrosis svoj dan, tvoje tesko budjenje, malo pokipi ti kava, prospes mlijeko, ja sam s tobom, iako sam daleko. Kad za stolom zakunjas, cijedis narandze sa tugom, starim parkom prosetas, sa svojim sedvicom ko s drugom, kupis usput isti sladoled od maline, i na istoj klupi listas novine. I evo citam te ko knjigu, puno pitanja i puno odgovora, svaku tvoju malu brigu, ugasit cu je, kao vulkan na dnu mora. Citam te ko knjigu, puno pitanja i puno odgovora, svaku tvoju malu brigu, ugasit cu je, kao vulkan na dnu mora. Opet kuci vratis se, u prozor stavis malo kruha, ako ptice navrate, tek da kuca nije gluha, prvo pustis vrelu, onda hladnu vodu, onda legnes ko da, bjezis u slobodu"
13,vmjQPyJ5_1_13,Da li si to ti,"Kuda ide ovaj zivot, gdje se vrti ovaj svijet, tesko breme stisce, nemam snage ja za preokret, tko su ovi novi ljudi, nikog ne prepoznajem, mozda neko kog sam znao, ponovo upoznajem. I negdje u daljini, svira muzika, sreca igra ulogu, a mi smo publika. Zasto leti ovo vrijeme, brze nego inace, ljudi se izmedju ljudi, kao zmije provlace, cak i one sto sam znao, tesko je prepoznati, pogled mi je nisko pao, al' dusu necu prodati. I negdje u daljini, svira muzika, sreca igra ulogu, a mi smo publika. Da li si to ti, moja ljubavi, rukom mahni mi, bar me pozdravi. Jesam li to ja, onaj kog si voljela, je li dugo vrijeme, ili smo drugaciji. Kuda ide ovaj zivot, gdje se vrti ovaj svijet, tesko breme stisce, nemam snage ja za preokret, tko su ovi novi ljudi, nikog ne prepoznajem, mozda neko kog sam znao, ponovo upoznajem. I negdje u daljini, svira muzika, sreca igra ulogu, a mi smo publika"
14,vmjQPyJ5_1_14,Da se dogodi,"Hajde mala, ja sam vatra ugrij se na plamenu tom. Ili budi voda pa me gasi snagom svom. Ljubav neće čekati rekla meni si ti. Nekada se dobiva a nekada se izgubi. Ja sam led, hajde mala, dodirom mi stopi sve. Pruži ruke prema meni, ljubi ili ubi me. Ljubav nema pravila rekao sam tebi ja. Da si moja svašta bi naučila. Vrijeme brzo ide. Neka ruke vide. Pusti neka bude. Pusti, pusti ti da se dogodi."
15,vmjQPyJ5_1_15,Da si barem tu,"Prate me zavjere i strasne namjere. Gdje god se okrenem blato i kamenje. Novine i TV budalom prave me. I sve se nekako u krugu okrece. I sve poskupljuje, a svijet poglupljuje. Uzmi i nestani, zgazi i prevari. Ja bi zazmirio i brojao do sto. Kad bi me, duso, to do tebe odvelo. E da si barem tu, pa da ne mislim. U tvoje oko mirno da uplovim. Jer bez tebe mi fali ono nesto. Neznam sto, bez tebe to nije to"
16,vmjQPyJ5_1_16,Da te nisam ljubio,"Sanjam nebo, sa mnom tuguje, tebi moja dusa putuje, svake noci ti mi ulazis u sne, kao da si sva od sitne prasine. Hej da te barem nisam nikad ljubio, i da te nisam volio, izgubio, jos nosim tvoje oziljke, ko zive rane peku me, hej da te barem nisam nikad ljubio"
17,vmjQPyJ5_1_17,"Daj mi, daj mi","Lijevo, desno, gore, dolje, Naprijed nazad sve je tvoje. Dajem se tebi ja. Jer ti si želja moja nedodirljiva. Evo, sto će godina. Kako perem koljena. Puzim za tobom ja. Ti si bolest moja neizljećiva. Daj mi, daj mi malo sebe. Daj, da budem pored tebe. Daj mi, daj mi malo lijeka. Znaš da moja duša čeka. Derem ja i grlo svoje. Vrištim stalno ime tvoje. Javi se meni ti. Ovo stanje prekini."
18,vmjQPyJ5_1_18,Dani sto se pamte,"Moj otac mi je rekao, kad imas pjesmu tad ti nista ne mogu, a ja sam cudio se svemu, sa svojih 20 godina. Tad nisam trebao, ni zelio druge, u nicem da mi pomognu, u sumu vjetra i valovima mora, je bila muzika. To bili su dani sto se pamte, i vise se nikad vratit nece, te slike me cijeli zivot prate, i samo to me pokrece. To bili su dani sto se pamte, i samo to me pokrece"
19,vmjQPyJ5_1_19,Digni me visoko,"Noć je prosula po putu gustu maglu bijelu. Vozio sam dugo skoro vječnost cijelu. Ova mornarska duša polako sklapa oči. Više ne sluša u gluho doba noći. Još samo par minuta i bit će svjetla grada. Ti si zabrinuta ti me čekaš sada. Na radiju 100 puta ista pjesma je. I kao tećnost ljuta puste riječi te. Digni me visoko pa pusti na niže. Da sve vidi oko ispod haljine. Digni me visoko bit će zabavno. Ti si sreća mala koju želim odavno. Na, na, na, na digni me. Na, na, na, na ti si sreća mala koju želim odavno. Gradom žmirkaju neoni mokre ulice cvile. Vračaju se kući zadnje pokisle vile. Iz daljine tražim svjetlo i tvoju siluetu. Putnik hoće znati da nije sam na svijetu. Bit ću pored tebe još samo par minuta. Još samo koji metar ovog sivog puta. A na radiju ista pjesma znam je već. Čim otvoriš vrata sama će se reć."
20,vmjQPyJ5_1_20,Dok svira radio,"U tvojoj sobi sentiš svira, odlaziš na spavanje, a ja zamišljam da sam kraj tebe. Gasiš svjetlo i u tami skidaš, haljinu na kopčanje, a ja gledam još u tvoje prozore. Dok svira radio šta bih ti radio, na, na, na, na, dok svira radio šta bih ti radio, na, na, na, na, samo da sam ove noći kraj tebe"
21,vmjQPyJ5_1_21,Eloise,"Un esspresso por moi. K'o barsun je rekla. A ja kao da znam. Jos stavim kap mlijeka. Pogled skinuti s nje. Nisam mogao, ne. Kaze otkazan let. Za Pariz zbog kise. Svuda Chanel No. 5. Moj Boze, mirise. K'o u onome snu. Kad sam vidio nju. Eloise, sve prolazi. Al' ti si ostala tu. Eloise, noc dolazi. Srest cu te opet u snu. Un esspresso por moi. Za Bozic napise. A na Chanel No. 5. Mi soba mirise. K'o u onome snu. Kad sam volio nju. Un esspresso pur moi. Ponekad mi pise. Tad na Chanel No. 5. Mi soba mirise. K'o u onome snu. Kad sam volio nju"
22,vmjQPyJ5_1_22,Emily,"K'o nekad i sada, ja do Starog grada, prošetam da nađem miris taj, i nebo pred kišu. Nova djeca ljube se, na pragu je proljeće, isti je početak ko zna kraj, čuj kako dišu. Emily, naši dani svi, tiha nježna sjećanja i sad, u njima ti si. Emily, oči tražim ti, grlim teške puste vječnosti. Emily... A moja si bila ti, ti i more ljubavi, u srcu još nosim isti znak, u kojem dišu. Emily..."
