Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Album_year_title_discogs,All_albums_discogs
Dalmatino,Dalmatino,Cukar I Sol,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Ditelina S Čet'ri Lista,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Lozje,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Cvit Od Kamena,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Grdelin,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Zvizda Danica,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Božić Bijeli,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Noćas,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Vrata Pakla,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Prosjak I Sin,,Cukar I Sol,,nan-Cukar I Sol,nan-Cukar I Sol
Dalmatino,Dalmatino,Moran Biti Jak,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro/2016.0-Instrumentali
Dalmatino,Dalmatino,Ča Si Nebo Na Me Bisno,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Dobro Jutro,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Jematva,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Molitva Za Ribara,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Jel To Grijota,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Dodji Noćas U Moj San,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Mendula Na Cesti,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Kiša Če,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Čovik I Tovar,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro/2016.0-Instrumentali
Dalmatino,Dalmatino,Srce Od Mraza,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Dajen Ti Rič,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Instrumentali,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Molitva za ribara,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Jel' to grijota?,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Dobro jutro,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Moran biti jak,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Ča si nebo na me bisno,,Dobro Jutro,,nan-Dobro Jutro,nan-Dobro Jutro
Dalmatino,Dalmatino,Lipa Rič,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Dvi Sestre Blizanke,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Grana O'smokve,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Feta Žute Naranče,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,To Nije Znao Niko Ka Ja,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Di Ću,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Premaliće,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Bura Okrića,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Gospe Od Cukra,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič
Dalmatino,Dalmatino,Moja Jube,,Lipa Rič,2009.0,2009.0-Lipa Rič,2009.0-Lipa Rič/2016.0-Instrumentali
Dalmatino,Dalmatino,Moj Dom,,Moj Dom,2014.0,2014.0-Moj Dom,2014.0-Moj Dom/2016.0-Instrumentali
Dalmatino,Dalmatino,Još Jedan Put,,Moj Dom,2014.0,2014.0-Moj Dom,2014.0-Moj Dom
