Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Alto Saxophone_discogs,Drums_discogs,Electric Guitar_discogs,Percussion_discogs,Arranged By [Co-arranged]_discogs,Violin_discogs,Music By [Co-written]_discogs,Lyrics By [Co-written]_discogs,Backing Vocals_discogs,Pipe [Šurle]_discogs,Bagpipes_discogs,Programmed By_discogs,Double Bass_discogs,Kazoo_discogs,Engineer_discogs,Soprano Saxophone_discogs,Voice [French]_discogs,Written-By_discogs,Pipe [Fife]_discogs,Tin Whistle_discogs,Lyrics By_discogs,Accordion_discogs,Bandoneon_discogs,Djembe_discogs,Bass_discogs,Drum Programming_discogs,Music By_discogs,Arranged By_discogs,Double Bass [Contrabass]_discogs,Guitar_discogs,Harmonium_discogs,Vocals_discogs,Tambourine [Riqq]_discogs,Effects [Concrete Sounds]_discogs,Piano_discogs,Trumpet_discogs,Performer [Ghitak]_discogs,Clarinet_discogs,Goblet Drum [Tarabuka]_discogs,Saxophone [Sopran]_discogs,Sitar_discogs,Strings_discogs,Trombone_discogs,Drums [Duf]_discogs,Melodica_discogs,Organ_discogs,Saxophone_discogs,Album_year_discogs,Featuring_discogs,Written By_discogs,Cello_discogs,Stylophone [Bass]_discogs,Choir [Zbor Kojota]_discogs,Tuba_discogs,Viola_discogs,Synthesizer_discogs,Contrabass_discogs,Tenor Saxophone_discogs,Album_year_title_discogs,All_albums_discogs
Darko Rundek,Darko Rundek,Apokalipso,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso
Darko Rundek,Darko Rundek,Tranzit,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Uajdalalaj,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
Darko Rundek,Darko Rundek,"More, More",,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Štrajk Željezničara,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Šuvar I Varivo,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Crni Dusi,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Señor,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Old Boy,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
Darko Rundek,Darko Rundek,Grane Smo Na Vjetru,,Apokalipso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Apokalipso,nan-Apokalipso/nan-ApoCalypso
