Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
0iPNl+uu_1_0,Darko Rundek,Darko Rundek,12 ptica,8374,"Iznad nasih blijedih lica 
preletjelo 12 ptica 
jedna ptica drugu vodi 
preko vode mjesec hodi 

I svaki korak bude opjevan 
i svaki zamah krila dovoljan 
nigdje u nama nema pomaka 
ni jedna zelja nije promakla 
 
Nema tuge, nema bola 
pleme sjedi oko stola 
sa nebesa jece rijeci 
starac sjedi pored peci 

Hodali smo rubom predjela 
ta crna voda nas je prenjela 
niz tijelo teku strme bujice 
zatvori oci i probudi se 

Taj dan 
ima istu plavet 
kao lan","https://tekstovi.net/2,1623,32980.html"
0iPNl+uu_1_1,Darko Rundek,Darko Rundek,Afrika,6544,"Jednog dana cu otici
daleko odavde
preseliti u neku zemlju daleku
gdje ne mozes mracan ulicom proci
jer veseli ljudi
te gledaju u oci
 
Nije to tak skupo
otici od kuce
jos dva - tri soma kuna
i bilo bi moguce
i zato sve cesce gledam avione
al' oni su sve vislje
il' ja sve dublje tonem

Sjednem na bicikl i idem u grad
vise nije mi guzica mlada
opet standardni ljudi
i standardno sve
makar standard nam uporno pada

Ne znam na koju foru
svi su bili na moru
kad tvornice 
vise ne rade
samo kuce su jos cijele
a ljudi se dijele
na one bez love
i onog koji krade

Ref. 2x
Nije Afrika
nije Afrika
vec je Hrvatska
zemlja daleka

Nije to tak skupo otici od kuce
jos dva - tri soma kuna
i bilo bi moguce
mali problem je u tome 
sto ne znam kamo ici
mozda trebam prvo ja ovamo stici

Reci evo mene
koga ovdje ima
jer ovo je prica 
o ljudima i psima
lopate u ruke
lopove u sume
zasto si se tako zagledala u me

Ref. 4x","https://tekstovi.net/2,1623,32981.html"
0iPNl+uu_1_2,Darko Rundek,Darko Rundek,Apokalipso,80227,"Ti si premlada
a ja sam prestar za cekanje
miris u zraku mekan je 
od kada tvoje sreo sam oci 
san ove noci pocinje

Apokalipso sviraju
crni i znojni andjeli
s cvijetom u kosi, ritam te nosi
dobicu sve sto zazelim
 
Sad uzmi mi ruku i vodi me
pred nama nisu godine
al' mogu biti najdulji sati
rado te pratim, vodi me

Andjeli nek se odmore 
a u nebeske ponore
mi cemo skupa padati znati
otvori sirom prozore

Ti si ta koju sanjam
ja sam taj kojeg oduvijek znas
vise nemamo zelja
jer sad volimo do beskraja","https://tekstovi.net/2,1623,24081.html"
0iPNl+uu_1_3,Darko Rundek,Darko Rundek,Ay Carmela,19146,"Mi smo protiv ugnjetaca
i njihovih pomagaca
legionara i fasista
ay Carmela, ay Carmela

Ref.
Zelja nam je samo jedna
da fasista vise nema
mi nemamo avione
tenkove i kamione
ay Carmela
 
Nestaje nam municije
hladan vjetar poljem brije
ay Carmela

Ne mogu nam bombe nista
ni oluja niti kisa
gdje se ova pjesma cuje
ay Carmela, ay Carmela 
tamo srce pobjedjuje
ay Carmela, ay Carmela

Ref.","https://tekstovi.net/2,1623,32965.html"
0iPNl+uu_1_4,Darko Rundek,Darko Rundek,Barbara (feat. Ekipa),526,"Ostavljam casu i posljednji dim
mekana koraka ti prilazim
u tvojim ocima tajna je velika
a tvoje ime je ritam i rijec

Barbara, Barbara, Barbara
 
Ref.
Ja volim plesati sa tobom
volim plesati sa tobom
ja volim plesati sa tobom

Sta ce mi mora, planine i dom
kad sve sto zelim je
plesati s tobom

Jedan ples, sasvim miran i tih
za sve drugo je prekasno vec

Ref.

Barbara, tvoje ime me nervira
Barbara, s tobom sam sam usred svemira
pod nasim nogama spava Amerika
i samo jedno jos moram ti reci

Da volim plesati sa tobom
volim plesati sa tobom
volim plesati sa tobom
volim plesati sa tobom

Barbara, Barbara
ti znas, ti znas","https://tekstovi.net/2,1623,63069.html"
0iPNl+uu_1_5,Darko Rundek,Darko Rundek,Clouds,3349,"Jednom, poslije hiljada i hiljada i hiljada ljeta
kad ovim svijetom bude hod'o
jedan sasvim novi
rosni ljudski rod, repat i zlatook

Otkrit' ce, pronaci dnima novih ogromnih oceana
na dnu medju algama betonska zdanja i zice 
i kraj njih zagrljene kosture u plesu s algama
a iznad njih (malo dalje), u elektricnim planktonima
cudne oblake u kojima su upisane rijeci, brojke, slike
 
Stored in the clouds, stolen in the clouds

Ref.
U njima svega ima, ljeto, jesen, zima
zlatnim oblacima, malo dalje
u tim se oblacima dimi Hirosima
sjajnim oblacima, malo dalje

U njima sve se nadje - kajanje, strah i nada
al' taj ko pozna znanje, taj zna da
u njima niceg nema, osim uspomena 

Dodji iz svijeta sjena i pogledaj me 
kao nikada, sada","https://tekstovi.net/2,1623,49719.html"
0iPNl+uu_1_6,Darko Rundek,Darko Rundek,Crni dusi,11095,"Tri su duha da te vode
da te vode iz slobode

Prvi od njih da ti laska
da si veci nego drugi
na licu ti raste maska
dodiri postaju grubi
 
Drugi kaze da ti manjka
ono sto ti netko krade
porcija ti je pretanka
jer ti iza ledja rade

Ref. 2x
Crni dusi, crni dusi
nema te, a ipak tu si

Treci je iz carstva strasti
sto u tijelu zudnju pali
piti krvi, jesti mesa
ko da je od jesti jesam

Ref. 4x","https://tekstovi.net/2,1623,32982.html"
0iPNl+uu_1_7,Darko Rundek,Darko Rundek,Don Juan,5149,"Ja nisam tu 
okreni se
tu nema nikoga
u ovoj sobi je samo tihi zrak
i nijema ikona

Tu bila je
tek blijeda sijen
iz fantazama
i nestala strmim stazama
crven trag je njen
 
Ref. 2x
A vjetar nosi
onaj svilen sal
u kome je sliven tvoga smijeha slap
i moje tuge val

Pa zapinje u krosnji
novih pitanja
odgovor ce doci
mozda ove noci
prije svitanja
izmedju zbilje i sna

Gdje te cekam ja","https://tekstovi.net/2,1623,48732.html"
0iPNl+uu_1_8,Darko Rundek,Darko Rundek,Grane smo na vjetru,34113,"Ugasi svjetlo 
i pogledaj ulice, kako sjaje
jos jedna noc, jos jedan ton

Otvori prozor, siroko
i smjesti se, tu, kraj mene
ljetu je kraj, ruku mi daj

Zapamti prizor i nikad me ne pitaj
kamo dalje

Jer,u 
grane smo na vjetru
(2x)","https://tekstovi.net/2,1623,29189.html"
0iPNl+uu_1_9,Darko Rundek,Darko Rundek,Hiawatha,4475,"U selu uz rijeku
nocas je fiesta
svjetla u vodi
svi su vec tu

Djevojke i momci stali su
na mjesta
samo Hiawatha jos je vezao
svoj kanu
 
Tko se tamo smije
nije ovo sala
njega nesto grije kada 
vidi nju

Dlanovi se znoje
jer on vjesto krije
da jos nikad nije
radio ono, sto

Od svih djecaka on u lovu 
uvijek je prvi
i za ribu uvijek nadje
gdje su najbolji crvi

Ref. 2x
Hiawatha hej
znas li da sada pada odluka
stati pored nje
il' vjecno ostati kraj potoka

On je prosao i gore
muljeve
i od vesla
vise nema zuljeve

Ref. 4x","https://tekstovi.net/2,1623,33004.html"
0iPNl+uu_1_10,Darko Rundek,Darko Rundek,Highlander,5548,"Na sajmu
izmedju standova posranih golubova
stari gospodin je pronasao dijete
malo crno dijete

Koje je s golubovima 
letjelo iznad trga 
i sletjelo u njegov dzep
 

'Ko ce ponjeti ovo dijete ako necu ja
rekao je bogati starac
 i poneo ga sa sobom na svoje imanje 
na sjeveru Skotske

Ova ruka nije mirna
ova kosa nije svila
glava neprestano svira
jer joj majmun dirigira

Ref.
To sto zeli toga nema
vani nevrijeme se sprema
on bi urlao al suti
jer ga nitko nece cuti

On je stigao sa juga
u tim ocima je tuga
srce pale ceznje vruce
ali sve je nemoguce

Nema oca, nema majke
uvijek slomi sve sto takne
sve sto bilo mu je sveto
sad je baceno u geto

Istambul na Grenlandu
pingvini sa fotoaparatima
i grenlandski Turci
jasuci na svojim bijelim medvjedima
sa plamenim macevima u ruci

Grendlandski Turci
hladnih ruku
zaledjenih brkova
reglaju
reglaju

Ref.

Nema oca, nema majke
uvijek slomi sve sto takne
sve sto bilo mu je sveto
sad je baceno u geto

A onda se tu pojavi lazni sin
nezakoniti prestolonasljednik
ciganka, dimnjacar
i dvoje lukave djecice","https://tekstovi.net/2,1623,32362.html"
0iPNl+uu_1_11,Darko Rundek,Darko Rundek,Indijanska,8000,"Tvoje je lice kao tajna
svako je oko zvijezda sjajna
rumene usne kada zbore
tad se ljuljuska moje more

Od kada tvoje lice sanjam
nema ni znanja ni neznanja
suze mi teku kao rijeka
dok na tvoj tajni poziv cekam
 
A kad se digne taj uragan
nek opet u njem budem lagan
nek u njem budem kao stijena
ljubavnim valom umivena

Kada te nema sve je zima
price o davnim podvizima
i svi su puti duboko ispod snijega
kad rijeka suti muzika je nijema","https://tekstovi.net/2,1623,33874.html"
0iPNl+uu_1_12,Darko Rundek,Darko Rundek,Indijska,2967,"Ta vecer je bila hladna
al' odlucim da odem van
jer dusa mi je bila gladna
i tijelo zeljno dodira

Lutao san dugo gradom
al' sa sasvim malo nade
kad mi ispred neke zgrade
zamirise Indija
 
Pa krenuh za nosom
tu nadjoh otvorena vrata
i nasmijane ljude
sto primise me kao brata

Zrak od finog zlatnog dima 
obojenog svijecama 
i cilim s tajnim znakovima
na kom si bosa plesala

To se valjda tako desi
u bolivudskim filmovima
sva divna ti za mene jesi
i da za tebe jesam ja

Ne izdrzah vec i sam se izuh 
i krenuh u svijet cilima
jer htio sam ti biti blizu 
i zamahnuti krilima

I poletjeti s tobom skupa
preko straha, preko zime
pridji mi i zagrli me
ti si moja Indija

Probudila me hladna soba
i zvuk dalekih koraka
na satu neko gluho doba
i zavjesa se pomakla

Jablani su tako mirni
i noc je tako zvjezdana
na jastuku je jos tvoj miris 
bez kojeg mira nemam ja","https://tekstovi.net/2,1623,49889.html"
0iPNl+uu_1_13,Darko Rundek,Darko Rundek,Ista slika (feat. Cargo Orkestar),9190,"Po tko zna koji put u zivotu 
u svojoj ludoj glavi gledas istu sliku 

Crni jahaci su stigli u selo 
crvene kapi su pale na bijelo 

Po tko zna koji put u zivotu 
u svojoj ludoj glavi on te opet gleda 
 
Po tko zna koji put u zivotu 
usred tvojih misli raste stup od leda 

Crvene kapi su pale na bijelo 
silazi vjetar i odnosi tijelo 

Umorno drustvo se srelo i sjelo 
ruze je donijela zena pod velom 

Vesele muhe su sjele na celo 
gorak za sjecanje 
sladak za jelo","https://tekstovi.net/2,1623,32385.html"
