,Song_ID,Song,Lyrics
0,hluW+yB/_1_0,Autostop,"Lutam cijeli dan rubom autostrade. I čekam da mi neko stane. Prolaze kraj mene, ne vidi me niko. Dal' zbog kose il' gitare. Znoj mi se cijedi s lica i tijela. Ja dižem ruku: Stani! Stoj!. Zašto niko neće, neće da me primi. Istrgat' ću im auto. Autostop,autostop,autostop. Autostop,autostop,autostop. Autostop,autostop,autostop. Autostop,autostop,autostop. Umor već polako sklapa mi oči. A neko mi svira i koči. Otvara mi vrata vozač kamiona. Kaže da mogu s njim poći. To je čovjek pravi, nudi mi cigare. Žali se da društvo mu fali. Put će biti dug, on dodaje gas. Starimo na autostradi"
1,hluW+yB/_1_1,Bit će bolje,"Imao sam loša iskustva, s djevojkama svim, razliku u tome u sebi vidim sad. Bio sam i previše dobar, baš uvijek fin, neiskusan, naivan i mlad. I mada sam, mnogo griješio, sve za redom, prokockao šanse. Ja još uvijek imam volje, i vjerujem bit će bolje, ja još uvijek imam volje, bit će bolje, bit će bolje"
2,hluW+yB/_1_2,Bubi,"Dobra veče ljepotice. Vidim da si sama. Imaš strašne traperice. Zavodljiva si dama. Izgledaš mi kao model. Muškog seksi magazina. Zoveš li se Mirela. Ili možda Tina. Bubi, zoveš li se Bubi. Baš si seksi Bubi. Moj tip si ti. Good night honey. I see that you're alone. You've got fancy pants. You're such a sexy lady. Pa eto vidiš Bubi. Ja sam jugo faca. Nisam francuz niti englez. Al ipak sam dasa. Bubi, zvat ću te Bubi. Baš si seksi Bubi. Moj tip si ti. Bubi, zvat ću te Bubi. Baš si seksi Bubi. Uzbuduješ me ti."
3,hluW+yB/_1_3,Čarobnjaci,"Sa tobom druguju. Iz romana stari znanci. Vitezi, lupezi. Aska, vuk i Indijanci. Ti imaš braću Grimm. I njihove strašne carolije. Ma šta će ti vračevi. Abrakadabra, magije. Čarobnjaci. Čarobnjaci baš su to. Ti nisi blesav, glup. Nećeš čuda iz šešira. Viče te privlaće. Ti heroji od papira. Štapićem čarobnim. Neka lažu druge maze. Al' tebe ne mogu. Tvoji te junaci paze"
4,hluW+yB/_1_4,Čekam da sunce zađe,Već dugo čekam zalazak sunca. Da pođem tebi na bijelome konju. Da te vidim nježnu i lijepu. U vrtu ruža na mojim grudima. Tvoje usne kao šečer. Želim ljubit sve do jutra. A onda zbogom kazat ću ti. I nikad više neću doći
5,hluW+yB/_1_5,Ciganka,"Duša traži ljubav ili nož. Dok daljine njen su tajni zov. Ludo srce njena zla je kob. Drum joj kuća, a nebesa krov. Ooo, ciganko. Ooo, ciganko. Ooo, ciganko ... Gad vilenjak zavodi je put. A za buru srca same zna. Krv na usni, a u kosi cvijet. Crne ruže i noći bez sna."
6,hluW+yB/_1_6,Cmokni me srce,"Lutkice, požuri, kasniš već. Krevet, znaj, u devet mora biti tvoj. Kraj tihog šopena uz neku knjigu laganu. Tjeraj svoje do mile volje. Kasno je. Cmokni me, srce. Pašće brijeg ledeni. Cmokni me, srce. Nismo više medeni. Lutkice, imas samo minut-dva pa da). Popravi kosu, skini noć sa džempera. Provjeri kljuć svoj, do vrata ne, ne vuci me. Ko Petar Pan odletiću. Kasno je. Ajde malo, srce. Pašće brijeg ledeni. Daj malo, srce. Nismo više medeni."
7,hluW+yB/_1_7,Da li si ikada mene voljela,"Kada dođe s brjegova, miris ranih snjegova, meni na um padneš ti. Pa se pitam šta nam bi, eh, šta nam bi od ljubavi. Da li ti se ikada, suza za mnom omakla, nepozvanog u svom snu, nađeš li me koji put. I da li si ikada mene voljela, da li si ikada mene voljela. Možda nas je zavela, igra bijelih pahulja, kunem prste sudbine, jer sve osta pitanje."
8,hluW+yB/_1_8,Dinamit,"Kao grom si ti, opasna po život. Ni div ni kralj s tobom ne bi na kraj. Tvoja riječ topovska je paljba. Da li znaš da sijećeš kao sablja. Dinamit. Baš si dinamit. Dinamit. Ti si mi sve. Ti si mi sve. Ne baš fer, kao pas i mačka. Ti radiš sve samo iz inata. Čuvaj se, organi su još strogi. Mogla bi, opeći se k'o mnogi. Dinamit. Baš si dinamit. Dinamit. Ti si mi sve. Ti si mi sve."
9,hluW+yB/_1_9,Divljakuša,"Miluje nas noć sat po sat. Uz pernat jastuk i mlak kamilice čaj. Kao anđeo iz raja si. Mirišeš na snijeg u planini. Stegnimo se sad, divljakušo. Ne treba za nas uspavanka. Ooo, divljakušo. Ooo, divljakušo. Ooo, divljakušo. Ooo, divljakušo"
10,hluW+yB/_1_10,Divlje jagode,"U malom vrtu raste divlji plod. U tom plodu sjeme čudesno. Neka ruka sjeme posija. Pet jagoda sunce obasja. Divlje jagode, divlje jagode ... Divlje jagode, divlje jagode ... Tiho rastu divlje jagode. Tek nešto vode prati njihov put. Sve prolazi a mi ne bi htjeli. Još divljega dok ima u nama"
