Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
6QUk9BaE_1_0,Goran Karan,Goran Karan,Ako to je sve,7885,"Ako to je sve, divno bilo je
ako vrijeme je, odlazim miran
ako zoves me preko rijeke te 
idem pred tebe spokojne duse

Ako kraj je tu, cuj jos ovaj put
pjesmu posljednju, molitvu moju 
 
Ref. 2x
Hvala ti za sve, sve sto bilo je 
dobre godine i poljupce njezne 
hvala ti za sve, teske istine
sram i poraze, rane od ljubavi 

Ako to je sve, ne zalim ni tren 
trazio sam te, sad sam ti blizu 
ako volis me, iza zavjese
nek' je zadnja rijec za tebe samo 
za tebe samo 

Ref. 2x","https://tekstovi.net/2,238,47516.html"
6QUk9BaE_1_1,Goran Karan,Goran Karan,Andjele,61077,"S onim tvojim jos te vidjaju, ma lako to
jer moje ti se oci svidjaju i to je to

Jedan osmijeh preko puta
tajni pogled dug i vruc
da smo sami pet minuta
od srca svog dala bi kljuc
 
Ref.
Andjele, reci s kim si nocas spavala
andjele, kom si moje usne davala
andjele, andjele
nista me ne boli ako on te voli vise nego ja

Njegove te oci vrebaju, lako to
jer ti moje usne trebaju i to je to

Jedan osmijeh preko puta
tajni pogled dug i vruc
da smo sami pet minuta
od srca svog dala bi kljuc

Ref.

Malo mi je jedan dan
malo mi je jedna noc
malo mi je cijeli vijek
ja bi zauvijek, ja bi zauvijek

Ref.","https://tekstovi.net/2,238,25921.html"
6QUk9BaE_1_2,Goran Karan,Goran Karan,Bas me briga,1016,"Moga´ san vise, moga´ san duze
bilo je jace i pisme i vina
moga´ san lakse, moga´ san brze
moga´ san uzet´ bez da san pita´

Moga´ san vise, moga´ san lakse
al´ boje nisan
ovo je moje, taman, za dvoje
za jubav mira
 
Ref.
I bas me briga ´ko sta misli
sta ce za nas kazat´ svit
di bi stiga´ kad bi slusa´ 
svaku tudju ric

Ma, bas me briga, sta mi fali
to sta iman, traze svi
more i ja, dusa piva
pokraj tebe nista ne fali
nista ne fali

Moga´ san ludje, moga´ san zesce
bilo je puten i drace i cvica
moga´ san tudje, moga´ san cesce
ma, ne bi bila sritna mi prica

Moga´ san ludje, moga´ san tudje
al´ boje nisan
ovo mi nase najboje pase
za jubav mira

Sve sta imamo
lipo, sesno, maleno
srcen gledamo
kad se jubimo

Ref.","https://tekstovi.net/2,238,63581.html"
6QUk9BaE_1_3,Goran Karan,Goran Karan,Bijele zastave,19977,"Vjetar nosi dan, sve mirise na tebe
dug je bio put od sebe do sebe
prosao sam sve, preko vatre, preko sjene
ti si ta za mene

Ref.
Bijele zastave dizem u nebo
bijele zastave od ljubavi
moja dusa je tvoja dusa 
sunce izlazi
 
More govori na tvoja vrata kuca
otvara se krug, cujem glasove srca
a prosao sam sve 
preko vatre, preko sjene
ti si ta za mene

Ref.
Bijele zastave dizem u nebo
bijele zastave od ljubavi
moja dusa je tvoja dusa 
sunce izlazi

Zemlja miruje i dolazi vedrina 
a u ocima oluja i tisina
prosao sam sve, preko vatre, preko sjene
ti si ta za mene","https://tekstovi.net/2,238,9097.html"
6QUk9BaE_1_4,Goran Karan,Goran Karan,Bila pisma (Nasa bila storija) (i prijatelji),551,"Tiho pojte, grdelini
Marjane, laku noc
ja cu cekat' na skalini
rekla je da ce doc'

Ref.
Sveti Duje moj
zvone zvona tvoga grada
ka najlipja serenada
o' jubavi ta balada
 
Sveti Duje moj
zvone zvona o' vincanja
ka najlipja serenada
bila pisma moga Grada

Tiho pojte, grdelini
Splite moj, laku noc
pismon svitle svi djardini
rekla je da ce doc'

Ref.

Sveti Duje moj","https://tekstovi.net/2,238,62243.html"
6QUk9BaE_1_5,Goran Karan,Goran Karan,Bilo cvice,10464,"Kada Sunce za mnom zadje
ja ti necu reci zbogom
moja jube

Kada lipi dani prodju
ti ne placi, budi stina
moja jube
 
Ref.
Bilo cvice ti posadi
ne daj da mu vitri pusu
cuvaj ga ka moju dusu

Bilo cvice ti posadi
da na Uskrs kad procvita
ja te ljubim s oneg svita

Bilo cvice moja jube

Kada moji po me dodju
ti ne placi, budi stina
moja jube

Ref. 2x","https://tekstovi.net/2,238,20826.html"
6QUk9BaE_1_6,Goran Karan,Goran Karan,Covik tvoj,5099,"Ne pitaj, vidis sve
pamtim i bolje dane
kad si moja bila
 kad si mene tila
jubit cili zivot svoj

Ne pitaj, recu sve
bez tebe cvica nima
rasuja sam zlato
bacija u blato
to sta vridi najvise
 
Ref.
Ruza i kriz od ljubavi
na srcu friz, oprosti mi
covik sam tvoj i samo tvoj
nek cuje Bog iz srca mog
zauvik tvoj
pred svima samo tvoj
ja covik tvoj

Ne pitaj, vrati se
samo se tebi nadam
dusu mi odrisi
suze mi obrisi
vrati meni zivot moj

Ref.","https://tekstovi.net/2,238,41192.html"
6QUk9BaE_1_7,Goran Karan,Goran Karan,Cvijet medju stijenama,13874,"Otvori srce sirom kao prozore
ne slusaj uvijek sto to ljudi govore
udahni polako
i pusti da nosi te struja

Ja cu te cekat' s druge strane mjeseca
nek' ti se put sa mojim putem presijeca
ucinit' ce ljubav da sve
prodje bez oluja
 
Ref.
Jer ti si ta medju svim zenama
jedina, k'o cvijet medju stijenama
ti si ta i ja te prepoznajem, jedina
ja tebi se predajem

Mnoge su zene
posjetile zivot moj
i ne sjecam se svake
reci grad i broj

I uvijek ce ime mi tvoje
na usnama stati
sad samo pusti nesto staro
razbij muk

Nek nam do srca dodje
dobro poznat zvuk
zaroni u oci, k'o zivot
kroz vene mi prodji

Jer ti si ta medju svim zenama
jedina, k'o cvijet medju stijenama
jer ti si ta i ja te prepoznajem, jedina

Tu ne postoji laz, istina vodu pije
uzmi me bit' cu tvoj kralj
kraljica bila si i prije

Ref.","https://tekstovi.net/2,238,11894.html"
6QUk9BaE_1_8,Goran Karan,Goran Karan,Da me pojubis,18347,"Evo se vuku kasne litnje ure
ja mira niman, krv tilon vrije
ka vitar kliznija bi ti kroz skure
da te probudin ka niko prije

I da ti recen koliko te jubin
svi pusti libri bili bi malo
a da se stisnes tu uz moje grudi
bez jedne rici sve bi se znalo
 
Najliplja medju svim lipima
usne mi svoje daj

Ref.
Da me pojubis, da te pojubin 
pitali bi posto svit 
da me pojubis, da te pojubin 
pivali bi andjeli 

Da me pojubis, da te pojubin 
nima tega ca ti ne bi da 
misec i zvizde ca nebon klize 
sve bi ti skinija 

Od srice cilo srce bi bilo 
kad bi me jubila 

Jo da je malo po' tvoje lancune 
posteja tepla tajne ti skriva 
duse i tila najlipje bokune 
ti imas ono ca meni triba 

Najlipsa medju svim lipima 
usne mi tvoje daj 

Ref. 2x
","https://tekstovi.net/2,238,19604.html"
6QUk9BaE_1_9,Goran Karan,Goran Karan,Da mi se providi,11532,"Da mi se providi da cu te izgubit
skoncao bi tuzan prije nego odes
prije nego pustim drugome te ljubit
prije nego nozem srce mi izbodes

Ref.
Da mi se providi jutro bez tvog jutra
zar bi iceg bilo da mi krv uzmisa
zakopan u tebi ne budem li sutra
nek me 'ladna ploca pokrije i stisa
 
Da mi se providi da mi te ne bude
pustio bi suze da mi te isplacu
dani bez tvog lica neka mi dosude
misto ruzmarina samo ljutu dracu

Ref.","https://tekstovi.net/2,238,19027.html"
6QUk9BaE_1_10,Goran Karan,Goran Karan,Dalmatinske suze,11924,"Lipa si zemjo moja
ma za me kruva nimas
doli za mulon je leut
vec jidra dize…

Zato mi vaja partit
di nikog svoga niman
ostavit vesla na zalu
i prazne mrize…
 
Ref.:
Zbogon tebi moje plavo more
nek te jubi galeb bili!
Zbogon klapo, zbogon lipe zore
kad smo skupa sritni bili!

Pivan ti pismu
ka suzu za kraj
pismu za oprostaj!
Pivan ti pismu
ka suzu za kraj
suzu za oprostaj!

Ostavjan jubav moju
o njoj mi pisi mati
da li je usnila sricu
il za mnon pati.

Ref. 

Rasula se bilin sviton
ova dusa dalmatinska
pa je niko skupit nece
samo pisma kad potece.

Gorka si zemljo moja,
ma za me druge nima… 

Ref.","https://tekstovi.net/2,238,16842.html"
