Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Written-By_discogs,Arranged By [Brass]_discogs,Trumpet_discogs,Drums_discogs,Saxophone [Solo]_discogs,Backing Vocals_discogs,Arranged By_discogs,Synthesizer_discogs,Talking Drum_discogs,Saxophone [Alto]_discogs,Percussion [Cuíca]_discogs,Organ_discogs,Congas_discogs,Panpipes [Zampoña]_discogs,Performer_discogs,Flute [Kena]_discogs,Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Haustor,Haustor,Radio,,Darko Rundek,Srđan Sacher,Radio,1981.0,,,,,,,,,,,,,,,,,,1981.0-Radio,1981.0-Radio/nan-Haustor/nan-Ulje Je Na Vodi/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Crni Žbir,,,,Radio,1981.0,Darko Rundek,,,,,,,,,,,,,,,,,1981.0-Radio,1981.0-Radio/nan-Haustor/nan-Ulje Je Na Vodi/nan-Original Album Collection
Haustor,Haustor,Moja Prva Ljubav,,,,Moja Prva Ljubav / Pogled U BB,,,,,,,,,,,,,,,,,,,nan-Moja Prva Ljubav / Pogled U BB,nan-Moja Prva Ljubav / Pogled U BB/nan-Haustor/nan-1981. - 1988./nan-Ulje Je Na Vodi/nan-1981. 1984. 1985. 1988./1996.0-Paket Aranžman - Boje Su U Nama/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Pogled U BB,,,,Moja Prva Ljubav / Pogled U BB,,,,,,,,,,,,,,,,,,,nan-Moja Prva Ljubav / Pogled U BB,nan-Moja Prva Ljubav / Pogled U BB/nan-Ulje Je Na Vodi/2008.0-The Ultimate Collection/nan-Greatest Hits Collection
Haustor,Haustor,Mijenjam Se,,,,Haustor,,,,,,,,,,,,,,,,,,,nan-Haustor,nan-Haustor/nan-Ulje Je Na Vodi/nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Tko Je To,,Darko Rundek,Srđan Sacher,Haustor,,,,,,,,,,,,,,,,,,,nan-Haustor,nan-Haustor/nan-1981. 1984. 1985. 1988./nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,'60 - '65,,,,Haustor,,,Jurij Novoselić,Denis Konir,,,,,,,,,,,,,,,nan-Haustor,nan-Haustor/nan-Ulje Je Na Vodi/2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Noć U Gradu,,,,Haustor,,,,,,,,,,,,,,,,,,,nan-Haustor,nan-Haustor/2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Duhovi,,Darko Rundek,Darko Rundek,Haustor,,,,,,,,,,,,,,,,,,,nan-Haustor,nan-Haustor/nan-Ulje Je Na Vodi/nan-Ulje Je Na Vodi/nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Lice,,Darko Rundek,Darko Rundek,Haustor,,,,,,,,,,,,,,,,,,,nan-Haustor,nan-Haustor/nan-Ulje Je Na Vodi/nan-Original Album Collection
Haustor,Haustor,Majmuni I Mjesec,,,,Zima / Majmuni I Mjesec / Capri,1982.0,,,,,,,Srđan Gulić,,,,,,,,,,,1982.0-Zima / Majmuni I Mjesec / Capri,1982.0-Zima / Majmuni I Mjesec / Capri/nan-Ulje Je Na Vodi
Haustor,Haustor,Zima,,,,Zima / Majmuni I Mjesec / Capri,1982.0,,,,,,,Nikola Santro,,,,,,,,,,,1982.0-Zima / Majmuni I Mjesec / Capri,1982.0-Zima / Majmuni I Mjesec / Capri/2008.0-The Ultimate Collection
Haustor,Haustor,Capri,,,,Zima / Majmuni I Mjesec / Capri,1982.0,,,,,,,Damir Prica,,,,,,,,,,,1982.0-Zima / Majmuni I Mjesec / Capri,1982.0-Zima / Majmuni I Mjesec / Capri/nan-Ulje Je Na Vodi
Haustor,Haustor,Neobičan Dan,3:50,,,Treći Svijet,,,,,,,,,,,,,,,,,,,nan-Treći Svijet,nan-Treći Svijet/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./1996.0-Paket Aranžman - Boje Su U Nama/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Zadnji Pogled Na Jeršaleim,5:53,,,Treći Svijet,,,,,,,,,Ivo Lesić,Željko Brodarić Jappa,,,,,,,,,nan-Treći Svijet,nan-Treći Svijet
Haustor,Haustor,Babilonske Baklje,5:00,,,Treći Svijet,,,,Ivica Lozić,,,,,,Željko Brodarić Jappa,Siniša Kovačić,,,,,,,,nan-Treći Svijet,nan-Treći Svijet/2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Patuljci U Vrtu,4:58,,,Treći Svijet,,,,,,,,,,,,,,,,,,,nan-Treći Svijet,nan-Treći Svijet/nan-Original Album Collection
Haustor,Haustor,Radnička Klasa Odlazi U Raj,3:05,,,Treći Svijet,,,,,,,,,,,Jurij Novoselić,Stanko Juzbašić,,,,,,,nan-Treći Svijet,nan-Treći Svijet/nan-Ulje Je Na Vodi/nan-Ulje Je Na Vodi/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Donje Strane Munje,3:56,,,Treći Svijet,,,,,,,,,,,,,Ivo Lesić,,,,,,nan-Treći Svijet,nan-Treći Svijet/nan-1981. 1984. 1985. 1988./nan-Original Album Collection
Haustor,Haustor,Skriven Iza Lažnih Imena,5:00,,,Treći Svijet,,,,,,,,,,,,,,Željko Brodarić Jappa,Robert Lovrić,,,,nan-Treći Svijet,nan-Treći Svijet/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Treći Svijet,5:41,,,Treći Svijet,,,,,,,,,,,,,,,Robert Lovrić,,,,nan-Treći Svijet,nan-Treći Svijet/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Ena,3:53,,,Ena ,1985.0,,,,,,,,,,,,,,,,,,1985.0-Ena ,1985.0-Ena /nan-Bolero/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./1996.0-Paket Aranžman - Boje Su U Nama/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Take The Money And Run,4:22,,,Ena ,1985.0,,,,,,,,,,,,,,,,,,1985.0-Ena ,1985.0-Ena /nan-Bolero/nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Početak,,,,Jugoton Express,1985.0,,,,,,,,,,,,,,,,,,1985.0-Jugoton Express,1985.0-Jugoton Express/1985.0-Jugoton Express
Haustor,Haustor,Nastavak,,,,Jugoton Express,1985.0,,,,,,,,,,,,,,,,,,1985.0-Jugoton Express,1985.0-Jugoton Express/1985.0-Jugoton Express
Haustor,Haustor,Bolero,5:25,,,Bolero,,,,,,,,,,,,,,,,,,,nan-Bolero,nan-Bolero/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Original Album Collection
Haustor,Haustor,TV Man,5:47,,,Bolero,,,,,,,,,,,,,,,,,,,nan-Bolero,nan-Bolero/1996.0-Paket Aranžman - Boje Su U Nama
Haustor,Haustor,Sejmeni,4:06,,,Bolero,,,,,,,,,,,,,,,,,,,nan-Bolero,nan-Bolero/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Ja Želim,3:04,,,Bolero,,,,,,,,,,,,,,,,,,,nan-Bolero,nan-Bolero/nan-1981. - 1988./nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Šejn,4:44,,,Bolero,,,,,,,,,,,,,,,,,,,nan-Bolero,nan-Bolero/nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Šal Od Svile,5:45,,,Bolero,,,,,,,,,,,,,,,,,,,nan-Bolero,nan-Bolero/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Ula Ulala,3:47,,,Ula Ulala / Skidaj Se,1988.0,,,,,,,,,,,,,,,,,,1988.0-Ula Ulala / Skidaj Se,1988.0-Ula Ulala / Skidaj Se/nan-Tajni Grad/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./1996.0-Paket Aranžman - Boje Su U Nama/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Skidaj Se,3:43,,,Ula Ulala / Skidaj Se,1988.0,,,,,,,,,,,,,,,,,,1988.0-Ula Ulala / Skidaj Se,1988.0-Ula Ulala / Skidaj Se/nan-Tajni Grad/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Uzalud Pitaš,,,,Tajni Grad,,,,,,,,,,,,,,,,,Robert Lovrić,,nan-Tajni Grad,nan-Tajni Grad/nan-1981. - 1988./nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Nada,,,,Tajni Grad,,,,,,,,,,,,,,,,,,Branko Bogunović,nan-Tajni Grad,nan-Tajni Grad/1996.0-Paket Aranžman - Boje Su U Nama/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Tajni Grad,,,,Tajni Grad,,,,,,,,,,,,,,,Robert Lovrić,,,,nan-Tajni Grad,nan-Tajni Grad/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Bi Mogo Da Mogu,,,,Tajni Grad,,,,,,,,,,,,,,,,,,,nan-Tajni Grad,nan-Tajni Grad/2008.0-The Ultimate Collection/nan-Original Album Collection/nan-Greatest Hits Collection
Haustor,Haustor,Čudne Misli,,,,Tajni Grad,,,,,,,,,,,,,,,,,,,nan-Tajni Grad,nan-Tajni Grad/nan-Original Album Collection
Haustor,Haustor,Samo Na Čas,,,,Tajni Grad,,,,,,,,,,,,,,,,,,,nan-Tajni Grad,nan-Tajni Grad/nan-1981. 1984. 1985. 1988./2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Uhode,,,,Tajni Grad,,,,,,,,,,,,,,,,,,,nan-Tajni Grad,nan-Tajni Grad/2008.0-The Ultimate Collection/nan-Original Album Collection
Haustor,Haustor,Bi' Mogo Da Mogu,,,,1981. - 1988.,,Darko Rundek,,,,,,,,,,,,,,,,,nan-1981. - 1988.,nan-1981. - 1988./nan-1981. 1984. 1985. 1988.
Haustor,Haustor,Take The Mony And Run,,,,1981. - 1988.,,Darko Rundek,,,,,,,,,,,,,,,,,nan-1981. - 1988.,nan-1981. - 1988.
Haustor,Haustor,Uvod,2:33,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi
Haustor,Haustor,Pali I Vuci,1:49,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi
Haustor,Haustor,Tko Je To Bio Djeco?,1:59,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi/nan-Ulje Je Na Vodi
Haustor,Haustor,Podne,3:24,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi
Haustor,Haustor,Cijeli Svijet Je Bolestan,2:02,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi
Haustor,Haustor,Kad Mi Pukne Film,4:20,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi
Haustor,Haustor,Da Je S Čisteg Vina Morje,0:50,,,Ulje Je Na Vodi,,,,,,,,,,,,,,,,,,,nan-Ulje Je Na Vodi,nan-Ulje Je Na Vodi
