,Song_ID,Song,Lyrics
0,igNyBvbR_1_0,'60 - '65,"Zelio bih kupit' kucu, u Bosutskoj 27a, dva' sedam. Proljece kad stigne, 23. ozujak, travanj, stolicu iznesem na verandu. Drvenu u tamnom laku, s naslonom i udubljenjem, kakve se jos uvijek nadje, u uredima, opcinama. Zelio bih kupit' kucu, u Bosutskoj 27a, dva' sedam"
1,igNyBvbR_1_1,Babilonske Baklje,"Pošlo je tristo godina. Opet sam tu, na tvom pragu. Zagledan u oči tvoje. Bistre tvoje crne iskre, prezrene. Uzmi me. Sve me moje bijele dame varaju. Uzmi me. Tvoj me tamni bubanj mami. Jer kud ti prođeš. Babilonske baklje tek tinjaju. A za tobom samo zvijezde jezde i igraju. Uzmi me. Tvoje crno sjeme to sam ja. Uzmi me. Tvoj me tamni bubanj mami. Jer kad smo skupa. Babilonske baklje tek tinjaju. A za nama samo zvijezde jezde i igraju. I utrni babilonske baklje, nek tinjaju. Nek za nama samo zvijezde. Jezde i igraju"
2,igNyBvbR_1_2,Bi' mogo da mogu,"Uvijek sam, a nikad do kraja. Večer u gradu ti donese neki lijek. U nekom kutu gdje. Samoća se zbraja. Uvijek s malo premalo para, Kad upale se svjetla, ode dim. A miris noći opet postaje stvaran. Ko' mnogo puta do sada. On sanja, kako beskrajno pada. . Bilo je rano jutro tada. Kad je ostavio sve. Čulo se samo kako ptice pjevaju. Onda je stajao još dugo. S druge strane ulice. Pustio suze da se same slijevaju. Ja bi' mogo da mogu. Ja bi' znao da znam. "
3,igNyBvbR_1_3,Bolero,"Osjećam. Nešto je u meni. Osjećam. Čudni rhythm. Ko' da silazi k nama sa zvijezda. Još nema ni ime. I bubnja u tami. Pogledaj. Koliko ljudi vani. Pogledaj. Sva ta čudna lica. Oni idu niz ulice. Ajmo i mi s njima. Oni gledaju. Tako čudno bistro i. Oni slušaju. I ništa nije isto. Svi su došli da pozdrave ljude. Da skinu kapute. Da osjete ritam i plešu. Bolero. What is rhythm?. Is that rhythm?, repeat). Večer je. O kako čudno veče. Večer je. Čudno veče. Noć je topla i miriše. Jorgovan u vrtu. A-a nije to. Pogledaj. Koliko ljudi vani. Pogledaj. Svi su došli da pozdrave ljude. Da skinu kapute. Da osjete ritam i plešu. Bolero. What is rhythm?. Is that rhythm?, repeat)"
4,igNyBvbR_1_4,Cijeli svijet je bolestan,"Ne dam da me vide kako se smijem. Muska ja sam svinja, pljujem ja na zene, ljubav je za mulce, ne jebe to mene. Skuzio sam foru, ne pusim ja vise, nicem' se ne nadam, nemam utociste. Cijeli svijet je bolestan, cijeli svijet je pokvaren, cijeli svijet je za kurac. Stari stalno sljaka, stara pere sudje, vikendicu grade, karcinom ih glodje. U se, na se i poda se, glavne su im fore, ne jebem ih vise, ne jebem ih vise"
5,igNyBvbR_1_5,Crni zbir,"Bijele dane sve nedjelje, kad je mir, crni zbir, zbira. Hude udese ljubavi, prati on svoj rejon, zbilja. Modre zavjese, sutone, kucni mir, crni zbir, zbira. Mokru siju protegne u zrak, masni prsti pipaju kroz mrak, on je svuda. Bijele dane progutat' ce mrak, sitni prsti pipaju kroz zrak, on je svuda"
6,igNyBvbR_1_6,Čudne misli,"Posjetile su me cudne misli. Bas je ovo neki cudan kraj. Dati cu ti znak a ne vidis li. Reci cu ti samo bye, baby bye. Ja sam razbludni sin. Sama magla i dim. Mokrih cipela gradom prolazim. Kao dosadni film. Ja ti govorim korakom. Tko zna kako daleko odlazim"
7,igNyBvbR_1_7,Da je s cisteg vina morje,"Da je s cisteg vina morje, pak da je kak' Medjimorje, lefko bi ga spil', al' bi ipak za njom plakal, sivim sozom brk namakal, zalosten bi bil. Ma da ja imam crne kojne, ofcas bi se vozil dojne, hintov bi zastavil z mukom, brk protegnul gore z rukom, jabuku joj dal. Je, svega tog ja nema, glec birtas mi stolac sprema, vu noc moram it, zlemal bum joj gavalera, poved kog' me otec tera, pa pem dalje pit"
8,igNyBvbR_1_8,Donje strane munje,Izmišljene misli. Stražari dolaze i odlaze. Na stolu izlizane karte i miris. Dosade. Mi smo uvijek isti. Luđake dovoze i odvoze. Pod klupom sličice iz mašte za ratne godine. Ostani u sjeni. Donje strane munje. Nad nama nemiri i svemiri. Još sviću rujna radna jutra. I strme večeri. Zubi su u čaši
9,igNyBvbR_1_9,Duhovi,"Strofa 1]. Pošli smo na izlet skupa. U subotu i ja i Pišta. Srce nam od sreće lupa. Popili smo tri gemišta. Strofa 2]. Ostavili smo decu, žene. Sobom zeli luk i jeger. Demižonke opletene. Sakrili u gepek treger. Strofa 3], Divan dan"", zadere se Pišta. I pohotno stisne volan. Otvaram vrata od dvorišta. Na radiju zeleni maligan. Strofa 4]. Meknite se sa gorje. Da se bu videlo Zagorje. Meknite se sa gorje. Idemo vu Zagorje. Vu Zagorje. Strofa 5]. Crvena Škoda po bregima juri. Zavoji ko valcer bečki. Vino nam niz gubec curi. Pišta i ja smo opet dečki. Strofa 6]. Celi dan smo popivali. Vesele popevke stare. A navečer parkirali. Pri krčmi kod tužne Bare. Strofa 7]. Vani pala vlažna kmica. Nigdje blizu nema hiže. Birtija ko sada bitna. Sad nas vleče k sebi bliže. Entr'acte]. E, Pišta. E, Pišta. E. Pišta. E, he, hej. Pišta. Pišta. Pišta. Eno, birtija. Bridge]. Pišta me hudo pogleda. I njemu nekaj prejti neda. I njega nekaj sebi vleče. Nekaj od birtije veće. Nekaj od pijače jače. Outro]. Stanica s pogledom na kukuruz. Bicikl naslonjen na nabijeljenu topolu. U nekoj kancelariji zvoni telefon. Dijete bi napisalo, dijete bi napisalo. Nebo je nježno plavo. Po njemu lete oblaci i ptice. Lišće mi se igra oko nogu. Dolazi jesen"""
10,igNyBvbR_1_10,Ena,"Ja svoje loše dane volim gristi sam. Piti i lutati po krčmama. Al' često stignem samo do njenog pogleda. Ena je divna žena, Ena dobro zna. Da takvi dani svrše s gužvama. Zato me zove sebi da bi mi pomogla. Ja Ena nisam tvoj sin, zapamti to. To možeš raditi s njim. Za mene je već kasno. Znam da bi Ena htjela da sam stalno njen. Valjda jer tako često nestanem. Ona me uvijek ima u svojim mislima. A kad joj želim reći da je bolji kraj. Od naših bjegova i zasjeda. Ena me samo gleda i kaže: da, da, da. I ne idi bez kaputa. Pogledaj, sve je bijelo, zima je. Ja Ena nisam tvoj sin, zapamti to. To možeš raditi s njim. Za mene je već kasno. Prošlo je dugo vrijeme i daleki bijeg. I mada nemam čak ni imena. Ja često sretnem Enu u svojim snovima. Kad svoje loše dane ovdje grizem sam. I sretnem putnike po krčmama. Ja pitam dal' je znaju i je li ponosna. Kažu da još je lijepa i da ima stav. Al' često čak i kad je vesela. Opaze plavu sjenu u crnim očima. Ja Ena nisam tvoj sin, zapamti to. To možeš raditi s njim. Za mene je već kasno. Do mene nema puta. Pogledaj, sve je bijelo, zima je."
11,igNyBvbR_1_11,Ja želim,"Ja želim tako smiješno malo. U par njenih osmijeha sve bi stalo. Samo nemoj reći da tražim sve. Bez tebe sve je tako prazno. Osjećam snažno da sve je lažno. Ostani sa mnom, jer trebam te. Kud god da krenem. Ja nosim noć u očima. Kud god da krenem. Ja imam led u grudima."
12,igNyBvbR_1_12,Kad mi pukne film,"U svakom gradu su, najbolje su stvari za njih, klinci im furaju Kawa-Kawasaki. Citaju strane revije, misle po modi, cesto im veli mama Cecilija, mi smo ti, ferete, bolja familija. Na moru sjede u super hotelu, kuhaju im jastoga i ribu cijelu, i sluze, i sluze. U mracnoj noci se suljam, i ne krijem da sam pijan, u mracnoj noci, kada me niko ne poznaje. Ja imam stotinu lica, i ko bi ih sve znao, moje lice je puna dvojka, moje lice je miris sljakera popodne u tri. U kisno jutro, rano u pet, ostavljam zenu i topli krevet, pa, spavam na nogama, spavam na nogama. Industrijalci, svi poslovni im partneri, sefovi, direktori i sluzbeni mercedesi, kravate, kavice i macke sekretarice, hoteli luksuzni, bankovni svi prostori. Sve crne taske i pametne glave, dok ptice letece u nebeske plave visine, u visine, u visine, u visine. Kad mi pukne film"
13,igNyBvbR_1_13,Lice,"Moje lice je kvalitetno, i nikad me ne oda, moje lice je vrlo vrijedno, i ja mu poznam cijenu. Cesto mu se divim, dok ispred mene hoda, ovakvo se lice rijetko, dobiva na dar. Ono je plod golemog truda, mog i mojih roditelja, tesko se prlja, i nema skupih zelja. Iza njega sjedim sam u kutu, i kuckam malim cekicem po zidu"
