Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
igNyBvbR_1_0,Haustor,Haustor,'60 - '65,9388,"Zelio bih kupit' kucu
u Bosutskoj 27a 
dva' sedam

Ref.
Proljece kad stigne 
23. ozujak, travanj
stolicu iznesem na verandu
 
Drvenu u tamnom laku
s naslonom i udubljenjem
kakve se jos uvijek nadje
u uredima, opcinama

Ref.

Zelio bih kupit' kucu
u Bosutskoj 27a 
dva' sedam

Ref.","https://tekstovi.net/2,177,31834.html",,,,,,,
igNyBvbR_1_1,Haustor,Haustor,Babilonske baklje,5295,"Proslo je tristo godina
opet san tu na tvom pragu
zagledan u oci tvoje
bistre tvoje, crne iskre prezrene

Uzmi me
sve me moje bijele dame varaju
uzmi me
tvoj me tamni bubanj mami
 
Ref.
Jer, kud ti prodjes
babilonske baklje tek tinjaju
a za tobom samo zvijezde
jezde i igraju

Uzmi me
tvoje crno sjeme-to sam ja
uzmi me
tvoj me tamni bubanj mami

Ref. 2x

Jer, kad smo skupa
babilonske baklje tek tinjaju
a za nama samo zvijezde
jezde i igraju

Ref. 4x

Utrni, babilonske baklje nek' tinjaju
nek' za nama samo zvijezde
jezde i igraju","https://tekstovi.net/2,177,39674.html",,Babilonske Baklje,,The Ultimate Collection,"Pošlo je tristo godina
Opet sam tu, na tvom pragu
Zagledan u oči tvoje
Bistre tvoje crne iskre, prezrene. Uzmi me
Sve me moje bijele dame varaju
Uzmi me
Tvoj me tamni bubanj mami. Jer kud ti prođeš
Babilonske baklje tek tinjaju
A za tobom samo zvijezde jezde i igraju. Uzmi me
Tvoje crno sjeme to sam ja
Uzmi me
Tvoj me tamni bubanj mami. Jer kad smo skupa
Babilonske baklje tek tinjaju
A za nama samo zvijezde jezde i igraju. I utrni babilonske baklje, nek tinjaju
Nek za nama samo zvijezde
Jezde i igraju",,https://lyricstranslate.com/en/haustor-babilonske-baklje-lyrics.html
igNyBvbR_1_2,Haustor,Haustor,Bi' mog'o da mogu,29526,"Uvijek sam, a nikad do kraja
vecer u gradu ti donese neki lijek
u nekom kutu gdje
samoca se zbraja

Uvijek s' malo premalo para,
kad upale se svijetla, ode dim
a miris noci opet postaje stvaran
 
K'o mnogo puta do sada
on sanja, kako beskrajno pada

Ref.
Bilo je rano jutro tada 
kad je ostavio sve
culo se samo kako ptice pjevaju
onda je stajao jos dugo
s' druge strane ulice
pustio suze da se same slijevaju

Ja bi mog'o da mogu
ja bi' znao da znam

Ref.","https://tekstovi.net/2,177,1917.html",,Bi' mogo da mogu,I would if I could,,"Uvijek sam, a nikad do kraja
1
Večer u gradu ti donese neki lijek
U nekom kutu gdje
Samoća se zbraja. Uvijek s malo premalo para,
Kad upale se svjetla, ode dim
A miris noći opet postaje stvaran. Ko' mnogo puta do sada
On sanja, kako beskrajno pada. (Refren)
Bilo je rano jutro tada
Kad je ostavio sve
Čulo se samo kako ptice pjevaju
Onda je stajao još dugo
S druge strane ulice
Pustio suze da se same slijevaju. Ja bi' mogo da mogu
Ja bi' znao da znam. (Refren)","Forever alone, but he never reaches the end
The night in town can bring some cure to him
In a place somewhere
Where loneliness collects itself. Forever broken without money
When the lights had turned on then a smoke vanished
And the scent of night became veritable. As many times before
He dreams a dream how he is falling endlessly. Ref.
It was an early morning
When he left all
He could hear only the birds singing
Then he stood a long time
Across the street
and he let the tears stream down his face. I would if I could
I would know if I could know. Ref.",https://lyricstranslate.com/en/bi039-mogo-da-mogu-i-would-if-i-could.html
igNyBvbR_1_3,Haustor,Haustor,Bolero,9633,"Osjecam
nesto je u meni
osjecam
cudni rhythm

K'o da silazi k nama
sa zvijezda
jos nema ni ime
i bubnja u tami
 
Pogledaj
koliko ljudi vani
pogledaj
sva ta cudna lica

Oni idu niz ulice
'ajmo i mi s njima
to je to

Oni gledaju
tako cudno, bistro
i oni slusaju
i nista nije isto

Ref.
Svi su dosli
da pozdrave ljude
da skinu kapute
da osjete rhythm

What is rhythm
is that rhythm

Vecer je
o, kako cudno vece
vecer je
cudno vece

Noc je topla
i mirise
jorgovan u vrtu
a-a nije to

Pogledaj
koliko ljudi vani
pogledaj
vise nismo sami

Ref.","https://tekstovi.net/2,177,39675.html",,Bolero,Bolero,Bolero,"Osjećam
1
Nešto je u meni
Osjećam
Čudni rhythm
Ko' da silazi k nama sa zvijezda
Još nema ni ime
I bubnja u tami. Pogledaj
Koliko ljudi vani
Pogledaj
Sva ta čudna lica
Oni idu niz ulice
Ajmo i mi s njima. Oni gledaju
Tako čudno bistro i
Oni slušaju
I ništa nije isto
Svi su došli da pozdrave ljude
Da skinu kapute. Da osjete ritam i plešu
Bolero. What is rhythm?
Is that rhythm?
(repeat). Večer je
O kako čudno veče
Večer je
Čudno veče
Noć je topla i miriše
Jorgovan u vrtu
A-a nije to. Pogledaj
Koliko ljudi vani
Pogledaj
Svi su došli da pozdrave ljude
Da skinu kapute. Da osjete ritam i plešu
Bolero. What is rhythm?
Is that rhythm?
(repeat)","I feel that
There's something in me.
I feel
strange rhythm
as it comes to us from the stars.
It has no name yet,
And beats like drums in the dark. Look,
How many people are out there
Look at
All those strange faces.
They walk down the street.
Let's go with them and we too.. They look
So strangely clear and
they listen.
And everything isn't the same (as it did).
They all came to greet people,
To take off their coats.. To feel the rhythm and to dance
Bolero.. What is rhythm?
Is that rhythm?
(repeat). It's the evening.
Oh how strange is the evening.
It's the evening,
it's strange evening.
The night is warm and
Lilac smells in the garden
But it isn't that/right. Look,
How many people are out there.
Look,
They all came to greet people,
To take off their coats.. To feel the rhythm and to dance
bolero.. What is rhythm?
Is that rhythm?
(repeat)",https://lyricstranslate.com/en/bolero-bolero.html
igNyBvbR_1_4,Haustor,Haustor,Cijeli svijet je bolestan,5642,"Ne dam da me vide kako se smijem

Muska ja sam svinja
pljujem ja na zene
ljubav je za mulce
ne jebe to mene
 
Skuzio sam foru
ne pusim ja vise
nicem' se ne nadam
nemam utociste

Ref.
Cijeli svijet je bolestan
cijeli svijet je pokvaren
cijeli svijet je za kurac

Stari stalno sljaka
stara pere sudje
vikendicu grade
karcinom ih glodje

U se, na se i poda se
glavne su im fore
ne jebem ih vise
ne jebem ih vise

Ref.

Ref.","https://tekstovi.net/2,177,39682.html",,,,,,,
igNyBvbR_1_5,Haustor,Haustor,Crni zbir,4973,"Bijele dane sve nedjelje
kad je mir, crni zbir
zbira

Hude udese ljubavi
prati on svoj rejon
zbilja
 
Modre zavjese, sutone
kucni mir, crni zbir
zbira

Ref.
Mokru siju protegne u zrak
masni prsti pipaju kroz mrak
on je svuda

Bijele dane progutat' ce mrak
sitni prsti pipaju kroz zrak
on je svuda","https://tekstovi.net/2,177,39676.html",,,,,,,https://lyricstranslate.com/en/translations
igNyBvbR_1_6,Haustor,Haustor,Cudne misli,25857,"Posjetile su me cudne misli
bas je ovo neki cudan kraj
dati cu ti znak a ne vidis li
reci cu ti samo, bye, baby, bye

Ja sam razbludni sin
sama magla i dim
mokrih cipela gradom prolazim
kao dosadni film
ja ti govorim korakom
tko zna kako daleko odlazim","https://tekstovi.net/2,177,2051.html",,,,,,,
igNyBvbR_1_7,Haustor,Haustor,Da je s cisteg vina morje,3730,"Da je s cisteg vina morje
pak da je kak' Medjimorje
lefko bi ga spil'
al' bi ipak za njom plakal
sivim sozom brk namakal, zalosten bi bil

Ma da ja imam crne kojne
ofcas bi se vozil dojne
hintov bi zastavil z mukom
brk protegnul gore z rukom
jabuku joj dal
 
Je, svega tog ja nema
 glec birtas mi stolac sprema
vu noc moram it
 zlemal bum joj gavalera
poved kog' me otec tera
pa pem dalje pit","https://tekstovi.net/2,177,39692.html",,,,,,,
igNyBvbR_1_8,Haustor,Haustor,Donje strane munje,3998,"Izmisljene misli
strazari dolaze i odlaze
na stolu izlizane karte
i miris dosade

Mi smo uvijek isti
ludjake dovoze i odvoze
pod klupom slicice iz maste
za ratne godine
ostani u sjeni
 
Ref.
Donje strane munje
nad nama nemiri i svemiri
jos svicu rujna, radna jutra
i strme veceri

Ref.

Donje strane munje
na stolu izlizane karte
i miris dosade

Donje strane munje
ludjake dovoze i odvoze","https://tekstovi.net/2,177,39680.html",,,,,,,
igNyBvbR_1_9,Haustor,Haustor,Duhovi,13288,"Posli smo na izlet skupa 
u subotu ja i Pista
srce nam od srece lupa
popili smo tri gemista

Ostavili smo decu, zene 
sobom vzeli luk i jeger
demizonke opletene
sakrili u gepek treger
 
Divan dan, zadere se Pista
i pohotno stisne volan 
otvaram vrata od dvorista
na radiju zeleni maligan

Meknite vse vse gorje 
da se bu videlo Zagorje
meknite se se gorje 
idemo vu Zagorje

Crvena Skoda po bregima juri
zavoji ko valcer becki
vino nam niz gubec curi
Pista i ja smo opet decki

Celi dan smo popivali 
vesele popevke stare
a na vecer parkrali 
pri krcmi kraj tuzne bare

Vani pala vlazna kmica 
nigdi blizu nema hize
birtija ko sada bitna 
pa nas vlece sebi blize

Pista me hudo pogleda 
u njemu nekaj prejti neda
u njega nekaj sebi vlece 
nekaj od birtije vece

Nekaj od pijace jace","https://tekstovi.net/2,177,1939.html",,Duhovi,,Haustor,"[Strofa 1]
Pošli smo na izlet skupa
U subotu i ja i Pišta
Srce nam od sreće lupa
Popili smo tri gemišta. [Strofa 2]
Ostavili smo decu, žene
Sobom 'zeli luk i jeger
Demižonke opletene
Sakrili u gepek treger. [Strofa 3]
""Divan dan"", zadere se Pišta
I pohotno stisne volan
Otvaram vrata od dvorišta
Na radiju zeleni maligan. [Strofa 4]
Meknite se sa gorje
Da se bu videlo Zagorje
Meknite se sa gorje
Idemo vu Zagorje
Vu Zagorje. [Strofa 5]
Crvena Škoda po bregima juri
Zavoji 'ko valcer bečki
Vino nam niz gubec curi
Pišta i ja smo opet dečki. [Strofa 6]
Celi dan smo popivali
Vesele popevke stare
A navečer parkirali
Pri krčmi kod tužne Bare. [Strofa 7]
Vani pala vlažna kmica
Nigdje blizu nema hiže
Birtija ko sada bitna
Sad nas vleče k sebi bliže. [Entr'acte]
E, Pišta
E, Pišta
E
Pišta
E, he, hej
Pišta
Pišta
Pišta
Eno, birtija. [Bridge]
Pišta me hudo pogleda
I njemu nekaj prejti neda
I njega nekaj sebi vleče
Nekaj od birtije veće
Nekaj od pijače jače. [Outro]
Stanica s pogledom na kukuruz
Bicikl naslonjen na nabijeljenu topolu
U nekoj kancelariji zvoni telefon
Dijete bi napisalo, dijete bi napisalo. ""Nebo je nježno plavo
Po njemu lete oblaci i ptice
Lišće mi se igra oko nogu
Dolazi jesen""",,https://lyricstranslate.com/en/haustor-duhovi-lyrics.html
