Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Tambura_discogs,Banjo_discogs,Written-By_discogs,Piano_discogs,Lyrics By_discogs,Featuring_discogs,Accordion_discogs,Keyboards_discogs,Saxophone_discogs,Organ_discogs,Cello_discogs,Guitar_discogs,Lead Vocals_discogs,Vocals_discogs,Violin_discogs,Viola_discogs,Interviewee_discogs,Music By_discogs,Performer_discogs,Directed By_discogs,Backing Vocals_discogs,Guest_discogs,Album_year_title_discogs,All_albums_discogs
Hladno Pivo,Hladno Pivo,Dobro Veče,2:35,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Džinovski/nan-Istočno Od Gajnica/nan-Knjiga Postanka/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Zakaj Se Tak Oblačiš,2:06,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/1991.0-Hladno Pivo/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Heroin,1:30,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Džinovski/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Princeza,1:20,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/1991.0-Hladno Pivo/nan-Džinovski/nan-Istočno Od Gajnica/nan-Knjiga Postanka/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Bubašvabe,2:07,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/1991.0-Hladno Pivo
Hladno Pivo,Hladno Pivo,Trening Za Umiranje,3:18,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Džinovski/nan-Istočno Od Gajnica/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-30 Godina - Greatest Hits/2018.0-30 Godina – Greatest Hits Live
Hladno Pivo,Hladno Pivo,Marginalci,1:37,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/1991.0-Hladno Pivo/nan-Džinovski
Hladno Pivo,Hladno Pivo,Pjevajte Nešto Ljubavno,2:19,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Džinovski/nan-Istočno Od Gajnica/nan-Knjiga Postanka/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-30 Godina - Greatest Hits
Hladno Pivo,Hladno Pivo,Für Immer Punk,2:59,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Džinovski/nan-Istočno Od Gajnica/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/2018.0-30 Godina – Greatest Hits Live/2018.0-30 Godina – Greatest Hits Live
Hladno Pivo,Hladno Pivo,Čelične Zavjese,1:42,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Džinovski/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Buntovnik,2:47,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Niemals,2:14,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo
Hladno Pivo,Hladno Pivo,She's Dead,1:41,Hladno Pivo,1991.0,,,,,,,,,,,,,,,,,,,,,,,1991.0-Hladno Pivo,1991.0-Hladno Pivo
Hladno Pivo,Hladno Pivo,Marija,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,"A, Što Dalje...",,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski
Hladno Pivo,Hladno Pivo,Marihuana,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski/nan-Istočno Od Gajnica/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Buba Švabe,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski/nan-Istočno Od Gajnica/nan-30 Godina - Greatest Hits
Hladno Pivo,Hladno Pivo,Sarma,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski/nan-Istočno Od Gajnica
Hladno Pivo,Hladno Pivo,Narcisoidni Psi,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Zakaj Se Tak' Oblačiš,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski
Hladno Pivo,Hladno Pivo,Odjava Programa,,Džinovski,,,,,,,,,,,,,,,,,,,,,,,,nan-Džinovski,nan-Džinovski/nan-Knjiga Postanka/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Sedma Noć,,Sedma Noć / Diznilend,1993.0,,,,,,,,,,,,,,,,,,,,,,,1993.0-Sedma Noć / Diznilend,1993.0-Sedma Noć / Diznilend
Hladno Pivo,Hladno Pivo,Diznilend,,Sedma Noć / Diznilend,1993.0,,,,,,,,,,,,,,,,,,,,,,,1993.0-Sedma Noć / Diznilend,1993.0-Sedma Noć / Diznilend/nan-G.A.D./nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Razmišljam,2:23,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,U Ritmu Dlakave Guze,2:24,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Šank,2:50,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Istočno Od Gajnica/2008.0-XXLive/nan-Knjiga Postanka/nan-30 Godina - Greatest Hits
Hladno Pivo,Hladno Pivo,Moralne Dileme Vlasnika Bmw-a,3:09,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Izlazak U Grad,2:08,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Tamburaši,2:38,G.A.D.,,Ivica Potočnik,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Country (Will The Circle Be Unbroken),2:14,G.A.D.,,,Antonio Zadro,Traditional,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Od Budjenja Do Dnevnika,3:01,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Rigoletto,1:19,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Istočno Od Gajnica/nan-Knjiga Postanka
Hladno Pivo,Hladno Pivo,Mtv,2:37,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,7. Noć,1:55,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Usamljeni U Gomili,3:25,G.A.D.,,,,,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D./nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Tišina,3:45,G.A.D.,,,,,Antonio Zadro,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Bila Je...,2:24,G.A.D.,,,,Alain Barrière,,,,,,,,,,,,,,,,,,,,nan-G.A.D.,nan-G.A.D.
Hladno Pivo,Hladno Pivo,Nema Više...,2:14,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
Hladno Pivo,Hladno Pivo,Tema Je Žena,1:50,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
Hladno Pivo,Hladno Pivo,Sex Bez Kondoma I Zvijezda Iz Hong Konga,2:08,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
Hladno Pivo,Hladno Pivo,Ne Volim Te,2:11,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka/nan-Istočno Od Gajnica/2008.0-XXLive/nan-Knjiga Postanka/2018.0-30 Godina – Greatest Hits Live/2018.0-30 Godina – Greatest Hits Live
Hladno Pivo,Hladno Pivo,101,2:17,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
Hladno Pivo,Hladno Pivo,Grčenje Ispred Pojačala,1:53,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Krepaj Budalo,2:31,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
Hladno Pivo,Hladno Pivo,Studentska,2:13,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014/nan-Evo Vam Džinovski! • Uživo Iz KSETa 7-9/3/2014
Hladno Pivo,Hladno Pivo,Anoreksik,2:46,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
Hladno Pivo,Hladno Pivo,Blagdanska Pjesma,1:45,Desetka,,,,,,,,,,,,,,,,,,,,,,,,nan-Desetka,nan-Desetka
