Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
3xr7k3c7_1_0,Ivan Zak,Adrenalin,https://lyricstranslate.com/en/adrenalin-adrenaline.html-0,51547,"[Caspar Wildner, Henri Jouni Kristian Lanz, Alex Kayoba Ambrose]",,2010,Adrenalin,2:39
3xr7k3c7_1_1,Ivan Zak,Ako padnem,https://lyricstranslate.com/en/ako-padnem-if-i-fall.html,61465,,,2010.0,Adrenalin,3:49
3xr7k3c7_1_2,Ivan Zak,Bolja od najbolje,https://lyricstranslate.com/en/bolja-od-najbolje-better-best.html,108648,"[Inconnu Compositeur Auteur, Ivan Zak, Tomo Baäurin]",,2012.0,Bolja Od Najbolje,
3xr7k3c7_1_3,Ivan Zak,Da sam je ikad volio,https://lyricstranslate.com/en/da-sam-je-ikad-volio-da-sam-je-ikad-volio.html,4336,,,,Kao metak (2008),
3xr7k3c7_1_4,Ivan Zak,Da si tu,https://lyricstranslate.com/en/da-si-tu-you-be-here.html,8993,,,2019.0,Milion,
3xr7k3c7_1_5,Ivan Zak,Dajem,https://cuspajz.com//tekstovi-pjesama/pjesma/ivan-zak/dajem.html,50282,,,2010.0,Adrenalin,4:01
3xr7k3c7_1_6,Ivan Zak,Daleko,https://lyricstranslate.com/en/daleko-far-away.html-3,15302,"[Inconnu Compositeur Auteur, Ivan Zak, Miljenko Puå iä]",,2015.0,Usne Varane,
3xr7k3c7_1_7,Ivan Zak,Dečko sa Balkana,https://lyricstranslate.com/en/decko-sa-balkana-balkan-boy.html,32693,,,,Adrenalin (2010),
3xr7k3c7_1_8,Ivan Zak,Dinamit,https://lyricstranslate.com/en/dinamit-dynamite.html,17464,,,2010.0,Adrenalin,3:07
3xr7k3c7_1_9,Ivan Zak,Duguješ mi ljeto,https://lyricstranslate.com/en/duguje%C5%A1-mi-ljeto-you-owe-me-summer.html,15290,"[Ivan Zak, Miljenko Pusic]",,2015.0,Usne Varane,
3xr7k3c7_1_10,Ivan Zak,Ide bolja godina,"https://tekstovi.net/2,1727,63216.html",71488,,,,,
3xr7k3c7_1_11,Ivan Zak,Ilegala,https://lyricstranslate.com/en/ilegala-illegal.html,33682,[Ivan Zak],[Ivan Zak],2012.0,Bolja Od Najbolje,
3xr7k3c7_1_12,Ivan Zak,Ili ili,https://lyricstranslate.com/en/ivan-zak-ili-ili-lyrics.html,31371,,,,Kao metak (2008),
3xr7k3c7_1_13,Ivan Zak,Javi se javi,https://lyricstranslate.com/en/ivan-zak-javi-se-javi-lyrics.html,48668,,,,,
3xr7k3c7_1_14,Ivan Zak,Jedan u nizu,https://lyricstranslate.com/en/jedan-u-nizu-one-row.html,7561,"[Inconnu Compositeur Auteur, Ivan Zak, Luka Kovaäiä]",,2015.0,Usne Varane,
