Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Url_diskografija,Song_diskografija,Album_4_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,nDEq9hkG_1_0,Jacques Houdek,Jacques,Carolija,28436,"Jos jedan dan s tobom prolazi
jos jedan tren u tvome krilu zarobljen
zvjezdana prasina po licu pada ti
kao carolija zvone tvoji osmjesi

I osjecam da zelim priznati
koliko znacis mi
napokon za ljubav zivim
vjerujem u nas
 
Sve ove moje rijeci dolaze
iz srca iskrene
ko san da te ponekad podsjete
koliko volim te

Jos jedan dan s tobom prolazi
jos jedan tren u tvome krilu zarobljen
beskrajna mastanja, topli dodiri
kao carolija zvone tvoji osmjesi","https://tekstovi.net/2,474,5104.html",,Čarolija,Magic,,"Još jedan dan s tobom prolazi
1
Još jedan tren u tvome krilu zarobljen
Zvjezdana prašina po licu pada ti
Kao čarolija zvone tvoji osmjesi. I osjećam da želim priznati koliko značiš mi
Napokon za ljubav živim, vjerujem u nas
Sve ove moje riječi dolaze iz srca iskrene
K’o san da te ponekad podsjete koliko volim te
(Da volim, da volim, da volim te). Još jedan dan s tobom prolazi
Još jedan tren u tvome krilu zarobljen
Beskrajna maštanja, topli dodiri
Kao čarolija zvone tvoji osmjesi. I osjećam da želim priznati koliko značiš mi
Napokon za ljubav živim, vjerujem u nas
Sve ove moje riječi dolaze iz srca iskrene
K’o san da te ponekad podsjete koliko volim te
(Da volim, da volim, da volim te)
Koliko volim te. I osjećam da želim priznati koliko značiš mi
Napokon za ljubav živim, vjerujem u nas
Sve ove moje riječi dolaze iz srca iskrene
K’o san da te ponekad podsjete koliko volim te
Koliko volim te (Da volim, da volim, da volim te)","Another day with you passes
Another moment imprisoned in your lap
Stardust is falling over your face
Like magic your smiles chimes. I feel I want to admit to you how much you mean to me
Finally I live for love, I believe in us
All these words of mine come from the heart, sincere
Like a dream, to remind you from time to time how much I love you
(that I love, that I love, that I love you). Another day with you passes
Another moment imprisoned in your lap
Endless fantasies, warm touches
Lika magic your smiles chime. I feel I want to admit to you how much you mean to me
Finally I live for love, I believe in us
All these words of mine come from the heart, sincere
Like a dream, to remind you from time to time how much I love you
(that I love, that I love, that I love you)
How much I love you. I feel I want to admit to you how much you mean to me
Finally I live for love, I believe in us
All these words of mine come from the heart, sincere
Like a dream, to remind you from time to time
How much I love you (that I love, that I love, that I love you)",https://lyricstranslate.com/en/%C4%8Darolija-magic.html-1,['Željko Houdek Jacques'],['Boris Đurđević'],['Boris Đurđević'],['Jacques'],2002 - Dora 2002,2004 - Čarolija,2005 - Porin 2005 nominacije,https://diskografija.com/pjesma/carolija-1846.htm,Čarolija,,"Još jedan dan
S tobom prolazi
Još jedan tren
U tvome krilu zarobljen

Zvjezdana prašina
Po licu pada ti
Kao čarolija
Zvone tvoji osmijesi

I osjećam da želim priznati
Koliko značiš mi
Napokon za ljubav živim
Vjerujem u nas

Sve ove moje riječi dolaze
Iz srca iskrene
K'o san da te ponekad podsjete
Koliko volim te

(da volim, da volim, da volim te)

Još jedan dan
S tobom prolazi
Još jedan tren
U tvome krilu zarobljen

Beskrajna maštanja
Topli dodiri
Kao čarolija
Zvone tvoji osmijesi

I osjećam da želim priznati
Koliko značiš mi
Napokon za ljubav živim
Vjerujem u nas

Sve ove moje riječi dolaze
Iz srca iskrene
K'o san da te ponekad podsjete

I osjećam da želim priznati
Koliko značiš mi
Napokon za ljubav živim
Vjerujem u nas

Sve ove moje riječi dolaze
Iz srca iskrene
K'o san da te ponekad podsjete
Koliko volim te",Čarolija,https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/carolija.html
1,nDEq9hkG_1_1,Jacques Houdek,Jacques,Cista umjetnost (feat. Nina Kraljic),346,"Ona je melem na dusi
muzika za usi
ona je Ero sa onoga svijeta
ona je cista, cista, cista umjetnost

Ona je samo moja arija
i moja Zdravo, Marija
i nije samo ljubav
ona je zivot i poziv
a ljubav je samo odaziv
 
Ref. 2x
Ako zivot udari nas sa svih strana
i sve nas doceka kao hladan tus
ti se ne boj, ne boj, ne boj
ti se ne boj, ne boj, ne boj
ja ti cuvam ledja zauvijek

Da jednom u zivotu ostanem bez teksta
kao da sam nijem
ona je Ero sa onoga svijeta
ona je cista, cista, cista umjetnost

Ref. 4x","https://tekstovi.net/2,474,63044.html",,Čista umjetnost,,,"Ona je melem na duši,
Muzika za uši...
Ona je Ero s onoga svijeta -
Ona je čista, čista, čista umjetnost!. Ona je samo moja arija
I moja ""Zdravo, Marija!""
Nije samo ljubav -
Ona je životni poziv,
A ljubav je samo odaziv!. Ako život udari nas sa svih strana
I sve nas dočeka kao hladan tuš,
Ti se ne boj, ne boj, ne boj!
Ja ti čuvam leđa zauvijek!. Da jednom u životu ostanem bez teksta,
Kao da sam nijem...
Ona je Ero s onoga svijeta -
Ona je čista, čista, čista umjetnost!",,https://lyricstranslate.com/en/jacques-houdek-%C4%8Dista-umjetnost-lyrics.html,,,,,,,,,,,,,
2,nDEq9hkG_1_2,Jacques Houdek,Jacques,Cudo je moguce,839,"Ovaj Bozic u mraku tinja
jedva tek se vidi sjaj
cijelim svijetom vlada zima
no i njoj ce doci kraj

Ovaj Bozic mira nema
nemir je u ocima
nitko ne zna sto se sprema
sto nam nosi nova godina
 
U nadi je spas
nama tako malo treba
da nestane strah
i da probudi se vjera

Ref.
Ovaj Bozic zelim da
ljubav bude utjeha
i da podsjeti nas sve
na ono najvaznije

Nova godina 
kao nova prilika
da nam krene najbolje
jer, cudo je moguce

Ovaj Bozic svi smo isti
gradimo iz temelja
nikad nismo bili blizi
ja sam ti, a ti si ja

U nadi je spas
a nama tako malo treba
da nestane strah
i da probudi se vjera

Ref.

Cudo je moguce, hej
cudo je moguce
cudo je moguce, hej
cudo je moguce","https://tekstovi.net/2,474,63057.html",,,,,,,,,,,,,,,,,,,,
3,nDEq9hkG_1_3,Jacques Houdek,Jacques,Cuvam te u mislima,34765,"Novo jutro budi se 
na tebe mi mirise 
nikad nisi nestala 
cuvam te u mislima 

Ljubav koja gasi zedj
uvijek ona prava rijec 
pogledi i dodiri 
ponovo ozivjeli 

Ref.
Ti otvaras mi sva svoja vrata 
tebi dusa putuje, ruke grade mostove 
tek u rano svitanje slike same dolaze 
nikad nisi nestala, cuvam te u mislima ","https://tekstovi.net/2,474,9067.html",,,,,,,,['Željko Houdek Jacques'],['Željko Houdek Jacques'],['Boris Đurđević'],['Jacques'],2004 - Čarolija,2007 - Za posebne trenutke,,https://diskografija.com/pjesma/cuvam-te-u-mislima-1838.htm,Čuvam te u mislima,,"Novo jutro budi se
Na tebe mi mirise
Nikad nisi nestala
Cuvam te u mislima

Ljubav koja gasi zedj
Uvijek ona prava rijec
Pogledi i dodiri
Ponovo ozivjeli

Ti otvaras mi sva svoja vrata
Tebi dusa putuje, ruke grade mostove
Tek u rano svitanje slike same dolaze
Nikad nisi nestala, cuvam te u mislima
",Čuvam te u mislima,https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/cuvam-te-u-mislima.html
4,nDEq9hkG_1_4,Jacques Houdek,Jacques,Do posljednjeg daha,9904,"Dao sam ti ljubavi
dovoljno za oboje
a sto smo sada postali
prica za susjede

Sve je lako srusiti
sve je lako poreci
rijecima se igrati
povremeno glumiti
 
Ti znas da ja lose ne pamtim
i milost ne trazim
ti znas da ja nikad ne placem
jer nesto divlje vice u meni

Ref.
Do posljednjeg daha
bez imalo straha
ja smijem se od srca
i nista ne zalim
onako iz glave nabacujem sale
pa makar kao svijeca
na kraju izgorim

U pustinji samoce
gdje hrabri samo kroce
svoj mir sam pronasao ja i znam
ja znam da neko gore cuva me
da neko gore cuva me","https://tekstovi.net/2,474,31554.html",,,,,,,,,,,,,,,,,,"Dao sam ti ljubavi
Dovoljno za oboje
A sto smo sada postali
Prica za susjede

Sve je lako srusiti
Sve je lako poreci
Rijecima se igrati
Povremeno glumiti

Ti znas da ja lose ne pamtim
I milost ne trazim
Ti znas da ja nikad ne placem
Jer nesto divlje vice u meni

Do posljednjeg daha
Bez imalo straha
Ja smijem se od srca
I nista ne zalim
Onako iz glave nabacujem sale
Pa makar kao svijeca
Na kraju izgorim

U pustinji samoce
Gdje hrabri samo kroce
Svoj mir sam pronasao ja i znam
Ja znam da neko gore cuva me
Da neko gore cuva me",Do posljednjeg daha,https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/do-posljednjeg-daha.html
5,nDEq9hkG_1_5,Jacques Houdek,Jacques,Duzna si,10581,"Navikla si me na laz
kad u srce pogledam
s njim te ugledam
udjes u moj zagrljaj
k'o u svoje odaje
al' te dobro poznajem
nisi moja
 
Ref.
Duzna si
ljubavi za dva zivota draga
sto je puklo ti odnesi dovraga
duzna si mi
barem saku osmjeha i neba
duzna si al' mi nista ne treba
samo da ti dobro si mi

Navikla si me na sve
sto je nekom premalo
od tebe je previse
a svaku bol sam sakrio
i na sve zazmirio
da bih tebe imao
a nisi moja

Ref.

Nisam ljut ni povrijedjen
uspio sam dusu slijediti
al' cu biti pobijedjen
ti ces me pobijediti

Ref. 2x","https://tekstovi.net/2,474,30512.html",,,,,,,,,,,['Jacques'],,,,https://diskografija.com/pjesma/duzna-si-22619.htm,Dužna si,,"Navikla si me na laz
Kad u srce pogledam
S njim te ugledam
Udjes u moj zagrljaj
K'o u svoje odaje
Al' te dobro poznajem
Nisi moja

Duzna si
Ljubavi za dva zivota draga
Sto je puklo ti odnesi dovraga
Duzna si mi
Barem saku osmijeha i neba
Duzna si al mi nista ne treba
Samo da ti dobro si mi

Navikla si me na sve
Sto je nekom premalo
Od tebe je previse
A svaku bol sam sakrio
I na sve zazmirio
Da bi tebe imao
A nisi moja

Nisam ljut ni povrijedjen
Uspio sam duso slijediti
Al' cu biti pobijedjen
Ti ces me pobijediti

Samo da ti dobro si mi",Dužna si,https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/duzna-si.html
6,nDEq9hkG_1_6,Jacques Houdek,Jacques,Hej,19135,"Ref.
Hej, bubnjevi nas vode ravno do slobode
gitara nas budi narode poludi
hej, pusti neka svira nista me ne dira
s tobom il' bez tebe zivo mi se jebe

Ljeto u zraku je zabava caruje
more i uvale sunce ih miluje
borovi mirisu, hormoni divljaju
i svi vec stigli su a samo ti nisi tu
 
Drustvo na plazi igra se picigina
a mi na gazi ubija nas vrucina
plesemo bosi njisemo bokovima
ritam nas nosi

Ref.

Party u gradu je ludilo sprema se
sarene kosulje, lagane haljine
borovi mirisu, hormoni divljaju
i svi vec stigli su a samo ti nisi tu

Drustvo na plazi igra se picigina
a mi na gazi ubija nas vrucina
plesemo bosi njisemo bokovima
ritam nas nosi

Ref.

Ref. 2x","https://tekstovi.net/2,474,20160.html",,,,,,,,"['Željko Houdek Jacques', 'Luka Tralić Shot', 'Erol Zejnilović']",['Željko Houdek Jacques'],['Luka Tralić Shot'],['Jacques'],2005 - Hrvatski Radijski Festival 2005,2005 - Hrvatski Radijski Festival 2005 - 24 najbolja,2006 - Živim za to,https://diskografija.com/pjesma/hej-4397.htm,Hej,,"Hej, bubnjevi nas vode ravno do slobode
Gitara nas budi narode poludi
Hej, pusti neka svira nista me ne dira
S tobom il' bez tebe zivo mi se jebe

Ljeto u zraku je zabava caruje
More i uvale sunce ih miluje
Borovi mirisu, hormoni divljaju
I svi vec stigli su a samo ti nisi tu

Drustvo na plazi igra se picigina
A mi na gazi ubija nas vrucina
Plesemo bosi njisemo bokovima
Ritam nas nosi

Party u gradu je ludilo sprema se
Sarene kosulje, lagane haljine
Borovi mirisu, hormoni divljaju
I svi vec stigli su a samo ti nisi tu

Drustvo na plazi igra se picigina
A mi na gazi ubija nas vrucina
Plesemo bosi njisemo bokovima
Ritam nas nosi",Hej,https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/hej.html
7,nDEq9hkG_1_7,Jacques Houdek,Jacques,Idi s njim (duet Fred Cooper),16169,"Zivot mi po savu puca otkad nisi tu
svaki dan je samo prazan hod ka dnu
jos me boli svaka rijec sto sisla ti je s usana
kazu vrijeme lijeci sve al' ne i mene

Zavidim ti kad sretnem te
sto mozes dalje bez mene
 
Ref.
Idi s njim, bilo gdje, pola srca mu daj
znali smo ti i ja i za bolji kraj
i da znas, kad se das, da ne varas se
pola srca tvog je uvijek tu kod mene

Idi s njim, bilo gdje, pola srca mu daj
znali smo ti i ja i za bolji kraj
i da znas, kad se das, ne varaj se
pola srca tvog je uvijek tu kod mene

Zivot mi po savu puca otkad nisi tu
svaki dan je samo prazan hod ka dnu
ti znas najljepse mi pricat al' u oci ne gledas
s tobom sve je najbolje al' ne traje

I zavidim ti kad sretnem te
sto mozes dalje bez mene

Ref.

Zavidim ti kad sretnem te
sto mozes dalje bez mene

Ref.","https://tekstovi.net/2,474,20161.html",,,,,,,,,,,['Jacques'],,,,https://diskografija.com/pjesma/idi-s-njim-9472.htm,Idi s njim,,"Zivot mi po savu puca otkad nisi tu
Svaki dan je samo prazan hod ka dnu
Jos me boli svaka rijec sto sisla ti je s usana
Kazu vrijeme lijeci sve al' ne i mene

Zavidim ti kad sretnem te
Sto mozes dalje bez mene

Idi s njim, bilo gdje, pola srca mu daj
Znali smo ti i ja i za bolji kraj
I da znas, kad se das, da ne varas se
Pola srca tvog je uvijek tu kod mene

Idi s njim, bilo gdje, pola srca mu daj
Znali smo ti i ja i za bolji kraj
I da znas, kad se das, ne varaj se
Pola srca tvog je uvijek tu kod mene

Zivot mi po savu puca otkad nisi tu
Svaki dan je samo prazan hod ka dnu
Ti znas najljepse mi pricat al' u oci ne gledas
S tobom sve je najbolje al' ne traje

I zavidim ti kad sretnem te
Sto mozes dalje bez mene
Zavidim ti kad sretnem te
Sto mozes dalje bez mene",Idi s njim (duet Fred Cooper),https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/idi-s-njim-duet-fred-cooper.html
8,nDEq9hkG_1_8,Jacques Houdek,Jacques,Kad nekoga volis,1985,"Kad nekoga volis nicega nije te strah
za ljubav se boris, ona ti oduzme dah
tako rijetko osjetis to

Zastane vrijeme
poljubac ceka tvoj princ
zazvone zvona, nebo se otvori
aleluja i Andjeli svi
covjek za ljubav postoji
 
Ref.
U ovoj caroliji zagrli me
daj mi da osjetim da sam ti sve
zauvijek vezi me uz sebe
i nikad me ne daj
u vjecnosti ljubi me

Kad nekoga volis nicega nije te strah
srcu je toplo, studen kad zaledi dah
tako rijetko nadjemo to
a jednom kad nadjes zivi za to

Ref.

Kad nekoga volis nicega nije te strah

Ref.","https://tekstovi.net/2,474,59914.html",Ivan Skunca,Kad Nekoga Voliš,When you love someone,,"Kad nekoga voliš
1
ničega nije te strah
za ljubav se boriš
ona ti oduzme dah. Tako rijetko osjetiš to
zastane vrijeme
poljubac čeka tvoj princ
zazvone zvona nebo se otvori
aleluja i andjeli svi
čovjek za ljubav postoji. U ovoj čaroliji zagrli me
daj mi da osjetim da sam ti sve
zauvijek veži me za sebe
i nikad me ne daj
u vječnosti ljubi me. Kad nekoga voliš
ničega nije te strah
srcu je toplo
studen kad zaledi dah
tako rijetko nadjemo to to
a jednom kad nadješ živi za to. U ovoj čaroliji zagrli me
daj mi da osjetim da sam ti sve
zauvijek veži me za sebe
i nikad me ne daj
u vječnosti ljubi me. Kad nekoga voliš
ničega nije te strah. U ovoj čaroliji zagrli me
daj mi da osjetim da sam ti sve
zauvijek veži me za sebe
i nikad me ne daj
u vječnosti ljubi me. nikad me ne daj
u vječnosti ljubi me
nikad me ne daj
u vječnosti ljubi me. Kad nekoga voliš
ničega nije te strah","When you love someone
you fear nothing
you fight for love
it takes your breath away. So rarely you feel it
Time stops
Your prince awaits your kiss
The bells ring, the sky opens
Hallelujah and all angels
A man exists for love. Within this magic hold me
Let me feel I mean everything to you
Forever bound me to yourself
And never let me go
Kiss me in eternity. When you love someone
you fear nothing
the heart is warm
(even) when the cold freezes one's breath
so rarely we find that special something
and once you find it, live for it!. Within this magic hold me
Let me feel I mean everything to you
Forever bound me to yourself
And never let me go
Kiss me in eternity. When you love someone
you fear nothing. Within this magic hold me
Let me feel I mean everything to you
Forever bound me to yourself
And never let me go
Kiss me in eternity. And never let me go
Kiss me in eternity
And never let me go
Kiss me in eternity. When you love someone
you fear nothing",https://lyricstranslate.com/en/when-you-love-someone-lyrics.html,,,,,,,,,,,,,
9,nDEq9hkG_1_9,Jacques Houdek,Jacques,Kada me dotakne,7495,"Zlatna slova njeno ime
budi rijeke zaspale
svojim dahom pali vatre
iz iskri sto su ostale

I tako kruzi u meni
kao plima vjecita
njezno plete moje niti
i u toj igri uziva
 
Ref.
Kada me dotakne
ja protrnem
i bogove i vragove zovem
ako mogu vrijeme da zaustave

U mojoj dusi
tisucu svijeca sja
i sve do jedne sve do jedne
ona je upalila

Ref. 4x","https://tekstovi.net/2,474,31830.html",,,,,,,,,,,,,,,,,,"Zlatna slova njeno ime
Budi rijeke zaspale
Svojim dahom pali vatre
Iz iskri sto su ostale

I tako kruzi u meni
Kao plima vjecita
Njezno plete moje niti
I u toj igri uziva

Kada me dotakne
Ja protrnem
I bogove i vragove zovem
Ako mogu vrijeme da zaustave

U mojoj dusi
Tisucu svijeca sja
I sve do jedne sve do jedne
Ona je upalila",Kada me dotakne,https://cuspajz.com//tekstovi-pjesama/pjesma/jacques-houdek/kada-me-dotakne.html
