Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
FJdcVEAU_1_0,Jasmin Stavros,Adios Amerika,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/adios-amerika.html,854,,,1995.0,Dijamanti I Ostali Hitovi,3:10
FJdcVEAU_1_1,Jasmin Stavros,Aj aje aja je,"https://tekstovi.net/2,536,58013.html",727,,,,Jutrima,3:17
FJdcVEAU_1_2,Jasmin Stavros,Alkohol (feat. Mladen Grdovic),"https://tekstovi.net/2,536,29425.html",45756,,,2010.0,Ima Dana,
FJdcVEAU_1_3,Jasmin Stavros,Alkohol (feat. Slavonske Lole),"https://tekstovi.net/2,536,58586.html",839,,,2010.0,Ima Dana,
FJdcVEAU_1_4,Jasmin Stavros,Bepo smokvica,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/bepo-smokvica.html,772,,,2004.0,Krećem Ponovo,
FJdcVEAU_1_5,Jasmin Stavros,Bez tebe,"https://tekstovi.net/2,536,58009.html",1027,[Jadranka Krištof],[Hrvoje Grčević],2004.0,Krećem Ponovo,
FJdcVEAU_1_6,Jasmin Stavros,Bila je,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/bila-je.html,46167,[Fedor Boić],[Fedor Boić],2002.0,Sve Najbolje,3:59
FJdcVEAU_1_7,Jasmin Stavros,Bila si daleko,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/bila-si-daleko.html,993,[Zdenko Runjić],[Zdenko Runjić],1988,Evo mene opet,3:21
FJdcVEAU_1_8,Jasmin Stavros,"Blago tebi, blago meni","https://tekstovi.net/2,536,58587.html",956,,,2010.0,Ima Dana,
FJdcVEAU_1_9,Jasmin Stavros,Boli,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/boli.html,16291,,,,Vučja Vremena,3:45
FJdcVEAU_1_10,Jasmin Stavros,Borim se,"https://tekstovi.net/2,536,31849.html",5418,[Vjekoslava Huljić],[Tonči Huljić],2002,Sve najbolje,3:16
FJdcVEAU_1_11,Jasmin Stavros,Bosiljka,"https://tekstovi.net/2,536,58011.html",835,[Stevo Cvikić],[Rajko Dujmić],1988,Evo mene opet,2:49
FJdcVEAU_1_12,Jasmin Stavros,Brate moj,https://lyricstranslate.com/en/brate-moj-bracie-m%C3%B3j.html,906,[Stevo Cvikić],[Nikica Kalogjera],,Priče Iz Kafane,
FJdcVEAU_1_13,Jasmin Stavros,Cedo bijedo,"https://tekstovi.net/2,536,57782.html",1057,,,,,
FJdcVEAU_1_14,Jasmin Stavros,"Cuvaj se, Tatjana","https://tekstovi.net/2,536,57787.html",1090,[Velizar Šofranac],[Slobodan M. Kovačević],,Priče Iz Kafane,
FJdcVEAU_1_15,Jasmin Stavros,Da je sreće bilo,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/da-je-srece-bilo.html,23553,[Fedor Boić],[Fedor Boić],1999,Dio puta mog,
FJdcVEAU_1_16,Jasmin Stavros,Da se ženim nisam lud,https://lyricstranslate.com/en/da-se-zenim-nisam-lud-ya-ne-bezumec-chtob-zhenitsya.html,799,,,,Duga je noć,
FJdcVEAU_1_17,Jasmin Stavros,Da te nema,"https://tekstovi.net/2,536,58593.html",935,,,1995.0,Dijamanti I Ostali Hitovi,3:55
FJdcVEAU_1_18,Jasmin Stavros,Daj me nemoj zezati,"https://tekstovi.net/2,536,58590.html",747,,,,Zrak Zemlja Zrak,3:20
FJdcVEAU_1_19,Jasmin Stavros,Dajem brdo zlata (feat. Helena Blagne),"https://tekstovi.net/2,536,58210.html",734,,,,,
FJdcVEAU_1_20,Jasmin Stavros,Dani,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/dani.html,4464,"[Vinko Didović, Tomislav Kovačević]","[Vinko Didović, Tomislav Kovačević]",2004.0,Krećem Ponovo,
FJdcVEAU_1_21,Jasmin Stavros,Dao bi' sto Amerika,https://lyricstranslate.com/en/dao-bi-sto-amerika-id-give-hundred-americas.html,67031,[Stevo Cvikić],[Nikica Kalogjera],1989,Ljubio sam anđela,
FJdcVEAU_1_22,Jasmin Stavros,Dijamanti,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/dijamanti.html,11417,[Vjekoslava Huljić],[Tonči Huljić],2002,Sve najbolje,3:28
FJdcVEAU_1_23,Jasmin Stavros,Dio puta tvog,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/dio-puta-tvog.html,15931,[Vjekoslava Huljić],[Tonči Huljić],1999,Dio puta mog,
FJdcVEAU_1_24,Jasmin Stavros,Dođi mi praznih ruku,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/dodji-mi-praznih-ruku.html,740,,,1989.0,Dođi Mi Praznih Ruku / Ljubio Sam Anđela,
FJdcVEAU_1_25,Jasmin Stavros,Dok sam ja motao skiju,"https://tekstovi.net/2,536,58588.html",816,[Teo Trumbić],[Teo Trumbić],2007.0,Nemoj Se Udavati ,
FJdcVEAU_1_26,Jasmin Stavros,Doma je Amerika,"https://tekstovi.net/2,536,58589.html",880,[Gordan Franić Futa],[Teo Trumbić],2006,Split 2006,
FJdcVEAU_1_27,Jasmin Stavros,Drugovi smo najbolji,"https://tekstovi.net/2,536,57786.html",747,[Stevo Cvikić],[Nikica Kalogjera],,Priče Iz Kafane,
FJdcVEAU_1_28,Jasmin Stavros,Duga je noć,https://lyricstranslate.com/en/jasmin-stavros-duga-je-no%C4%87-lyrics.html,983,,,,Duga je noć,
FJdcVEAU_1_29,Jasmin Stavros,Duki Buzuki,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/duki-buzuki.html,3975,[Stevo Cvikić],[Rajko Dujmić],1988,Evo mene opet,3:11
FJdcVEAU_1_30,Jasmin Stavros,"E, moj covjece","https://tekstovi.net/2,536,58584.html",802,[Stevo Cvikić],[Tonči Huljić],,"E, Moj Čovječe",
