Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Arranged By_discogs,Backing Vocals_discogs,Drums_discogs,Featuring_discogs,Remix_discogs,Vocals_discogs,Composed By_discogs,Programmed By_discogs,Accordion_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Jasmin Stavros,Jasmin Stavros,"E, Moj Rajko",,Stevo Cvikić,Rajko Dujmić,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane/2007.0-Zlatna Kolekcija
Jasmin Stavros,Jasmin Stavros,S Kim Ujutro Kafu Piješ,,Marina Tucaković,Đorđe Novković,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,Pismo Nini,,,,Priče Iz Kafane,Đorđe Novković,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,"Čuvaj Se, Tatjana",,Velizar Sofranac,Slobodan M. Kovačević,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,Drugovi Smo Najbolji,,Stevo Cvikić,Nikica Kalogjera,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,Brate Moj,,Stevo Cvikić,Nikica Kalogjera,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,Varaj Me,,,,Priče Iz Kafane,Đorđe Novković,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,"Vratila Si Se, Moja Prošlosti",,Stevo Cvikić,Rajko Dujmić,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane
Jasmin Stavros,Jasmin Stavros,Jasmin,,Stevo Cvikić,Rajko Dujmić,Priče Iz Kafane,,,,,,,,,,,,,nan-Priče Iz Kafane,nan-Priče Iz Kafane/1992.0-Hitovi 1
Jasmin Stavros,Jasmin Stavros,Ženo,,,,Ženo / Evo Mene Opet,,1988.0,,,,,,,,,,,1988.0-Ženo / Evo Mene Opet,1988.0-Ženo / Evo Mene Opet/nan-Evo Mene Opet/1992.0-Hitovi 1/1993.0-19 Mojih Uspjeha/1995.0-Dijamanti I Ostali Hitovi/2007.0-Zlatna Kolekcija/2009.0-Zlatna Kolekcija/2015.0-The Best Of Collection/0.0-Remember
Jasmin Stavros,Jasmin Stavros,Evo Mene Opet,,,,Ženo / Evo Mene Opet,,1988.0,,,,,,,,,,,1988.0-Ženo / Evo Mene Opet,1988.0-Ženo / Evo Mene Opet/nan-Evo Mene Opet/2007.0-Zlatna Kolekcija/2009.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasmin Stavros,Jasmin Stavros,Zadnje Veče,3:30,Nenad Ninčević,Zdenko Runjić,Zadnje Veče / Ranjeno Srce,,1988.0,Stipica Kalogjera,,,,,,,,,,1988.0-Zadnje Veče / Ranjeno Srce,1988.0-Zadnje Veče / Ranjeno Srce
Jasmin Stavros,Jasmin Stavros,Ranjeno Srce,3:07,Maja Konrad,Rajko Dujmić,Zadnje Veče / Ranjeno Srce,,1988.0,Rajko Dujmić,,,,,,,,,,1988.0-Zadnje Veče / Ranjeno Srce,1988.0-Zadnje Veče / Ranjeno Srce
Jasmin Stavros,Jasmin Stavros,Poljubi Mi Suze Na Usnama,3:20,Željko Pavičić,Đorđe Novković,Evo Mene Opet,,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet
Jasmin Stavros,Jasmin Stavros,Duki Buzuki,3:11,Stevo Cvikić,Rajko Dujmić,Evo Mene Opet,,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet/1992.0-Hitovi 1/2007.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasmin Stavros,Jasmin Stavros,"Plači, Plači",3:57,Stevo Cvikić,Rajko Dujmić,Evo Mene Opet,,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet
Jasmin Stavros,Jasmin Stavros,"Hej, Pomozi",3:48,Stevo Cvikić,Nikica Kalogjera,Evo Mene Opet,,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet/2007.0-Zlatna Kolekcija/2009.0-Zlatna Kolekcija
Jasmin Stavros,Jasmin Stavros,Bila Si Daleko,3:21,,,Evo Mene Opet,Zdenko Runjić,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet/1993.0-19 Mojih Uspjeha/2007.0-Zlatna Kolekcija/2009.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasmin Stavros,Jasmin Stavros,Vrati Mi Se Ako Možeš,3:40,Milivoj Šarunić,Đorđe Novković,Evo Mene Opet,,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet
Jasmin Stavros,Jasmin Stavros,Bosiljka,2:49,Stevo Cvikić,Rajko Dujmić,Evo Mene Opet,,,,,,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet/2007.0-Zlatna Kolekcija
Jasmin Stavros,Jasmin Stavros,Sanjam,3:16,Stevo Cvikić,Rajko Dujmić,Evo Mene Opet,,,,Vesna Srećković,Dragoljub Milo Vasić,,,,,,,,nan-Evo Mene Opet,nan-Evo Mene Opet/2009.0-Zlatna Kolekcija
Jasmin Stavros,Jasmin Stavros,Maro Marice,,,,Maro Marice / Umoran Sam,,1989.0,,,,,,,,,,,1989.0-Maro Marice / Umoran Sam,1989.0-Maro Marice / Umoran Sam/1992.0-Hitovi 1
Jasmin Stavros,Jasmin Stavros,Umoran Sam,,,,Maro Marice / Umoran Sam,,1989.0,,,,,,,,,,,1989.0-Maro Marice / Umoran Sam,1989.0-Maro Marice / Umoran Sam/nan-Ljubio Sam Anđela/1993.0-19 Mojih Uspjeha/2002.0-Sve Najbolje/2007.0-Zlatna Kolekcija/2009.0-Zlatna Kolekcija/2015.0-The Best Of Collection/0.0-Remember
Jasmin Stavros,Jasmin Stavros,Dođi Mi Praznih Ruku,,,,Dođi Mi Praznih Ruku / Ljubio Sam Anđela,,1989.0,,,,,,,,,,,1989.0-Dođi Mi Praznih Ruku / Ljubio Sam Anđela,1989.0-Dođi Mi Praznih Ruku / Ljubio Sam Anđela/nan-Ljubio Sam Anđela
