Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,FJdcVEAU_1_0,Jasmin Stavros,Jasmin Stavros,Adios Amerika,854,"A sad adio
vrijeme je kad treba poci
tamo gdje su juzne noci
da zagrlim svoje najdraze

A sad adio
nije sreca sva u zlatu
svaka ptica svome jatu
jednog dana ipak vrati se
 
Ref.
A sad, adios Amerika
tugo mojih dana
u dusi covjek sam ja
s mediterana

A sad, adios Amerika
za sve ti hvala
zaliti necu za danima tim
ostani zbogom, ja odlazim

A sad, adio
pa i suza neka podje
kad po mene starost dodje
nek sam tamo gdje su moji svi

Kad zora svane
sretno ti i svako dobro
ja cu dalje prvim brodom
mog zivota gdje su korijeni

Ref.","https://tekstovi.net/2,536,58194.html",,,,,,,,,,,,,,,,,,,"a sad adio,
vrijeme je kad treba poći,
tamo gdje su južne noći,
da zagrlim svoje najdraže.

a sad adio,
nije sreća sva u zlatu,
svaka ptica svome jatu,
jednog dana ipak vrati se.

a sad, adios amerika,
tugo mojih dana.
u duši čovjek sam ja
s mediterana.

a sad, adios amerika,
za sve ti hvala.
žaliti neću za danima tim,
ostani zbogom, ja odlazim.

a sad, adio,
pa i suza neka pođe.
kad po mene starost dođe,
nek sam tamogdje su moji svi.

kad zora svane,
sretno ti i svako dobro.
ja ću dalje prvim brodom,
mog života gdje su korjeni.

a sad, adios amerika,
tugo mojih dana.
u duši čovjek sam ja
s mediterana.

a sad, adios amerika,
za sve ti hvala.
žaliti neću za danima tim
ostani zbogom, ja odlazim.

a sad, adios amerika,
tugo mojih dana.
u duši čovjek sam ja
s mediterana.

a sad, adios amerika,
za sve ti hvala.
žaliti neću za danima tim
ostani zbogom.
ja odlazim!

žaliti neću za danima tim,
ostani zbogom.
ja odlazim!",Adios Amerika,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/adios-amerika.html
1,FJdcVEAU_1_1,Jasmin Stavros,Jasmin Stavros,Aj aje aja je,727,"Ljubi me po vratu njezno kao prah
nista ne govori da osjetim ti dah
diraj me polako k’o vjetar proljetni
uzbudi me, probudi me, to znas samo ti

U dusu mi zaviri, zivce mi smiri
kao pilule, kao pilule
 
Ref.
Aj aje, aja je, s tobom mi je najbolje
aj aje, aja je, s tobom mi je najbolje
aj aje, aja je, sto je dobro, dobro je
aj aje, aja je, s tobom mi je najbolje

(Aj aje, aja je, aj aje, aja je)

Ref. 3x","https://tekstovi.net/2,536,58013.html",,,,,,,,,,,,,,,,,,,,,
2,FJdcVEAU_1_2,Jasmin Stavros,Jasmin Stavros,Alkohol (feat. Mladen Grdovic),45756,"Ma moramo pivat', prestani lokat'
ma nece nas valjda publika ukokat'
ma portali ce nas razvalit', ma ne bi' ja
a stvarno nisam puno pija
e da, ma ne ja sam

Svako jutro pocinje
s dvi-tri loze nataste
onda cet'ri, pet i sest
jer su prave domace
oci su mi crvene
 
Onda posli marende
dva-tri stula bevande
onda litre dolaze
piva se pripovida
eto vec i obida

Pazi ovako

Alkohol, alkohol za glavobolju i bol
alkohol, alkohol ako 'oces ispast' vol
alkohol, alkohol pucas penal, falis gol
pa zar valja alkohol

Ma slusaj ti mene

Ref.
Alkohol, alkohol za veselje i za bol
alkohol, alkohol njanci cukar, njanci sol
alkohol, alkohol bez njega je prazan stol
joj sto volim alkohol

Narod kaze ko ne pije
narod kaze ko ne pije
virovat' mu nije

Ref.

Onda posli obida
ide malo biloga
znaci danas cilega
bez njega se ne more
eto vec i vecere

Dan je bio naporan
ma zato sam i umoran
ako tako nastavis
doci ces do ivice
daj mi malo pivice

Narod kaze ko ne pije
narod kaze ko ne pije
virovat' mu nije

Ref.

Narod kaze ko ne pije
narod kaze ko ne pije
virovat' mu nije

Ref.","https://tekstovi.net/2,536,29425.html",,,,,,,,,,,,,,,,,,,,,
3,FJdcVEAU_1_3,Jasmin Stavros,Jasmin Stavros,Alkohol (feat. Slavonske Lole),839,"Treba’ce svirat, ostavite flase
ma samo ti gledaj u prste nase
ali portali ce nas razvaliti, i mene i tebe
slusaj ti mene, ma ko ih
ma eto to ti govorim

A svako jutro pocinje
s dvi, tri ljute rakije
onda cet'ri, pet i sest
jer su prave domace
oci se razrogace
 
Onda dodjes do vina
posli dobrog kulina
piva se i divani
svako rundu dig’o je
evo nam cak stig'o je

Pazi ovako

Ref.
Alkohol, alkohol, za glavobolju i bol
alkohol, alkohol, ako ‘oces ispast' vol
alkohol, alkohol, pucas penal, falis gol
pa zar valja alkohol

Ma slusaj ti mene

Alkohol, alkohol, za veselje i za bol
alkohol, alkohol, nista secer, samo sol
alkohol, alkohol, bez njega je prazan stol
joj, sto volim alkohol

Narod kaze ko ne pije
narod kaze ko ne pije
virovat' mu nije

A onda posli obida
ide malo biloga
znaci danas cilega
bez njega se ne more
eto vec i vecere

Dan je bio naporan
ma zato san i umoran
ako tako nastavis
doci ces do ivice
daj mi malo pivice

Ref.

Ref.

Joj, sto volim alkohol","https://tekstovi.net/2,536,58586.html",,,,,,,,,,,,,,,,,,,,,
4,FJdcVEAU_1_4,Jasmin Stavros,Jasmin Stavros,Bepo Smokvica,772,"Ej, Ante esi vidija Bepa
 mislin na Bepa Smokvicu
ia, ia, ia

Nesrica san ja
to vec svatko zna
kazu za me more nije
 
Kuda plovi brod 
ne zna niti Bog
kada Bepo trizan nije

Posa je na Brac, ni se moga snac
makina je stala porat
sjeba je Hvar, skrenija na Hvar
falija je Bepo porat

Bepo, Bepo Smokvica
djava ti se divi
uvik cinis nevolju
u Hvaru na rivi

Bepo, Bepo Smokvica
ne zna di je cima 
u bocunu oseka
a u tilu plima

U bocunu oseka 
a u tilu plima

A di je Bepo 

Popija je sve
da padne u more
pluta bi kada je bova

Ne zna Bepo moj
ni postola broj
di je krma, di je prova

Poloka je sve, vina, rakije
bit ce nocas jos belaja
sija je na pod, ni za Bepa brod
fali more, drz′ se kraja

Bepo, Bepo Smokvica

Bepo, Bepo Smokvica
u bocunu oseka 
a u tilu plima
a u tilu plima","https://tekstovi.net/2,536,57780.html",,,,,,,,,,,,,,,,,,,".... Ej, Ante esi vidija Bepa, mislin na Bepa Smokvicu.....
Ia, ia, ia......
Nesrića san ja
To već svatko zna
Kažu za me more nije
Kuda plovi brod ne zna niti Bog
Kada Bepo trizan nije
Poša je na Brač, nise moga snać
Makina je stala porat
Sjeba je Hvar, skrenija na Hvar
Falija je Bepo porat

Bepo, Bepo Smokvica
Đava ti se divi
Uvik činiš nevolju
U Hvaru na rivi ...
Bepo, Bepo Smokvica
Ne zna di je cima
U bocunu oseka, u tilu plima

A di je Bepo....
Popija je sve
Da padne u more
Pluta bi kada je bova
Ne zna Bepo moj
Ni postola broj
Di je krma di je prova
Poloka je sve, vina, rakije
Bit će noćas još belaja
Sija je na pod, ni za Bepa brod
Fali more, drž' se kraja
Bepo, Bepo Smokvica
Đava ti se divi
Uvik činiš nevolju
U Hvaru na rivi ...
Bepo, Bepo Smokvica
Ne zna di je cima
U bocunu oseka, u tilu plima ....",Bepo smokvica,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/bepo-smokvica.html
5,FJdcVEAU_1_5,Jasmin Stavros,Jasmin Stavros,Bez tebe,1027,"Za nista na svijetu
te mijenjao ne bi
jer srecu sto imam
ja dugujem tebi

Ti si mi zena
sestra i mati
vise nijedna
mi ne moze dati
 
Ref.
Bez tebe, bez tebe
ja bi bio slucaj izgubljen
od prvog dana sam
u tebe, ljubavi, zaljubljen

Bez tebe, k'o stranac
u tudjini bio bi izgubljen
totalno moj bi zivot
bio besmislen, bez tebe

Kad s puta se vracam
i blizu sam kuce
srce mi brze
i glasnije tuce

U zlu i u dobru
sa mnom si bila
s tobom je meni
prava idila

Ref. 3x

Bez tebe","https://tekstovi.net/2,536,58009.html",,,,,,,https://lyricstranslate.com/en/language/english,['Hrvoje Grčević'],['Jadranka Krištof'],['Hrvoje Grčević'],['Jasmin Stavros'],https://diskografija.com/pjesma/bez-tebe-4254.htm,Bez tebe,,,,,,,,
6,FJdcVEAU_1_6,Jasmin Stavros,Jasmin Stavros,Bila je,46167,"Dugo je nema, pa lazem
da sam je prebolio
a znam nikada nisam
poslije nikog volio

Ona je stigla sa juga 
lagano u zivot moj
nestala k'o proljetna duga
ja jos uvijek nisam svoj
 
Isti mi je svaki dan
kao vjecnost dosadan
i bilo gdje da pogledam
sjetim se nje

Ref. 2x
Bila je jesen zivota mog
bila je ljeto srca vatrenog
bila je zima topla i ugodna
u mome krilu bila je sigurna

Dugo je nema pa lazem
da sam sve prebolio
lijepu k'o proljetna duga
samo nju sam volio

Isti mi je svaki dan
kao vjecnost dosadan
i bilo gdje da pogledam
sjetim se nje

Ref.","https://tekstovi.net/2,536,6048.html",,,,,,,,['Fedor Boić'],['Fedor Boić'],['Fedor Boić'],['Jasmin Stavros'],https://diskografija.com/pjesma/bila-je-1894.htm,Bila je,,,,,,"Dugo je nema, pa lazem
da sam je prebolio,
a znam nikada nisam
poslije nikog volio
ona je stigla sa juga
lagano u zivot moj
nestala ko proljetna duga,
ja jos uvijek nisam svoj

Isti mi je svaki dan,
kao vjecnost dosadan
i bilo gdje da pogledam,
sjetim se nje

Bila je jesen zivota mog,
bila je ljeto srca vatrenog,
bila je zima topla i ugodna,
u mome krilu bila je sigurna

Dugo je nema pa lazem
da sam sve prebolio
lijepu ko proljatna duga,
samo nju sam volio

Isti mi je svaki dan,
kao vjecnost dosadan
i bilo gdje da pogledam,
sjetim se nje",Bila je,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/bila-je.html
7,FJdcVEAU_1_7,Jasmin Stavros,Jasmin Stavros,Bila si daleko,993,"Cuvao sam tvoju sliku
mnogo dugih, dugih godina
tepao sam njezno liku
skoro ce se vratit' voljena

Gledao sam tvoje oci
traze me u svakom pogledu
sanjao sam tvoje kose
raspletene na mom uzglavlju
 
Ref. 2x
Bila si daleko
al' si bila u srcu mom
bio sam daleko
da l' sam bio u srcu tvom

Mastao sam o tvom liku
mnogo dugih, dugih godina
vidio sam na tvom licu
dane s one strane cekanja

Saptao sam rijeci njezne
zelec' da ih cujes samo ti
pisao sam pisma duga
nek' ti pricaju o ljubavi

Ref. 4x

Da l' sam bio u srcu tvom","https://tekstovi.net/2,536,57992.html",,,,,,,,['Zdenko Runjić'],['Zdenko Runjić'],['Rajko Dujmić'],['Jasmin Stavros'],https://diskografija.com/pjesma/bila-si-daleko-12832.htm,Bila si daleko,1988 - Evo mene opet,2007 - Zlatna kolekcija,,,,"Čuvao sam tvoju sliku mnogo dugih, dugih godina
Tepao sam nježno lik, uskoro će se vratit voljena
Gledao sam tvoje oči, traže me u svakom pogledu
Sanjao sam tvoje kose raspletene na mom uzglavlju

Bila si daleko, al' si bila u srcu mom
Bio sam daleko, dal' sam bio u srcu tvom?
Bila si daleko, al' si bila u srcu mom
Bio sam daleko, dal' sam bio u srcu tvom?

Maštao sam o tvom liku mnogo dugih, dugih godina
Vidio sam na tvom licu dane s one strane čekanja
Šaptao sam riječi nježne želeć da ih čuješ samo ti
Pisao sam pisma duga nek ti pričaju o ljubavi",Bila si daleko,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/bila-si-daleko.html
8,FJdcVEAU_1_8,Jasmin Stavros,Jasmin Stavros,"Blago tebi, blago meni",956,"Od prvog sam dana znao
ljubav si za zivot cijeli
bilo bi mi zao
da se nikad nismo sreli

Vjetrovi kroz zivot nose
nase zelje, nase snove
hvala Bogu sto se
moja ljubav tvojom zove
 
Ref.
Blago tebi, blago meni
sto se tako volimo
mi bez nase ljubavi
ne postojimo

Blago tebi, blago meni
lijep je zivot kada znas
da si nekom ljubav sva
da mu pripadas

Ref. 2x","https://tekstovi.net/2,536,58587.html",,,,,,,,,,,,,,,,,,,,,
9,FJdcVEAU_1_9,Jasmin Stavros,Jasmin Stavros,Boli,16291,"Boli, otkad te nema sve me boli
jos dusa moja tvoju voli
a tebe nema ni za lijek
ljubim te, ljubim zauvijek

Na srcu stara rana
nosim je godinama
od trena kad si otisla
praznina naseg stana
ubija svakog dana
tuga me cijelog slomila
 
Trudim se svakodnevno
lose je stanje, bijedno
od trena kad si otisla
bez tebe necu moci
ko vjecnost teku noci
tuga me cijelog slomila

Ref.
Boli, otkad te nema sve me boli
jos dusa moja tvoju voli
a tebe nema ni za lijek
boli, otkad te nema sve me boli
jos dusa moja tvoju voli
a tebe nema ni za lijek
ljubim te, ljubim zauvijek

Na srcu stara rana
nosim je godinama
od dana kad si otisla
bez tebe necu moci
ko vjecnost teku noci
tuga me cijelog slomila

Ref. 2x
","https://tekstovi.net/2,536,24050.html",,,,,,,,,,,['Jasmin Stavros'],https://diskografija.com/pjesma/boli-12839.htm,Boli,,,,,,"Boli, otkad te nema sve me boli,
još duša moja tvoju voli,
a tebe nema ni za lijek,
ljubim te, ljubim zauvijek...

Na srcu stara rana, nosim je godinama,
od trena kad si otišla...
praznina našeg stana ubija svakog dana,
tuga me cijelog slomila...

Trudim se svakodnevno, loše je stanje, bijedno,
od trena kad si otišla (...a - ha...)
bez tebe neću moći (...a - ha...),
k'o vječnost teku noći (...a - ha...)
tuga me cijelog slomila...

Boli, otkad te nema sve me boli,
još duša moja tvoju voli,
a tebe nema ni za lijek...

Boli, otkad te nema sve me boli,
još duša moja tvoju voli,
a tebe nema ni za lijek,
ljubim te, ljubim zauvijek...

Na srcu stara rana, nosim je godinama,
od trena kad si otišla (...a - ha...)
bez tebe neću moći (...a - ha...), k'o vječnost teku noći (...a - ha...)
tuga me cijelog slomila...",Boli,https://cuspajz.com//tekstovi-pjesama/pjesma/jasmin-stavros/boli.html
