Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Backing Vocals_discogs,Engineer_discogs,Arranged By_discogs,Featuring_discogs,Vocals_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Jasna Zlokić,Jasna Zlokić,"Nina, Nana",,"Nina, Nana / Krugovi Na Vodi",1982.0,,,,,,,,,"1982.0-Nina, Nana / Krugovi Na Vodi","1982.0-Nina, Nana / Krugovi Na Vodi/2007.0-Zlatna Kolekcija"
Jasna Zlokić,Jasna Zlokić,Krugovi Na Vodi,,"Nina, Nana / Krugovi Na Vodi",1982.0,,,,,,,,,"1982.0-Nina, Nana / Krugovi Na Vodi","1982.0-Nina, Nana / Krugovi Na Vodi"
Jasna Zlokić,Jasna Zlokić,Skitnica,,Skitnica / Ostavi Trag,1984.0,Momčilo J. Popadić,,,,,,,,1984.0-Skitnica / Ostavi Trag,1984.0-Skitnica / Ostavi Trag/nan-Bez Predaha • Super Mix 29 Hitova/1997.0-Sve Ove Godine - Zlatni Hitovi/2007.0-Zlatna Kolekcija/2010.0-Dueti/2015.0-The Best Of Collection/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Ostavi Trag,,Skitnica / Ostavi Trag,1984.0,Saša Eraković,,,,,,,,1984.0-Skitnica / Ostavi Trag,1984.0-Skitnica / Ostavi Trag/nan-Pusti Me Da Prođem/nan-Bez Predaha • Super Mix 29 Hitova/2007.0-Zlatna Kolekcija/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Pusti Me Da Prođem,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem/1997.0-Sve Ove Godine - Zlatni Hitovi/2007.0-Zlatna Kolekcija
Jasna Zlokić,Jasna Zlokić,Proljetni San,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem
Jasna Zlokić,Jasna Zlokić,Ti Me Ne Voliš,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem
Jasna Zlokić,Jasna Zlokić,Ne Vjeruj Pjesmi U Snu,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem/2007.0-Zlatna Kolekcija
Jasna Zlokić,Jasna Zlokić,Ne Znam Koji Vjetar Puše,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem/nan-Bez Predaha • Super Mix 29 Hitova/1997.0-Sve Ove Godine - Zlatni Hitovi/2007.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Jasna Zlokić,Jasna Zlokić,Negdje Daleko,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Moj Zorane,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem
Jasna Zlokić,Jasna Zlokić,U Tom Grubom Svijetu,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem/2007.0-Zlatna Kolekcija/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Ukradi Malo Vremena I Za Nas,,Pusti Me Da Prođem,,,,,,,,,,nan-Pusti Me Da Prođem,nan-Pusti Me Da Prođem/2007.0-Zlatna Kolekcija/2015.0-The Best Of Collection/2017.0-50 Originalnih Pjesama
Jasna Zlokić,Jasna Zlokić,Moj Anđele,,Moj Anđele / Vjeruj Mi,1985.0,,,,,,,,,1985.0-Moj Anđele / Vjeruj Mi,1985.0-Moj Anđele / Vjeruj Mi/nan-Vjeruj Mi/nan-Bez Predaha • Super Mix 29 Hitova/2007.0-Zlatna Kolekcija
