Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Lyrics By_discogs,Music By_discogs,Featuring_discogs,Album_year_discogs,Album_year_title_discogs,All_albums_discogs
Jole,Jole (2),Jednina I Množina,,Jednina I Množina,,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija/2018.0-The Best Of Collection
Jole,Jole (2),Od Nemila Do Nedraga,,Jednina I Množina,Miroslav Škoro,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija
Jole,Jole (2),Nosi Mi Se Bijela Boja,,Jednina I Množina,,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija/2018.0-The Best Of Collection
Jole,Jole (2),Meni Trebaš Ti,,Jednina I Množina,Zdenko Runjić,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija
Jole,Jole (2),Manje - Više,,Jednina I Množina,,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija
Jole,Jole (2),Gavran,,Jednina I Množina,,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija/2018.0-The Best Of Collection
Jole,Jole (2),"Zove, Zove, Jole, Jole",,Jednina I Množina,,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija/2018.0-The Best Of Collection
Jole,Jole (2),Čaša Vina,,Jednina I Množina,Dado Pastuović,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija
Jole,Jole (2),Kada Odem,,Jednina I Množina,,Bratislav Zlatanović,Dražen Zečić,,,nan-Jednina I Množina,nan-Jednina I Množina
Jole,Jole (2),Nešto Za Dušu,,Jednina I Množina,,Bratislav Zlatanović,Dražen Zečić,,,nan-Jednina I Množina,nan-Jednina I Množina
Jole,Jole (2),Duša Od Papira,,Jednina I Množina,,,,,,nan-Jednina I Množina,nan-Jednina I Množina/2007.0-Zlatna Kolekcija/2018.0-The Best Of Collection
Jole,Jole (2),Ne Dirajte Uspomenu,,Jednina I Množina,,Milan Terze,Alen Nižetić,,,nan-Jednina I Množina,nan-Jednina I Množina
Jole,Jole (2),Čudna Klima,,Sve Su Žene Lijepe,,,,,,nan-Sve Su Žene Lijepe,nan-Sve Su Žene Lijepe/2018.0-The Best Of Collection
Jole,Jole (2),Mravi,3:31,Sve Su Žene Lijepe,,,,,,nan-Sve Su Žene Lijepe,nan-Sve Su Žene Lijepe
Jole,Jole (2),Mjesečina,3:20,Sve Su Žene Lijepe,,,,,,nan-Sve Su Žene Lijepe,nan-Sve Su Žene Lijepe
Jole,Jole (2),Gdje Bi Htjela,3:12,Sve Su Žene Lijepe,,,,,,nan-Sve Su Žene Lijepe,nan-Sve Su Žene Lijepe/2007.0-Zlatna Kolekcija
Jole,Jole (2),Nisi Me Voljela,3:10,Sve Su Žene Lijepe,,,,,,nan-Sve Su Žene Lijepe,nan-Sve Su Žene Lijepe/2007.0-Zlatna Kolekcija
