Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Featuring_discogs,Album_year_discogs,All_albums_discogs
0,RVoUr7Lb_1_0,Jole,Jole,Bagrem bijeli,50346,"Jole, molim te nemoj me vise zvat


K'o pijesak kroz prste samo prosla si
otisla od mene prije no sto dosla si
drago mi je kad u drustvu spomenu te bar
pa me sjete kakav smo mi bili par
 

Ref.(2x)
Samo od sebe to tako krene
k'o bagrem bijeli ljubav vene
sve je i sada na mjestu svome
samo ja nisam tu u srcu tvome


K'o pijesak kroz prste samo prosla si
otisla od mene prije no sto dosla si
drago mi je kad u drustvu spomenu te bar
pa me sjete kakav smo mi bili par

Ref.(2x)

Naj, naj, na naj naj, naj naj na naj

Ref.(2x)

Samo ja nisam tu u srcu tvome","https://tekstovi.net/2,831,28142.html",,Bagrem bijeli,White Locust,,"(""Jole, molim te nemoj me više zvati"")
1. Kao pijesak kroz prste
samo prošla si.
Otišla od mene
prije no što došla si.. Drago mi je kad u društvu
spomenu te bar
pa me sjete
kakav smo mi bili par.. (Pripjev)
Samo od sebe to tako krene
k´o bagrem bijeli, ljubav vene.
Sve je i sada na mjestu svome,
samo ja nisam tu, u srcu tvome.","(Video): ""Jole, please don't call me anymore"". Like sand through my fingers
you just passed,
you left me
before you came. I'm glad when with friends
they mention you in the bar
so then I remember
how we were a couple.. By itself, that's how it goes
like white locust, Love dies,
everything now is at its own place
only, I'm not here in your heart.",https://lyricstranslate.com/en/bagrem-bijeli-white-locust.html,['Jole'],https://diskografija.com/pjesma/bagrem-bijeli-14360.htm,Bagrem bijeli,,,,,,,,,,,,,Jole (2),Bagrem Bijeli,3:27,Odijelo,,,,2009.0,2009.0-Odijelo/2013.0-Za Djecu S Ljubavlju
1,RVoUr7Lb_1_1,Jole,Jole,Bailando,10135,"Ref.
Adresa stara, novi broj
vise nisam tvoj
 vise nisam tvoj

 Sada disem sada znam
 ti si lazni sjaj
 vise mi se ne vracaj
 
Imam dupli prijelom srca
 otvorene zive rane
 gazila si ko po blatu 
ljubav moju sve te dane

Hodala si malo lijevo
 hodala si malo desno
 bilo ti tjesno

 A sad bi htjela
 opet usne da mi nudis
 ma stvarno zasto se trudis

Kasno je sad, kasno je za sve
 nemoj da me zoves svojim
 njegove plahte jos po tebi mirisu 
i po njemu dane krojis

Ref.

Ref. 2x","https://tekstovi.net/2,831,38579.html",,Bailando solo,,Remek djelo,"Refren
Adresa stara, novi broj
više nisam tvoj
više nisam tvoj. Sada dišem sada znam
ti si lažni sjaj
vise mi se ne vraćaj. Imam dupli prijelom srca
otvorene žive rane
gazila si ko po blatu
ljubav moju sve te dane. Hodala si malo lijevo
hodala si malo desno
bilo ti tijesno. A sad bi htjela
opet usne da mi nudiš
ma stvarno zašto se trudiš. Kasno je sad, kasno je za sve
nemoj da me zoveš svojim
njegove plahte još po tebi mirišu
i po njemu dane krojiš. Refren
Adresa stara, novi broj
više nisam tvoj
više nisam tvoj. Sada dišem sada znam
ti si lažni sjaj
vise mi se ne vraćaj. Imam dupli prijelom srca
otvorene žive rane
gazila si ko po blatu
ljubav moju sve te dane. Hodala si malo lijevo
hodala si malo desno
bilo ti tijesno. A sad bi htjela
opet usne da mi nudiš
ma stvarno zašto se trudiš. Kasno je sad, kasno je za sve
nemoj da me zoveš svojim
njegove plahte još po tebi mirišu
i po njemu dane krojiš. Refren x2",,https://lyricstranslate.com/en/jole-bailando-solo-lyrics.html,['Jole'],https://diskografija.com/pjesma/bailando-solo-20173.htm,Bailando solo,,,,,,,,,,,,,,,,,,,,,
2,RVoUr7Lb_1_2,Jole,Jole,Bezbolno,1948,"U zivotu neke stvari
samo prodju
da ne osjetis

Iznenada jednom odu
ko sto dodju
da se ne sjetis
 
A sad tebi slicne sve su
i po glasu i po plesu
al mi srce ne zanesu

Besane se noci dese
pisem pisma bez adrese
sto te vjetar ne donese

Ref.
Bezbolno
ne moze preko noci
ovakva ljubav proci

Bezbolno
ne ide tako lako
kad jos te volim prejako

A sad tebi slicne sve su
i po glasu i po plesu
al mi srce ne zanesu

Besane se noci dese
pisem pisma bez adrese
sto te vjetar ne donese

Ref.","https://tekstovi.net/2,831,51185.html",,Bezbolno,,Odijelo,"U životu neke stvari
samo prođu
da ne osjetiš. Iznenada jednom odu
ko što dođu
da se ne sjetiš. A sad tebi slične sve su
i po glasu i po plesu
al mi srce ne zanesu. Besane se noći dese
pišem pisma bez adrese
što te vjetar ne donese. Refren x2
Bezbolno
ne može preko noći
ovakva ljubav proći. Bezbolno
ne ide tako lako
kad još te volim prejako. A sad tebi slične sve su
i po glasu i po plesu
al mi srce ne zanesu. Besane se noći dese
pišem pisma bez adrese
što te vjetar ne donese. Refren x2
Bezbolno
ne može preko noći
ovakva ljubav proći. Bezbolno
ne ide tako lako
kad još te volim prejako, prejako",,https://lyricstranslate.com/en/jole-bezbolno-lyrics.html,['Jole'],https://diskografija.com/pjesma/bezbolno-14361.htm,Bezbolno,,,,,,,,,,,,,Jole (2),Bezbolno,3:41,Odijelo,,,,2009.0,2009.0-Odijelo/2013.0-Za Djecu S Ljubavlju
3,RVoUr7Lb_1_3,Jole,Jole,Casa vina,20038,"Donesi casu na moj stol
popit ces sa mnom malo vina
za dane nestale, te rijeke nemirne
sto su se u more ulile

Polako pricaj mi o njoj
mirisa istih da se sjetim
jer sve su nestale te noci nemirne
sa sobom je odnijele
 
Ref.
Nek patim, nek mi je tesko
popit cu, priznat cu gresku
jer pamtim sretne dane svoje
velike ljubavi moje

Nek patim, nek mi je krivo
popit cu, sretno joj bilo
jer kad je otisla sobom je odnijela
i pola moga sjecanja","https://tekstovi.net/2,831,20253.html",,Čaša vina,Kielich wina,,"Donesi čašu na moj stol
Popit ćeš sa mnom malo vina
Za dane nestale, te rijeke nemirne
Što su se u more ulile. Polako pričaj mi o njoj
Mirisa istih da se sjetim
Jer sve su nestale te noći nemirne
Sa sobom je odnijele. Nek' patim, nek' mi je teško
Popit ću, priznat ću grešku
Jer pamtim sretne dane svoje
Velike ljubavi moje. Nek' patim, nek' mi je krivo
Popit ću, sretno joj bilo
Jer kad je otišla sobom je odnijela
I pola moga sjećanja","Przynieś kielich na mój stół
Wypijesz ze mną trochę wina
Za dni które się skończyły, te niespokojne rzeki
Które się do morza wylały. Powoli opowiadaj mi o niej
Przypomnę sobie tamten zapach
Gdyż wszystkie się skończyły, te noce niespokojne
Zabrały ją ze sobą. Niech cierpię, niech mi będzie ciężko
Wypiję, wyznam błędy
Gdyż pamiętam swoje szczęśliwe dni
Mojej wielkiej miłości. Niech cierpię, niech mi będzie źle
Wypiję, niech będzie szczęśliwa
Gdyż kiedy odeszła, zabrała ze sobą
Połowę moich wspomnień",https://lyricstranslate.com/en/%C4%8Da%C5%A1a-vina-kielich-wina.html,['Jole'],https://diskografija.com/pjesma/casa-vina-1905.htm,Čaša vina,,,,,,,,,,"Donesi čašu na moj stol
Popit ćeš sa mnom malo vina
Za dane nestale, te rijeke nemirne
Što su se u more ulile

Polako pričaj mi o njoj
Mirisa istih da se sjetim
Jer sve su nestale te noći nemirne
Sa sobom je odnijele

Nek patim nek mi je teško
Popit ću, priznat ću grešku
Jer pamtim sretne dane svoje
Velike ljubavi moje

Nek patim nek mi je krivo
Popit ću, sretno joj bilo
Jer kad je otišla sobom je odnijela
I pola moga sjećanja",Čaša vina,https://cuspajz.com//tekstovi-pjesama/pjesma/jole/casa-vina.html,Jole (2),Čaša Vina,,Jednina I Množina,,,,,nan-Jednina I Množina/2007.0-Zlatna Kolekcija
4,RVoUr7Lb_1_4,Jole,Jole,Cudna klima,5484,"U sitne sate kad misli svrate
pomislim Boze sto me veze za te
da i poslije svega godina daljina
ljubavi za tebe jos u meni ima

Ti si mi srce ucinila slugom
a ljepotu svoju darovala drugom
kad na loptu stanem, sve na kocku bacim
ja bi samo da se pokraj tebe skrasim
 
Ooooo.... otkad nismo zajedno

Ref. 2x
U meni vlada neka cudna klima
mozda su krive tuga i gorcina
i ne znam zasto poslije puno vina
u proljece kasno vrati mi se zima","https://tekstovi.net/2,831,32184.html",,Čudna klima,,Sve su žene lijepe,"U sitne sate kad misli svrate
pomislim Bože sto me veze za te
da i poslije svega godina daljina
ljubavi za tebe još u meni ima. Ti si mi srce učinila slugom
a ljepotu svoju darovala drugom
kad na loptu stanem, sve na kocku bacim
ja bi samo da se pokraj tebe skrasim. Ooooo.... otkad nismo zajedno. Refren x2
U meni vlada neka čudna klima
možda su krive tuga i gorčina
i ne znam zašto poslije puno vina
u proljeće kasno vrati mi se zima",,https://lyricstranslate.com/en/jole-%C4%8Dudna-klima-lyrics.html,['Jole'],https://diskografija.com/pjesma/cudna-klima-538.htm,Čudna klima,,,,,,,,,,"U sitne sate kad misli svrate
Pomislim Bože što me veže za te
Da i poslije svega godina daljina
Ljubavi za tebe još u meni ima

Ti si mi srce učinila slugom
A ljepotu svoju darovala drugom
Kad na loptu stanem, sve na kocku bacim
Ja bi samo da se pokraj tebe skrasim

Ooooo.... otkad nismo zajedno

U meni vlada neka čudna klima
Možda su krive tuga i gorčina
I neznam zašto poslije puno vina
U proljeće kasno vrati mi se zima

Ti si mi srce učinila slugom
A ljepotu svoju darovala drugom
Ka na loptu stanem, sve na kocku bacim
Ja bi samo da se pokraj tebe skrasim

Ooooo.... otkad nismo zajedno",Čudna klima,https://cuspajz.com//tekstovi-pjesama/pjesma/jole/cudna-klima.html,Jole (2),Čudna Klima,,Sve Su Žene Lijepe,,,,,nan-Sve Su Žene Lijepe/2018.0-The Best Of Collection
5,RVoUr7Lb_1_5,Jole,Jole,Do raja (duet Toni Bliznac),8283,"Dok si nocima pijan stiza u sitne sate
ona je branila tebe i govorila za te
niti rici nikom kontra nije dala
cekala tebe i svojim te zvala

Jole nisam to zna, sve na svitu bi da
da mi pruzi sansu, vrime da mi vratit
kasno je sad, onda bio sam mlad
nestasne greske glavom morao sam platit
 
Prijatelju probaj sve
 jer nada zadnja umire

Ref.
U radosti i ocaju
 jos pamtim njezinu lipotu
u spokoju i beznadju 
jos vise njezinu dobrotu

Sad slusaj me, ne predaj se
za nju vridi borit se do kraja
osvojit ces ti opet nju
uporni dolaze do raja

Ref.2x","https://tekstovi.net/2,831,34559.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,,,,,,,,,,,,,"Dok si noćima pijan stiza u sitne sate
Ona je branila tebe i govorila za te
Niti riči nikom kontra nije dala
Čekala tebe i svojim te zvala

Jole nisam to zna, sve na svitu bi da
Da mi pruži šansu, vrime da mi vratit
Kasno je sad, onda bio sam mlad
Nestašne greške glavom morao sam platit
Prijatelju probaj sve jer nada zadnja umire
U radosti i očaju, još pamtim njezinu lipotu

U spokoju i beznađu još više njezinu dobrotu

Sad slušaj me, ne predaj se
Za nju vridi borit se do kraja
Osvojit ćeš ti opet nju
Uporni dolaze do raja ",Do raja (duet Toni Bliznac),https://cuspajz.com//tekstovi-pjesama/pjesma/jole/do-raja-duet-toni-bliznac.html,,,,,,,,,
6,RVoUr7Lb_1_6,Jole,Jole,Dodji veceras,42834,"Sve je tvoje u mom ormaru
i pidzame nase u paru
ni za sta ih ne bi odnio

Nadjimo se na pola puta
nocas ljubav za nama luta
znas da sam te uvijek volio
i samo bih te molio
 
Ref. 2x
Dodji veceras
nemoj na me bit' ljuta
bit' ce dobra nam, dobra
svaka minuta

Dodji, vino i pjesma
iza mojih su vrata
bit' ce rame uz rame
nase duse od zlata

Nek' te misli sve meni vode
mirises na godine dobre
na vremena sto su meni sve

Sve je tvoje u mom ormaru
i pidzame nase u paru
ni za sta ih ne bi odnio
i samo bih te molio

Ref. 3x

Ref.","https://tekstovi.net/2,831,21402.html",,Dođi večeras,,Otključano,"Sve je tvoje u mom ormaru
i pidžame naše u paru
ni za šta ih ne bi odnio. Nađimo se na pola puta
noćas ljubav za nama luta
znaš da sam te uvijek volio
i samo bih te molio. Refren x2
Dođi večeras
nemoj na me bit' ljuta
bit' će dobra nam, dobra
svaka minuta. Dođi, vino i pjesma
iza mojih su vrata
bit' će rame uz rame
naše duše od zlata. Nek' te misli sve meni vode
mirišeš na godine dobre
na vremena što su meni sve. Sve je tvoje u mom ormaru
i pidžame naše u paru
ni za šta ih ne bi odnio
i samo bih te molio. Refren x3
Dođi večeras
nemoj na me bit' ljuta
bit' će dobra nam, dobra
svaka minuta. Dođi, vino i pjesma
iza mojih su vrata
bit' će rame uz rame
naše duše od zlata",,https://lyricstranslate.com/en/jole-do%C4%91i-ve%C4%8Deras-lyrics.html,['Jole'],https://diskografija.com/pjesma/dodi-veceras-1914.htm,Dođi večeras,,,,,,,,,,"Sve je tvoje u mom ormaru
I pidžame naše u paru
Ni za šta ih ne bi odnio

Nađimo se na pola puta
Noćas ljubav za nama luta
Znaš da sam te uvijek volio
I samo bih te molio

Dođi večeras
Nemoj na me bit' ljuta
Bit' će dobra nam, dobra
Svaka minuta

Dođi, vino i pjesma
Iza mojih su vrata
Bit' će rame uz rame
Naše duše od zlata

Nek' te misli sve meni vode
Mirišeš na godine dobre
Na vremena što su meni sve

Sve je tvoje u mom ormaru
I pidžame naše u paru
Ni za šta ih ne bi odnio
I samo bih te molio",Dođi večeras,https://cuspajz.com//tekstovi-pjesama/pjesma/jole/dodji-veceras.html,Jole (2),Dodi Večeras,03:45,Otključano,,,,,nan-Otključano
7,RVoUr7Lb_1_7,Jole,Jole,Dom bez adrese,147,"Volio sam tvoje oci pune neba
volio sam tvoje oci pune sna
sad u njima nema sjaja kojeg trebam
ne volis me, duso, vise i ja to znam

Ti si bila prvi osmijeh moga jutra
samo jednom dusu takne takav sjaj
kako cu bez tebe docekati sutra
kako ovom srcu reci da je kraj
 
Ref. 2x
Idem sada predaleko gdje me more odnese
naci negdje jedno mjesto, novi dom bez adrese
gdje me nitko nece ni prepoznati
gdje me ljudi nece za te pitati

Ref. 2x

Gdje me nitko nece ni prepoznati
gdje me ljudi nece za te pitati","https://tekstovi.net/2,831,65157.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RVoUr7Lb_1_8,Jole,Jole,Dusa od papira,54754,"Ostalo je malo rijeci 
koje mogu tebi reci
ali cemu rane dirati

Gubili su jaci, veci
na kraju se karte slazu
ja ih nisam znao birati
 
Ref. 2x
Da je dusa od papira
nebi tada bila za te vezana nikada
da su suze od safira
nebi tad ni jedna mene dotakla

Ne kajem se ni zbog cega
svatko od nas kriz svoj nosi
a ja nosim za nas oboje

Ostalo je malo rijeci
koje mogu tebi reci
ali cemu rane dirati

Ref. 2x

Ref. 2x","https://tekstovi.net/2,831,20252.html",,Duša od papira,,,"Ostalo je malo riječi koje mogu tebi reći,
ali čemu rane dirati?
Gubili su jači, veći.
Na kraju se karte slažu,
ja ih nisam znao birati. (Pripjev)
Da je duša od papira, ne bi tada bila
za te vezana, nikada.
Da su suze od safira, ne bi tad ni jedna
mene dotakla.. Ne kajem se ni zbog čega.
Svatko od nas križ svoj nosi,
a ja nosim za nas oboje.
Ostalo je malo riječi koje mogu tebi reći,
ali čemu rane dirati?. (Pripjev)",,https://lyricstranslate.com/en/du%C5%A1a-od-papira-lyrics.html,['Jole'],https://diskografija.com/pjesma/dusa-od-papira-1908.htm,Duša od papira,,,,,,,,,,"Ostalo je malo riječi koje mogu tebi reći
Ali čemu rane dirati
Gubili su jači, veći, na kraju se karte slažu
Ja ih nisam znao birati

Da je duša od papira ne bi tada bila
Za te vezana nikada
Da su suze od safira ne bi tad ni jedna
Mene dotakla

Ne kajem se ni zbog čega, svatko od nas križ svoj nosi
A ja nosim za nas oboje
Ostalo je malo riječi koje mogu tebi reći
Ali čemu rane dirati",Duša od papira,https://cuspajz.com//tekstovi-pjesama/pjesma/jole/dusa-od-papira.html,Jole (2),Duša Od Papira,,Jednina I Množina,,,,,nan-Jednina I Množina/2007.0-Zlatna Kolekcija/2018.0-The Best Of Collection
9,RVoUr7Lb_1_9,Jole,Jole,Dva broja manja,21240,"Ref: 
Dva broja manja sad mi je dusa
otkad je nema u sebe usla
 ona je od mene otisla

Nered, sve je baceno
 ma briga me
zenska ruka davno tu ne miluje
njena sjena ovdje je
 i ni makac odatle
svaki kut je poznaje
 
Sa kaputa kisu jos otresam
i cetvrtak isti je k`o svaki dan
ja bi pronašao nju zatvorenih ociju
poznajem je po srcu

Ref:
Dva broja manja sad mi je dusa
otkad je nema u sebe usla
 ona je od mene otisla
moja je radost jedina bila 
dva broja manja sad su mi krila
 otkad je od mene otisla","https://tekstovi.net/2,831,30357.html",,,,,,,,['Jole'],https://diskografija.com/pjesma/dva-broja-manja-14363.htm,Dva broja manja,,,,,,,,,,"Dva broja manja sad mi je duša,
Otkad je nema u sebe ušla
Ona je od mene otišla

Nered, sve je bačeno, ma briga me
Ženska ruka davno tu ne miluje
Njena sjena ovdje je i ni makac odatle,
Svaki kut je poznaje.

Sa kaputa kišu još otresam
I četvrtak isti je k´o svaki dan
Ja bi pronašao nju zatvorenih očiju,
Poznajem je po srcu.

Dva broja manja sad mi je duša,
Otkad je nema u sebe ušla
Ona je od mene otišla.

Moja je radost jedina bila,
Dva broja manja sad su mi krila,
Otkad je od mene otišla.",Dva broja manja,https://cuspajz.com//tekstovi-pjesama/pjesma/jole/dva-broja-manja.html,Jole (2),Dva Broja Manja,3:31,Odijelo,,,,2009.0,2009.0-Odijelo
