Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
4XHKfXTU_1_0,Krunoslav Kićo Slabinac,Ako zora ne svane,https://lyricstranslate.com/en/ako-zora-ne-svane-if-dawn-doesnt-come.html,7861,,,1995,Ako zora ne svane,03:05
4XHKfXTU_1_1,Krunoslav Kićo Slabinac,Alaj volim u kolu igrati,"https://tekstovi.net/2,686,65032.html",70,[Narodna],[Narodna],,Seoska Sam Lola,
4XHKfXTU_1_2,Krunoslav Kićo Slabinac,Becarac (feat. Slavonski dukati),"https://tekstovi.net/2,686,53269.html",8790,,,,Bećarac,
4XHKfXTU_1_3,Krunoslav Kićo Slabinac,"Bila je tako lijepa, bila je tako mlada","https://tekstovi.net/2,686,64824.html",186,,,1978.0,Pusti Noćas Svoje Kose,
4XHKfXTU_1_4,Krunoslav Kićo Slabinac,Bila si djevojcica,"https://tekstovi.net/2,686,64823.html",126,[Zdenko Runjić],[Zdenko Runjić],,Krunoslav Slabinac,
4XHKfXTU_1_5,Krunoslav Kićo Slabinac,Budi sretna Slavonijo,"https://tekstovi.net/2,686,53261.html",1773,[Šima Jovanovac],[Šima Jovanovac],1991,Za tebe,3:22
4XHKfXTU_1_6,Krunoslav Kićo Slabinac,Budi to sto jesi,"https://tekstovi.net/2,686,64814.html",144,[Krunoslav Slabinac Kićo],[Krunoslav Slabinac Kićo],1986,Dal' se sjećaš,
4XHKfXTU_1_7,Krunoslav Kićo Slabinac,Bura,https://lyricstranslate.com/en/bura-bora.html-0,1452,[Mario Vukelić],[Srećko Zubak],,"Tiho, Tiho Uspomeno",3:03
4XHKfXTU_1_8,Krunoslav Kićo Slabinac,Cija kola klepecu sokakom,"https://tekstovi.net/2,686,65031.html",64,[Narodna],[Narodna],,Seoska Sam Lola,
4XHKfXTU_1_9,Krunoslav Kićo Slabinac,Cija si,"https://tekstovi.net/2,686,49717.html",2266,[B. Stefanovski],[S. Dimitrov],1971.0,Čija Si,
4XHKfXTU_1_10,Krunoslav Kićo Slabinac,Crne oci dobro vide,"https://tekstovi.net/2,686,65027.html",78,,,,Hej Bećari,
4XHKfXTU_1_11,Krunoslav Kićo Slabinac,Cvijet čežnje,https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/cvijet-ceznje.html,950,[Tomislav Zuppa],[Zdenko Runjić],1970,Cvijet čežnje,
4XHKfXTU_1_12,Krunoslav Kićo Slabinac,"Da sam tvoje riječi slušao, majko",https://lyricstranslate.com/en/da-sam-tvoje-rijeci-slusao-majko-if-i-had-listened-your.html,490,[Arsen Dedić],[Krunoslav Slabinac Kićo],1986,Dal' se sjećaš,
4XHKfXTU_1_13,Krunoslav Kićo Slabinac,Dan koji se pamti,https://lyricstranslate.com/en/dan-koji-se-pamti-day-remember.html,1902,[Ivica Kasumović],[Alfi Kabiljo],1978,Pusti noćas svoje kose,
4XHKfXTU_1_14,Krunoslav Kićo Slabinac,Dobri stari radio,"https://tekstovi.net/2,686,63832.html",286,,,1976.0,Dobri Stari Radio,
4XHKfXTU_1_15,Krunoslav Kićo Slabinac,Dravski pecaros,"https://tekstovi.net/2,686,40683.html",3263,,,,,
4XHKfXTU_1_16,Krunoslav Kićo Slabinac,"Ej, tamburo",https://lyricstranslate.com/en/ej-tamburo-hey-tambura.html,16614,,,1995,Ako zora ne svane,4:06
4XHKfXTU_1_17,Krunoslav Kićo Slabinac,"Ej,  cija frula ovim sorom svira","https://tekstovi.net/2,686,65030.html",84,[Narodna],[Narodna],,Seoska Sam Lola,
4XHKfXTU_1_18,Krunoslav Kićo Slabinac,"Ej, da mogu mladost vratiti","https://tekstovi.net/2,686,54454.html",1744,,,,,
4XHKfXTU_1_19,Krunoslav Kićo Slabinac,Golubice bijela,"https://tekstovi.net/2,686,65036.html",82,[Narodna],[Narodna],1979,Seoska sam lola,
4XHKfXTU_1_20,Krunoslav Kićo Slabinac,Gori lampa nasrid Vinkovaca,https://lyricstranslate.com/en/gori-lampa-nasrid-vinkovaca-lamp-center-vinkov.html,6446,,,,Hej Bećari,
4XHKfXTU_1_21,Krunoslav Kićo Slabinac,"Hej, becari","https://tekstovi.net/2,686,40687.html",4581,[Ante Gardaš],[Narodna],2015.0,50 Originalnih Pjesama,2:22
4XHKfXTU_1_22,Krunoslav Kićo Slabinac,Hrvatskoga roda sin,https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/hrvatskoga-roda-sin.html,2927,[J. Zorić],[J. Zorić],1991.0,Za Tebe...,3:55
4XHKfXTU_1_23,Krunoslav Kićo Slabinac,Ima jedno more,"https://tekstovi.net/2,686,64523.html",145,,,,,
4XHKfXTU_1_24,Krunoslav Kićo Slabinac,"Inati se, Slavonijo",https://lyricstranslate.com/en/inati-se-slavonijo-defy-yourself-slavonia.html,76538,,,2006.0,Zlatna Kolekcija,03:22
4XHKfXTU_1_25,Krunoslav Kićo Slabinac,Ja kakva je na Bembasi trava,"https://tekstovi.net/2,686,61455.html",550,,,1976.0,Ja Kakva Je Na Bendbaši Trava,
4XHKfXTU_1_26,Krunoslav Kićo Slabinac,Jadranom putuje Plavi pingvin,"https://tekstovi.net/2,686,63831.html",286,,,,,
4XHKfXTU_1_27,Krunoslav Kićo Slabinac,Kad čujem tambure,https://lyricstranslate.com/en/kad-cujem-tambure-kogda-slyshu-ya-tambury.html,33889,,,1974.0,Kad Čujem Tambure / Lijepa Moja Slavonija,
4XHKfXTU_1_28,Krunoslav Kićo Slabinac,Kad se Ciro ozenio,"https://tekstovi.net/2,686,65034.html",84,,,,Svatovac,
4XHKfXTU_1_29,Krunoslav Kićo Slabinac,Kad u ponoc netko kuca,"https://tekstovi.net/2,686,64825.html",163,[Maja Perfiljeva],[Krunoslav Slabinac Kićo],2007.0,The Platinum Collection,
4XHKfXTU_1_30,Krunoslav Kićo Slabinac,Kako naći pravi put,https://lyricstranslate.com/en/kako-naci-pravi-put-how-find-right-way.html,1748,,,2006.0,Zlatna Kolekcija,04:02
4XHKfXTU_1_31,Krunoslav Kićo Slabinac,Komsinica Ana,"https://tekstovi.net/2,686,64518.html",166,[Ante Gardaš],[Branko Mihaljević],1984.0,Kad Čujem Tambure,
4XHKfXTU_1_32,Krunoslav Kićo Slabinac,Kumova zdravica,"https://tekstovi.net/2,686,22356.html",12082,,,,Svatovac,
4XHKfXTU_1_33,Krunoslav Kićo Slabinac,Marijana,"https://tekstovi.net/2,686,29767.html",8741,,,1988,Split 88,3:12
4XHKfXTU_1_34,Krunoslav Kićo Slabinac,Moj dida,"https://tekstovi.net/2,686,56717.html",1335,,,2008.0,Dignite Čaše Svatovi,3:12
4XHKfXTU_1_35,Krunoslav Kićo Slabinac,"Moj Marjane, adio","https://tekstovi.net/2,686,63835.html",287,,,2015.0,50 Originalnih Pjesama,3:14
4XHKfXTU_1_36,Krunoslav Kićo Slabinac,Na kraj sela čađava mehana,https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/na-kraj-sela-cadjava-mehana.html,351,,,1975.0,Na Kraj Sela Čađava Mehana,
4XHKfXTU_1_37,Krunoslav Kićo Slabinac,"Našim šorom, Jagodo",https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/nasim-sorom-jagodo.html,3770,[Narodna],[Narodna],1975,Hej bećari,
4XHKfXTU_1_38,Krunoslav Kićo Slabinac,Ne mogu vise bez tebe,"https://tekstovi.net/2,686,59948.html",1171,[J. Holt],[Toni Glovatzky],1988,"Tiho, tiho uspomeno",3:30
4XHKfXTU_1_39,Krunoslav Kićo Slabinac,Ne pitaj me nista nocas,"https://tekstovi.net/2,686,64524.html",230,[Maja Perfiljeva],[Krunoslav Kićo Slabinac],,Stani Suzo,4:08
4XHKfXTU_1_40,Krunoslav Kićo Slabinac,Nek se toci staro vino,"https://tekstovi.net/2,686,60005.html",850,,,2006.0,Zlatna Kolekcija,03:00
4XHKfXTU_1_41,Krunoslav Kićo Slabinac,Nije moja duša prazna,https://lyricstranslate.com/en/Nije-moja-dusa-prazna-Nije-moja-dusa-prazna.html,17842,,,1995,Ako zora ne svane,04:13
4XHKfXTU_1_42,Krunoslav Kićo Slabinac,Nije nam bilo suđeno,https://lyricstranslate.com/en/nije-nam-bilo-sudeno-we-werent-meant-be.html,10643,[Maja Perfiljeva],[Krunoslav Slabinac Kićo],1988,"Tiho, tiho uspomeno",3:37
4XHKfXTU_1_43,Krunoslav Kićo Slabinac,Nina,"https://tekstovi.net/2,686,60004.html",939,,,1985.0,"Stani Suzo, Stani / Nina",
4XHKfXTU_1_44,Krunoslav Kićo Slabinac,Oj curice šil dil daj,https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/oj-curice-sil-dil-daj.html,76,[Narodna],[Narodna],1979,Seoska sam lola,
4XHKfXTU_1_45,Krunoslav Kićo Slabinac,Osini po prasini,"https://tekstovi.net/2,686,53258.html",1844,,,2008.0,Dignite Čaše Svatovi,2:32
4XHKfXTU_1_46,Krunoslav Kićo Slabinac,Otiš'o je s mirisima jutra,https://lyricstranslate.com/en/oti%C5%A1o-je-s-mirisima-jutra-he-went-away-morning-scents.html,37906,,,1995,Ako zora ne svane,
4XHKfXTU_1_47,Krunoslav Kićo Slabinac,Pjevat će Slavonija,https://lyricstranslate.com/en/pjevat-%C4%87e-slavonija-slavonia-will-sing.html,7502,,,,,
4XHKfXTU_1_48,Krunoslav Kićo Slabinac,Plavuša,https://lyricstranslate.com/en/plavu%C5%A1-blondy.html,101564,[Krunoslav Slabinac Kićo],[Krunoslav Slabinac Kićo],1969,Plavuša,
4XHKfXTU_1_49,Krunoslav Kićo Slabinac,Poljubi me za sretan put,"https://tekstovi.net/2,686,63830.html",523,[Alfi Kabiljo],[Alfi Kabiljo],1973,Plavi pingvin,
4XHKfXTU_1_50,Krunoslav Kićo Slabinac,Pruzimo si ruke,"https://tekstovi.net/2,686,49742.html",1833,[Krunoslav Kićo Slabinac],[Krunoslav Kićo Slabinac],,Pružimo Si Ruke,3:12
4XHKfXTU_1_51,Krunoslav Kićo Slabinac,Pusti nocas svoje kose,"https://tekstovi.net/2,686,64517.html",165,[Bratislav Zlatanović],[Đorđe Novković],1978,Pusti noćas svoje kose,
4XHKfXTU_1_52,Krunoslav Kićo Slabinac,"Rico, moja zlatna rico","https://tekstovi.net/2,686,61454.html",672,,,1977.0,"Rico, Moja Zlatna Rico",
4XHKfXTU_1_53,Krunoslav Kićo Slabinac,Samo pricaj,"https://tekstovi.net/2,686,49743.html",1743,[Željko Krznarić],[Daniel Popović],,Dok Sanjaš,
4XHKfXTU_1_54,Krunoslav Kićo Slabinac,Seoska Sam Lola,https://lyricstranslate.com/en/seoska-sam-lola-im-country-darling.html,32344,[Narodna],[Narodna],1979,Seoska sam lola,
4XHKfXTU_1_55,Krunoslav Kićo Slabinac,Serenada (duet grupa 777),"https://tekstovi.net/2,686,18489.html",6759,[Andrej Baša],[Andrej Baša],1985,Stani suzo - Kićo,3:00
4XHKfXTU_1_56,Krunoslav Kićo Slabinac,Sinoc bila misecina,"https://tekstovi.net/2,686,65037.html",85,[Narodna],[Narodna],2010.0,Vesela Je Šokadija,2:49
4XHKfXTU_1_57,Krunoslav Kićo Slabinac,Skripi djeram,"https://tekstovi.net/2,686,65035.html",70,,,,Seoska Sam Lola,
4XHKfXTU_1_58,Krunoslav Kićo Slabinac,Slavonac sam,"https://tekstovi.net/2,686,40685.html",5393,[Josip Ivanković],[Mijo Mazalović],1991,Za tebe,3:30
4XHKfXTU_1_59,Krunoslav Kićo Slabinac,"Slavonijo, ja sam tvoje dijete","https://tekstovi.net/2,686,53263.html",9194,,,2006.0,Zlatna Kolekcija,03:46
4XHKfXTU_1_60,Krunoslav Kićo Slabinac,"Slavonijo, kuco stara","https://tekstovi.net/2,686,40686.html",2905,,,2008.0,Dignite Čaše Svatovi,3:22
4XHKfXTU_1_61,Krunoslav Kićo Slabinac,Slavonski taraban,"https://tekstovi.net/2,686,65028.html",81,,,,Svatovac,
4XHKfXTU_1_62,Krunoslav Kićo Slabinac,Slavonsko kolo,"https://tekstovi.net/2,686,65033.html",86,[Narodna],[Narodna],1975,Hej bećari,
4XHKfXTU_1_63,Krunoslav Kićo Slabinac,Sokac,"https://tekstovi.net/2,686,64520.html",184,,,,,
4XHKfXTU_1_64,Krunoslav Kićo Slabinac,ŠOKAČKA GRANA,https://lyricstranslate.com/en/krunoslav-kico-slabinac-sokacka-grana-lyrics.html,6132,,,2006.0,Zlatna Kolekcija,02:44
4XHKfXTU_1_65,Krunoslav Kićo Slabinac,Spomeni mi nekad ime,"https://tekstovi.net/2,686,63829.html",341,[Tibor Benković],[Vladimir Delač],,Stani Suzo,3:10
4XHKfXTU_1_66,Krunoslav Kićo Slabinac,"Stani, suzo, stani",https://lyricstranslate.com/en/stani-suzo-stani-hold-tear-hold.html,1042,[Mladen Bijelić],[Đorđe Novković],,Stani Suzo,4:07
4XHKfXTU_1_67,Krunoslav Kićo Slabinac,Svatovac,"https://tekstovi.net/2,686,53267.html",5176,,,,Svatovac,
4XHKfXTU_1_68,Krunoslav Kićo Slabinac,Svekrva,https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/svekrva.html,578,[Narodna],[Narodna],,Hej Bećari,
4XHKfXTU_1_69,Krunoslav Kićo Slabinac,"Sviraj, svirce","https://tekstovi.net/2,686,64521.html",183,[Krunoslav Slabinac Kićo],[Krunoslav Slabinac Kićo],,"Zbog Jedne Divne Crne Žene / Sviraj, Svirče",
4XHKfXTU_1_70,Krunoslav Kićo Slabinac,Svirci moji,https://lyricstranslate.com/en/svirci-moji-my-musicians.html,3272,[Dragutin Britvić],,1995.0,Ako Zora Ne Svane,4:20
4XHKfXTU_1_71,Krunoslav Kićo Slabinac,"Tamburaši, samo svirajte",https://lyricstranslate.com/en/tambura%C5%A1i-samo-svirajte-musicians-just-keep-playing.html,6007,[Željko Krznarić],,1995,Ako zora ne svane,3:56
4XHKfXTU_1_72,Krunoslav Kićo Slabinac,Tekla voda Karasica,"https://tekstovi.net/2,686,40694.html",4245,[Narodna],[Narodna],1975,Hej bećari,
4XHKfXTU_1_73,Krunoslav Kićo Slabinac,"Ti, koju znam","https://tekstovi.net/2,686,63837.html",326,[Ivica Krajač],[Stipica Kalogjera],,Krunoslav Slabinac Kićo,
4XHKfXTU_1_74,Krunoslav Kićo Slabinac,"Tiho, tiho, uspomeno","https://tekstovi.net/2,686,61181.html",705,[Maja Perfiljeva],[Dalibor Paulik],,"Tiho, Tiho Uspomeno",3:35
4XHKfXTU_1_75,Krunoslav Kićo Slabinac,Tri livade,"https://tekstovi.net/2,686,65029.html",69,,,,Svatovac,
4XHKfXTU_1_76,Krunoslav Kićo Slabinac,Te tri slatke riječi,https://lyricstranslate.com/en/tri-slatke-rijeci-those-three-sweet-words.html,4972,[Krunoslav Kićo Slabinac],[Krunoslav Kićo Slabinac],,Tri Slatke Riječi / Lamento,
4XHKfXTU_1_77,Krunoslav Kićo Slabinac,Tuzna je Anuska,"https://tekstovi.net/2,686,60236.html",662,[Maja Perfiljeva],[Ićo Kelemen],1986,Dal' se sjećaš,
4XHKfXTU_1_78,Krunoslav Kićo Slabinac,U dugim nocima,"https://tekstovi.net/2,686,60237.html",1066,[Kemal Monteno],[Esad Arnautalić],1970,U dugim noćima,
4XHKfXTU_1_79,Krunoslav Kićo Slabinac,Varas Me Ti,https://lyricstranslate.com/en/varas-me-ti-youre-cheating-me.html,4157,,,1977.0,Varaš Me Ti / Jedna Jedina Od Svih Žena,
4XHKfXTU_1_80,Krunoslav Kićo Slabinac,Vesela je Sokadija,"https://tekstovi.net/2,686,40693.html",14000,[Narodna],[Narodna],1975,Hej bećari,
4XHKfXTU_1_81,Krunoslav Kićo Slabinac,Violeta,"https://tekstovi.net/2,686,64519.html",148,[Radmila Mudrinić],,1978.0,Violeta / Duga Zimska Noć,
4XHKfXTU_1_82,Krunoslav Kićo Slabinac,Vise neces biti moja,"https://tekstovi.net/2,686,60173.html",920,[Aleksandar Korač],[Aleksandar Korač],1970,Cvijet čežnje,
