Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Arranged By_discogs,Music By_discogs,Backing Vocals_discogs,Written By_discogs,Conductor_discogs,Orchestra_discogs,Performer_discogs,Choir_discogs,Ensemble_discogs,Lyrics By [Rendered From German]_discogs,Lyrics By [Rendered from English]_discogs,Adapted By (Text)_discogs,Transferred By_discogs,Adapted By_discogs,Music By [Miscredited]_discogs,Music By [Uncredited]_discogs,Engineer_discogs,Producer_discogs,Backing Band_discogs,Guest_discogs,Composed By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Vjenčanja Neće Biti,,Zvonimir Golob,Vjenčanja Neće Biti / Moja Djevojka Marija,1969.0,,,,,,,,,,,,,,,,,,,,,,,,1969.0-Vjenčanja Neće Biti / Moja Djevojka Marija,1969.0-Vjenčanja Neće Biti / Moja Djevojka Marija/nan-Krunoslav Slabinac
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Marija,,John Szego,Vjenčanja Neće Biti / Moja Djevojka Marija,1969.0,Maja Perfiljeva,,,,,,,,,,,,,,,,,,,,,,,1969.0-Vjenčanja Neće Biti / Moja Djevojka Marija,1969.0-Vjenčanja Neće Biti / Moja Djevojka Marija
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Jednom U Životu,,,Jednom U Životu / Ne Shvaćam Te,1969.0,Arsen Dedić,Ivan Kelemen,Arsen Dedić,,,,,,,,,,,,,,,,,,,,,1969.0-Jednom U Životu / Ne Shvaćam Te,1969.0-Jednom U Životu / Ne Shvaćam Te
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ne Shvaćam Te,,,Jednom U Životu / Ne Shvaćam Te,1969.0,Ivica Krajač,Stipica Kalogjera,Zdenko Runjić,,,,,,,,,,,,,,,,,,,,,1969.0-Jednom U Životu / Ne Shvaćam Te,1969.0-Jednom U Životu / Ne Shvaćam Te
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Plavuša,,Krunoslav Kićo Slabinac,Plavuša / Taj Dan,,,,,,,,,,,,,,,,,,,,,,,,,nan-Plavuša / Taj Dan,nan-Plavuša / Taj Dan/nan-Krunoslav Slabinac/nan-Da L' Se Sjećaš/nan-Sve Najbolje!/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Taj Dan (One Day),,Les Reed,Plavuša / Taj Dan,,Maja Perfiljeva,,,"Vokalni Kvartet ""Admira""",,,,,,,,,,,,,,,,,,,,nan-Plavuša / Taj Dan,nan-Plavuša / Taj Dan
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ne Pitaj S Kim Ni Zašto,,,Ne Pitaj S Kim Ni Zašto / Da Li Znaš,1970.0,Ivica Krajač,,,,J. Paay,,,,,,,,,,,,,,,,,,,1970.0-Ne Pitaj S Kim Ni Zašto / Da Li Znaš,1970.0-Ne Pitaj S Kim Ni Zašto / Da Li Znaš
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Da Li Znaš,,,Ne Pitaj S Kim Ni Zašto / Da Li Znaš,1970.0,Krunoslav Kićo Slabinac,,Krunoslav Kićo Slabinac,,,,,,,,,,,,,,,,,,,,,1970.0-Ne Pitaj S Kim Ni Zašto / Da Li Znaš,1970.0-Ne Pitaj S Kim Ni Zašto / Da Li Znaš/nan-Da L' Se Sjećaš/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Više Nećeš Biti Moja,,,Više Nećeš Biti Moja,1970.0,Aleksandar Korać,Ivan Kelemen,Aleksandar Korać,,,,,,,,,,,,,,,,,,,,,1970.0-Više Nećeš Biti Moja,1970.0-Više Nećeš Biti Moja/nan-Više Nećeš Biti Moja / Cvijet Čežnje/nan-Krunoslav Slabinac/nan-Da L' Se Sjećaš/nan-Sve Najbolje!/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,U Dugim Noćima,,,"U Dugim Noćima / Angela, Čekaj Me",,Kemal Monteno,,Esad Arnautalić,,,Ivan Kelemen,Zabavni Orkestar,"Vokalni Kvartet ""Studio""",,,,,,,,,,,,,,,,"nan-U Dugim Noćima / Angela, Čekaj Me","nan-U Dugim Noćima / Angela, Čekaj Me/nan-Krunoslav Slabinac/nan-Da L' Se Sjećaš/nan-Sve Najbolje!/2005.0-Pusti Da Te Prebolim/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama"
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,"Angela, Čekaj Me",,,"U Dugim Noćima / Angela, Čekaj Me",,Gjoko Georgiev,,Dimitar Masevski,,,Mario Rijavec,Zabavni Orkestar RTV Ljubljana,,,,,,,,,,,,,,,,,"nan-U Dugim Noćima / Angela, Čekaj Me","nan-U Dugim Noćima / Angela, Čekaj Me"
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Cvijet Čežnje,,,Više Nećeš Biti Moja / Cvijet Čežnje,,Tomislav Zuppa,Nikica Kalogjera,Zdenko Runjić,,,,,,,,,,,,,,,,,,,,,nan-Više Nećeš Biti Moja / Cvijet Čežnje,nan-Više Nećeš Biti Moja / Cvijet Čežnje/1982.0-Moj Marjane Adio/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama/2017.0-Cvijet Čežnje - Kićo Dalmaciji
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tragovi,,,Tragovi / Živim Svoj Život,1971.0,Damir Opačić,,Mihailo Živanović,,,,,,,,,,,,,,,,,,,,,1971.0-Tragovi / Živim Svoj Život,1971.0-Tragovi / Živim Svoj Život
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Živim Svoj Život,,,Tragovi / Živim Svoj Život,1971.0,Krunoslav Kićo Slabinac,,Krunoslav Kićo Slabinac,,,,,,,,,,,,,,,,,,,,,1971.0-Tragovi / Živim Svoj Život,1971.0-Tragovi / Živim Svoj Život/nan-Da Sam Tvoje Riječi Slušao Majko/nan-Sve Najbolje!
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Čija Si,,,Čija Si,1971.0,Blagoja Stefanovski,,Slave Dimitrov,,,,,,,,,,,,,,,,,,,,,1971.0-Čija Si,1971.0-Čija Si/nan-Da Sam Tvoje Riječi Slušao Majko
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tvoje Pismo,,,Čija Si,1971.0,Branko Karakaš,,Mihailo Živanović,,,,,,,,,,,,,,,,,,,,,1971.0-Čija Si,1971.0-Čija Si
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tri Slatke Riječi,,,Tri Slatke Riječi / Lamento,,Krunoslav Kićo Slabinac,,Krunoslav Kićo Slabinac,,,Petar Sam,,Plavi Ansambl,,,,,,,,,,,,,,,,nan-Tri Slatke Riječi / Lamento,nan-Tri Slatke Riječi / Lamento/nan-Krunoslav Slabinac/nan-Da L' Se Sjećaš/nan-Sve Najbolje!/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2015.0-50 Originalnih Pjesama/0.0-Tri Slatke Riječi
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Lamento,,,Tri Slatke Riječi / Lamento,,Tomislav Zuppa,,Zdenko Runjić,,,Vinko Lesić,"Festivalski Orkestar ""Split""",,,,,,,,,,,,,,,,,nan-Tri Slatke Riječi / Lamento,nan-Tri Slatke Riječi / Lamento/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama/2017.0-Cvijet Čežnje - Kićo Dalmaciji
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Pusti Da Te Vodim,,,Pusti Da Te Vodim / Nemoj Biti Sretna,,Dragutin Britvić,,Stipica Kalogjera,,,Stipica Kalogjera,"Festivalski Zabavni Orkestar ""Zagreb""",,"Festivalski Zabavni Orkestar ""Zagreb""",,,,,,,,,,,,,,,nan-Pusti Da Te Vodim / Nemoj Biti Sretna,nan-Pusti Da Te Vodim / Nemoj Biti Sretna
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Nemoj Biti Sretna,,,Pusti Da Te Vodim / Nemoj Biti Sretna,,Maja Perfiljeva,,Ivan Kelemen,,,Stanko Selak,"Festivalski Zabavni Orkestar ""Zagreb""",,,,,,,,,,,,,,,,,nan-Pusti Da Te Vodim / Nemoj Biti Sretna,nan-Pusti Da Te Vodim / Nemoj Biti Sretna
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tvoj Dječak Je Tužan,,,Tvoj Dječak Je Tužan,,,,,,,Jože Privšek,Revijski Orkestar RTV Ljubljana,,,,,,,,,,,,,,,,,nan-Tvoj Dječak Je Tužan,nan-Tvoj Dječak Je Tužan/nan-Da Sam Tvoje Riječi Slušao Majko/nan-Sve Najbolje!/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,I Gori Nego Ja,,,Tvoj Dječak Je Tužan,,,,,,,Ivan Kelemen,Zabavni Orkestar,,,,,,,,,,,,,,,,,nan-Tvoj Dječak Je Tužan,nan-Tvoj Dječak Je Tužan
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Tužna Je Anuška,,,Krunoslav Slabinac Kićo,,Maja Perfiljeva,Ivan Kelemen,Ivan Kelemen,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Rosemary,,,Krunoslav Slabinac Kićo,,Tatjana Jokanović,Ivan Kelemen,Miroslav Balta,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Uspavanka,,,Krunoslav Slabinac Kićo,,Branko Mihaljević,Ivan Kelemen,Branko Mihaljević,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Sinu,,,Krunoslav Slabinac Kićo,,Tonko Jović,Ivan Kelemen,Zdenko Runjić,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ti Koju Znam,,,Krunoslav Slabinac Kićo,,Ivica Krajač,Stipica Kalogjera,Stipica Kalogjera,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Ti Ne Znaš Koliko Te Volim,,,Krunoslav Slabinac Kićo,,Tomislav Hin,Ivan Kelemen,J. Sabo,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo/nan-Krunoslav Slabinac
Krunoslav Kićo Slabinac,Krunoslav Kićo Slabinac,Uvijek Kad Si Sa Mnom Ti,,,Krunoslav Slabinac Kićo,,Ivica Krajač,Ivan Kelemen,Ivan Kelemen,,,,,,,,,,,,,,,,,,,,,nan-Krunoslav Slabinac Kićo,nan-Krunoslav Slabinac Kićo
