Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Featuring_discogs,All_albums_discogs
0,4XHKfXTU_1_0,Krunoslav Kićo Slabinac,Kićo,Ako zora ne svane,7861,"Ako zora ne svane
puta nema bez tebe
zvijezdo sjajna, reci mi
tko ce mene cekati

Ako zora ne svane
tebe nema kraj mene
vjetre, sreco, reci mi
tko ce mene ljubiti
 
Ref.
Samo spavaj, Mjesece
nije tebi do mene
samo spavaj, skici se
nije tebi do mene

Ako zora ne svane
moje srce boluje
noci, prijateljice 
reci zasto nema nje

Ref.","https://tekstovi.net/2,686,40690.html",,Ako zora ne svane,If the dawn doesn't come up,,"Ako zora ne svane, puta nema bez tebe.
Zvijezdo sjajna, reci mi, tko će mene čekati?
Ako zora ne svane, tebe nema kraj mene.
Vjetre srećo, reci mi, tko će mene ljubiti?. Samo spavaj, mjeseče, nije tebi do mene!
Samo spavaj, skići se, nije tebi do mene...
Samo spavaj, skići se, nije tebi do mene.... Ako zora ne svane, moje srce boluje
Noći, prijateljice, reci zašto nema nje?
Samo spavaj, mjeseče, nije tebi do mene
Samo spavaj, skići se, nije tebi do mene
Samo spavaj, skići se, nije tebi do mene
Samo spavaj, skići se, nije tebi do mene
Samo spavaj, skići se, nije tebi do mene","If the dawn doesn't come up, there is no way without you.
Shiny star, tell me, who will wait for me?
If the dawn doesn't come up, you aren't beside me.
O wind-my luck, who will kiss me?. Just sleep, moon, you don't care about me!
Just sleep, wander around, you don't care about me...
Just sleep, wander around, you don't care about me.... If the dawn doesn't come up, my heart is in pain
Night - my friend, tell me, why isn't she here?
Just sleep, moon, you don't care about me!
Just sleep, wander around, you don't care about me...
Just sleep, wander around, you don't care about me...
Just sleep, wander around, you don't care about me...
Just sleep, wander around, you don't care about me...",https://lyricstranslate.com/en/ako-zora-ne-svane-if-dawn-doesnt-come.html,['Kićo'],1995 - Ako zora ne svane,2006 - Zlatna kolekcija,https://diskografija.com/pjesma/ako-zora-ne-svane-6180.htm,Ako zora ne svane,,,,,,,,,"Ako zora ne svane, puta nema bez tebe.
Zvijezdo sjajna reci mi, tko će mene čekati?
Ako zora ne svane, tebe nema kraj mene.
Vjetre srećo reci mi, tko će mene ljubiti?

Samo spavaj mjeseče, nije tebi do mene.
samo spavaj skiči se, nije tebi do mene.

Ako zora ne svane, moje srce boluje
Noći prijateljice reci zašto nema nje?",Ako zora ne svane,https://cuspajz.com//tekstovi-pjesama/pjesma/krunoslav-kico-slabinac/ako-zora-ne-svane.html,Krunoslav Kićo Slabinac,Ako Zora Ne Svane,03:05,Zlatna Kolekcija,2006.0,,,,2006.0-Zlatna Kolekcija
1,4XHKfXTU_1_1,Krunoslav Kićo Slabinac,Kićo,Alaj volim u kolu igrati,70,"Alaj volim u kolu igrati
kad se dika do mene u´vati

Ej, lane, Ivane, do mene u´vati 

Kolovodjo, de, kolo povedi
koji ne zna, nek´ u tebe gledi
 
Ej, lane, Ivane, nek´ u tebe gledi 

Je l´ uz skoka zaigrati lipo
k´o uz tebe, moja mila diko

Ej, lane, Ivane, moja mila diko  

Igram kolo, kosa mi se vije
priko kola, dika mi se smije

Ej, lane, Ivane, dika mi se smije","https://tekstovi.net/2,686,65032.html",,,,,,,,"['Kićo', 'Slavonski Bećari']",,,https://diskografija.com/pjesma/alaj-volim-u-kolu-igrati-1518.htm,Alaj volim u kolu igrati,['Narodna'],['Narodna'],,,,,,,,,,Krunoslav Kićo Slabinac,Alaj Volim U Kolu Igrati,,Seoska Sam Lola,,,,,nan-Seoska Sam Lola
2,4XHKfXTU_1_2,Krunoslav Kićo Slabinac,Kićo,Becarac (feat. Slavonski dukati),8790,"Evo Kice, 'ko za Kicu pita
evo Kice, 'ko za Kicu pita
Kicina je loza kalemita
Kicina je loza kalemita

Lako ti je pripoznati Sokca
lako ti je pripoznati Sokca
t'era gicu i nosi torbicu
t'era gicu i nosi torbicu
 
Sokac Sokca gurnio u Savu
Sokac Sokca gurnio u Savu
zbog garave izgubio glavu
za garavu izgubio glavu

Koliko je odavde do Srijema
koliko je odavde do Srijema
lipse cure od Sokice nema
lipse cure od Sokice nema

Sokice se pripazite ljudi
Sokice se pripazite ljudi
ta se zena triput nocu budi
sokica se triput nocu budi

Sta cu, Boze, ja ovako mali
sta cu, Boze, ja ovako mali
kad me zena sa kreveta svali
kad me zena sa kreveta svali

Alaj, volim garavu kad spava
alaj, volim garavu kad spava
kad rasiri ruke na jastuke
kad rasiri ruke na jastuke

Idem sorom, kuja laje na me
idem sorom, kuja laje na me
mars, kujo, sta te briga za me
mars, kujo, sta te briga za me

Misle moji da ce sa mnom steci
misle moji da ce sa mnom steci
cim veceram t'eraju me leci
cim veceram t'eraju me leci

Becarino, ni'ko te ne voli
becarino, ni'ko te ne voli
samo majka koju srce boli
samo majka koju srce boli

Volim vola siroki' rogova
volim vola siroki' rogova
i curicu debelu u licu
i curicu rumenu u licu

Varam zenu da cu na menjavu
varam zenu da cu na menjavu
a ja odoh curi pod ponjavu
a ja odoh curi pod ponjavu

Cijeli zivot ja sam na terenu
cijeli zivot ja sam na terenu
ma 'ko li sada cuva moju zenu
'ko li sada cuva moju zenu

Pitaju me, kako ti je ime
pitaju me, kako ti je ime
Sokac ime, a Hrvat prezime
Sokac ime, a Hrvat prezime

Slavonijo, dok ti ime traje
Slavonijo, dok ti ime traje
cuvat cemo tvoje obicaje
cuvat cemo tvoje obicaje

Jos bi' znali, jos bi' zapjevali
jos bi' znali, jos bi' zapjevali
ali su nas na telefon zvali
ali su nas na telefon zvali

Jedan, dva, opsasa","https://tekstovi.net/2,686,53269.html",,,,,,,,['Kićo'],,,https://diskografija.com/pjesma/slavonski-becarac-9745.htm,Slavonski bećarac,,,,,,,,,,,,Krunoslav Kićo Slabinac,Bećarac,,Bećarac,,,,,nan-Bećarac/2010.0-Vesela Je Šokadija/nan-Untitled
3,4XHKfXTU_1_3,Krunoslav Kićo Slabinac,Kićo,"Bila je tako lijepa, bila je tako mlada",186,"Bila je tako lijepa
k´o bagrem, kad procvjeta
dok smo se voljeli ludo
jednog davnog ljeta

Brali smo slatko grozdje
voljeli suton dok pada
bila je tako lijepa
bila je tako mlada
 
Ref.
Sanjali smo djecu, cvijece i leptire
pjevale su ptice, svirale su lire
to je bilo jednog ljeta
jednog ljeta, kada bagrem cvjeta

Bila je tako lijepa
k´o bagrem kad procvjeta
dok smo se voljeli ludo
jednog davnog ljeta

Ref.

Bila je tako lijepa
bila je tako mlada

Bila je tako lijepa
bila je tako mlada","https://tekstovi.net/2,686,64824.html",,,,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,"Bila Je Tako Lijepa, Bila Je Tako Mlada",,Pusti Noćas Svoje Kose,1978.0,,,,1978.0-Pusti Noćas Svoje Kose
4,4XHKfXTU_1_4,Krunoslav Kićo Slabinac,Kićo,Bila si djevojcica,126,"Tvoje plave kose pamtim
ispred mora prema vjetru
uljuljale su dan
u vjecno plavi san
te vinjage njezne

Tvoje plave oci pamtim
ispred mora prema nebu
zacarale su dan
da vjecno sija plam
kroz godine tuzne
 
Ref.
Bila si djevojcica
sad te zovu mama
da l´ je stvarno prestala
ljubav medju nama

Bila si mi najdraza
sunce kisnih dana
vodim te kroz sjecanja
da me tjesis sama

Tvoje njezno lice pamtim
ispred mora prema suncu
kroz nasmijani dan
dok svoj si snila san
u narucju srece

Tvoje plave ruke pamtim
ispred mora prema srcu
da l´ volio sam tad
il´ bjese samo san
to crveno cvijece

Ref. 2x","https://tekstovi.net/2,686,64823.html",,,,,,,,,,,,,,,,,,,,,,,,Krunoslav Kićo Slabinac,Bila Si Djevojčica,,Krunoslav Slabinac,,Zdenko Runjić,Zdenko Runjić,,nan-Krunoslav Slabinac/nan-Sve Najbolje!/2007.0-The Platinum Collection/2015.0-50 Originalnih Pjesama/2017.0-Cvijet Čežnje - Kićo Dalmaciji
5,4XHKfXTU_1_5,Krunoslav Kićo Slabinac,Kićo,Budi sretna Slavonijo,1773,"Slavonijo, zjenico oka
i srece i tuge, rijeko duboka
Slavonijo, kceri Hrvatska
o, dome moj, kolijevko bratska

Slavonijo, dok Sunca ima
nek narod tvoj mir, sloga prati
Slavonijo, Bog nek' te cuva
na grudi tvoje sve sinove vrati

Ref. 2x
Rasti mi, cvjetaj mi
o, mila majko, budi sretna ti

Ref. 4x","https://tekstovi.net/2,686,53261.html",,,,,,,,['Kićo'],1991 - Za tebe,2006 - Zlatna kolekcija - Šima Jovanovac,https://diskografija.com/pjesma/budi-sretna-slavonijo-10311.htm,Budi sretna Slavonijo,['Šima Jovanovac'],['Šima Jovanovac'],['Željko Nikolin'],,,,,,,,,Krunoslav Kićo Slabinac,Budi Sretna Slavonijo,3:22,Za Tebe...,1991.0,,,,1991.0-Za Tebe...
6,4XHKfXTU_1_6,Krunoslav Kićo Slabinac,Kićo,Budi to sto jesi,144,"Sreli smo se iznenada, nije vazno gdje
samo znam, da s tobom nadjoh sve
dugo smo vec zajedno, al´ vjeruj, jos i sad
osjecam se isto k´o i tad

Ref.
Stog´, budi to sto jesi
onakva, kakvu te znam
jer, cini mi se kao da u svojoj masti
bas takvu sam te stvorio sam
 
Budi to sto jesi
onakva, kakvu te znam
jer, cini mi se, da sam
cijelog svog zivota
bas takvu zenu zelio sam

Budi to sto jesi
onakva, kakvu te znam
jer, cini mi se kao da u svojoj masti 
bas takvu sam te stvorio sam

Osjecam da, samu sebe pitas svaki dan
da l´ sam danas sretan sto te znam
ili, mozda nisi vise ista zena ta
kakvom sam zamisljao te ja

Ref.","https://tekstovi.net/2,686,64814.html",,,,,,,,['Kićo'],1986 - Dal' se sjećaš,1995 - Sve najbolje,https://diskografija.com/pjesma/budi-to-sto-jesi-9734.htm,Budi to što jesi,['Krunoslav Slabinac Kićo'],['Krunoslav Slabinac Kićo'],"['Željko Nikolin', 'Drago Laban']",2006 - Zlatna kolekcija,,,,,,,,Krunoslav Kićo Slabinac,Budi To Što Jesi,,"Da Sam Tvoje Riječi Slušao, Majko / Budi To Što Jesi",1974.0,Ivica Krajač,,,"1974.0-Da Sam Tvoje Riječi Slušao, Majko / Budi To Što Jesi/nan-Da Sam Tvoje Riječi Slušao Majko/nan-Da L' Se Sjećaš/nan-Sve Najbolje!/2006.0-Zlatna Kolekcija/2007.0-The Platinum Collection"
7,4XHKfXTU_1_7,Krunoslav Kićo Slabinac,Kićo,Bura,1452,"Gotovo je, to si htjela znati 
vidim s drugim vec ti misli lete
idi, idi i nemoj me zvati
necu suze da me na te sjete
idi, idi i nemoj me zvati
ti si samo razmazeno dijete
 
Ref.
Slusam nocas kako tuku bure
gledam, spavas, zastale su ure
ja te grlim, ti me u snu ljubis
nasmijana, a ne znas da gubis

Slusam nocas kako tuku bure
gledam, spavas, zastale su ure
ja te grlim, ti me u snu ljubis
neka je sretan tko te tako gubi

Svrseno je, evo ovaj puta
nismo znali da smo blizu kraja
po pucini mjesecina pluta
s nasom ladjom mrtvo more valja
moje srce naviklo da luta
tvoju dusu stvorenu da fraja

Ref.","https://tekstovi.net/2,686,49716.html",,Bura,Bora,"Tiho, Tiho Uspomeno","Gotovo je, to si htjela znati
Vidim s drugim već ti misli lete
Idi, idi i nemoj me zvati
Neću suze da me na te sjete
Idi, idi i nemoj me zvati
Ti si samo razmaženo dijete. [Refren]
Slušam noćas kako tuku bure
Gledam, spavaš, zastale su ure
Ja te grlim, ti me u snu ljubiš
Nasmijana, a ne znaš da gubiš. Slušam noćas kako tuku bure
Gledam, spavaš, zastale su ure
Ja te grlim, ti me u snu ljubiš
Neka je sretan tko te tako gubi. Svršeno je, evo ovaj puta
Nismo znali da smo blizu kraja
Po pučini mjesečina pluta
S našom lađom mrtvo more valja
Moje srce naviklo da luta
Tvoju dušu stvorenu da fraja. [Refren]
Slušam noćas kako tuku bure
Gledam, spavaš, zastale su ure
Ja te grlim, ti me u snu ljubiš
Nasmijana, a ne znaš da gubiš. Slušam noćas kako tuku bure
Gledam, spavaš, zastale su ure
Ja te grlim, ti me u snu ljubiš
Neka je sretan tko te tako gubi","It's over, that is what you wanted to know
I see your thoughts are already flying with someone else
Go, go away and don't call me
I don't want tears to remind me of you
Go, go away and don't call me
You are just a spoiled kid. [Refrain]
I listen tonight how bora rages
I watch, you sleep, clocks stopped going
I hug you, you kiss me while sleeping
You're smiling, and you don't know you're losing. I listen tonight how bora rages
I watch, you sleep, clocks stopped going
I hug you, you kiss me while sleeping
Let the one who loses you like that be happy. It has ended, well this time
We didn't know we're close to the end
Moonlight wanders over the surface
It rolls the dead sea carrying our boat
My heart used to ramble
Your soul used to wasting. [Refrain]
I listen tonight how bora rages
I watch, you sleep, clocks stopped going
I hug you, you kiss me while sleeping
You're smiling, and you don't know you're losing. I listen tonight how bora rages
I watch, you sleep, clocks stopped going
I hug you, you kiss me while sleeping
Let the one who loses you like that be happy",https://lyricstranslate.com/en/bura-bora.html-0,['Kićo'],,,https://diskografija.com/pjesma/bura-11920.htm,Bura,['Srećko Zubak'],['Mario Vukelić'],['Srećko Zubak'],,,,,,,,,Krunoslav Kićo Slabinac,Bura,3:03,"Tiho, Tiho Uspomeno",,,,,"nan-Tiho, Tiho Uspomeno"
8,4XHKfXTU_1_8,Krunoslav Kićo Slabinac,Kićo,Cija kola klepecu sokakom,64,"Cija kola, cija kola
klepecu sokakom

To su nasa, to su nasa
idu sa salasa

Voze slamu, voze slamu
ili su na stanu
 
Voze sumu, voze sumu
po zidanom drumu

Konji vrani, konji vrani
to su Gradistani

Konji bijelci, konji bijelci
to su Babogredci


* Gradistani = Gradiste kod Zupanje
  Babogredci = Babina Greda","https://tekstovi.net/2,686,65031.html",,,,,,,,['Kićo'],,,https://diskografija.com/pjesma/cija-kola-klepecu-sokakom-1517.htm,Čija kola klepeču sokakom,['Narodna'],['Narodna'],,,,,,,,,,Krunoslav Kićo Slabinac,Čija Kola Klepeću Sokakom,,Seoska Sam Lola,,,,,nan-Seoska Sam Lola
9,4XHKfXTU_1_9,Krunoslav Kićo Slabinac,Kićo,Cija si,2266,"Ima jedan dom o liscu zutom
u meni on u dusi luta
k njemu vodi put i samo jedan put
samo bol u kisni dan 
jedan pogled sasvim sam, k'o san

Svaki dan si ti pod istom strehom
s tugom vezana sa vedrim smijehom
hladna kao led, cas bujna kao cvijet
stojim dugo, dugo sam
cekam da l' ce doci dan, moj san
 
Ref.
Cija si i kome radost nosis sada
u nekoj kuci moga grada
od kojeg sunca ti si plam

Cija si i pramen kose kome nosis
u mom srcu ti si rosa
a niti ime tvoje znam

Ima jedan dan bez sna, bez zore
skriven je on u divne gore
mora da si ti u njemu divan cvijet
jedan mali ludi svijet
jedan rumen, jedan blijed, moj svijet 

Ref.

Al' niti ime tvoje znam","https://tekstovi.net/2,686,49717.html",,,,,,,,['Kićo'],,,https://diskografija.com/pjesma/cija-si-12657.htm,Čija si,['S. Dimitrov'],['B. Stefanovski'],['Ićo Kelemen'],,,,,,,,,Krunoslav Kićo Slabinac,Čija Si,,Čija Si,1971.0,Blagoja Stefanovski,Slave Dimitrov,,1971.0-Čija Si/nan-Da Sam Tvoje Riječi Slušao Majko
