Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Music By_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Composed By_discogs,Written By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Leteći Odred,Leteći Odred,Kao Stari Moj,,Denis Dumančić,Denis Dumančić,Kao Stari Moj / Zločin I Kazna,1992.0,,,,,1992.0-Kao Stari Moj / Zločin I Kazna,1992.0-Kao Stari Moj / Zločin I Kazna/nan-Među Zvijezdama/nan-Kada Odletim/1999.0-The Best Of/2015.0-Orange Collection
Leteći Odred,Leteći Odred,Zločin I Kazna,,Denis Dumančić,Denis Dumančić,Kao Stari Moj / Zločin I Kazna,1992.0,,,,,1992.0-Kao Stari Moj / Zločin I Kazna,1992.0-Kao Stari Moj / Zločin I Kazna/nan-Među Zvijezdama/nan-Kada Odletim
Leteći Odred,Leteći Odred,Neka Neveni Ne Venu,,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama/nan-Kada Odletim/1999.0-The Best Of/nan-Uživo
Leteći Odred,Leteći Odred,"Jedan, Dva, Tri",,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama/nan-Kada Odletim/1999.0-The Best Of
Leteći Odred,Leteći Odred,Moje Misli Tebi Odlaze,,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama
Leteći Odred,Leteći Odred,U Mojim Venama,,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama/nan-Kada Odletim
Leteći Odred,Leteći Odred,Među Zvijezdama,,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama/nan-Kada Odletim
Leteći Odred,Leteći Odred,Samo Poljubac I Broj,,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama/nan-Kada Odletim
Leteći Odred,Leteći Odred,Kako Da Te Ne Volim,,,,Među Zvijezdama,,,,,,nan-Među Zvijezdama,nan-Među Zvijezdama/nan-Kada Odletim
Leteći Odred,Leteći Odred,"Album ""Kada Odletim""",,,,Kada Odletim,,,,,,nan-Kada Odletim,nan-Kada Odletim
Leteći Odred,Leteći Odred,Sjeverni Ljuti Bogovi,3:06,,,Kada Odletim,,,,,,nan-Kada Odletim,nan-Kada Odletim/1999.0-The Best Of/2015.0-Orange Collection
