Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
8T5eTuU5_1_0,Luka Nižetić,Luka Nižetić,"Ae, ae (feat. Klapa Kampanel)",2183,"Cili dan nisan sta
cili dan nisan sta
da se odmaran, odmaran

Samo pivan, kuci sviran
asti misa, di je prisa
samo uzivan, uzivan
 
Ae, ae
ovdi se tako kaze sve
ae, ae
ovdi se rici uzalud
ne trose, ne trose

Ref.
U ovi grad san infisan
tu ni'ko nije normalan
da nisan sempja rodjen ja
u Splitu bi poludija

U ovi grad san infisan
tu ni'ko nije normalan
samo pismu 'vamo daj
sidi di si, uzivaj

Cili dan nisan sta
cili dan nisan sta
da se odmorin, odmorin

Neman soldi, al' mi godi
fjaka, jubav, sunce, more
ovdi mukte su, mukte su

Ref.

Ref.","https://tekstovi.net/2,710,61766.html"
8T5eTuU5_1_1,Luka Nižetić,Luka Nižetić,Ako trazis ljubav,836,"Trazio sam ljubav u rijecima tudjim
i to me cinilo sve ludjim i ludjim
jer ljudi su cesto u rijecima skrti
kao da se radi o zivotu i smrti

Trazio sam ljubav u postupku, kretnji
razgovoru, dodiru, susretu i setnji
da bar jednom osjetim ljubavi car
svu njenu zar, bar jednom bar
 
A onda sam shvatio
da uzalud sam patio

Ref.
Ako trazis ljubav, ti ne kumi, moli
nego prvo sebe iskreno zavoli
tad ces naci ljubav, samo se okreni
svud je oko tebe, u suncu, moru, meni

Ako trazis ljubav, nikada ne placi
jer je uvijek nadju samo oni jaci
ako trazis ljubav, za nju se ne bori
nego samo sirom svoje srce otvori

Ref. 2x","https://tekstovi.net/2,710,64891.html"
8T5eTuU5_1_2,Luka Nižetić,Luka Nižetić,"Ako uzmes ljubav, vrati",37473,"Lako je kad znas
da te neko jako treba
volis svaki cas
i kad ljubav nadje put i vrati se

Prodje svaka bol
poslije boli dodje sreca
ti si nagrada
njene hladne usne nisu znale to
 
Ref.
Ako uzmes ljubav, vrati
ako izgubis, ne pamti
svaki put je prvi put
ako uzmes ljubav, zivi
ako izgubis, ne krivi
nikad nista nije bilo uzalud

Svemir vraca dug
al' uzima nam vrijeme
savrseni krug
nada cuva strazu kad propadne sve

Ti si neba dar
ne postoje tu dileme
zeno, mi smo par
s tobom presao bih mora, planine

Ref. 3x","https://tekstovi.net/2,710,26973.html"
8T5eTuU5_1_3,Luka Nižetić,Luka Nižetić,Amsterdam,15737,"Jutros mi je sunce pricalo
svoje tajne mi je sapnulo
a ja za sebe imam super plan
da mi divan bude svaki dan

O, prazni djepovi a dusa puna
lakim korakom do svemira
o, zar za srecu potrebna je kuna
ni pameti ni briga, ma sve je samo igra
 
Ref.
I nista se ne mijenja
ni lijevo a ni desno
i uvijek fali nesto
i uvjek nam je tijesno

Bar pare nisu problem
jer para nikad nema
i nista se ne mijenja
i zato samo pjevam

Zure svi, zuri cijeli svijet
a ja za Amsterdam lovim zadnji let
svima cu se zainatiti
a tko ce sve to skupa platiti

Ref. 2x","https://tekstovi.net/2,710,49268.html"
8T5eTuU5_1_4,Luka Nižetić,Luka Nižetić,Bozicni sving,2530,"Pada noc
srce grada zima zaledila
Bozic bijel'
obojio je sive ulice

Zelje sve nek' se
danas svakom ostvare
ovaj tren neka cijelu
vjecnost potraje
 
A grad se bijeli sav
i sreca osjeca
u zraku ovu noc

Ref.
U ovaj caroban dan
kad se ljubav poklanja
ti neces biti sam
i pozelimo sad mi da 
ponovo svi budu sretniji

U ovoj tihoj noci
nek pjesma cuje se
iz svake ulice
pozelimo sad mi da
ponovo svi budu sretniji

Ref.","https://tekstovi.net/2,710,35727.html"
8T5eTuU5_1_5,Luka Nižetić,Luka Nižetić,Bubreg,9504,"Dosta mi je 
da se ljubimo po parkovima
preko glave mi je 
seks po tudjim stanovima

Evo mlad sam, zdrav sam, Bogu hvala
al' nisam kao svi
jer dva su bubrega normalna
a ja ih imam tri
 
Ref.
Prodacu bubreg, kupicu stan
nije lose za pocetak, imam dobar plan
prodacu bubreg, a u novom stanu 
ljubicu te nocu, a ti kuhaces po danu
hranu domacu i stranu
hranu genetsku i pravu

Sto da radim teske radove na krovu
ionako trebam neku brzu lovu 
kada dadoh srce tebi 
da bi i ja sretan bio
sto za srecu dao ne bi 
jedan tijela novi dio

Doktora cu pitat' da li srca ljubav 
mogu isprat' kise
jer pod otvorenim nebom 
ja ne mogu s tobom spavat' vise

Ref.","https://tekstovi.net/2,710,10813.html"
8T5eTuU5_1_6,Luka Nižetić,Luka Nižetić,Da me zavolis,13782,"Nosim ti crne bisere
i pjesme bez refrena
da sipam prah od ljubavi
a kao da me nema
kao da tu me nema

Cesta me sama dovela
i mjesecina zuta
na tvome pragu znao sam
da sam na kraju puta
 
Ref.
Noc je bila kao stvorena za dodire
tvoje usne kao hladne bijele pahulje
otopio sam njihov led i rekao ti da je red
da me zavolis

Kolko si srca slomila
u crno zavila
tko ti je snove ukrao, ti zvijezdo daleka
ti zvijezdo daleka

Cesta me sama dovela
i mjesecina zuta
na tvome pragu znao sam
da sam na kraju puta 

Ref. 2x","https://tekstovi.net/2,710,22523.html"
8T5eTuU5_1_7,Luka Nižetić,Luka Nižetić,Da rodim se,3035,"Ne skidaj sa srca velove
samo oni znaju da
razbila si me na dijelove

Kad padnem na dno svojih snova
tu je sve po starom
samo ti si uvijek nova
 
I ne prepoznajem svako mjesto
na tvom tijelu
sto do jucer moje sve je bilo
sto mi kazes sad
bojim se da bi me ubilo

Ref.
Da rodim se stoti put
da me zbog tebe ima
 nek da mi se dusa sve
iz tudjih ruku otima

Stoti put svaku 
casnu rijec kad prekrsim
s tobom uvijek pocnem
al' ne zavrsim

Uvijek kad na kraju pogrijesim
ne odustajem
iz pocetka sebe tijesim

Ref. 2x","https://tekstovi.net/2,710,35688.html"
8T5eTuU5_1_8,Luka Nižetić,Luka Nižetić,Da sutimo zajedno,3440,"Hladan ti obraz
biser u oku
nisi to ti mila

Pruzas mi ruku
hladnu k'o kamen
pozdrav za kraj
 
Ne skrivaj lice
trebam ti pogled
da bas takvog sacuvam

Samo jos malo
ostani sa mnom
da sutimo zajedno

Ref.
Zar je to sve 
sto ljubav znaci
zar je to sve
 sto je od nas ostalo

Mjesto smijeha 
ti mi nudis suze
reci mila 
da to je samo san

Sto me sad grlis
kad snage nemam
ni da te pogledam

Ref. 2x","https://tekstovi.net/2,710,35725.html"
8T5eTuU5_1_9,Luka Nižetić,Luka Nižetić,Di si ti Mare,4159,"U ritmu sjenki pravin zadnji djir
vrtin timun disperan
i cinin finte mada znam niman mir
nista nije utaman

Na kraju lutanja, na kraju sna
vidin usamljen tvoj lik
i dobro znam da 
srest cemo se jednom mi
tamo di se more s nebon spaja zauvik
 
Ref.
Di si ti Mare
blazeni lancuni bili svi
jubavi stare kao ja i ti

Di si ti Mare
blazeni lancuni bili svi
jubavi stare kao ja i ti
stare sta su nam zivote
pokrili Mare

Ja nisan bidan ni patetican
al' slipo virujen u to
da u tvojoj maloj kali nacu mir
da u tvom djardinu
necu docekati bol

Ref. 

Di si ti Mare
di si ti Mare","https://tekstovi.net/2,710,35704.html"
