Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Arranged By_discogs,Engineer_discogs,Vocals [Male]_discogs,Strings_discogs,Vocals [Guest]_discogs,Producer_discogs,Choir_discogs,Guest_discogs,Soprano Vocals_discogs,Piano_discogs,Bass_discogs,Featuring [Duet]_discogs,Producer [Partial]_discogs,Keyboards_discogs,Timbales_discogs,Vocals [Duet]_discogs,Vocals_discogs,Saxophone [Soprano_discogs,Tenor]_discogs,Lyrics By [Romani]_discogs,Featuring_discogs,Featuring [Uncredited]_discogs,Accordion_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Magazin,Magazin,Slatko Stanje,,Duško Mucalo,Slatko Stanje / Moja Mala Mila,1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0-Slatko Stanje / Moja Mala Mila,1982.0-Slatko Stanje / Moja Mala Mila/nan-Slatko Stanje
Magazin,Magazin,Moja Mala Mila,,Tonči Huljić,Slatko Stanje / Moja Mala Mila,1982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0-Slatko Stanje / Moja Mala Mila,1982.0-Slatko Stanje / Moja Mala Mila
Magazin,Magazin,Moć Navike,,Duško Mucalo,Slatko Stanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,I Što Sad,,,Slatko Stanje,,Domenika Vanić,Tonči Huljić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,U Autobusu,,Duško Mucalo,Slatko Stanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,"Dišpetožo, Moja Mala",,,Slatko Stanje,,Zvonimir Stipičić,Tonči Huljić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,Jutro Te Briše,,Željko Baričić,Slatko Stanje,,Ivica Flesch,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,Sama,,Tonči Huljić,Slatko Stanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,A Šta Mogu Ja,,Teo Trumbić,Slatko Stanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,Moja Mila Mala,,Tonči Huljić,Slatko Stanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,Neće Tako Loše Biti,,,Slatko Stanje,,Zoran Krčum,Tonči Huljić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Slatko Stanje,nan-Slatko Stanje
Magazin,Magazin,Kokolo,,,Kokolo / Pismo,1983.0,Zvonimir Stipičić,,Željko Brodarić Jappa,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Kokolo / Pismo,1983.0-Kokolo / Pismo/nan-Kokolo/nan-Svi Najveći Hitovi 1983-1990/nan-Najbolje Godine/nan-Koncert - Mix Najvećih Hitova/1997.0-Magazin '85 - '97/nan-Magazin/1998.0-Hitovi 2/2006.0-The Platinum Collection/2013.0-100 Originalnih Pjesama/2018.0-The Best Of Collection
Magazin,Magazin,Pismo,,,Kokolo / Pismo,1983.0,Nenad Ninčević,,Željko Baričić,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Kokolo / Pismo,1983.0-Kokolo / Pismo/nan-Kokolo
Magazin,Magazin,Luciana,,,Kokolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kokolo,nan-Kokolo
Magazin,Magazin,Nisam Tvoj,,,Kokolo,,,Željko Baričić,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kokolo,nan-Kokolo
Magazin,Magazin,Opusti Se,,Tonči Huljić,Kokolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kokolo,nan-Kokolo/nan-Svi Najveći Hitovi 1983-1990/2013.0-100 Originalnih Pjesama
Magazin,Magazin,Šapuće Tama,,,Kokolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kokolo,nan-Kokolo
Magazin,Magazin,Miss,,,Kokolo,,Ivica Flesch,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Kokolo,nan-Kokolo
