,Song_ID,Song,Lyrics
0,4wxdBzAi_1_0,17 mi je godina,"Salje me nocas nebo po tebe, da me spasis od dosade, ja bih da te vodim u svoj stan, da me malo provozas, oho, oho da te provozam. Sva zadrhtis kada cujes rock'n'roll, rock'n'roll je pola ljubav, pola bol, znoj ti lijepi majicu uz tijelo, ne gledaj me da nam ne bi prisjelo, oho, da ne bi prisjelo. Sedamnaest mi je godina, jos se nisam ljubila, sedamnaest ti je godina, bas bi probala, sedamnaest mi je godina, jos se nisam ljubila, zar jos treba godina, da bi probala. Sva zadrhtim kada cujem rock'n'roll, rock'n'roll je pola ljubav, pola bol, znoj mi lijepi majicu uz tijelo, ne gledaj me da nam ne bi prisjelo, oho, da ne bi prisjelo. Sedamnaest mi je godina, bas bi probala, sedamnaest ti je godina, bas bi probala"
1,4wxdBzAi_1_1,Baby,"Tebi bi dala najljepse dane, najljepse godine, a proslo je vrijeme mladosti rane, kao ljeto kad prestaje. Kad u gradu te sretnem, ti prodjes kraj mene, kao da ne postojim, ma hello il' good bye, samo da pozdravis. Baby, ja sam tvoja, baby, ne mogu bez tebe, disati ni sanjati. Baby, tvoja mala baby, usne traze samo tebe, da bi te poljubile. A zivot je kratak, i htjela bi tako u njemu uzivati, s drugim ne mogu, a sama jos manje to vrijeme potrositi. Sebi samo ja lazem, ne boli me vise, a vide se tragovi, a ja bi te htjela barem upoznati"
2,4wxdBzAi_1_2,Čista petica,"Dobra jesam, ali nisam kao svetica, nema veze, ti si, lutko, čista petica. Nekad sam bez veze, ali obično, osjećam se super, odlično, osmijehe i sreću svima donijet ću, mene dobri ljudi pokreću. Ma kad se podijeli i dobro i zlo, ja sam cura, tako ti je to, imam mana, al' i dobrih strana sto. Dobra jesam, ali nisam kao svetica, nema veze, ti si, lutko, čista petica, možda jesam malo stroga kao šefica, nema veze ti si nama čista petica. Nekada sam loše, al' u prosjeku, radujem se svakom čovjeku, samo nek' se pjeva, neka dobro je, brige kao da ne postoje."
3,4wxdBzAi_1_3,Da si tu,"Dolazi novo vrijeme, dolaze novi ljudi, ja necu nista novo, meni je dosta ovo, samo ti kraj mene budi. Kraj mene zivot zuri, ja za njim necu poci, jer zivim i dan danas, u onoj nasoj prici, i cekam kad ces stici. Da si tu, da si tu, da skupa smo ko ranije, da mi je, da mi je, da bude kao prije, da nas vide nasmijane, isto ko u stare dane. Vrijeme mi sporo ide, kako da dane skratim, i svoju ludu zelju, svaku noc suzom platim, samo bi da tebe vrati"
4,4wxdBzAi_1_4,Da te nisam voljela,"Dosadno mi noćima. Uvijek sami mrak i ja. A malo bih se igrala. Nakon sreće trpim bol. Na živoj mi rani spava sol. A meni fali osmijeh tvoj!. Riješit' ću se otrova tog. Pogleda vražjeg, poljupca tvog!. I potražit nekoga-. Vrijednog mog plakanja... Da, da me nisi zaveo. I na grijeh me naveo-. Ne bi' tužna bila ja. Ne, ne, ne, ne... Da, da si mene ljubio. Ne bi ništa izgubio. Ne bi' tužna bila ja. Ne, ne, ne, nikada!"
5,4wxdBzAi_1_5,"E, moj blesane","Spavas do podne, naravi nezgodne, isti kad budis se, al' ipak ja volim te, hej, e, moj blesane. Lutas po gradu, meni za nagradu, das noci besane, al' ipak ja volim te, hej, e, moj blesane. Nikada nikom ne dam te, ozivim odmah kad ugledam te, nikom ne dam te, hej. Ljubis me na svijetu najbolje, puknut ce svi od ljubomore, ljubis me, pola ih zavidi, pola se pravi da ne vidi. Ti kada pijes dobro se ubijes, jer nemas granice, bas zato ja volim te, hej, e, moj blesane"
6,4wxdBzAi_1_6,Evo ima godina,"Vidiš kako mjesec lopov. Nebom zvijezde tjera sjajne, luduje. Slušaj kako trava raste. A vjetar nam zamrsio sudbine. Vidiš kako mjesec lopov. Nebom zvijezde tjera sjajne, luduje. Ne bih htjela da sam sama. Daj mi ruku oko struka da me ugrije. Kao svjetlo dana. I kao srcu hrana. Ti mi dođeš, vratiš nemire. Evo ima godina. Srce sam zaledila. Alikad mi dođeš, srcem kad mi prođeš. Sve u pjesmu pretvaraš"
7,4wxdBzAi_1_7,Hello,"Kad kažeš da me voliš. Ti lažeš ljudima. Ja dobro znam. Al' srce ne bira... Kad čujem našu pjesmu, bol me zarobi. I sjećanje na tebe zaboli. A vrijeme samo ode. Moja duša nema sna. Jer ti si moja snaga najveća. Hello, my boy. Hello I love you so. Jer ti si moje dobro i zlo. Sunce malo nebo jedino. Hello, my boy. Hello I love you so. Ne želim suze, što će mi to?. Samo tebe, moje maleno!. A negdje tiho svira. Tvoja najdraža. Pjesma što te na me podsjeća"
8,4wxdBzAi_1_8,Jedna noć,Ona te dira prstima. Ona ti šapće pjesmama. Ona je tvoja djevojka. Jedna jedina. Ona te dira satima. Sve tvoje navike već zna. I njena kosa miriše. Na tvoja sjećanja. Gleda me preko ramena. Kao da misli pogađa. I ne da nikome. Da dođe do tebe. Jedna noć s tobom da mi je. Jedna noć prije nje. Možda bi onda bio moj. Jedna noć s tobom da mi je. Jedna noć prije nje. Možda bi onda bio moj. Zauvijek!
9,4wxdBzAi_1_9,Jer kad ostarim,"Ja za život nemam milosti. I kada legnem, ja ne znam zaspati. Jer moj je život. Samo kratka priča prolazna. I ja ga želim, živjet' do kraja!. I zato:. Vodi mene odavde, Meni treba fešta do zore!. Jer kad ostarim. Zime bit' će preduge. Ljeto kraće, najkraće. Samo pjevaj do zore!. Jer kad ostarim. Novi ljudi dolaze. Uspomene ostat će. Zato pjevaj do zore. Dok ne osvane, Dok ne osvane..."
10,4wxdBzAi_1_10,Jer mi tebe nema,"Ti si kao sjena. Što se jutrom bori. Ja sam opijena. Hajde mi odgovori:. Dal' si mene varao?. Zimi, noću, danju. Što ću sada sama. Jer mi tebe nema. Jer mi tebe nema. Ne, ne, ne pitaj me. Što ću ove dane. Kad mi sunce svane. Jer mi tebe nema. Jer mi tebe nema. Ne, ne, ne pitaj me. Što ću ove dane. Dok mi srce stane. Jer mi tebe nema. Jer mi tebe nema tu. Ti si mene ljubio. Zimi, noću, danju. Što ću sada sama. Jer mi tebe nema. Jer mi tebe nema"
11,4wxdBzAi_1_11,Kad me tvoja ljubav prekrije,"Odavno si moja želja. Cilj životu mom. Jer je meni jako dobro. U naručju tvom. Sa sjevera dok mi idu. Hladni vjetrovi. Ti me pališ, na me bacaš. Čini ljubavi. Dobro mi je, dobro mi je tu. Skrivenoj u tvome naručju. Dobro mi je, dobro, najbolje. Kad me tvoja ljubav prekrije. Toplo mi je, toplo mi je tu. Skrivenoj u tvome naručju. Dobro mi je, dobro, najbolje. Kad me tvoja ljubav prekrije. Jutro zimsko na prozoru. Kesten miriše. U sobi je puno svega. Tebe najviše. Toplo mi je. Dok odijevam još u polusnu. Košulju od tvoga tijela. Meku, svilenu"
12,4wxdBzAi_1_12,Kad sklopim oci,"O tebi vijesti sve ce rjedje srcu stizati, a ja cu dane k'o djerdane tuge nizati, niti glasam niti pismo, valjda tako skupa htjeli smo. Svaki put kad sklopim oci, cini mi se da ces doci, da korake tvoje cujem, povjerujem, laz je kao otrov, samu sebe trujem. Usne su nijeme al' se vidi sve iz pogleda, to poraz moj je i jos jedna tvoja pobjeda, niti glasa, niti pismo, valjda tako skupa htjeli smo. Svaki put kad sklopim oci, i cini mi se da ces doci, k'o da vecer malo vise zamirise, na poljupce tvoje, i na prve kise, i na prve kise"
