Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
zT3Xu5sD_1_0,Mišo Kovač,Mate Mišo Kovač,A kad se tebi opet vratim,586,"Daleko, od mene
daleko si, dome moj
o, draga, daleko
daleko je zivot moj

Ti ne znas da placem
da placem zbog tebe ja
ti ne znas da mislim
da mislim na tebe ja
 
Ref.2x 
A kad se tebi opet vratim
ja bit cu samo, samo tvoj
proci ce ovi pusti dani
uz tebe bit ce zivot moj

Jos malo tih dana
jos malo, dugo to traje
jos malo tih noci
bez tebe ne zelim dalje

U svakom si danu
i noci zivota mog
u svakom se trenu
ja sjecam tog lika tvog

Ref. 2x

Uz tebe bit ce zivot moj","https://tekstovi.net/2,692,63166.html"
zT3Xu5sD_1_1,Mišo Kovač,Mate Mišo Kovač,Adios amor,1272,"Jednom ces shvatiti
da smo se voljeli
snove o ljubavi
mozda si sad izgubila ti

Jednom ces pitati
da l' ce se vratiti
svi dani radosti
koje smo sad izgubili mi
 
Ref. 3x
Idi, ne zali me
mahni rukom, zaboravi sve
ne okreci se, manja je bol
adio, adios, adios amor

Nema sretne ljubavi
to smo znali mi
ako jednom sretnem te
nemoj prici, ne

Ref. 3x","https://tekstovi.net/2,692,60164.html"
zT3Xu5sD_1_2,Mišo Kovač,Mate Mišo Kovač,Ako me ostavis,113769,"Samo jednom ljubav pokuca na vrata
da te rani ceznjom i gorcinom
da te vodi k'o pticu bez jata
da te tjesi vinom

Samo jednom ljubav pokuca na vrata
da ti pruzi snove i ljepotu
da ti stavi okove od zlata
jednom u zivotu
 
Ref.
Ako me ostavis, kad pozelis kraj
i nebo ce plakati, izgubit' ce sjaj
ako me ostavis, ne rusi grubo sve
pusti da vjerujem da voljela si me

Ref.","https://tekstovi.net/2,692,18412.html"
zT3Xu5sD_1_3,Mišo Kovač,Mate Mišo Kovač,Ako sam ikad ljubav dao,5896,"Ako sam ikad ljubav dao
s dusom sam ti osmijeh krao
od tvog tvrdog, kamenog ti srca
kod ljudi sam suze sakriti znao

Ako te ikad u snu budi
topla ruka il' jecaj gitare
to je tvoja prokleta oluja
sto u mojim venama
jos uvijek traje
 
Ref.
Ako sada odes
ne vracaj se vise
stavi drugom ruke oko vrata

Al' sjetit' ces se
tada, moja mila
da si samo sa mnom sretna bila

Ref.","https://tekstovi.net/2,692,43211.html"
zT3Xu5sD_1_4,Mišo Kovač,Mate Mišo Kovač,"Ako tvoja dusa, moju pjesmu slusa",7872,"Put me vodi tebi iz daleka
placu zvona, ja ih cujem jasno
slutim vise nitko me ne ceka
oprosti mi, stigao sam kasno

Ref.
Ako tvoja dusa, moju pjesmu slusa
negdje iza zvijezda dok joj palim svijecu
ako tvoja dusa, moju pjesmu slusa
negdje iza zvijezda dok joj palim svijecu
neka zna da te nikad, zaboravit necu
 
Uzalud je samo tebe zvati
nema nikog da mi dusu grije
ko ce meni mjesto sunca sjati
zasto nebo pricekalo nije

Ref.","https://tekstovi.net/2,692,43173.html"
zT3Xu5sD_1_5,Mišo Kovač,Mate Mišo Kovač,Bez rastanka suza nema,1082,"Ostavljam te opet samu
odlazim u noc i tamu
pozdravi me tvoji prate
gdje su zore da se vrate 

Ref.
Bez rastanka suza nema
ja ih skrivam, one teku
isplaci se, srce moje
pusti suze neka teku  
 
Bez rastanka suza nema
ja ih skrivam, oci bole
isplaci se, srce moje
za sve one sto se vole 

Ostavljam te u toj noci
tko zna kad cu natrag doci
zagrljaji tvoji zovu
kako svladat' tugu ovu  

Ref.","https://tekstovi.net/2,692,60166.html"
zT3Xu5sD_1_6,Mišo Kovač,Mate Mišo Kovač,Bijela ladja,382,"Evo ti pjesmo vracam
sve sto si meni dala
premda je tesko, shvacam
ljubav je prestala

Ref.
Bijela me nosi ladja
u dalek tudji svijet
ostavljam tebe, draga
zivota moga cvijet
 
Uzalud dan se radja
kad meni neces sjat´
jedino sunce iz oka tvoga
srecu mi moze dat´

Na svijetu srece nema
ruke mi pruzas, tugo
kisa se tvoja sprema
na cvijece uvelo

Ref. 2x","https://tekstovi.net/2,692,63130.html"
zT3Xu5sD_1_7,Mišo Kovač,Mate Mišo Kovač,Bili ! Bili !,366,"Ref. 2x
Bili! Bili!

Tu, ispod murve stare
dom mu je prvi bio
kraj nje je svoje slavno 
ime on dobio
 
Hajduk je ponos grada
uz Palace i Marjan, hej
gdje Hajduk s loptom vlada
za Split znade cijeli svijet

Tradiciju i slavu nosi
svog sunca i mora znak
po bijeloj, plavoj njegovoj boji
Hajduka pozna sva´k

Ref. 2x

Visoko nosi ime
to mladost mu je dala
i vjerna svome Gradu
zauvijek ostala

Ref. 2x","https://tekstovi.net/2,692,63167.html"
zT3Xu5sD_1_8,Mišo Kovač,Mate Mišo Kovač,Bit' cu daleko,312,"Netko ljubi usne tvoje
netko mrsi kose tvoje
netko znaci tebi sve
dok ja patim, smijes se

Ref. 2x
Al' dan ce doci taj
kad gorko plakat' ti ces, znaj
kad volit' ces me ti
daleko bit' cu, ljubavi
 
Ti si znala da bi vrijeme
lakse proslo ti uz mene
mada, nisam samo tvoj
zar je uvijek vazno to

Ref. 2x","https://tekstovi.net/2,692,64033.html"
zT3Xu5sD_1_9,Mišo Kovač,Mate Mišo Kovač,Budi covjek dobre volje,10153,"Svi smo mali ispod zvijezda
u pustinji zrna pijeska
sve nas nosi ista rijeka
i sudbina ista ceka

Zato svakom ruku pruzi
nikad nikog ne rastuzi
brzo prodju nam zivoti
nek' te pamte po dobroti
 
Ref.
Budi covjek dobre volje
zeli svakom sve najbolje
nek' ti srce mjera bude
za sve ljude, za sve ljude

Svima nama ljubav treba
treba kao milost s neba
budi covjek dobre volje
zeli svakom sve najbolje

Ref.","https://tekstovi.net/2,692,43212.html"
