Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Skladba_diskografija,Stihovi_diskografija,Album_3_diskografija,Aranžman_diskografija,Album_4_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Featuring_discogs,All_albums_discogs
0,vpm1INqf_1_0,Mladen Grdović,Mladen Grdović,A masline stare placu,205,"Pusti zidi dalmatinski
svu nan zemju vitar nosi
cvili loza pod kamenon
i tezacku ruku prosi

Bile kuce skoji kite
a u njima nikog nima
rodilo se zadnje dite
davno prije ovih plima
 
Ref. 2x
A masline stare placu
i gledaju na vapore
al´ nijedan stati nece
odnit ce ih dalje more

Jer, nikoga vise nima
u ton portu pradidova
samo pisma neka dodje
s one druge strane mora","https://tekstovi.net/2,777,64596.html",,,,,,,,,,,,,,,,,,,,,Mladen Grdović,A Masline Stare Plaču,3:44,,"Dobro Jutro Ti, More",2009.0,,,"2009.0-Dobro Jutro Ti, More"
1,vpm1INqf_1_1,Mladen Grdović,Mladen Grdović,Ako odes ti,2932,"Ostavljas posljednju suzu
na mome jastuku
k'o kapjicu uja na vatri
dajes mi utjehu

Vezat' cu krunu o' zlata
za nasu posteju
ako odes ti
ako odes ti, ljubavi
 
Pod prozoron mojin se
druga djeca igraju
ni'ko ne pita za tebe
kao da nisi tu

Koliko bora na licu
skriva nan sudbinu
da li cu priznati nocas
da zivin za nju

Ref.
Ako odes ti
nece more isprati 
mrvu ljubavi 
sto si meni dala ti

I za miljun godina
kada bi se rodija
tvoju ljubav prepoznao bi
ako odes ti 

Neka ti mole za sricu
svi moji andjeli
neka ti dotaknu tilo
i kada nisan tu

Ka' dite plakat' cu ja
ako odes ti
cekat' cu na sudnji dan
da s tobon nadjen mir

Ref. 2x","https://tekstovi.net/2,777,60788.html",,Ako odeš ti,If you leave,,"Ostavljaš posljednju suzu
Na mome jastuku
Ko kapljicu ulja na vatri daješ mi utjehu
Vezat ću krunu od zlata za našu postelju. Ako odeš ti, ako odeš ti ljubavi
Pod prozorom mojim se druga djeca igraju
Niko ne pita za tebe kao da nisi tu
Koliko bora na licu skriva nam sudbinu
Da li ću priznati noćas da živim za nju. Ref.
Ako odeš ti neće more isprati
Mrvu ljubavi što si meni dala ti
I za miljun godina kada bi se rodija
Tvoju ljubav prepoznao bi ako odeš ti
Tvoju ljubav prepoznao bi ako odeš ti. Neka ti mole za sriću svi moji anđeli
Neka ti dotaknu tilo i kada nisam tu
Ka dite plakat ću ja ako odeš ti
Čekat ću na sudnji dan da s tobom nađen mir. Ref. 2x
Ako odeš ti neće more isprati
Mrvu ljubavi što si meni dala ti
I za miljun godina kada bi se rodija
Tvoju ljubav prepoznao bi ako odeš ti
Tvoju ljubav prepoznao bi ako odeš ti","You're leaving the last tear
on my pillow
like an oil drop on fire you're giving me consolation
I'll tie a golden crown to our bed. If you leave, if you leave, love
beneath my window some other children play
no one asks about you like you were not here
how many face wrinkles destiny is hiding from us
am I going to confess tonight that she's my life. Chorus
If you leave, the sea won't wash away
that tiny piece of love you gave me
And if I had been born in a million years
I would have recognized your love, if you leave
I would have recognized your love, if you leave. Let all my angels pray for your happiness
let them touch your body even when I'm gone
I'll cry like a child if you leave
I'll wait for doomsday to find peace with you. Chorus 2x
If you leave, the sea won't wash away
that tiny piece of love you gave me
And if I had been born in a million years
I would have recognized your love, if you leave
I would have recognized your love, if you leave",https://lyricstranslate.com/en/ako-ode%C5%A1-ti-if-you-leave.html-0,['Mladen Grdović'],2007 - Da te mogu pismom zvati - Libar VII,2007 - Zlatna kolekcija,https://diskografija.com/pjesma/ako-odes-ti-11680.htm,Ako odeš ti,,,,,,,,,Mladen Grdović,Ako Odeš Ti,4:02,,Ako Odeš Ti,,,,nan-Ako Odeš Ti/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection/2019.0-Moji Sentimenti
2,vpm1INqf_1_2,Mladen Grdović,Mladen Grdović,Ako sad odes,24239,"Pivajte ljudi, neka se cuje
puno san ljubi' i glavu gubi'
a uvik san ja samo tebe volija

Luta' san sviton, nisan se stedi'
a uvik san tija vratit se tebi
jer samo san ja na tebe mislija
 
Ref. 2x
Ako sad odes bit ce ti za'
ne slusaj druge, doci cu ja
tebi, moja ljubavi

Drugi te nece volit' ka' ja
dat ce ti solde, a srce nikada
moja ljubavi

Pivajte ljudi, neka se cuje
puno san ljubi' i glavu gubi'
a uvik san ja samo tebe volija

Luta' san sviton, nisan se stedi'
a uvik san tija vratit se tebi
jer samo san ja na tebe mislija

Ref. 2x
","https://tekstovi.net/2,777,19919.html",,,,,,,,['Mladen Grdović'],,,https://diskografija.com/pjesma/ako-sad-odes-10121.htm,Ako sad odeš,,,,,,,,,Mladen Grdović,Ako Sad Odeš,3:22,,"E, Da Mi Je Vratit Vrime",2006.0,,,"2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
3,vpm1INqf_1_3,Mladen Grdović,Mladen Grdović,Andjel,6115,"Nocas sa mnom sidi na skaline
di sam nekad svira ti gitaru
jos se tamo nika dica ljube
i ljubav nova minja staru

Nocas sa mnom prodji sva u bilo
makar bilo svitu iz dispeta
ti si moja i duson i tilon
moje more i ljubav sveta
 
Ref. 2x
Na zemlju pa je jedan andjel iz visina
sladji od vina, sladji od vina
i zato nece vise plakat mandolina
mandolina, mandolina

I dok me ljubis ja ti lipe oci gledan
nikom te ne dam, nikom te ne dam

Ref. 

Ref. 2x

Ref. 2x

Na zemlju pa je jedan andjel iz visina
sladji od vina, sladji od vina","https://tekstovi.net/2,777,34173.html",,,,,,,,,,,,,,,,,,"Noćas sa mnom sidi na skaline
di sam nekad svira ti gitaru,
još se tamo nika dica ljube
i ljubav nova minja staru.

Noćas sa mnom prođi sva u bilo,
makar bilo svitu iz dišpeta,
ti si moja i dušon i tilon
moje more i ljubav sveta.

Na zemlju pa je jedan anđel iz visina
slađi od vina, slađi od vina
i zato neće više plakat mandolina,
mandolina, mandolina,

I dok me ljubiš ja ti lipe oči gledan
nikom te ne dam, nikom te ne dam.",Anđel,https://cuspajz.com//tekstovi-pjesama/pjesma/mladen-grdovic/andjel.html,,,,,,,,,
4,vpm1INqf_1_4,Mladen Grdović,Mladen Grdović,Bacit cu mandolinu,37144,"Zbog nje me srce boli
meni se zaklela
a sada drugog voli
mene se ne sjeca

Drugi joj serenade
svira pod prozorom
od male barke i ljubavi zarke
malo je ostalo
 
Ref.
Bacit cu mandolinu u more Jadransko
razbit cu je o stinu da vise ne svira njoj
bacit cu mandolinu u more Jadransko
razbit cu je o stinu
da nikad vise, da nikada vise
o ljubavi ne svira njoj","https://tekstovi.net/2,777,15136.html",,Bacit ću mandolinu,I'll throw away the mandolin,,"Zbog nje me srce boli
Meni se zaklela
A sada drugog voli
Mene se ne sjeća. Drugi joj serenade
Svira pod prozorom
Od male barke i ljubavi žarke
Malo je ostalo. [Refren]
Bacit ću mandolinu u more Jadransko
Razbit ću je o stinu da više ne svira njoj
Bacit ću mandolinu u more Jadransko
Razbit ću je o stinu
Da nikad više, da nikada više
O ljubavi ne svira njoj","My heart is in pain because of her
She swore herself to me
But now she loves someone else
She doesn't remember me. A different man plays
Serenades under her window
Little is left
Of the little ark and fervent love. Chorus
I'll throw the mandolin into the Adriatic sea
I'll smash it on a rock so that it no longer plays for her
I'll throw the mandolin into the Adriatic sea
I'll smash it on a rock
so that it never again, never again
Plays for her about love",https://lyricstranslate.com/en/bacit-cu-mandolinu-ill-throw-away-mandolin.html,['Mladen Grdović'],2007 - Zlatna kolekcija,2010 - Evo mene moji ljudi - uživo,https://diskografija.com/pjesma/bacit-cu-mandolinu-13569.htm,Bacit' ću mandolinu,,,,,,,,,Mladen Grdović,Bacit Ću Mandolinu,3:06,Teo Trumbić,Nedostaješ Mi Ti,1993.0,Teo Trumbić,,1993.0-Nedostaješ Mi Ti/nan-Ako Odeš Ti/nan-18 Zlatnih Hitova/2010.0-Najljepše Ljubavne Pjesme/2010.0-Evo Mene Moji Ljudi/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection
5,vpm1INqf_1_5,Mladen Grdović,Mladen Grdović,Bila kosulja,36880,"Buket od najlipseg cvica san nosija ja
ljubavi tebi za koju san jedino zna
i onda san dosa prid vrata, na kolina pa
da budes zauvik moja ja sve bi ti da
na kruvu i vodi za tebe bi zivija ja
da ispod kriza zauvik kazes mi da

Ref.
Kosulju bilu na svome tilu
nosit cu ja kazes li da
kunen se ja 
za mater moju i oca moga
zivot bi da, al' dusu ne
nju tebi san da 
","https://tekstovi.net/2,777,15228.html",,,,,,,,['Mladen Grdović'],2000 - Split 2000,"2000 - Kada se ljubav u vino pretvori
Aranžman: Remi Kazinoti",https://diskografija.com/pjesma/bila-kosulja-3298.htm,Bila košulja,"['Mladen Grdović', 'Rudolf Dvorski']",['Nenad Ninčević'],"2007 - Zlatna kolekcija
Aranžman: Remi Kazinoti",,,"Buket od najlipšeg cvića
San nosija ja
Ljubavi tebi za koju
San jedino zna
I onda san doša prid vrata
Na kolina pa
Da budeš zauvik moja
Ja sve bi ti da
Na kruvu i vodi
Za tebe bi živija ja
da ispod križa
Zauvik kažeš mi da

Košulju bilu
Na svome tilu
Nosit ću ja
Kažeš li da
Kunen se ja
za mater moju
I oca moga
Život bi da
Al'dušu ne
Nju tebi san da",Bila košulja,https://cuspajz.com//tekstovi-pjesama/pjesma/mladen-grdovic/bila-kosulja.html,Mladen Grdović,Bila Košulja,,,Kada Se Ljubav U Vino Pretvori,,,,nan-Kada Se Ljubav U Vino Pretvori/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2015.0-Orange Collection
6,vpm1INqf_1_6,Mladen Grdović,Mladen Grdović,Bog mi dao sve,6446,"Neka me utjese molitve nebeske
otkad vise nisi kraj mene
prosla je godina, a ti se ne javljas
ko' da me nikada nisi voljela
prosla je godina, a u meni sjecanja
mala luka di san te ljubija
 
Ref.
Bog mi dao sve
samo jedno, tebe ne
sto ce meni
zivot bez tebe

Ruke cu sklopiti
samo Bogu se moliti
nek' mojoj dusi
nocas nebo se otvori

Neka me utjese molitve nebeske
otkad vise nisi kraj mene
prosla je godina, godina preduga
a jos me sve na tebe podsjeca
prosla je godina, a ja bih otrova
otrova sa tvojih usana

Ref.","https://tekstovi.net/2,777,46786.html",,,,,,,,['Mladen Grdović'],,,https://diskografija.com/pjesma/bog-mi-dao-sve-24674.htm,Bog mi dao sve,,,,,,,,,Mladen Grdović,Bog Mi Dao Sve,3:24,,Ako Odeš Ti,,,,nan-Ako Odeš Ti/nan-Za Sva Vrimena - Mix Hitova/2010.0-Najljepše Ljubavne Pjesme
7,vpm1INqf_1_7,Mladen Grdović,Mladen Grdović,"Bolis me, ljubavi",2819,"Ne pitajte me nocas, prijatelji
zasto me draga ostavila 
nisam ja bogat, nisam ni skitnica
samo sam noci uvik provodija

Sam sa sobom ja cu nazdravit
gorku casu suza cu popiti
ja nikoga nemam da me utjesi
pa neka dusa moja izgori
 
Ref.
Bolis me, bolis me, bolis me, ljubavi
ti, samo ti, samo zivis u meni
mojoj dusi si raj, moj pocetak i kraj

Bolis me, bolis me, bolis me, ljubavi 
ti, samo ti, samo zivis u meni
lagali, lagali su ti da te vise ne volim

Ref.","https://tekstovi.net/2,777,54920.html",,Bolis me ljubavi,"You Are Hurting Me, My Love",,"Ne pitaje me noćas prijatelji
zašto me draga ostavila
nisam ja bogat nisam ni skitnica
samo sam noći uvik provodija. Sam sa sobom ja ću nazdravit
gorku čašu suza ću popiti
ja nikoga nemam da me utješi
pa neka duša moja izgori. Refren
Boliš me boliš me boliš me ljubavi
ti samo ti samo živiš u meni
mojoj duši si raj moj početak i kraj. Boliš me boliš me boliš me ljubavi
ti samo ti samo živiš u meni
lagali lagali su ti da te više ne volim
da te više ne volim. Ne pitaje me noćas prijatelji
zašto me draga ostavila
nisam ja bogat nisam ni skitnica
samo sam noći uvik provodija. Refren
Boliš me boliš me boliš me ljubavi
ti samo ti samo živiš u meni
mojoj duši si raj moj početak i kraj. Boliš me boliš me boliš me ljubavi
ti samo ti samo živiš u meni
lagali lagali su ti da te više ne volim
da te više ne volim","Friends, do not ask me tonight
Why my darling left me.
I am neither rich nor a bum,
I was just enjoying all my nights.. I will make a toast alone with myself,
And drink a glass of bitter tears.
I have no one to comfort me
so let my soul burn out.. Chorus:
You are hurting me, you are hurting me, my love,
Only you, only you live inside of me.
To my soul, you are heaven,
Its beginning and end.. You are hurting me, you are hurting me, my love,
Only you, only you live inside of me.
They have lied, they have lied to you,
That I don't love you anymore.. Friends, do not ask me tonight
Why my darling left me.
I am neither rich nor a bum,
I was just enjoying all my nights.. (Chorus). They have lied, they have lied to you,
That I don't love you anymore.",https://lyricstranslate.com/en/bolis-me-ljubavi-you-are-hurting-me-my-love.html,,,,,,,,,,,,,,Mladen Grdović,Boliš Me Ljubavi,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,2016.0-Nek' Se Čuje Pisma S Jadrana/2019.0-Moji Sentimenti
8,vpm1INqf_1_8,Mladen Grdović,Mladen Grdović,Bolje zivim nego ministar,27500,"Leti vrime idu dani
 sve je isto ka i lani
zena kuci, a ja vani
 penzija mi u kavani
bez brige mi idu dani

Ref.
Zivim, zivim, a nicega nema
pijem, pusim, lose mi se sprema
ni me briga nek sam zdrav
necu biti bogat star
bolje zivim nego ministar

Ni me briga nek sam zdrav
iako sam podstanar
bolje zivim nego ministar

U tri sata ja se budim
 od pijanstva glava ludi
zivot tece ka i rijeka
 a za mene nema lijeka
becar sam od pamtivijeka

Ref.

Od zivota nista nemam
 vanzemaljac nesto sprema
cile mile no piu mille
 godine su proletile
zene su me ostarile

Ref.","https://tekstovi.net/2,777,34176.html",,,,,,,,['Mladen Grdović'],2007 - Zlatna kolekcija,2010 - Evo mene moji ljudi - uživo,https://diskografija.com/pjesma/bolje-zivim-nego-ministar-13560.htm,Bolje živim nego ministar,,,,,,,,,Mladen Grdović,Bolje Živim Nego Ministar,4:28,,Vitar Nek Puše,,,,nan-Vitar Nek Puše/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi/2015.0-Orange Collection
9,vpm1INqf_1_9,Mladen Grdović,Mladen Grdović,Brod zivota,16457,"Nek' u idra od zivota drugi vitri pusu
kad zadr'ce jubav i lipota
ja cu s pismom uc' u vasu dusu

Neka idra od zivota plove dok oluje bisne
al' kad zadnja okrene se karta
napijte se svi iz moje pisme
 
Ref.
Vratit cu se brodom od zivota
stara vatra dok u meni gori
pa nek' suva otkinuta grana
i u mojoj ruci zazeleni

Vratit cu se brodom od zivota
kad mi sjeta uspomene dirne
vratit cu se, makar bila stota
jer zauvik vi ste dio mene

Nek' u idra od zivota drugi vitri pusu
kad zadr'ce jubav i lipota
ja cu s pismom uc' u vasu dusu

Neka idra od zivota plove dok oluje bisne
al' kad zadnja okrene se karta
napijte se svi iz moje pisme

Ref.","https://tekstovi.net/2,777,19920.html",,,,,,,,['Mladen Grdović'],,,https://diskografija.com/pjesma/brod-zivota-10123.htm,Brod života,,,,,,,,,Mladen Grdović,Brod Života,3:36,,"E, Da Mi Je Vratit Vrime",2006.0,,,"2006.0-E, Da Mi Je Vratit Vrime/2014.0-50 Originalnih Pjesama"
