Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
vpm1INqf_1_0,Mladen Grdović,Mladen Grdović,A masline stare placu,205,"Pusti zidi dalmatinski
svu nan zemju vitar nosi
cvili loza pod kamenon
i tezacku ruku prosi

Bile kuce skoji kite
a u njima nikog nima
rodilo se zadnje dite
davno prije ovih plima
 
Ref. 2x
A masline stare placu
i gledaju na vapore
al´ nijedan stati nece
odnit ce ih dalje more

Jer, nikoga vise nima
u ton portu pradidova
samo pisma neka dodje
s one druge strane mora","https://tekstovi.net/2,777,64596.html"
vpm1INqf_1_1,Mladen Grdović,Mladen Grdović,Ako odes ti,2932,"Ostavljas posljednju suzu
na mome jastuku
k'o kapjicu uja na vatri
dajes mi utjehu

Vezat' cu krunu o' zlata
za nasu posteju
ako odes ti
ako odes ti, ljubavi
 
Pod prozoron mojin se
druga djeca igraju
ni'ko ne pita za tebe
kao da nisi tu

Koliko bora na licu
skriva nan sudbinu
da li cu priznati nocas
da zivin za nju

Ref.
Ako odes ti
nece more isprati 
mrvu ljubavi 
sto si meni dala ti

I za miljun godina
kada bi se rodija
tvoju ljubav prepoznao bi
ako odes ti 

Neka ti mole za sricu
svi moji andjeli
neka ti dotaknu tilo
i kada nisan tu

Ka' dite plakat' cu ja
ako odes ti
cekat' cu na sudnji dan
da s tobon nadjen mir

Ref. 2x","https://tekstovi.net/2,777,60788.html"
vpm1INqf_1_2,Mladen Grdović,Mladen Grdović,Ako sad odes,24239,"Pivajte ljudi, neka se cuje
puno san ljubi' i glavu gubi'
a uvik san ja samo tebe volija

Luta' san sviton, nisan se stedi'
a uvik san tija vratit se tebi
jer samo san ja na tebe mislija
 
Ref. 2x
Ako sad odes bit ce ti za'
ne slusaj druge, doci cu ja
tebi, moja ljubavi

Drugi te nece volit' ka' ja
dat ce ti solde, a srce nikada
moja ljubavi

Pivajte ljudi, neka se cuje
puno san ljubi' i glavu gubi'
a uvik san ja samo tebe volija

Luta' san sviton, nisan se stedi'
a uvik san tija vratit se tebi
jer samo san ja na tebe mislija

Ref. 2x
","https://tekstovi.net/2,777,19919.html"
vpm1INqf_1_3,Mladen Grdović,Mladen Grdović,Andjel,6115,"Nocas sa mnom sidi na skaline
di sam nekad svira ti gitaru
jos se tamo nika dica ljube
i ljubav nova minja staru

Nocas sa mnom prodji sva u bilo
makar bilo svitu iz dispeta
ti si moja i duson i tilon
moje more i ljubav sveta
 
Ref. 2x
Na zemlju pa je jedan andjel iz visina
sladji od vina, sladji od vina
i zato nece vise plakat mandolina
mandolina, mandolina

I dok me ljubis ja ti lipe oci gledan
nikom te ne dam, nikom te ne dam

Ref. 

Ref. 2x

Ref. 2x

Na zemlju pa je jedan andjel iz visina
sladji od vina, sladji od vina","https://tekstovi.net/2,777,34173.html"
vpm1INqf_1_4,Mladen Grdović,Mladen Grdović,Bacit cu mandolinu,37144,"Zbog nje me srce boli
meni se zaklela
a sada drugog voli
mene se ne sjeca

Drugi joj serenade
svira pod prozorom
od male barke i ljubavi zarke
malo je ostalo
 
Ref.
Bacit cu mandolinu u more Jadransko
razbit cu je o stinu da vise ne svira njoj
bacit cu mandolinu u more Jadransko
razbit cu je o stinu
da nikad vise, da nikada vise
o ljubavi ne svira njoj","https://tekstovi.net/2,777,15136.html"
vpm1INqf_1_5,Mladen Grdović,Mladen Grdović,Bila kosulja,36880,"Buket od najlipseg cvica san nosija ja
ljubavi tebi za koju san jedino zna
i onda san dosa prid vrata, na kolina pa
da budes zauvik moja ja sve bi ti da
na kruvu i vodi za tebe bi zivija ja
da ispod kriza zauvik kazes mi da

Ref.
Kosulju bilu na svome tilu
nosit cu ja kazes li da
kunen se ja 
za mater moju i oca moga
zivot bi da, al' dusu ne
nju tebi san da 
","https://tekstovi.net/2,777,15228.html"
vpm1INqf_1_6,Mladen Grdović,Mladen Grdović,Bog mi dao sve,6446,"Neka me utjese molitve nebeske
otkad vise nisi kraj mene
prosla je godina, a ti se ne javljas
ko' da me nikada nisi voljela
prosla je godina, a u meni sjecanja
mala luka di san te ljubija
 
Ref.
Bog mi dao sve
samo jedno, tebe ne
sto ce meni
zivot bez tebe

Ruke cu sklopiti
samo Bogu se moliti
nek' mojoj dusi
nocas nebo se otvori

Neka me utjese molitve nebeske
otkad vise nisi kraj mene
prosla je godina, godina preduga
a jos me sve na tebe podsjeca
prosla je godina, a ja bih otrova
otrova sa tvojih usana

Ref.","https://tekstovi.net/2,777,46786.html"
vpm1INqf_1_7,Mladen Grdović,Mladen Grdović,"Bolis me, ljubavi",2819,"Ne pitajte me nocas, prijatelji
zasto me draga ostavila 
nisam ja bogat, nisam ni skitnica
samo sam noci uvik provodija

Sam sa sobom ja cu nazdravit
gorku casu suza cu popiti
ja nikoga nemam da me utjesi
pa neka dusa moja izgori
 
Ref.
Bolis me, bolis me, bolis me, ljubavi
ti, samo ti, samo zivis u meni
mojoj dusi si raj, moj pocetak i kraj

Bolis me, bolis me, bolis me, ljubavi 
ti, samo ti, samo zivis u meni
lagali, lagali su ti da te vise ne volim

Ref.","https://tekstovi.net/2,777,54920.html"
vpm1INqf_1_8,Mladen Grdović,Mladen Grdović,Bolje zivim nego ministar,27500,"Leti vrime idu dani
 sve je isto ka i lani
zena kuci, a ja vani
 penzija mi u kavani
bez brige mi idu dani

Ref.
Zivim, zivim, a nicega nema
pijem, pusim, lose mi se sprema
ni me briga nek sam zdrav
necu biti bogat star
bolje zivim nego ministar

Ni me briga nek sam zdrav
iako sam podstanar
bolje zivim nego ministar

U tri sata ja se budim
 od pijanstva glava ludi
zivot tece ka i rijeka
 a za mene nema lijeka
becar sam od pamtivijeka

Ref.

Od zivota nista nemam
 vanzemaljac nesto sprema
cile mile no piu mille
 godine su proletile
zene su me ostarile

Ref.","https://tekstovi.net/2,777,34176.html"
vpm1INqf_1_9,Mladen Grdović,Mladen Grdović,Brod zivota,16457,"Nek' u idra od zivota drugi vitri pusu
kad zadr'ce jubav i lipota
ja cu s pismom uc' u vasu dusu

Neka idra od zivota plove dok oluje bisne
al' kad zadnja okrene se karta
napijte se svi iz moje pisme
 
Ref.
Vratit cu se brodom od zivota
stara vatra dok u meni gori
pa nek' suva otkinuta grana
i u mojoj ruci zazeleni

Vratit cu se brodom od zivota
kad mi sjeta uspomene dirne
vratit cu se, makar bila stota
jer zauvik vi ste dio mene

Nek' u idra od zivota drugi vitri pusu
kad zadr'ce jubav i lipota
ja cu s pismom uc' u vasu dusu

Neka idra od zivota plove dok oluje bisne
al' kad zadnja okrene se karta
napijte se svi iz moje pisme

Ref.","https://tekstovi.net/2,777,19920.html"
