Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
+WaQ+Bqb_1_0,Nina Badrić,Ako kazes da me ne volis,https://lyricstranslate.com/en/ako-kazes-da-me-ne-volis-if-you-tell-me-you-dont-love-me.html,80802,[Nina Badrić],"[""Darko Juranović DKnock""]",2000,Nina,4:23
+WaQ+Bqb_1_1,Nina Badrić,Ako odeš ti,https://lyricstranslate.com/en/ako-odes-ti-if-you-leave.html,86418,"[Faruk Buljubašić Fayo, Nina Badrić, Ante Pecotić, Adonis Ćulibrk Boytronic]",[Adonis Ćulibrk Boytronic],1997,Personality,3:58
+WaQ+Bqb_1_2,Nina Badrić,Ako pogledaš u mene,https://lyricstranslate.com/en/ako-pogledas-u-mene-if-you-look-me.html,72285,[Igor Geržina],[Igor Geržina],,Personality,4:15
+WaQ+Bqb_1_3,Nina Badrić,Bolja od najbolje,https://lyricstranslate.com/en/bolja-od-najbolje-better-best.html-0,74751,,[Predrag Martinjak],,Personality,5:03
+WaQ+Bqb_1_4,Nina Badrić,Budi mi blizu,https://lyricstranslate.com/en/budi-mi-blizu-be-close-me.html,68343,,[Nina Badrić],,Nina,3:31
+WaQ+Bqb_1_5,Nina Badrić,Budi tu,https://lyricstranslate.com/en/budi-tu-be-here.html,64055,,[Ilan Kabiljo],1997,Personality,3:39
+WaQ+Bqb_1_6,Nina Badrić,Čarobno jutro,https://lyricstranslate.com/en/Carobno-jutro-Magical-morning.html,322916,[Sandra Sagena],"[Nina Badrić, Danijel Troha]",2003,Ljubav,2:54
+WaQ+Bqb_1_7,Nina Badrić,Čežnja,https://lyricstranslate.com/en/%C4%8De%C5%BEnja-longing.html,58563,"[Nina Badric, Ante Gelo]",,,Najdraži... (Best Of 2003-2013),4:33
+WaQ+Bqb_1_8,Nina Badrić,Cipele,https://lyricstranslate.com/en/cipele-shoes.html,9777,"[Nina Badric, Alan Hrzica, Predrag Martinjak]",,2015.0,Cipele,
+WaQ+Bqb_1_9,Nina Badrić,Da biram,https://lyricstranslate.com/en/da-biram-choose.html,4485,,,2020.0,Da Biram,3:36
+WaQ+Bqb_1_10,Nina Badrić,Da li ikada,https://lyricstranslate.com/en/da-li-ikada-do-you-ever.html,53524,,,1995,Godine nestvarne,5:50
+WaQ+Bqb_1_11,Nina Badrić,Da se opet tebi vratim,https://lyricstranslate.com/en/da-se-opet-tebi-vratim-i-come-back-you-again.html-0,210049,[Aleksandra Milutinovic],,2007,07,4:15
+WaQ+Bqb_1_12,Nina Badrić,Daleko od tebe,https://lyricstranslate.com/en/daleko-od-tebe-far-away-you.html,63154,[I. Gerzina],[Igor Geržina],,Personality,4:19
+WaQ+Bqb_1_13,Nina Badrić,Dan D,https://lyricstranslate.com/en/dan-d-day-d.html,15779,"[Danijel Pavlović, Marina Tucakovic]",,2014.0,Dan D,3:16
+WaQ+Bqb_1_14,Nina Badrić,Dani i godine,https://lyricstranslate.com/en/dani-i-godine-days-and-years.html,28984,"[Nina Badric, Predrag Martinjak]",,2016.0,Dani I Godine,3:30
+WaQ+Bqb_1_15,Nina Badrić,Dat će nam Bog,https://lyricstranslate.com/en/dat-%C4%87e-nam-bog-god-will-help-us.html,58932,[Antonija Šola],[Branimir Mihaljević],,Nebo,3:45
+WaQ+Bqb_1_16,Nina Badrić,Dodiri od stakla,https://lyricstranslate.com/en/dodiri-od-stakla-touches-made-glass.html,284218,[Aleksandra Milutinović],[Aleksandra Milutinović],,07,3:22
+WaQ+Bqb_1_17,Nina Badrić,Duše su se srele,https://lyricstranslate.com/en/du%C5%A1e-su-se-srele-our-souls-have-met.html-0,79269,,,,Najdraži... (Best Of 2003-2013),3:58
+WaQ+Bqb_1_18,Nina Badrić,Godine nestvarne,https://lyricstranslate.com/de/godine-nestvarne-unbelievable-years.html,40157,,,1995,Godine nestvarne,
+WaQ+Bqb_1_19,Nina Badrić,I zato znam,https://lyricstranslate.com/en/i-zato-znam-and-thats-why-i-know.html,51017,,,,,
+WaQ+Bqb_1_20,Nina Badrić,Igraj se,https://lyricstranslate.com/en/igraj-se-play-around.html,30269,,[Nina Badrić],,Nina,3:36
+WaQ+Bqb_1_21,Nina Badrić,"Imati, pa nemati",https://lyricstranslate.com/en/imati-pa-nemati-have-and-lose.html-0,79257,[Nina Badrić],[Nina Badrić],,07,4:01
+WaQ+Bqb_1_22,Nina Badrić,Istina,https://lyricstranslate.com/en/istina-truth.html-1,42676,,,1995,Godine nestvarne,
+WaQ+Bqb_1_23,Nina Badrić,Iz inata,https://lyricstranslate.com/en/iz-inata-out-spite.html,41309,[Nina Badrić],[Nina Badrić],,07,3:45
+WaQ+Bqb_1_24,Nina Badrić,Ja još uvijek imam istu želju,https://lyricstranslate.com/en/ja-jos-uvijek-imam-istu-zelju-i-still-have-same-wish.html,3528,,,2021.0,Ja Još Uvijek Imam Istu želju,2:57
+WaQ+Bqb_1_25,Nina Badrić,Ja sam vlak,https://lyricstranslate.com/en/ja-sam-vlak-duet-nina-badri%C4%87-im-train-ft-nina-badri%C4%87.html,60853,,,,Collection,
+WaQ+Bqb_1_26,Nina Badrić,Ja za ljubav neću moliti,https://lyricstranslate.com/en/ja-za-ljubav-necu-moliti-i-will-not-beg-love.html,123620,"[Faruk Buljubašić Fayo, Nina Badrić]",[Ilan Kabiljo],1997,Personality,4:35
+WaQ+Bqb_1_27,Nina Badrić,Jedino moje,https://lyricstranslate.com/en/jedino-moje-my-one-and-only.html-0,73916,[Ante Pecotić],[Ante Pecotić],,Unique,3:50
+WaQ+Bqb_1_28,Nina Badrić,Još i sad,https://lyricstranslate.com/en/jo%C5%A1-i-sad-even-now.html,48772,"[Nina Badrić, Miroslav Drljača Rus, Ante Pecotić]",[Ilan Kabiljo],1999,Unique,
+WaQ+Bqb_1_29,Nina Badrić,Kao u snu,https://lyricstranslate.com/en/kao-u-snu-dream.html,41151,[Ante Pecotić],[Adonis Ćulibrk Boytronic],,Unique,3:53
+WaQ+Bqb_1_30,Nina Badrić,Kosa,https://lyricstranslate.com/en/kosa-hair.html,72159,[Ante Pecotić],[Ante Pecotić],2003,Ljubav,3:48
+WaQ+Bqb_1_31,Nina Badrić,Kralj života mog,https://lyricstranslate.com/en/kralj-%C5%BEivota-mog-king-my-life.html,64901,[Nina Badrić],[Nina Badrić],2007,07,4:24
+WaQ+Bqb_1_32,Nina Badrić,Ljudi Od Ljubavi,https://lyricstranslate.com/en/ljudi-od-ljubavi-people-love.html,11475,,,,Nebo,4:04
+WaQ+Bqb_1_33,Nina Badrić,Mama,https://lyricstranslate.com/en/mama-momma.html,16159,,,,Nebo,4:17
+WaQ+Bqb_1_34,Nina Badrić,Moja Ljubav,https://lyricstranslate.com/en/Moja-Ljubav-My-love.html,132288,[Nina Badrić],[Nina Badrić],2003,Ljubav,4:47
+WaQ+Bqb_1_35,Nina Badrić,Moje ludilo,https://lyricstranslate.com/en/moje-ludilo-my-crazy-love.html,50635,[Aleksandra Milutinović],[Aleksandra Milutinović],,07,3:38
+WaQ+Bqb_1_36,Nina Badrić,Moje Oči Pune Ljubavi,https://lyricstranslate.com/en/moje-oci-pune-ljubavi-my-eyes-full-love.html,140333,"[Ante Gelo, Nina Badrić]",,2011.0,U Ritmu Ljubavi,5:13
+WaQ+Bqb_1_37,Nina Badrić,Na kraj svijeta,https://lyricstranslate.com/en/na-kraj-svijeta-end-world.html,4752,[Ante Pecotić],[Ante Pecotić],1999,Unique,3:33
+WaQ+Bqb_1_38,Nina Badrić,Na zidu plača,https://lyricstranslate.com/en/na-zidu-pla%C4%8D-wailing-wall.html,9466,[Aleksandra Milutinović],[Aleksandra Milutinović],,Nebo,4:21
+WaQ+Bqb_1_39,Nina Badrić,Ne daj mi da odem,https://lyricstranslate.com/en/ne-daj-mi-da-odem-dont-let-me-leave.html-0,48649,[Ante Pecotić],[Ante Pecotić],2003,Ljubav,4:26
+WaQ+Bqb_1_40,Nina Badrić,Ne dam te nikom,https://lyricstranslate.com/en/ne-dam-te-nikom039-im-not-giving-you-no-one.html,89384,[Nina Badrić],[Nina Badrić],2007,07,5:05
+WaQ+Bqb_1_41,Nina Badrić,Ne ostavljaj me,https://lyricstranslate.com/en/ne-ostavljaj-me-dont-leave-me.html-0,35458,[Nina Badrić],[Adonis Ćulibrk Boytronic],,Unique,4:14
+WaQ+Bqb_1_42,Nina Badrić,Nebo,https://lyricstranslate.com/en/nebo-heaven.html,51836,,,,Nebo,3:47
+WaQ+Bqb_1_43,Nina Badrić,Nek’ ti bude kao meni,https://lyricstranslate.com/en/nek%E2%80%99-ti-bude-kao-meni-may-you-feel-way-i-do.html,68053,,,2000,Nina,3:39
+WaQ+Bqb_1_44,Nina Badrić,Neka te voli,https://lyricstranslate.com/en/neka-te-voli-let-her-love-you.html,40767,[Nina Badrić],[Nina Badrić],,Ljubav,3:30
+WaQ+Bqb_1_45,Nina Badrić,Neka voda nosi ljubav,"https://tekstovi.net/2,182,4267.html",27682,[Gordan Muratović],[Gordan Muratović],,07,3:52
+WaQ+Bqb_1_46,Nina Badrić,Neopisivo,https://lyricstranslate.com/en/neopisivo-indescribably.html,21807,,,,Nebo,4:54
+WaQ+Bqb_1_47,Nina Badrić,Nije mi svejedno,https://lyricstranslate.com/en/nije-mi-svejedno-its-not-all-same-me.html,54544,"[Nina Badrić, Alka Vuica, Adonis Ćulibrk Boytronic]",[Adonis Ćulibrk Boytronic],1999,Unique,4:22
+WaQ+Bqb_1_48,Nina Badrić,Odlaziš zauvijek,https://lyricstranslate.com/en/odlazi%C5%A1-zauvijek-youre-leaving-forever.html,27857,,,1995,Dora 1995,
+WaQ+Bqb_1_49,Nina Badrić,Osjećaj,https://lyricstranslate.com/en/osecaj-feel.html,62946,[Nina Badrić],[Nina Badrić],,07,3:57
+WaQ+Bqb_1_50,Nina Badrić,Ostani,https://lyricstranslate.com/en/ostani-stay.html-5,28960,[Srđan Kurpjel],[Srđan Kurpjel],,Personality,4:06
+WaQ+Bqb_1_51,Nina Badrić,Ostavljam ti sve,https://lyricstranslate.com/en/ostavljam-ti-sve-im-leaving-you-everything.html,23896,,[Darko Juranović],2000,Nina,4:28
+WaQ+Bqb_1_52,Nina Badrić,Pamtim,https://lyricstranslate.com/en/pamtim-i-remember.html-0,2735,,,2021.0,Dani I Godine (Best Of 2014-2021),3:46
+WaQ+Bqb_1_53,Nina Badrić,Po dobru ti me pamti,https://lyricstranslate.com/en/po-dobru-ti-me-pamti-remember-good-side-me.html,44215,[Ante Pecotić],"[Adonis Ćulibrk Boytronic, Davor Devčić]",,Unique,4:53
+WaQ+Bqb_1_54,Nina Badrić,Pokazat cu ti kako da se vratis,"https://tekstovi.net/2,182,33933.html",11935,[Rastko Milošev],[Rastko Milošev],,Nebo,3:41
+WaQ+Bqb_1_55,Nina Badrić,Poljubi Me,https://lyricstranslate.com/en/poljubi-me-kiss-me.html-2,71466,[Ante Pecotić],[Ante Pecotić],1999,Unique - uživo,
+WaQ+Bqb_1_56,Nina Badrić,Pomiluj jubav moju,https://cuspajz.com//tekstovi-pjesama/pjesma/nina-badric/pomiluj-jubav-moju.html,22085,,,,Collection,
+WaQ+Bqb_1_57,Nina Badrić,Prospi riječi,https://lyricstranslate.com/en/prospi-rije%C4%8Di-tell-me-everything.html,15428,[Dino Muharemović],[Dino Muharemović],2011,Dodirni me slučajno,4:06
+WaQ+Bqb_1_58,Nina Badrić,Pusti me da živim,https://lyricstranslate.com/en/pusti-me-da-%C5%BEivim-let-me-live.html,24272,,[Boytronic (3)],,Personality,4:00
+WaQ+Bqb_1_59,Nina Badrić,Ratujem s tugom,https://lyricstranslate.com/en/ratujem-s-tugom-i-am-war-sadness.html,1615,[Ante Pecotić],,2019.0,Ratujem S Tugom,3:58
+WaQ+Bqb_1_60,Nina Badrić,Rekao si,https://lyricstranslate.com/en/rekao-si-you-said.html,16085,"[Ante Pecotic, Predrag Martinjak, Bojan Salamon]",,,Rekao Si,4:16
+WaQ+Bqb_1_61,Nina Badrić,Sanjam Da Smo Skupa Mi,https://lyricstranslate.com/en/sanjam-da-smo-skupa-mi-i-dream-were-together.html,39835,"[Ante Gelo, Nina Badrić]",,,Nebo,4:21
+WaQ+Bqb_1_62,Nina Badrić,Sila prirode,"https://tekstovi.net/2,182,25434.html",22809,[Andrea Čubrić],[Andrea Čubrić],,07,3:57
+WaQ+Bqb_1_63,Nina Badrić,Slobodna,"https://tekstovi.net/2,182,12153.html",42071,,[Miro Lesić],2000,Nina,3:43
+WaQ+Bqb_1_64,Nina Badrić,Sreću duguješ meni,https://lyricstranslate.com/en/srecu-dugujes-meni-you-owe-me-happiness.html,36280,[Nina Badrić],[Nina Badrić],2003,Ljubav,4:13
+WaQ+Bqb_1_65,Nina Badrić,Sto da ti dam,"https://tekstovi.net/2,182,3682.html",24042,[Nina Badrić],[Predrag Martinjak],,Ljubav,3:46
+WaQ+Bqb_1_66,Nina Badrić,Sva tebi pripadam,https://lyricstranslate.com/en/sva-tebi-pripadam-every-part-me-belongs-you.html,52901,,[Ivana Husar],,Nina,3:56
+WaQ+Bqb_1_67,Nina Badrić,Sve je u redu,"https://tekstovi.net/2,182,33935.html",11803,,,,Nebo,5:42
+WaQ+Bqb_1_68,Nina Badrić,Sve mi pamti,"https://tekstovi.net/2,182,33936.html",12195,[Aleksandra Milutinović],[Aleksandra Milutinović],,Nebo,4:14
+WaQ+Bqb_1_69,Nina Badrić,Takvi kao ti,https://lyricstranslate.com/en/takvi-kao-ti-guys-you.html,170536,[Nina Badrić],[Nina Badrić],2003,Ljubav,4:20
+WaQ+Bqb_1_70,Nina Badrić,Ti ne znas kako je,"https://tekstovi.net/2,182,5908.html",108060,[Nina Badrić],[Nina Badrić],2003,Ljubav,4:40
+WaQ+Bqb_1_71,Nina Badrić,Tko si ti,"https://tekstovi.net/2,182,2078.html",36932,"[Nina Badrić, Adonis Ćulibrk Boytronic]",[Adonis Ćulibrk Boytronic],1999,Unique,4:38
+WaQ+Bqb_1_72,Nina Badrić,Trebam te,https://lyricstranslate.com/en/trebam-te-I-need-you.html,87768,[Boytronic],[Boytronic (3)],1997,Personality,4:48
+WaQ+Bqb_1_73,Nina Badrić,Velika ljubav,https://lyricstranslate.com/en/velika-ljubav-great-love.html,16445,[Aleksandra Milutinović],[Aleksandra Milutinović],,Nebo,5:48
+WaQ+Bqb_1_74,Nina Badrić,Više me nije strah,https://lyricstranslate.com/en/vi%C5%A1e-mi-nije-strah-i%E2%80%99m-no-longer-scared.html,49541,[Ante Pecotić],[Ilan Kabiljo],,Unique,3:36
+WaQ+Bqb_1_75,Nina Badrić,Vječita Ljubav,https://lyricstranslate.com/en/Vjecita-Ljubav-Vjecita-Ljubav.html,54451,[Spomenka Kovač],[Aleksandra Kovač],2000,Nina,4:06
+WaQ+Bqb_1_76,Nina Badrić,Vjetrenjace,"https://tekstovi.net/2,182,46575.html",11209,,,2014.0,Vjetrenjače,4:19
+WaQ+Bqb_1_77,Nina Badrić,Vlak,"https://tekstovi.net/2,182,25429.html",22120,,,,Live,4:08
+WaQ+Bqb_1_78,Nina Badrić,"Volim te, volim",https://lyricstranslate.com/en/volim-te-volim-i-love-you-love-you.html,5631,,,2016.0,"Volim Te, Volim",4:08
+WaQ+Bqb_1_79,Nina Badrić,Vrati me,https://lyricstranslate.com/en/vrati-me-take-me-back.html,7639,[Predrag Martinjak],,2017.0,Vrati Me,3:39
+WaQ+Bqb_1_80,Nina Badrić,Za dobre i loše dane,https://lyricstranslate.com/en/za-dobre-i-lose-dane-good-and-bad-days.html,107352,[Nina Badrić],[Nina Badrić],2003,Ljubav,3:42
+WaQ+Bqb_1_81,Nina Badrić,Zbog tebe živim,https://lyricstranslate.com/en/zbog-tebe-zivim-i-live-you.html,53364,[Ivana Husar],[Ivana Husar],,Nina,4:42
+WaQ+Bqb_1_82,Nina Badrić,Znam te ja,https://lyricstranslate.com/en/znam-te-ja-i-know-you.html,53554,[Miroslav Drljača Rus],[Toše Proeski],,Nebo,4:52
