Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
+WaQ+Bqb_1_0,Nina Badrić,Nina,Ako kazes da me ne volis,80802,"Sve sad znam sad je kraj 
tvoje rijeci nisu vise iskrene 
tuzno je kako sve prolazi 
kada treba biti najbolje 
znam vise nema povratka 
al' me boli istina 
da sve sto vrijedi sam izgubila 
 
Ref.
Jer ako kazes da me ne volis 
ja necu suzu pustiti 
i svaka tvoja rijec ce boljeti 
al' pogled necu sakriti 

Pusti da vjerujem 
ma da mi sve jos tvoje pripada 
jer ako kazes da me ne volis 
znat' cu da stvarno odlazis 

Slazi mi ponovo 
da ti prazan pogled 
uvijek zapamtim 
reci da nisi me volio 
da ti bude lakse otici 
znam vise nema povratka 
al' me boli istina 
da sve sto vrijedi sam izgubila 

Ref.","https://tekstovi.net/2,182,4904.html"
+WaQ+Bqb_1_1,Nina Badrić,Nina,Ako odes ti,86418,"Vjeruj mi, ja ne znam
sto bih da te izgubim
moj cijeli svijet bi stao
da se sama probudim

Pogledaj, tu na mome licu
sve ces vidjeti
samo tebi pripadam
mene moras voljeti 
 
Kao kap na dlanu drzis me 
da bolji postoje 
znam da voljela bih tebe 
svaki put bas kao prvi je 
i neka potraje, zauvijek

Ref.
Ako odes ti 
jos jedan zivot s tobom odlazi 
jer u drugima
ni prijatelja necu imati

Ne daj da osjetim strah
samo me zagrli sad 
i neka bude tako
kao da je posljednji put

Slucajno, k'o vjetar
u tvoj zivot usla sam 
ima nesto na tvome licu 
kao da te oduvijek znam 

Ref. 2x","https://tekstovi.net/2,182,4476.html"
+WaQ+Bqb_1_2,Nina Badrić,Nina,Ako pogledas u mene,72285,"Ako pogledas u mene 
ti ces vidjeti moj san 
tada znat' ces da te trebam 
vise nego ikada 

Al' mogu ja bez tebe 
isto ko do sad
 moja ljubavi 
 
Ti kazes da je 
sve bez veze 
i da morali smo 

Mi sve izgubiti 
kao da si zelio
zelio da dodje taj dan 

Da smo ja i ti 
samo probali 
mozda bismo sad duze trajali 

Da smo znali mi 
sto smo imali 
ne bismo zauvijek sve izgubili 

A kad pogledas u mene 
vise necu biti tu 
i necu vise zeljeti 
s tobom se ponoviti 

Check it
I need you back 
into my life 
I really wanna 
make you my wife 

I know we made 
mistakes before 
But now I come back 
and I realize 

That the love we once shared 
We'll share once more","https://tekstovi.net/2,182,4930.html"
+WaQ+Bqb_1_3,Nina Badrić,Nina,Bolja od najbolje,74751,"Ooo, sva se znojim 
kad vidim, srce, koliko si jak
ma ne da se bojim 
svu tvoju pamet popio je mrak 

Svejedno znam 
svaki dan ja te trebam
tebi pripadam 
ooo, jer sada znam da si ti 
sve sto ikad zelim imati
 
I vjeruj da gubim zrak 
i drhtim od tvog pogleda 
gubim tlo pod nogama 
poludim od tvog dodira 

Jer svaki put 
kad se stvoris kraj mene 
iako nisi ni zgodan ni mlad 
ja bit' cu bolja od najbolje zene 
pokazi gdje i ja cu skociti sad 

Rap. 
Yeah, so many women 
be beggin' for attention 
stll making no connection
feeling no affection 

Selection is based on beauty 
you have to be as good as me 
very superficial, it's all about what i see 
Nina baby, you know you're 
one of many 
I train hard everyday
I have no time for steady 
Relationships, they come 
and go quick, fast 
Now sing for me girl
show you're up for the task 

I'm the man of your dreams 
the flavour that you need 
I'll be that graving girl
that you have to feed 

What you see ain't always 
what you get 
and what you get ain't always 
what you need 

Ooo, sva se znojim 
mada mi ne pase znak 
ma ne da se bojim 
jer ti si ovan a ja rak","https://tekstovi.net/2,182,4903.html"
+WaQ+Bqb_1_4,Nina Badrić,Nina,Budi mi blizu,68343,"Oci gore u zraku
pogled klizi niz obraze
tijelo tvoje u mraku
topi me kao led

Ref.
Korak njezan u dvoje
giba bokove moje
vlazne usne su tvoje
predale su se da nocas poljube
 
Kroz dah maze se sjene
lome svjetlo na zidu
ruke okolo mene
traze dodire budi mi blizu

Ref.","https://tekstovi.net/2,182,13439.html"
+WaQ+Bqb_1_5,Nina Badrić,Nina,Budi tu,64055,"Ponekad mislim 
da o sebi dovoljno znam 
al' kad te nema 
moja dusa ne zna za san 

Lose podnosim dane 
od kad vise nisi tu 
u meni k'o da sve stane 
jos bez tebe ne mogu
 
Ref.
Budi tu, kad odu svi
sa mnom ostani 
vjeruj mi, da smo ja i ti 
za ljubav stvoreni 

Bojim si rijeci, svega sto smo 
rekli na glas 
svega sto boli
sto je stalo izmedu nas 

Lose podnosim dane 
od kad vise nisi tu 
u meni k'o da sve stane 
jos bez tebe ne mogu","https://tekstovi.net/2,182,4906.html"
+WaQ+Bqb_1_6,Nina Badrić,Nina,Carobno jutro,322916,"Sto je to, tako snazno da pogledas
mozda znak da si covjek 
kojeg zelim kraj sebe

Jedna iskra je dovoljna 
da zapali vatru da ispustim glas
njezno ljubis mi vrat 
kao stranac u noci iz mog sna
 
Obecaj mi da smo zivot ti i ja
jedna olujna noc 
mokra sva od dodira
u meni sve gori 
pod rukama tvojim
ja umirem sad

Obecaj mi da smo snaga valova
podivljali zar na vrelim usnama
to carobno jutro u ocima mojim
kad tvoja sam sva

Prije tebe tuge su me 
stoput slomile
voljela sam druge 
u njima trazila sam te

Ne daj me, vise nikad nikome
cijeli zivot cekam 
slomljenog srca da suze mi
obrises sve

Obecaj mi da","https://tekstovi.net/2,182,2076.html"
+WaQ+Bqb_1_7,Nina Badrić,Nina,Ceznja,58563,"Ceznja, ti si uvijek bio moja ceznja
moja tajna zelja tu u vremenu
onaj kome radujem se

Sjena, bez tebe sam bila samo sjena
nikog nije bilo da me cuva
kao more s tobom, potpuna
 
Ti ni ne znas da ja zivim za to
da te ljubim, pazim dokle dises
ti ni ne znas da ja
cuvam svaki tvoj dah kojim pisem
ovo vrijeme iznad nas

Ref.
Ja plovim daleko
i sjecanjima rusim neki tudji dom
a ni'ko ne zna koliko sam voljela
i kolika sam mora tuge popila
u ovom vremenu bez nas

Ja plovim daleko
i sjecanjima rusim neki tudji dom
a cekala sam nekog s tvojim imenom
a ni'ko ne zna koliko je trajalo
u ovom vremenu bez nas
bez tebe

Zeljna, ma svega 
s tobom ostala sam zedna
ruke prazne srce pamti zauvijek
moju ljubav, moje najdraze

Ti ni ne znas da ja zivim za to
da te ljubim, pazim dokle dises
ti ni ne znas da ja
cuvam svaki tvoj dah kojim pisem
ovo vrijeme iznad nas

Ref.

Moja ceznja u ovom vremenu 
bez nas, bez tebe","https://tekstovi.net/2,182,39423.html"
+WaQ+Bqb_1_8,Nina Badrić,Nina,Cipele,9777,"Utjeha il' igracka 
ma tko sam za tebe ja 
da ti noci ispunim
kad nje ti nema tu

Na sve sam pristala 
ma tuzna je igra ta
a trudim se da pobjegnem 
tamo gdje nikad me vise 
ova pozuda ne stize 
 
Ref.
A ti obuci cipele 
pozvat cu taksi, samo kreni 
al' negdje daleko
ma nikad vise prema meni

Trebat cu godine 
i dobrog Boga i ljude koje 
koje ni ne poznajem 
da me spase od tebe

Da spase od tebe i svih
tvojih losih prica 
kako si nesretan 
kako je ona tvoja greska 

Odrasti, molim te 
a mene ceka put do srece 
bez tebe

Ref.","https://tekstovi.net/2,182,50390.html"
+WaQ+Bqb_1_9,Nina Badrić,Nina,Da biram,4485,"Samo jedna istina me boli
sve dok nisam znala gdje si ti
i nisam znala tko me voli
ili nisam znala voljeti

Ref. 
Ova ljubav otrov je u krvi
ma, pustite me da pretjerujem
ovo srce do kraja mi smrvi
pa neka grjesim sto ti vjerujem
 
Ja ne mogu da biram
da biram, sve i da hocu
pusti da na jednu kartu
ja stavim sve

A kada po zlu krene
ma, ne pitaj sto cu
jer, i kada gubim
od tebe imam najvise   

Ja ne mogu da biram
da biram, ja nemam kamo
ruke moje nikad 
drugog nece dirati

I da se opet rodim
sa jednom zeljom samo
ja birala bih tebe
kad bih mogla birati 

Ref.","https://tekstovi.net/2,182,60831.html"
+WaQ+Bqb_1_10,Nina Badrić,Nina,Da li ikada,53524,"Jos jednom ti pozeli da vratis se
na tren u pogled moj
u misli te i zauvjek
tu da ostanes

Znam, da nema te
sad ne, nema utjehe
znam, da ona ti je sve
ona kriva je zbog tebe
 
Ref. 2x
Da li ikada ti pozalis
sto u svijetu svome sada zivis sam
da li ikada ti pozalis
al' za sve to kriv si sam

Odlazis i ti zar nestajes
zar je stvar stvarno tako okrutna
da ona mora biti sve
na mome mjestu sada

Znam, da nema te
sad ne, nema utjehe
znam, da ona ti je sve
ona kriva je zbog tebe

Ref. 2x

Ref. 2x

Znam, da nema te
sad ne, nema utjehe
znam, da ona ti je sve
ona kriva je zbog tebe

Ref. 2x","https://tekstovi.net/2,182,13437.html"
+WaQ+Bqb_1_11,Nina Badrić,Nina,Da se opet tebi vratim,210049,"Gdje god da spustim kofere
tebi pozelim ""dobar dan""
i ne procitam ""Mali princ""
da dodje mi na oci san

Negdje uz put ja sam te izgubila
ni jedan nema to sto sam u tebi ljubila
 
Ref.
Da Bog da stane cijeli svijet
stane bar na tren
da se opet tebi vratim
da me zagrlis kao dijete
pa nek' glavom platim

Ljubi me na blef
vjeruj mi na rijec
moj je zivot lazni sjaj
previse za kraj
a premalo za oprostaj

Gdje god da spustim kofere
znam da si prokleto sam
meni su tijesni zidovi
uvijek se isto osjecam

Negdje uz put ja sam te izgubila
ni jedan nema to sto sam u tebi ljubila

Ref.

Ref.
","https://tekstovi.net/2,182,25430.html"
+WaQ+Bqb_1_12,Nina Badrić,Nina,Daleko od tebe,63154,"Kako da znam 
kad sklopim oci da si sam 
i kako da zelim te 
kad vjere nemam za tebe 

Ref.
Uzalud rijeci
za mene sad je zauvijek 
uzalud boris se kada znam 
da put me vodi daleko od tebe 
far away from you
 
Znaj da te volim 
vjeruj mi vise ne mogu 
zaboravi da postojim 
zaboravi da sam bila tu 
forget me baby 

Oh baby, vjeruj kad ti kazem 
da od tebe zauvijek 
zelim biti slobodna

Ref.","https://tekstovi.net/2,182,4931.html"
+WaQ+Bqb_1_13,Nina Badrić,Nina,Dan D,15779,"Budim se, po cijelom
tijelu mi opekotine
te suze proklete
gadno su me opekle
neka me bol izmrvi
samo da zbogom
ne kazes ti prvi
 
Predugo si bio
u tudjim krevetima gost
ma stvarno kasno je
da glumis nevinost
da oprostim il' ne
dosao je sada dan D

Ref.
Evo me, tu sam
opet na svojim nogama
tvoje stvari
sve sam ih polomila
ti ne disi moj zrak
idi dok te cuva mrak

Ma samo kreni
ma neka stoput' pozalim
al' tebe vise
iz smeca ne vadim
i ne vracam ti se
jer dosao je sada dan D

Ref. 2x","https://tekstovi.net/2,182,44783.html"
