Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
PZ5KqfC1_1_0,Parni Valjak,700 milja od kuce,"https://tekstovi.net/2,581,45198.html",10658,,,,Gradske Priče,4:02
PZ5KqfC1_1_1,Parni Valjak,A gdje je ljubav,https://lyricstranslate.com/en/gdje-je-ljubav-where-love.html,165856,[Husein Hasanefendic],,2002.0,"25 godina (Live - Zagreb, Dom sportova 2. XII 2000.)",5:51
PZ5KqfC1_1_2,Parni Valjak,Ako želim,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/ako-zelim.html,11412,,,,Vrijeme Je Na Našoj Strani,3:00
PZ5KqfC1_1_3,Parni Valjak,Anđeli se dosađuju,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/andjeli-se-dosadjuju.html,38246,,,,Jesen Je U Meni / Anđeli Se Dosađuju,
PZ5KqfC1_1_4,Parni Valjak,Anja (feat. Zoran Predin),"https://tekstovi.net/2,581,53636.html",4622,,,,,
PZ5KqfC1_1_5,Parni Valjak,Autoput,https://lyricstranslate.com/en/autoput-highway.html,38097,[Husein Hasanefendic],,,Samo Snovi Teku Uzvodno,5:15
PZ5KqfC1_1_6,Parni Valjak,Bijeg,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/bijeg.html,6181,,,,Vrijeme Je Na Našoj Strani,3:21
PZ5KqfC1_1_7,Parni Valjak,Bolja vremena,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/bolja-vremena.html,11059,,,,Uhvati Ritam,4:30
PZ5KqfC1_1_8,Parni Valjak,Čitaj mi sa usana,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/citaj-mi-sa-usana.html,16492,[Husein Hasanefendić],[Marijan Brkić],,Buđenje,3:42
PZ5KqfC1_1_9,Parni Valjak,Crni dani,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/crni-dani.html,6239,,,,Glavom Kroz Zid,5:00
PZ5KqfC1_1_10,Parni Valjak,Direktan put za nebo,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/direktan-put-za-nebo.html,7213,,,,Uhvati Ritam,4:12
PZ5KqfC1_1_11,Parni Valjak,Dixie za pravog gazdu,https://cuspajz.com//tekstovi-pjesama/pjesma/parni-valjak/dixie-za-pravog-gazdu.html,2863,,,,Glavom Kroz Zid,3:15
PZ5KqfC1_1_12,Parni Valjak,"Djevojcice, ne","https://tekstovi.net/2,581,45335.html",5421,,,,Vrijeme Je Na Našoj Strani,2:26
PZ5KqfC1_1_13,Parni Valjak,Djevojke,"https://tekstovi.net/2,581,46109.html",4926,,,,Glavom Kroz Zid,5:30
PZ5KqfC1_1_14,Parni Valjak,Dođi,https://lyricstranslate.com/en/dodji-come.html,405974,,,,,
PZ5KqfC1_1_15,Parni Valjak,Dodjite na show,"https://tekstovi.net/2,581,43973.html",6244,,,,Dodjite Na Show!,5:42
PZ5KqfC1_1_16,Parni Valjak,Dok je tebe,https://lyricstranslate.com/en/dok-je-tebe-while-your-here.html,161628,[Husein Hasanefendic],,,Samo Snovi Teku Uzvodno,5:07
PZ5KqfC1_1_17,Parni Valjak,Dok si pored mene,https://lyricstranslate.com/en/dok-si-pored-mene-long-youre-next-me.html,140654,[Husein Hasanefendic],,2002.0,Tko Nam Brani / Dok Si Pored Mene,4:18
PZ5KqfC1_1_18,Parni Valjak,Dosta,https://lyricstranslate.com/en/dosta-enough.html-2,51391,,,,Zastave,3:45
PZ5KqfC1_1_19,Parni Valjak,Glavnom ulicom,"https://tekstovi.net/2,581,45349.html",6459,,,,Glavnom Ulicom,2:20
PZ5KqfC1_1_20,Parni Valjak,Gledam dok hodas,"https://tekstovi.net/2,581,46101.html",9320,,,,Pretežno Sunčano?,3:47
PZ5KqfC1_1_21,Parni Valjak,Gledam je dok spava,https://lyricstranslate.com/en/gledam-je-dok-spava-i-watch-her-she-sleeps.html,87905,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],1985,Pokreni se,4:20
PZ5KqfC1_1_22,Parni Valjak,Godine prolaze,https://lyricstranslate.com/en/godine-prolaze-years-pass.html-0,123006,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],1990,Lovci snova,4:30
PZ5KqfC1_1_23,Parni Valjak,Hajde kazi posteno,"https://tekstovi.net/2,581,46105.html",9986,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],1983,Glavnom ulicom,4:02
PZ5KqfC1_1_24,Parni Valjak,Hrast,"https://tekstovi.net/2,581,45501.html",3894,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],,Parni Valjak,3:09
PZ5KqfC1_1_25,Parni Valjak,Hvala ti,https://lyricstranslate.com/en/hvala-ti-thank-you.html,113439,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],1980,Vruće igre,
PZ5KqfC1_1_26,Parni Valjak,I na kraju,"https://tekstovi.net/2,581,45333.html",9242,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],,,
PZ5KqfC1_1_27,Parni Valjak,Idu dani,https://lyricstranslate.com/en/idu-dani-days-go.html-1,33299,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],,Pokreni Se !,2:20
PZ5KqfC1_1_28,Parni Valjak,Ima dana,https://lyricstranslate.com/en/ima-dana-there-are-days.html,33493,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],,Lovci Snova,4:30
PZ5KqfC1_1_29,Parni Valjak,Isti smo,https://lyricstranslate.com/en/isti-smo-we-are-same.html,38640,[Husein Hasanefendić Hus],[Husein Hasanefendić Hus],,Vrijeme Je Na Našoj Strani,3:45
PZ5KqfC1_1_30,Parni Valjak,Istina,"https://tekstovi.net/2,581,40119.html",12140,,,2013,Nema predaje,4:04
PZ5KqfC1_1_31,Parni Valjak,Ivana,https://lyricstranslate.com/en/ivana-joan.html,78534,,,,Buđenje,3:40
PZ5KqfC1_1_32,Parni Valjak,Ja još čekam,https://lyricstranslate.com/en/ja-jo%C5%A1-%C4%8Dekam-im-still-waiting.html,39754,[Husein Hasanefendić Hus],[Marijan Brkić],,Samo Snovi Teku Uzvodno,4:15
PZ5KqfC1_1_33,Parni Valjak,Jablane,"https://tekstovi.net/2,581,45200.html",4292,[Husein Hasanefendić Hus],[Branimir Štulić],,Godine Prolaze,2:10
