,Song_ID,Song,Lyrics
0,JWLKah/6_1_0,'92,"Otkad nema te tu, sve duži je dan, sve teže mi pada, moj rođendan. Tvoj parfem na dar, naša soba i Hvar, sve miriše na te. Novo svitanje i staro pitanje, što te nema, nema. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine. K'o dijete sam ja, s licem od čovjeka, taj blagoslov, nosit' ću do vijeka. Svaka pjesma i riječ, što iz mene će teć', sve miriše na te. Novo svitanje nosi staro pitanje, što te nema, nema. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine. Devedeset druge godine. Prašnjavim dvorcem sjećanja tražim te, blijeda su jutra bez tebe. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine. Što te nema barem jedan dan, da te ljubim, da te osjećam, i da smijemo se kao te, devedeset druge godine"
1,JWLKah/6_1_1,Ako se rastanemo,"Ne govorim s tobom, i nista nije kao prije, cija to pisma citas, tisina, samo tisina lije. Pogledaj me u oci, sto covjek moze da proguta, ima li snage za jos pet minuta, ili smo stigli do kraja, do kraja puta. Ako se rastanemo, onako posteno i sami, sta cemo reci susjedima, postaru i tvojoj mami. Jer ako se rastanemo, nece se srusiti svijet, doci ce novi stanari, u Mose Pijade 35. Ne govorim s tobom, drugacija si, nisi ista, izgubili smo nepovratno, djetelinu s cet'ri lista. Hej, pogledaj me u oci, sta covjek moze da proguta, i ima li snage za jos pet minuta, ili smo stigli do kraja, do kraja puta"
2,JWLKah/6_1_2,Ako te pitaju,"Još su do lani moje noći, moji dani. Bili ka' i karte razbacani. Naniza pute i minute, žene puste. A desila se onda ti. Sad si lipota, sad si jubav mog života. Lice sreće prvo, drugo, treće. Kad se jubav dogodi i kad život pogodi. Tu san ja i tu si ti. . Ako te pitaju, moja jubavi. Jel' nan lipo, reci je. Imamo na svitu sve. Ako me pitaju, moja jubavi. Jel' mi fali život otprije. Reć' ću nije ga ni bilo bez tebe. Sad si lipota, sad si jubav mog života. Lice sreće prvo, drugo, treće. Kad se jubav dogodi i kad život pogodi. Tu san ja i tu si ti. . Bez tebe. . Ma nije ga ni bilo bez tebe. Triba nan, triba nan malo. Triba nan, triba nan malo. Triba nan, triba nan samo, da se volit znamo) Moja jubavi, moja jubavi. Triba nan, triba nan samo, Da se volit znamo). Ako te pitaju, moja jubavi. Jel' nan lipo, reci je. Imamo na svitu sve. A triba nan, triba nan malo. Triba nan, triba nan malo. Triba nan, triba nan samo, da se volit znamo"
3,JWLKah/6_1_3,Baraba,"Kazi mi s kim si nocas cekala zoru. Kome si tijelo svoje nudila. Kazi mi s kim si nocas brojala zvijezde. Cije si grudi ljubila. Daj barem kazi dal' je bolji od mene. Kad te je kuci svojoj odnio. Ili je ljubav tvoju vezao lancic. Sto ti je poklonio. Jer on je baraba, baraba, najveca. Baraba, baraba, najgora. Njegovi korijeni su negdje odavde. Al' vani ima svu imovinu. Dok preko grane kupuje restorane. On misli na domovinu. On te je vozio u predjele mracne. Da vidis kako svijetli njegov sat. Al' tamo lete neki cudni komarci. Sto su te tako ugrizli za vrat. Jer on je baraba, baraba, najveca. Baraba, baraba, najgora. On vozi tristo na sat. Al' nikad nece ti dat. Svu ljubav koju sam ti pruzio ja"
4,JWLKah/6_1_4,Brod ljubavi,"Iznad tihog oceana. Bura, nevera, orkana. Ja sam veslao do tebe miljama. Ljudima nisam rekao. Što me tako zanima. Dobri nalazili loše. Tužni sretne ljubili. Ja i ti se nismo još usudili. Ali znam. Dogodit će se to. Ja u zraku osjećam. Nas dvoje smo. Sve preostalo. Na tom brodu ljubavi. Sve ostalo. Sve je propalo. Sve se drugo rasulo. Osjećam to. Bilo dobro ili zlo"
5,JWLKah/6_1_5,Da li i'ko navija za nas,"Kada život zbroji sve, porazi i pobjede, dolaze i prođu, ljudi dobri, ljudi zli, predsjednici, prosjaci, svi na isto dođu. Samo ti, ti si vještilo, c)ta mi osmijeh krade, samo ti, ti zadnji brod, na rtu dobre nade. Urlaju sa radija luđaci, sve je ovdje slava, novac, moć, tuku se desnjaci i ljevaci, tu je pamet rekla laku noć. Urlaju sa radija luđaci, mudri samo šute na sav glas, sudbinu nam kroje loši đaci, da li i'ko navija za nas. Kada život zbroji sve, vrijeme nije najbolje, i ljudi su u kvaru, početnici znaju sve, pametni ne govore, a krivi su u pravu. Ti mi dođeš kao, dobar znak, tad na svijetu, nije samo mrak."
6,JWLKah/6_1_6,Fritula,"Kasna svirka, rani let. Iden doma, dan je svet. Aerodrom ka i svi. Jingle bells i ukrasi. Di baš sad, di baš sad. Da na Badnjak budem tu, Moji svi, moji svi. Oko stola čekaju. Sve bi da, da za nju. Jednu malu fritulu. I da te i da me. Držiš čvrsto za ruku. Jer ja sanjam taj Badnjak. Uz tebe. Sve bi da, da za nju. Jednu malu fritulu. I da te, i da me. Držiš čvrsto za ruku. Jer ja sanjam. Da u ponoć šapnem ti. Sretan Božić ljubavi. A na broju 325 piše otkazani let. Ja trčim, tražim rent – a – car. Da se spasi cila stvar. Di baš sad, di baš sad. Da na Badnjak budem tu. Moji svi, moji svi. Oko stola čekaju. Jednu malu fritulu. I da te, i da me. Držiš čvrsto za ruku. Jer ja želim taj Badnjak uz tebe. Sve bi da, da za nju. Jednu malu fritulu. I da te, i da me. Držiš čvrsto za ruku. Jer ja sanjam. Da u ponoć šapnem ti. Sretan Božić ljubavi. Ljubaviiii. Ja sve bi daaaaaa. I da te i da me. Držiš čvrsto za ruku. Jer ja sanjam da. U ponoć šapnem ti. Sretan Božić ljubavi. Sretan Božić ljubavi"
7,JWLKah/6_1_7,Godine ljubavi,"Ušla je tiho ka' brod, u pismu moju i odnila sve, ja odavno gledan u pod, i kažaljke stoje, ka' da se boje dalje bez nje. U uvali nade i sna, ne baca se sidro e da san to zna', ja ne bi se veza za nju, ka' jarbol za idro i ne bi se, vako do kraja da i tu potonija. Godine jubavi nemaju cijene, šta san ih bacija prid noge njene, sve šta je bila neće mi bit', moran se na to naviknit', jer počinje život bez nje, život bez nje. I sve ću od sebe dat, da uspravno stojim, da ne vidi svit, da ne smin se ni pogledat', jer tako se bojin, da od mene nikad, od mene nikad čovika bit'. Vrime procidi to, dobro i zlo, sve dođe na svoje, vrime procidi to, proć' će i bol, šta nosin za dvoje. Sve šta je bila neće mi bit', moran se na to naviknit', jer počinje život bez nje, život bez nje"
8,JWLKah/6_1_8,"Gol, bos, sam","Ljubav je lancun bili. Koji se s tobon dili. Ja se uvik zamotan u nju. Tvoje misto je kraj mene tu. Ova noć mirno more. Baca mi sol na snove. Ti si tamo di ja nemam ključ. Di moje želje nemogu uć. Ostajen gol, bos, sam. Na stine nasukan. Još te ova duša gladna. I posteja naša i prazna i ladna. Ostajem gol, bos, sam. Na stine nasukan. Dok me bol po duši grebe. Bojin se jutra, ljudi i sebe. Jer nema tebe, jer nema tebe. Nebo mi kišon priti. S drugin ćeš nazdraviti. Jer on ti daje odmotan dar. Moje srce ka slomljenu stvar"
9,JWLKah/6_1_9,Idi,"Vrijeme leti, vrijeme mijenja sve. Teško mi je nositi se s time. Ljudi odlaze, ljudi dolaze. Ne govorim nikom svoje ime. Srce sam ti davno predao. Vruće, kao pecivo na dlanu. Pret-. Znam, bio sam lud, Al' više nemam kud, Zato, molim te, pusti me... . Idi, zauvijek zalupi vratima!. Idi, pusti da borim se satima. Živi i s drugim dijeli sve, Al' ne zaboravi da netko volio te je... Pret-. "
