Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
EOkBEcEU_1_0,Plavi Orkestar,(R)evolucija,"https://tekstovi.net/2,12,30535.html",11595,,,,Soldatski Bal,3:10
EOkBEcEU_1_1,Plavi Orkestar,Ako su to samo bile laži,https://lyricstranslate.com/en/ako-su-samo-bile-la%C5%BEi-if-these-were-all-lies.html,203973,,,1998.0,Ako Su To Samo Bile Laži...,5:11
EOkBEcEU_1_2,Plavi Orkestar,Amerika,https://lyricstranslate.com/en/amerika-america.html-39,11562,"[Kruspe Richard, Landers Paul, Lindemann Till, Lorenz Doktor Christian, Riedel Oliver, Schneider Christoph Doom]",,2012.0,Sedam,
EOkBEcEU_1_3,Plavi Orkestar,Azra,https://lyricstranslate.com/en/Azra-Azra.html,61936,[Saša Lošić],,,(Infinity),
EOkBEcEU_1_4,Plavi Orkestar,Beštija,https://lyricstranslate.com/en/bestija-brute.html,20936,,[Marijan Brkić],,Simpatija,
EOkBEcEU_1_5,Plavi Orkestar,Bi li pošla sa mnom,https://lyricstranslate.com/en/bi-li-posla-sa-mnom-would-you-go-away-me.html,9863,,,2012.0,Sedam,
EOkBEcEU_1_6,Plavi Orkestar,Biser,https://lyricstranslate.com/en/biser-pearl.html,25386,,,,Longplay,4:13
EOkBEcEU_1_7,Plavi Orkestar,Bolje biti pijan nego star,https://cuspajz.com//tekstovi-pjesama/pjesma/plavi-orkestar/bolje-biti-pijan-nego-star.html,259919,,,,Soldatski Bal,4:15
EOkBEcEU_1_8,Plavi Orkestar,Brodovi,https://lyricstranslate.com/en/brodovi-ships.html-0,18275,[Zlatko Arslanagić],[Marijan Brkić],,Longplay,5:25
EOkBEcEU_1_9,Plavi Orkestar,Da se 6 pretvori u 9,https://lyricstranslate.com/en/da-se-6-pretvori-u-9-turn-6-9.html,24942,,,,Sunce Na Prozoru,4:04
EOkBEcEU_1_10,Plavi Orkestar,Daj nam sunca,https://lyricstranslate.com/en/daj-nam-sunca-give-us-some-sun.html,18422,,,,Sunce Na Prozoru,4:35
EOkBEcEU_1_11,Plavi Orkestar,Djevojka iz snova,https://lyricstranslate.com/en/djevojka-iz-snova-dream-girl.html,55503,[Saša Lošić],,,(Infinity),
EOkBEcEU_1_12,Plavi Orkestar,Fa fa fasista,https://lyricstranslate.com/en/fa-fa-fasista-fa-fa-fascist.html,43171,,,,Smrt Fašizmu !,
EOkBEcEU_1_13,Plavi Orkestar,"Goodbye, teens!",https://lyricstranslate.com/en/goodbye-teens-goodbye-teens.html,26996,,,1985.0,Kad Mi Kažeš Paša / Good Bye Teens,3:35
EOkBEcEU_1_14,Plavi Orkestar,Gujo vrati se,https://lyricstranslate.com/en/gujo-vrati-se-come-back-you-snake.html,12299,,,,Soldatski Bal,2:40
EOkBEcEU_1_15,Plavi Orkestar,Jedina,https://lyricstranslate.com/en/jedina-%D1%98%D0%B5%D0%B4%D0%B8%D0%BD%D0%B0.html,49409,[Saša Lošić],,,(Infinity),
EOkBEcEU_1_16,Plavi Orkestar,Jovanka,https://lyricstranslate.com/en/jovanka-jovanka.html,12488,,,1986.0,Jovanka / Zelene Su Bile Oči Te,3:53
EOkBEcEU_1_17,Plavi Orkestar,Kad mi kažeš paša,https://lyricstranslate.com/en/kad-mi-ka%C5%BEe%C5%A1-pa%C5%A1a-when-you-ask-me-oh-pasha.html,15537,,,,Soldatski Bal,3:37
EOkBEcEU_1_18,Plavi Orkestar,"Kad si sam, druze moj",https://lyricstranslate.com/en/kad-si-sam-druze-moj-when-you-are-alone-my-pal.html,36123,,,,Smrt Fašizmu !,
EOkBEcEU_1_19,Plavi Orkestar,Kad ti ljubav ime prozove,https://lyricstranslate.com/en/kad-ti-ljubav-ime-prozove-when-love-calls-out-your-name.html,63138,[saša lošić],,,Longplay,4:08
EOkBEcEU_1_20,Plavi Orkestar,Kada placu grlice,https://lyricstranslate.com/en/kada-placu-grlice-kad-plachu-grlice.html,15375,,,,Smrt Fašizmu !,
EOkBEcEU_1_21,Plavi Orkestar,Kaja,https://lyricstranslate.com/en/kaja-kaja.html,62418,[Saša Lošić],[Saša Lošić],1996,Everblue 1,3:40
EOkBEcEU_1_22,Plavi Orkestar,Linija zivota,https://lyricstranslate.com/en/plavi-orkestar-linija-zivota-lyrics.html,30954,[Saša Lošić],,,Longplay,4:38
EOkBEcEU_1_23,Plavi Orkestar,Ljeto,https://lyricstranslate.com/en/ljeto-ljeto.html,18704,[Saša Lošić],,,Simpatija,
EOkBEcEU_1_24,Plavi Orkestar,Ljubav nije laka stvar,https://lyricstranslate.com/en/ljubav-nije-laka-stvar-love-isnt-easy-thing.html,30781,,,,(Infinity),
EOkBEcEU_1_25,Plavi Orkestar,Ljubavi,"https://tekstovi.net/2,12,175.html",30135,,,,,
EOkBEcEU_1_26,Plavi Orkestar,Ljubi se Istok i Zapad,https://lyricstranslate.com/en/ljubi-se-istok-i-zapad-east-and-west-are-loving-each-other.html,26914,[Saša Lošić],[Michelle Phillips],,Simpatija,
EOkBEcEU_1_27,Plavi Orkestar,Lovac i košuta,https://lyricstranslate.com/en/lovac-i-ko%C5%A1uta-hunter-and-doe.html,107055,[Saša Lošić],[Saša Lošić],,Sunce Na Prozoru,3:14
