,Song_ID,Song,Lyrics
0,EOkBEcEU_1_0,(R)evolucija,"Nisam spreman vise za parole, ni da lazem kako svi se vole, to ne, samo malo modrog neba, to je sve sto meni sada treba. I dok tiho svodimo racune, nase ljubavi se dani krune, u prah, srce pretvoris u kamen, kada treba sna zapalit' plamen. O-o-o, revolucija se dize, o-o-o, ko je gore, bice nize, o-o-o, revolucija se sprema, o-o-o, ko je im'o, sada nema. Nisam spreman vise za parole, ni da lazem kako svi se vole, jer ti, volis njega, a on drugu, vrtimo se sada svi u krugu. Konacno je covjek, dohakao Darvinu, evolucija u rikvercu, vracamo se majmunu. Zivotinjsko carstvo, kredita i kokuzluka, bice revolucija, samo preko Facebook-a. Ljubav je laz, ljubav je uvijek samo bol, al' bez nje, bi nestalo sve"
1,EOkBEcEU_1_1,Ako su to samo bile laži,"Život ide dalje, život brzo prolazi. Al' osjećam da to više nisi ti, a ni ja. Močda bi i mogli pokušati ponovo. Al' bojim se da ovaj je put gotovo!. Al' samo ti mi ubrzavaš disanje. Jer se ja još uvijek palim na tebe. Ako su to samo bile laži. Lažimo se bar još malo. Ako su to samo bile varke. Varajmo se, varajmo. Život ide dalje, život brzo prolazi. Al' osjećam da to više nisi ti, a ni ja. Ljubavi i mržnje teško je preskočiti zid. Al' bojim se da dobar smo par bili mi. Jer samo ti mi ubrzavaš disanje. Jer se ja još uvijek palim na tebe. Ako su to samo bile laži. Lažimo se bar još malo. Ako su to samo bile varke. Varajmo se, varajmo"
2,EOkBEcEU_1_2,Amerika,"Dugo te, dugo nema, i čini mi se da, za tebe ja sam sjena, trag prošlog vremena. Hej, ti ne znaš kako je, biti sasvim sam, hej, k'o sreće prosjak, živjeti dan za dan, dan za da. Amerika je velika, velika i široka, al' da mi je ponovo do tvoje avlije. Amerika je velika, velika i široka, al' da mi je ponovo, da se zapjeva, da se popije srca velika. Amerika. Dugo te, dugo nema, ja više nisam svoj, dugo se, dugo spremam, da zavrtim tvoj broj. Hej, ti ne znaš kako je, srce gorilo, hej, i kako bi se, ponovo borilo, za nas."
3,EOkBEcEU_1_3,Azra,"Hej, znaš li da je pao snijeg, znaš li da su ulice, prekrile pahuljice, a ja, volio bih da si tu, da se samo pojaviš, bar za novu godinu. Mala čini mi se da, hiljadu me godina, nisi nazvala. Azra, ponoć kuca, za tobom mi srce puca, jer znam, da ću večeras biti sam, uzalud se trudim. Azra, ponoć kuca, za tobom mi srce puca, jer znam, da evo sviće novi dan, i da bez tebe se budim. Hej, znaš li da je pao snijeg, znaš li da su ulice, prekrile pahuljice, a ja, volio bih da si tu, da se samo pojaviš, bar za novu godinu. Mala čini mi se da, hiljadu me godina, nisi nazvala. Azra, ponoć kuca, za tobom mi srce puca, jer znam, da ću večeras biti sam, uzalud se trudim. Azra, ponoć kuca, za tobom mi srce puca, jer znam, da evo sviće novi dan, i da bez tebe se budim ja. Azra, ponoć kuca, za tobom mi srce puca, jer znam, da ću večeras biti sam, uzalud se trudim. Azra, ponoć kuca, za tobom mi srce puca, znam, da evo sviće novi dan, i da bez tebe se budim ja."
4,EOkBEcEU_1_4,Beštija,"Ja nikad neću biti stoka, u zenicama tvoga oka, jer ne želim da te povrijedim. Nikad neću biti kreten, depresivan i zanesen, jer ne želim zbog tebe, da osjedim... Ti beštija si bila, beštija ćeš ostati. Ni kraljica, ni vila, nikad nećeš postati. Udaraš me tako muklo, pa makar mi i srce puklo, više ti se neću vratiti. Stopala me jako bole, ove ruke još te mole, al' za tobom neću patiti."
5,EOkBEcEU_1_5,Bi li pošla sa mnom,"Svako od nas ima svoje mjesto, gdje je uvijek sve po starom, tamo žive neki dobri ljudi, tiho plovi tamo dan za danom, zauvijek. Jednom kada stišaju se bure, kad se konci sudbine zapletu, tamo ću se radovati suncu, tamo ću se radovati ljetu, zauvijek. Pođi sa mnom tu, gdje ne postoje sati, ni suvišni inati, tek ptica glas, i samo plavo nebo iznad nas. Svako od nas sanja svoje mjesto, u daljini pogled gdje se gubi, tamo ću te cekat' moja draga, tamo gdje se nebo s morem ljubi, zauvijek.  Reci, bi li pošla sa mnom ljubavi, daj reci, bi li pošla sa mnom ljubavi."
6,EOkBEcEU_1_6,Biser,"Ti si zadnja misao pred san, i prva kad se probudim, kako sporo prolazi mi dan, kad nemam šta da izgubim. Ljubav putuje, al' nekom drugom odlazi, ljubav putuje, tu ne postoje razlozi. Kad me pozdraviš, ti i ne slutiš, od tvog osmijeha ja živim danima, ali šta to sada vrijedi, taj biser u nizu, to je samo sjaj u bijedi, kad nisam ti blizu. Ti si zadnja misao pred san, i prva kad se probudim, kako sporo prolazi mi dan, kad nemam šta da izgubim. Tuga putuje, pred mojim pragom zakoči, tuga putuje, tu razum neće pomoći."
7,EOkBEcEU_1_7,Bolje biti pijan nego star,"Kad pomislim na te, stara ljubavi, Žao mi je što smo bili samo dobri drugovi, Žao mi je što smo bili samo dobri drugovi. A život leti, leti, mladost kraća je. Sve će jednom da se vrati samo ona ostaje. Sve će jednom da se vrati samo ona ostaje. Bolje biti pijan nego star, bolje biti pijan nego star. Vino ne zna da smo nekad bili sretni par, Bolje biti pijan nego star. Bolje biti pijan nego star. A kad dođe zima i prve pahulje, Čekat ću te moja, buco, kraj I Gimnazije. Čekat ću te moja, buco, kraj I Gimnazije. A ti nećeš doći, znam te dobro znam, Možda je i tako bolje, navik'o sam biti sam. Možda je i tako bolje, navik'o sam biti sam. Bolje biti pijan nego star, bolje biti pijan nego star. Vino ne zna da smo nekad bili sretni par, Bolje biti pijan nego star. Bolje biti pijan nego star. Bolje biti pijan nego star. Bolje biti pijan nego star."
8,EOkBEcEU_1_8,Brodovi,"Da li ćeš noćas isto k'o i ja, krenuti tragom starih pjesama, da li me noćas nada izdala, kada si prag nježnosti preskočila, da li me noćas nada izdala. Da li su stigli moji brodovi, do tebe idu tvoje ljubavi, noćas kad svi su moji sni, na pragu tvom plavi zaspali, noćas kad svi su moji sni. Ove noći budan ću da ostarim, u tišini plamen dok se gasi, svojom čežnjom tugu ću da ukrasim, nikog sada nema da me spasi. Da li ćeš isto k'o i ja, krenuti tragom starih pjesama, noćas kad sve su ulice, u gradu tom bez nas ostale, noćas kad sve su ulice."
9,EOkBEcEU_1_9,Da se 6 pretvori u 9,"Da se 6 pretvori u 9, ja bih opet otiš'o u krevet. Ja sam uvijek bio miran kao Buda, jer za mene više ne postoje čuda, kad bi mjesec skočio u Savu, ja bih opet okrenuo glavu. Mene više niko i ništa ne sekira, samo tvoje oči ne daju mi mira, šuti, bebo, šuti, zaboravi sve, samo dođi i poljubi me. Ja sam uvijek bio miran kao Buda, jer za mene više ne postoje čuda, kad bi metak bio ljubičica, ti bi bila moja mala ranjenica. Mene više niko i ništa ne sekira, samo tvoje oči ne daju mi mira, šuti, bebo, šuti, zaboravi sve, samo dođi i poljubi me. Šuti, bebo, šuti, zaboravi sve, samo dođi i poljubi me, )"
