Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
EOkBEcEU_1_0,Plavi Orkestar,Plavi Orkestar,(R)evolucija,11595,"Nisam spreman vise za parole
ni da lazem kako svi se vole, to ne
samo malo modrog neba 
to je sve sto meni sada treba 

I dok tiho svodimo racune
nase ljubavi se dani krune, u prah
srce pretvoris u kamen 
kada treba sna zapalit' plamen
 
Ref.
O-o-o, revolucija se dize
o-o-o, ko je gore, bice nize
o-o-o, revolucija se sprema
o-o-o, ko je im'o, sada nema

Nisam spreman vise za parole
ni da lazem kako svi se vole, jer ti
volis njega, a on drugu
vrtimo se sada svi u krugu

Ref.

Konacno je covjek
dohakao Darvinu
evolucija u rikvercu
vracamo se majmunu

Zivotinjsko carstvo
kredita i kokuzluka
bice revolucija
samo preko Facebook-a

Ljubav je laz
ljubav je uvijek samo bol 
al' bez nje
bi nestalo sve 

Ref. 2x","https://tekstovi.net/2,12,30535.html"
EOkBEcEU_1_1,Plavi Orkestar,Plavi Orkestar,Ako su to samo bile lazi,203973,"Zivot ide dalje
zivot brzo prolazi
ali osjecam da
to vise nisi ti, a ni ja

Mozda bi i mogli 
pokusati ponovo
al' bojim se da 
ovaj je put gotovo
 
Al' samo ti 
mi ubrzavas disanje
jer se ja, jos uvijek 
palim na tebe

Ref.
Ako su to samo bile lazi
lazimo se bar jos malo
ako su to samo bile varke
varajmo se, varajmo

Ljubavi i mrznje 
tesko je preskociti zid
al' bojim se da 
dobar smo par, bili mi

Jer samo ti 
mi ubrzavas disanje
jer se ja, jos uvijek 
palim na tebe

Ref.","https://tekstovi.net/2,12,6428.html"
EOkBEcEU_1_2,Plavi Orkestar,Plavi Orkestar,Amerika,11562,"Dugo te, dugo nema 
i cini mi se da 
za tebe ja sam sjena 
trag proslog vremena 

Hej, ti ne znas kako je 
biti sasvim sam 
hej, k'o srece prosjak 
zivjeti dan za dan 
dan za da
 
Ref.
Amerika je velika, velika i siroka 
al' da mi je ponovo do tvoje avlije 
Amerika je velika, velika i siroka 
al' da mi je ponovo, da se zapjeva
da se popije srca velika 
Amerika 

Dugo te, dugo nema 
ja vise nisam svoj 
dugo se, dugo spremam 
da zavrtim tvoj broj 

Hej, ti ne znas kako je 
srce gorilo 
hej, i kako bi se 
ponovo borilo, za nas 

Ref. 2x","https://tekstovi.net/2,12,30630.html"
EOkBEcEU_1_3,Plavi Orkestar,Plavi Orkestar,Azra,61936,"Hej znas li da je pao snijeg
znas li da su ulice 
prekrile pahuljice

A ja volio bi da si tu
da se samo pojavis 
bar za novu godinu
 
Mala cini mi se da
hiljadu me godina 
nisi nazvala

Ref.
Hej Azra ponoc kuca 
za tobom mi srce puca
jer znam, da cu veceras biti sam
uzalud se trudim

Azra ponoc kuca
za tobom mi srce puca
jer znam, da evo svice novi dan
i da bez tebe se budim","https://tekstovi.net/2,12,6509.html"
EOkBEcEU_1_4,Plavi Orkestar,Plavi Orkestar,Bestija,20936,"Ja nikad necu biti stoka 
u zenicama tvoga oka 
jer ne zelim da te povrijedim 
nikad necu biti kreten 
depresivan i zanesen 
jer ne zelim zbog tebe 
da osjedim 
 
Ref.
Ti bestija si bila 
bestija ces ostati 
ni kraljica, ni vila 
nikad neces postati 

Udaras me tako muklo 
pa makar mi i srce puklo 
vise ti se necu vratiti 
stopala me jako bole 
ove ruke jos te mole 
al' za tobom necu patiti 

Ref.","https://tekstovi.net/2,12,166.html"
EOkBEcEU_1_5,Plavi Orkestar,Plavi Orkestar,Bi li posla sa mnom,9863,"Svako od nas ima svoje mjesto
gdje je uvijek sve po starom
tamo zive neki dobri ljudi
tiho plovi tamo dan za danom
zauvijek

Jednom kada stisaju se bure
kad se konci sudbine zapletu
tamo cu se radovati suncu
tamo cu se radovati ljetu
zauvijek
 
Ref.
Podji sa mnom tu
 gdje ne postoje sati
ni suvisni inati, tek' ptica glas
i samo plavo nebo iznad nas

Svako od nas sanja svoje mjesto
u daljini pogled gdje se gubi
tamo cu te cekat' moja draga
tamo gdje se nebo s morem ljubi
zauvijek

Ref. 3x

Reci, bili posla sa mnom ljubavi
daj reci, bili posla sa mnom ljubavi","https://tekstovi.net/2,12,35290.html"
EOkBEcEU_1_6,Plavi Orkestar,Plavi Orkestar,Biser,25386,"Ti si zadnja misao pred san
i prva kad se probudim
kako sporo prolazi mi dan
kad nemam sta da izgubim

Ljubav putuje
al' nekom drugom odlazi
ljubav putuje
tu ne postoje razlozi
 
Ref.
Kad me pozdravis, ti i ne slutis
od tvog osmijeha ja zivim danima
ali sta to sada vrijedi
taj biser u nizu
to je samo sjaj u bijedi
kad nisam ti blizu

Ti si zadnja misao pred san
i prva kad se probudim
kako sporo prolazi mi dan
kad nemam sta da izgubim

Tuga putuje
pred mojim srcem zakoci
tuga putuje
tu razum nece pomoci

Ref.","https://tekstovi.net/2,12,8420.html"
EOkBEcEU_1_7,Plavi Orkestar,Plavi Orkestar,Bolje biti pijan nego star,259919,"Kad pomislim na te
stara ljubavi
zao mi je sto smo bili
samo dobri drugovi

A, zivot leti, leti
mladost kraca je
sve ce jednom da se vrati
samo ona ostaje
 
Ref. 2x
Bolje biti pijan nego star
bolje biti pijan nego star
vino ne zna da smo nekad
bili sretni par
bolje biti pijan nego star

Kada dodje zima
i prve pahulje
cekacu te, moja Buco
kraj Prve gimnazije

A, neces, neces doci
znam te dobro, znam
mozda je i tako bolje
navik'o sam biti sam

Ref. 2x

Ref. 2x","https://tekstovi.net/2,12,167.html"
EOkBEcEU_1_8,Plavi Orkestar,Plavi Orkestar,Brodovi,18275,"Da li ces nocas isto ko i ja
krenuti tragom starih pjesama
da li me nocas nada izdala
kada si prag njeznosti preskocila
da li me nocas nada izdala

Da li su stigli moji brodovi
do tebe idu tvoje ljubavi
nocas kad svi su moji sni
na pragu tvom plavi zaspali
nocas kad svi su moji sni
 
Ref.
Ove noci budan cu da ostarim
u tisini plamen dok se gasi
svojom ceznjom tugu cu da ukrasim
nikog sada nema da me spasi

Da li ces isto ko i ja
krenuti tragom starih pjesama
nocas kad sve su ulice
u gradu tom bez nas ostale
nocas kad sve su ulice

Ref.","https://tekstovi.net/2,12,8419.html"
EOkBEcEU_1_9,Plavi Orkestar,Plavi Orkestar,Da se 6 pretvori u 9,24942,"Ref.
Da se 6 pretvori u 9
ja bih opet otis'o u krevet

Ja sam uvijek bio miran kao buda
jer za mene vise ne postoje cuda
kad bi mjesec skocio u Savu
ja bih opet okrenuo glavu
 
Mene vise niko i nista ne sekira
samo tvoje oci ne daju mi mira
suti, bebo, suti, zaboravi sve
samo dodji i poljubi me

Ref.

Ja sam uvijek bio miran kao buda
jer za mene vise ne postoje cuda
kad bi metak bio ljubicica
ti bi bila moja mala ranjenica

Mene vise niko i nista ne sekira
samo tvoje oci ne daju mi mira
suti, bebo, suti, zaboravi sve
samo dodji i poljubi me

Suti, bebo, suti, zaboravi sve
samo dodji i poljubi me
(2x)","https://tekstovi.net/2,12,169.html"
