Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Lyrics By_discogs,Lyrics By [Croatian]_discogs,Music By_discogs,Vocals_discogs,Arranged By_discogs,Performer_discogs,Remix_discogs,Recorded By_discogs,Producer_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Prljavo Kazalište,Prljavo Kazalište,Televizori,,Televizori,,,,,,,,,,,,,nan-Televizori,nan-Televizori/nan-Sve Je Lako Kad Si Mlad - Live/nan-77-99 Sve Je Lako Kad Si Mlad/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Majka,,Televizori,,,,,,,,,,,,,nan-Televizori,nan-Televizori
Prljavo Kazalište,Prljavo Kazalište,Moje Djetinjstvo,,Televizori,,,,,,,,,,,,,nan-Televizori,nan-Televizori
Prljavo Kazalište,Prljavo Kazalište,Moj Je Otac Bio U Ratu,,Moj Je Otac Bio U Ratu / Noć,Zoran Cvetković,1979.0,,,,,,,,,,,1979.0-Moj Je Otac Bio U Ratu / Noć,1979.0-Moj Je Otac Bio U Ratu / Noć/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Noć,,Moj Je Otac Bio U Ratu / Noć,Jasenko Houra,1979.0,,,,,,,,,,,1979.0-Moj Je Otac Bio U Ratu / Noć,1979.0-Moj Je Otac Bio U Ratu / Noć/nan-Prljavo Kazalište
Prljavo Kazalište,Prljavo Kazalište,Ja Sam Mladić U Najboljim Godinama,1:57,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/2010.0-Single Collection '79 - '90 B Sides/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Bit Će Bolje,1:43,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište
Prljavo Kazalište,Prljavo Kazalište,U Mojoj Općini Problema Nema,2:32,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Neki Dječaci (Some Boys),4:48,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Veze I Poznanstva,3:00,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Čovjek Za Sutra,1:46,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90 B Sides
Prljavo Kazalište,Prljavo Kazalište,Subotom Uveče,3:45,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Što Je To U Ljudskom Biću Što Ga Vodi Prema Piću,2:46,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-77-99 Sve Je Lako Kad Si Mlad/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Sretno Dijete,2:08,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Tajno Ime/nan-Best Of - Live/2010.0-Single Collection '79 - '90/2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb
Prljavo Kazalište,Prljavo Kazalište,Na Posljednjoj Tramvajskoj Stanici,4:57,Prljavo Kazalište,,,,,,,,,,,,,nan-Prljavo Kazalište,nan-Prljavo Kazalište
Prljavo Kazalište,Prljavo Kazalište,Crno Bijeli Svijet,3:13,Crno Bijeli Svijet,,1980.0,,,,,,,,,,,1980.0-Crno Bijeli Svijet,"1980.0-Crno Bijeli Svijet/nan-Crno Bijeli Svijet/nan-Sve Je Lako Kad Si Mlad - Live/nan-Božićni Koncert 27.12.1994/1996.0-Paket Aranžman - Boje Su U Nama/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2009.0-XXX Godina - Službeno Otvorenje Arene Zagreb, 17.01.2009/2010.0-Single Collection '79 - '90/2017.0-Antologija/2019.0-XL World Tour Finale - Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2019.0-XL World Tour Finale Stadion Zagreb/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb"
Prljavo Kazalište,Prljavo Kazalište,Moderna Djevojka,3:57,Crno Bijeli Svijet,,1980.0,,,,,,,,,,,1980.0-Crno Bijeli Svijet,1980.0-Crno Bijeli Svijet/nan-Crno Bijeli Svijet/1998.0-Hitovi/2010.0-Single Collection '79 - '90 B Sides/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Nove Cipele,3:33,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet/nan-77-99 Sve Je Lako Kad Si Mlad
Prljavo Kazalište,Prljavo Kazalište,Nedjeljom Ujutro,4:27,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet
Prljavo Kazalište,Prljavo Kazalište,Neka Te Ništa Ne Brine,4:14,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet
Prljavo Kazalište,Prljavo Kazalište,Zagreb,2:58,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet/nan-77-99 Sve Je Lako Kad Si Mlad/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,17 Ti Je Godina Tek,3:22,Crno Bijeli Svijet,,,Kurt Schwabach,Mario Kinel,Mort Shuman,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet/1998.0-Hitovi
Prljavo Kazalište,Prljavo Kazalište,Neki Moji Prijatelji,3:01,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet
Prljavo Kazalište,Prljavo Kazalište,Sam,4:11,Crno Bijeli Svijet,,,Jasenko Houra,,Ivan Piko Stančić,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet
Prljavo Kazalište,Prljavo Kazalište,Mi Plešemo,4:34,Crno Bijeli Svijet,,,,,,,,,,,,,nan-Crno Bijeli Svijet,nan-Crno Bijeli Svijet/1989.0-Voljenom Gradu/nan-ZG Rock Forces Live!/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/nan-Best Of - Live/2010.0-Single Collection '79 - '90/2017.0-Antologija/2020.0-30 Godina Od Koncerta Na Trgu - Arena Zagreb/nan-30 Godina Od Koncerta Na Trgu - Arena Zagreb
Prljavo Kazalište,Prljavo Kazalište,Široke Ulice,4:30,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice/nan-Sve Je Lako Kad Si Mlad - Live/1998.0-Hitovi/nan-77-99 Sve Je Lako Kad Si Mlad/2010.0-Single Collection '79 - '90/2017.0-Antologija
Prljavo Kazalište,Prljavo Kazalište,Djevojke Bi,2:45,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice
Prljavo Kazalište,Prljavo Kazalište,Lupam Glavom U Radio,2:30,Heroj Ulice,,,,,,,,,,,,,nan-Heroj Ulice,nan-Heroj Ulice/nan-77-99 Sve Je Lako Kad Si Mlad
