Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Url_diskografija,Song_diskografija,Stihovi_diskografija,Skladba_diskografija,Aranžman_diskografija,Album_1_diskografija,Album_2_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Lyrics By_discogs,All_albums_discogs
0,zdPtejCw_1_0,Psihomodo Pop,Psihomodo Pop,Ako zelis biti moja,2916,"Ako zelis biti moja bejbi
prvo onog majmuna odjebi
ako zelis biti moja draga
ne potezi za rep crnog vraga

Ako zelis biti moja bejbi
prvo onog davitelja sredi
ako zelis biti moja draga
ne potezi za rep crnog vraga
 
Ako zelis biti moja ti
moras ga otpiliti
onda cemo, draga, ja i ti
zauvijek biti sretni

Ref. 4x
Ako zelis biti moja 
ako zelis biti moja
ako zelis biti moja bejbi

Ako zelis biti
ako zelis biti
ako zelis biti moja bejbi","https://tekstovi.net/2,733,57355.html",,Ako želiš biti moja,Если хочешь быть моей,,"Ako želiš biti moja, bejbi
prvo onog majmuna odjebi.
Ako želiš biti moja draga
ne poteži za rep crnog vraga, jeej.... Ako želiš biti moja, bejbi
prvo onog davitelja sredi.
Ako želiš biti moja draga
ne poteži za rep crnog vraga, jeej.... Ako želiš biti moja ti
moras ga otpiliti.
Onda ćemo draga ja i ti
zauvijek biti sretni.. Ako želiš biti moja,
ako želiš biti moja,
ako želiš biti moja, bejbi.","Если хочешь быть моею, детка
сначала пошли ка ты на хуй этого козла
Если хочешь быть моей драгоценной
не тяни кота за яйца (не искушай судьбу). Если хочешь быть моею, детка
сначала убери этого тошнотика
Если хочешь быть моей драгоценной
не тяни кота за яйца (не искушай судьбу). Если хочешь быть моей
то должна ты его отшить
Вот тогда то милая мы с тобой
будем счастливы всегда. Если хочешь быть моей
если хочешь быть моей
если хочешь быть моею, детка",https://lyricstranslate.com/en/ako-%C5%BEeli%C5%A1-biti-moja-%D0%B5%D1%81%D0%BB%D0%B8-%D1%85%D0%BE%D1%87%D0%B5%D1%88%D1%8C-%D0%B1%D1%8B%D1%82%D1%8C-%D0%BC%D0%BE%D0%B5%D0%B9.html,,,,,,,,,,,,Psihomodo Pop,Ako Želiš Biti Moja,3:27,Digitalno Nebo,,,,nan-Digitalno Nebo
1,zdPtejCw_1_1,Psihomodo Pop,Psihomodo Pop,Bejbi,2805,"I sada kad se rusi sve
stvari gube stari sjaj
mene vise nije strah
iako je blizu kraj

I ti si me ostavila
ostao sam sasvim sam
vise nikom ne trebam
nikome ne pripadam
 
Ref.
Bejbi
u mome srcu ti si
al' u krevetu mi nisi

Bejbi
u krevetu mom ti si
al' u srcu vise nisi

I sada kad se rusi sve
i ti si me odjebala
ostao sam sasvim sam
vise nikom ne pripadam

Ref.

Bejbi, o bejbi, o bejbi","https://tekstovi.net/2,733,50999.html",,,,,,,,['Psihomodo Pop'],https://diskografija.com/pjesma/bejbi-23033.htm,Bejbi,,,,,,,,,Psihomodo Pop,Bejbi,,Ćiribu Ćiriba,,,,nan-Ćiribu Ćiriba/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella
2,zdPtejCw_1_2,Psihomodo Pop,Psihomodo Pop,Boing 747,1164,"1,2,3, i

Svi ljudi u zivotu nesto, neki kurac, rade
netko posteno radi, a netko tesko krade
a ja si ne znam sto cu si sam, si sam, si sam sa sobom
sutra mi dolazi skvadra sa prvoklasnom robom

I tak’ da nis ne radim nego samo
rou, rou, rou, rou, rou, rolam taj dzoint
kao sedam cetiri sedam boing
i zato rou, rou, rou, rou, rolam taj dzoint

I rolam, i rolam, i rolam, rolam, rolam, rolam","https://tekstovi.net/2,733,57362.html",,,,,,,,['Psihomodo Pop'],https://diskografija.com/pjesma/boing-747-21623.htm,Boing 747,,,,,,"Svi ljudi u životu nešto neki kurac rade
Neko pošteno radi, a neko teško krade
A ja si ne znam što ću si sam si sam si sam sa sobom
Sutra mi dolazi škvadra sa prvoklasnom robom

I tak da ništ ne radim nego samo
Roll roll roll roll roll roll rolam taj džoint
Kao 747 boing
I zato roll roll roll roll roll roll rolam taj džoint",Boing 747,https://cuspajz.com//tekstovi-pjesama/pjesma/psihomodo-pop/boing-747.html,Psihomodo Pop,Boing 747,5:50,Debakl,,Davor Gobac,Davor Gobac,nan-Debakl/nan-Tekućih 20/2020.0-Greatest Hits Collection
3,zdPtejCw_1_3,Psihomodo Pop,Psihomodo Pop,Bomba,16763,"Bomba kuca tika-tak
odleticete svi u zrak
just kiddin' 

Ja nikad nisam pristojan
ja nikad nisam uredan
svi me izbjegavaju
i svi me ogovaraju
 
Ref.
Zvali su me pederu
zgazicu te ko konzervu
ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan

Iz kuce su me tjerali
iz skole izbacivali
moje ime nisu volili
ni oni najotporniji

Ref.

Ja nikad nisam pristojan
ja nikad nisam uredan
svi me ogovaraju
svi me zajebavaju

Ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan
(2x)","https://tekstovi.net/2,733,10166.html",,Bomba,The Bomb,,"Bomba kuca tika-tak
odleticete svi u zrak
just kiddin'. Ja nikad nisam pristojan
ja nikad nisam uredan
svi me izbjegavaju
i svi me ogovaraju. Ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan. Zvali su me pederu
zgazicu te ko konzervu
ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan. Iz kuce su me tjerali
iz skole izbacivali
moje ime nisu volili
ni oni najotporniji. Ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan. Ja nikad nisam pristojan
ja nikad nisam uredan
svi me ogovaraju
svi me zajebavaju. Ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan
(2x)","The bomb is ticking tick-tock
You will all be blown away
(Just kiddin'). I'm never decent
I'm never neat
Everybody keeps away from me
And everyone slanders me. They called me fagot,
I'll smash you like a tin
I have never, I have never
I have never been a normal person. They chased me out of home
Throwing me out of school
Even the most resistant ones
Didn't like my name. They called me fagot,
I'll smash you like a tin
I have never, I have never
I have never been a normal person. I'm never decent
I'm never neat
Everyone slanders me
Everyone teases me. I have never, I have never
I have never been a normal person. I have never, I have never
I have never been a normal person",https://lyricstranslate.com/en/bomba-bomb.html-1,,,,,,,,,"Bomba kuca tika-tak
Odletit ćete svi u zrak

Ja sam uvijek pristojan
Ja sam uvijek uredan
Svi me obožavaju
Svi me uvažavaju
Zvali su me štreberu
Najbolji si u razredu

Ja sam uvijek, ja sam uvijek
Ja sam uvjek bio normalan
Ja sam uvijek, ja sam uvijek
Ja sam uvjek bio normalan

U školi su me volili
U kući su me mazili
Svi su za mnom trčali
Svi su mene pazili

Zvali su me štreberu
Najbolji si u razredu

Ja sam uvijek, ja sam uvijek
Ja sam uvjek bio normalan
Ja sam uvijek, ja sam uvijek
Ja sam uvjek bio normalan

Ja sam uvijek pristojan
Ja sam uvijek uredan
Svi me obožavaju
Svi me uvažavaju

Ja sam uvijek, ja sam uvijek
Ja sam uvjek bio normalan
Ja sam uvijek, ja sam uvijek
Ja sam uvjek bio normalan

Bomba kuca tika-tak
Odletjeli ste svi u zrak",Bomba,https://cuspajz.com//tekstovi-pjesama/pjesma/psihomodo-pop/bomba.html,Psihomodo Pop,Bomba,4:08,Iste Stvari,1990.0,,,1990.0-Iste Stvari/nan-Sexy Magazin/nan-Tko Je Ubio Mickey Mousea?/nan-Best Of/2007.0-The Ultimate Collection/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella
4,zdPtejCw_1_4,Psihomodo Pop,Psihomodo Pop,Daj mi pusu,1502,"Tata ti je bogat
ima gomilu novca
za unuka ce dobiti
maloga Gopca

Lutas k'o Snjeguljica
pricas k'o merlinka
nja, nja, nja, nja
nisi vise klinka
 
Ref.
Tu cijenu ljubavu, tu cijenu ljubavi
ne mogu ti ja to platiti
tu cijenu ljubavi i zato odlazim
i nikada se vise necu vratiti

Buraz ti je faca
i ima gomilu love
ima karijeru
neku barijeru

Pricas svinjarije
oci ti se sjaje
mislis da se ljubav
kupuje i prodaje

Ref.

A daj mi pusu 

Neki dan sam bil'
u nasem ducanu
vidio sam tebe
i tvoju mamu

Ref.

Ref.
Tu cijenu ljubavi, tu cijenu ljubavi
a ne mogu ti, draga, ja to shvatiti
tu cijenu ljubavi i zato odlazim
i nikada se vise necu vratiti

A daj mi pusu","https://tekstovi.net/2,733,57809.html",,,,,,,,['Psihomodo Pop'],https://diskografija.com/pjesma/daj-mi-pusu-8112.htm,Daj mi pusu,['Davor Gobac'],,,,,"Tata ti je bogat i ima gomilu novca
Za unuka će dobiti maloga Gobca

Lutaš ko snjeguljica, pričaš ko merlinka
Nja nja nja nja, nisi više klinka

Tu cijenu ljubavi, tu cijenu ljubavi
Nemogu ti ja to platiti
Tu cijenu ljubavi i zato odlazim
I nikada se više neću vratiti

Buraz ti je faca i ima gomilu love
Ima karijeru, neku barijeru

Pričaš svinjarije, oči ti se sjaje
Misliš da se ljubav kupuje i prodaje

Tu cijenu ljubavi, tu cijenu ljubavi
Nemogu ti ja to platiti
Tu cijenu ljubavi i zato odlazim
I nikada se više neću vratiti

A daj mi pusu

Neki dan sam bio u našem dućanu
I vidio sam tebe i tvoju mamu

Tu cijenu ljubavi, tu cijenu ljubavi
Nemogu ti ja to platiti
Tu cijenu ljubavi i zato odlazim
I nikada se više neću vratiti

Tu cijenu ljubavi, tu cijenu ljubavi
A nemogu ti ja to draga shvatiti
Tu cijenu ljubavi i zato odlazim
I nikada se više neću vratiti

A daj mi pusu",Daj mi pusu,https://cuspajz.com//tekstovi-pjesama/pjesma/psihomodo-pop/daj-mi-pusu.html,Psihomodo Pop,Daj Mi Pusu,3:27,Plastic Fantastic,2004.0,Everly Brothers,Davor Gobac,2004.0-Plastic Fantastic/2007.0-The Ultimate Collection
5,zdPtejCw_1_5,Psihomodo Pop,Psihomodo Pop,Digitalno nebo,1104,"Digitalno nebo iznad nas
elektricnih zvijezda neonski sjaj
forspani suludo idu
a zapravo je kraj

Al' srest' cemo se jednog dana, bejbe
na drugoj strani svemira
ja cu biti ti, a ti ces biti ja
sa la la la la, sa la la la la, sa la la la la
 
Kad se jednog dana ostvare svi slatki sni
jedino sto stvarno zelim to si ti
sa la la la la, sa la la la la, sa la la la la

Slatka ljubav, slatka ljubav
slatka ljubav, gorki kraj
slatka ljubav, bejbe, slatka ljubav
slatka ljubav, gorki kraj","https://tekstovi.net/2,733,59316.html",,,,,,,,,,,,,,,,,,,Psihomodo Pop,Digitalno Nebo,3:06,Digitalno Nebo,,,,nan-Digitalno Nebo
6,zdPtejCw_1_6,Psihomodo Pop,Psihomodo Pop,Dil,2112,"Napravimo dil
nisam debil
imam svoj stil
za tebe zu viel

Povuci taj dim
i nestani s njim
a znas da sam fin
i imam tvoj pin
 
Zar imas i ti osjecaj tad
da svemu je kraj
da rusi se sve
u tri pizde materine

Ref.
Veliki grad, svjetla i smrad
specijalci po krovovima
neonski sjaj, nesretni kraj
sirene u oblacima
a ja secem psa

Ref.","https://tekstovi.net/2,733,45292.html",,,,,,,,['Psihomodo Pop'],https://diskografija.com/pjesma/dil-14135.htm,Dil,,,,,,"Napravimo dil
Nisam debil
Imam svoj stil
Za tebe zu viel

Povuci taj dim
I nestani s njim
O znaš da sam fin
I imam tvoj pin

Zar imaš i ti osjećaj taj
Da svemu je kraj
Da ruši se sve
U tri pizde materine

Veliki grad, svjetla i smrad
Specijalci po krovovima
Neonski sjaj, nesretni kraj
Sirene u oblacima

A ja šećem psa

Napravimo dil
Nisam debil
Imam svoj stil
Za tebe zu viel

Povuci taj dim
I nestani s njim
O znaš da sam fin
I imam tvoj pin

Zar imaš i ti osjećaj taj
Da svemu je kraj
Da ruši se sve
U tri pizde materine

Veliki grad, svjetla i smrad
Specijalci po krovovima
Neonski sjaj, nesretni kraj
Sirene u oblacima

A ja šećem psa",Dil,https://cuspajz.com//tekstovi-pjesama/pjesma/psihomodo-pop/dil.html,Psihomodo Pop,Dil,4:17,Jeee! Jeee! Jeee!,,,,nan-Jeee! Jeee! Jeee!
7,zdPtejCw_1_7,Psihomodo Pop,Psihomodo Pop,Donna,22337,"Dan je bio kisan i tuzan
ja sam bio pristav i ruzan
kad jednog dana
pojavila se ona

Imala je divne grudi
imala je divan ten
a noge kao Lili Marlen

Ref. 2x
Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti

Ref. 3x","https://tekstovi.net/2,733,42240.html","Davor Gobac, Neven Kepeski, Smiljan Paradis",Donna,Donna,,"Dan je bio kišan i tužan
1
Ja sam bio prištav i ružan
Kad jednog dana
Pojavila se ona. Imala je divne grudi
Imala je divan ten
A noge kao Lili Marleen. Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti. Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti. Dan je bio kišan i tužan
Ja sam bio prištav i ružan
Kad jednog dana
Pojavila se ona. Imala je divne grudi
Imala je divan ten
A noge kao Lili Marleen. Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti
Yeah!. Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti. Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti","The day was rainy and sad
I was pimply and ugly
When one day
She appeared. She had amazing breasts
She had an amazing tan
And legs like Lili Marleen. Donna, oh, Donna
Donna, oh, Donna
Donna, you’re my Donna. Donna, oh, Donna
Donna, oh, Donna
Donna, you’re my Donna. The day was rainy and sad
I was pimply and ugly
When one day
She appeared. She had amazing breasts
She had an amazing tan
And legs like Lili Marleen. Donna, oh, Donna
Donna, oh, Donna
Donna, you’re my Donna
Yeah!. Donna, oh, Donna
Donna, oh, Donna
Donna, you’re my Donna. Donna, oh, Donna
Donna, oh, Donna
Donna, you’re my Donna",https://lyricstranslate.com/en/donna-donna.html-6,['Psihomodo Pop'],https://diskografija.com/pjesma/donna-19897.htm,Donna,,,,,,,,,Psihomodo Pop,Donna,,Ćiribu Ćiriba,,,,nan-Ćiribu Ćiriba/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella
8,zdPtejCw_1_8,Psihomodo Pop,Psihomodo Pop,El Diablo,3022,"Bijele koke s neba pale
cijeli grad su zatrpale
crni cilindar i srebrni stap
na grad je pao gusti mrak

Ref.
El Diablo
mrkli mrak
el Diablo
crni vrag
 
Strah i trepet ulica
strasno hladna gubica
zaspao je svatko drag
u srca usao je strah

Ref.","https://tekstovi.net/2,733,42237.html",,,,,,,,,,,,,,,,"Bijele koke s neba pale
Cijeli grad su zatrpale
Crni cilindar i srebrni štap
Na grad je pao gusti mrak

El Diablo
Mrkli mrak
El Diablo
Crni vrag

Strah i trepet ulica
Strašno hladna gubica
Zaspao je svatko drag
U srca ušao je strah",El diablo,https://cuspajz.com//tekstovi-pjesama/pjesma/psihomodo-pop/el-diablo.html,Psihomodo Pop,El Diablo,4:56,Sextasy,,,,nan-Sextasy/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)
9,zdPtejCw_1_9,Psihomodo Pop,Psihomodo Pop,Frida,56769,"Frida je bila moja kraljica
(3x)
ali nitko nije bio njezin kralj

Ja sam radio
a ona je cekala
ona je cekala
da padne mrak
 
Ona se cudila
sto ne znam uzivati
ja sam joj rekao
hey honey nije to sam tak'

Pod nama su
pucali kreveti
mi smo se pucali
dok ne pukne dan

Ja sam je gadjao
al' nisam pogodio
taj joj metak
nije dovoljan

Frida ja ti nisam dida
imas dobre usi slusaj kroz njih
ti si bila moja jedina pracka
a ja sam bio samo sprih

Frida je bila moja kraljica
Frida, jesi l' cula za Lou Reeda
Frida je bila moja kraljica
ali nitko nije bio njezin kralj","https://tekstovi.net/2,733,10165.html",,,,,,,,['Psihomodo Pop'],https://diskografija.com/pjesma/frida-5376.htm,Frida,,,,,,,,,Psihomodo Pop,Frida,3:35,Nebo / Frida,1988.0,,,1988.0-Nebo / Frida/nan-Godina Zmaja/nan-Live In Amsterdam/1990.0-Briljant Video-Pop/nan-Unpljugd/nan-Best Of/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2004.0-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
