,Song_ID,Song,Lyrics
0,zdPtejCw_1_0,Ako želiš biti moja,"Ako želiš biti moja, bejbi, prvo onog majmuna odjebi. Ako želiš biti moja draga, ne poteži za rep crnog vraga, jeej... Ako želiš biti moja, bejbi, prvo onog davitelja sredi. Ako želiš biti moja draga, ne poteži za rep crnog vraga, jeej... Ako želiš biti moja ti, moras ga otpiliti. Onda ćemo draga ja i ti, zauvijek biti sretni. Ako želiš biti moja, ako želiš biti moja, ako želiš biti moja, bejbi."
1,zdPtejCw_1_1,Bejbi,"I sada kad se rusi sve, stvari gube stari sjaj, mene vise nije strah, iako je blizu kraj. I ti si me ostavila, ostao sam sasvim sam, vise nikom ne trebam, nikome ne pripadam. Bejbi, u mome srcu ti si, al' u krevetu mi nisi. Bejbi, u krevetu mom ti si, al' u srcu vise nisi. I sada kad se rusi sve, i ti si me odjebala, ostao sam sasvim sam, vise nikom ne pripadam. Bejbi, o bejbi, o bejbi"
2,zdPtejCw_1_2,Boing 747,"Svi ljudi u životu nešto neki kurac rade. Neko pošteno radi, a neko teško krade. A ja si ne znam što ću si sam si sam si sam sa sobom. Sutra mi dolazi škvadra sa prvoklasnom robom. I tak da ništ ne radim nego samo. Roll roll roll roll roll roll rolam taj džoint. Kao 747 boing. I zato roll roll roll roll roll roll rolam taj džoint"
3,zdPtejCw_1_3,Bomba,"Bomba kuca tika-tak, odleticete svi u zrak, just kiddin'. Ja nikad nisam pristojan, ja nikad nisam uredan, svi me izbjegavaju, i svi me ogovaraju. Ja nikad nisam, ja nikad nisam, ja nikad nisam bio normalan. Zvali su me pederu, zgazicu te ko konzervu, ja nikad nisam, ja nikad nisam, ja nikad nisam bio normalan. Iz kuce su me tjerali, iz skole izbacivali, moje ime nisu volili, ni oni najotporniji. Ja nikad nisam, ja nikad nisam, ja nikad nisam bio normalan. Ja nikad nisam pristojan, ja nikad nisam uredan, svi me ogovaraju, svi me zajebavaju. Ja nikad nisam, ja nikad nisam, ja nikad nisam bio normalan, )"
4,zdPtejCw_1_4,Daj mi pusu,"Tata ti je bogat i ima gomilu novca. Za unuka će dobiti maloga Gobca. Lutaš ko snjeguljica, pričaš ko merlinka. Nja nja nja nja, nisi više klinka. Tu cijenu ljubavi, tu cijenu ljubavi. Nemogu ti ja to platiti. Tu cijenu ljubavi i zato odlazim. I nikada se više neću vratiti. Buraz ti je faca i ima gomilu love. Ima karijeru, neku barijeru. Pričaš svinjarije, oči ti se sjaje. Misliš da se ljubav kupuje i prodaje. Tu cijenu ljubavi, tu cijenu ljubavi. Nemogu ti ja to platiti. Tu cijenu ljubavi i zato odlazim. I nikada se više neću vratiti. A daj mi pusu. Neki dan sam bio u našem dućanu. I vidio sam tebe i tvoju mamu. Tu cijenu ljubavi, tu cijenu ljubavi. Nemogu ti ja to platiti. Tu cijenu ljubavi i zato odlazim. I nikada se više neću vratiti. Tu cijenu ljubavi, tu cijenu ljubavi. A nemogu ti ja to draga shvatiti. Tu cijenu ljubavi i zato odlazim. I nikada se više neću vratiti. A daj mi pusu"
5,zdPtejCw_1_5,Digitalno nebo,"Digitalno nebo iznad nas, elektricnih zvijezda neonski sjaj, forspani suludo idu, a zapravo je kraj. Al' srest' cemo se jednog dana, bejbe, na drugoj strani svemira, ja cu biti ti, a ti ces biti ja, sa la la la la, sa la la la la, sa la la la la. Kad se jednog dana ostvare svi slatki sni, jedino sto stvarno zelim to si ti, sa la la la la, sa la la la la, sa la la la la. Slatka ljubav, slatka ljubav, slatka ljubav, gorki kraj, slatka ljubav, bejbe, slatka ljubav, slatka ljubav, gorki kraj"
6,zdPtejCw_1_6,Dil,"Napravimo dil. Nisam debil. Imam svoj stil. Za tebe zu viel. Povuci taj dim. I nestani s njim. O znaš da sam fin. I imam tvoj pin. Zar imaš i ti osjećaj taj. Da svemu je kraj. Da ruši se sve. U tri pizde materine. Veliki grad, svjetla i smrad. Specijalci po krovovima. Neonski sjaj, nesretni kraj. Sirene u oblacima. A ja šećem psa. Napravimo dil. Nisam debil. Imam svoj stil. Za tebe zu viel. Povuci taj dim. I nestani s njim. O znaš da sam fin. I imam tvoj pin. Zar imaš i ti osjećaj taj. Da svemu je kraj. Da ruši se sve. U tri pizde materine. Veliki grad, svjetla i smrad. Specijalci po krovovima. Neonski sjaj, nesretni kraj. Sirene u oblacima. A ja šećem psa"
7,zdPtejCw_1_7,Donna,"Dan je bio kišan i tužan. Ja sam bio prištav i ružan. Kad jednog dana. Pojavila se ona. Imala je divne grudi. Imala je divan ten. A noge kao Lili Marleen. Donna, ou, Donna. Donna, ou, Donna. Donna, moja Donna si ti. Donna, ou, Donna. Donna, ou, Donna. Donna, moja Donna si ti. Dan je bio kišan i tužan. Ja sam bio prištav i ružan. Kad jednog dana. Pojavila se ona. Imala je divne grudi. Imala je divan ten. A noge kao Lili Marleen. Donna, ou, Donna. Donna, ou, Donna. Donna, moja Donna si ti. Yeah!. Donna, ou, Donna. Donna, ou, Donna. Donna, moja Donna si ti. Donna, ou, Donna. Donna, ou, Donna. Donna, moja Donna si ti"
8,zdPtejCw_1_8,El diablo,Bijele koke s neba pale. Cijeli grad su zatrpale. Crni cilindar i srebrni štap. Na grad je pao gusti mrak. El Diablo. Mrkli mrak. El Diablo. Crni vrag. Strah i trepet ulica. Strašno hladna gubica. Zaspao je svatko drag. U srca ušao je strah
9,zdPtejCw_1_9,Frida,"Frida je bila moja kraljica, ), ali nitko nije bio njezin kralj. Ja sam radio, a ona je cekala, ona je cekala, da padne mrak. Ona se cudila, sto ne znam uzivati, ja sam joj rekao, hey honey nije to sam tak'. Pod nama su, pucali kreveti, mi smo se pucali, dok ne pukne dan. Ja sam je gadjao, al' nisam pogodio, taj joj metak, nije dovoljan. Frida ja ti nisam dida, imas dobre usi slusaj kroz njih, ti si bila moja jedina pracka, a ja sam bio samo sprih. Frida je bila moja kraljica. Frida, jesi l' cula za Lou Reeda. Frida je bila moja kraljica, ali nitko nije bio njezin kralj"
