Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
zdPtejCw_1_0,Psihomodo Pop,Psihomodo Pop,Ako zelis biti moja,2916,"Ako zelis biti moja bejbi
prvo onog majmuna odjebi
ako zelis biti moja draga
ne potezi za rep crnog vraga

Ako zelis biti moja bejbi
prvo onog davitelja sredi
ako zelis biti moja draga
ne potezi za rep crnog vraga
 
Ako zelis biti moja ti
moras ga otpiliti
onda cemo, draga, ja i ti
zauvijek biti sretni

Ref. 4x
Ako zelis biti moja 
ako zelis biti moja
ako zelis biti moja bejbi

Ako zelis biti
ako zelis biti
ako zelis biti moja bejbi","https://tekstovi.net/2,733,57355.html"
zdPtejCw_1_1,Psihomodo Pop,Psihomodo Pop,Bejbi,2805,"I sada kad se rusi sve
stvari gube stari sjaj
mene vise nije strah
iako je blizu kraj

I ti si me ostavila
ostao sam sasvim sam
vise nikom ne trebam
nikome ne pripadam
 
Ref.
Bejbi
u mome srcu ti si
al' u krevetu mi nisi

Bejbi
u krevetu mom ti si
al' u srcu vise nisi

I sada kad se rusi sve
i ti si me odjebala
ostao sam sasvim sam
vise nikom ne pripadam

Ref.

Bejbi, o bejbi, o bejbi","https://tekstovi.net/2,733,50999.html"
zdPtejCw_1_2,Psihomodo Pop,Psihomodo Pop,Boing 747,1164,"1,2,3, i

Svi ljudi u zivotu nesto, neki kurac, rade
netko posteno radi, a netko tesko krade
a ja si ne znam sto cu si sam, si sam, si sam sa sobom
sutra mi dolazi skvadra sa prvoklasnom robom

I tak’ da nis ne radim nego samo
rou, rou, rou, rou, rou, rolam taj dzoint
kao sedam cetiri sedam boing
i zato rou, rou, rou, rou, rolam taj dzoint

I rolam, i rolam, i rolam, rolam, rolam, rolam","https://tekstovi.net/2,733,57362.html"
zdPtejCw_1_3,Psihomodo Pop,Psihomodo Pop,Bomba,16763,"Bomba kuca tika-tak
odleticete svi u zrak
just kiddin' 

Ja nikad nisam pristojan
ja nikad nisam uredan
svi me izbjegavaju
i svi me ogovaraju
 
Ref.
Zvali su me pederu
zgazicu te ko konzervu
ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan

Iz kuce su me tjerali
iz skole izbacivali
moje ime nisu volili
ni oni najotporniji

Ref.

Ja nikad nisam pristojan
ja nikad nisam uredan
svi me ogovaraju
svi me zajebavaju

Ja nikad nisam, ja nikad nisam
ja nikad nisam bio normalan
(2x)","https://tekstovi.net/2,733,10166.html"
zdPtejCw_1_4,Psihomodo Pop,Psihomodo Pop,Daj mi pusu,1502,"Tata ti je bogat
ima gomilu novca
za unuka ce dobiti
maloga Gopca

Lutas k'o Snjeguljica
pricas k'o merlinka
nja, nja, nja, nja
nisi vise klinka
 
Ref.
Tu cijenu ljubavu, tu cijenu ljubavi
ne mogu ti ja to platiti
tu cijenu ljubavi i zato odlazim
i nikada se vise necu vratiti

Buraz ti je faca
i ima gomilu love
ima karijeru
neku barijeru

Pricas svinjarije
oci ti se sjaje
mislis da se ljubav
kupuje i prodaje

Ref.

A daj mi pusu 

Neki dan sam bil'
u nasem ducanu
vidio sam tebe
i tvoju mamu

Ref.

Ref.
Tu cijenu ljubavi, tu cijenu ljubavi
a ne mogu ti, draga, ja to shvatiti
tu cijenu ljubavi i zato odlazim
i nikada se vise necu vratiti

A daj mi pusu","https://tekstovi.net/2,733,57809.html"
zdPtejCw_1_5,Psihomodo Pop,Psihomodo Pop,Digitalno nebo,1104,"Digitalno nebo iznad nas
elektricnih zvijezda neonski sjaj
forspani suludo idu
a zapravo je kraj

Al' srest' cemo se jednog dana, bejbe
na drugoj strani svemira
ja cu biti ti, a ti ces biti ja
sa la la la la, sa la la la la, sa la la la la
 
Kad se jednog dana ostvare svi slatki sni
jedino sto stvarno zelim to si ti
sa la la la la, sa la la la la, sa la la la la

Slatka ljubav, slatka ljubav
slatka ljubav, gorki kraj
slatka ljubav, bejbe, slatka ljubav
slatka ljubav, gorki kraj","https://tekstovi.net/2,733,59316.html"
zdPtejCw_1_6,Psihomodo Pop,Psihomodo Pop,Dil,2112,"Napravimo dil
nisam debil
imam svoj stil
za tebe zu viel

Povuci taj dim
i nestani s njim
a znas da sam fin
i imam tvoj pin
 
Zar imas i ti osjecaj tad
da svemu je kraj
da rusi se sve
u tri pizde materine

Ref.
Veliki grad, svjetla i smrad
specijalci po krovovima
neonski sjaj, nesretni kraj
sirene u oblacima
a ja secem psa

Ref.","https://tekstovi.net/2,733,45292.html"
zdPtejCw_1_7,Psihomodo Pop,Psihomodo Pop,Donna,22337,"Dan je bio kisan i tuzan
ja sam bio pristav i ruzan
kad jednog dana
pojavila se ona

Imala je divne grudi
imala je divan ten
a noge kao Lili Marlen

Ref. 2x
Donna, ou, Donna
Donna, ou, Donna
Donna, moja Donna si ti

Ref. 3x","https://tekstovi.net/2,733,42240.html"
zdPtejCw_1_8,Psihomodo Pop,Psihomodo Pop,El Diablo,3022,"Bijele koke s neba pale
cijeli grad su zatrpale
crni cilindar i srebrni stap
na grad je pao gusti mrak

Ref.
El Diablo
mrkli mrak
el Diablo
crni vrag
 
Strah i trepet ulica
strasno hladna gubica
zaspao je svatko drag
u srca usao je strah

Ref.","https://tekstovi.net/2,733,42237.html"
zdPtejCw_1_9,Psihomodo Pop,Psihomodo Pop,Frida,56769,"Frida je bila moja kraljica
(3x)
ali nitko nije bio njezin kralj

Ja sam radio
a ona je cekala
ona je cekala
da padne mrak
 
Ona se cudila
sto ne znam uzivati
ja sam joj rekao
hey honey nije to sam tak'

Pod nama su
pucali kreveti
mi smo se pucali
dok ne pukne dan

Ja sam je gadjao
al' nisam pogodio
taj joj metak
nije dovoljan

Frida ja ti nisam dida
imas dobre usi slusaj kroz njih
ti si bila moja jedina pracka
a ja sam bio samo sprih

Frida je bila moja kraljica
Frida, jesi l' cula za Lou Reeda
Frida je bila moja kraljica
ali nitko nije bio njezin kralj","https://tekstovi.net/2,733,10165.html"
zdPtejCw_1_10,Psihomodo Pop,Psihomodo Pop,Hej djevojko,10927,"Hej, djevojko
ja zelim da te
(2x)

Ref.
I love you
ja volim te
htjela ili ne
ja uzecu sve
 
Samo zelim
da te okrenem

Hej, djevojko
ja zelim da te okrenem
(2x)

Ref.","https://tekstovi.net/2,733,10164.html"
zdPtejCw_1_11,Psihomodo Pop,Psihomodo Pop,Hrvatska mora pobijediti,74,"Srce nam je dijamant
krv nam je dinamit
nas horizont je front
nas horizont je front

Ref.
Hrvatska, Hrvatska
Hrvatska, Hrvatska
Hrvatska mora pobijediti
Hrvatska mora pobijediti
 
Za slobodu
mora pobijediti
za slobodu
mora pobijediti
za slobodu

For the freedom

Ref.

Za slobodu
mora pobijediti

Za slobodu
mora pobijediti
za slobodu

Freedom","https://tekstovi.net/2,733,64990.html"
zdPtejCw_1_12,Psihomodo Pop,Psihomodo Pop,Iste stvari,3464,"Djevojke su zute
djevojke su sive
njihove su oci
doplovile na vjetru
dajte mi jednu od njih
dajte mi jednu od njih
 
Ref. 2x
Nikad necu zaliti sto
nisam posao za njim
a uvijek sam volio
iste stvari kao i ti

Poznam jednog momka
koji mrzi svijet
poznam jednog momka
koji je spreman za let

Znao sam ga kad je bio mlad
znao sam ga kad je bio laf
znam kada se smijao
znam kada je razbijao

Znam kada je plakao
znam kada se srusio
vidio sam kad je otisao
nikada se nije vratio
taj momak nisam ja
taj momak nisam ja

Ref. 2x","https://tekstovi.net/2,733,43745.html"
zdPtejCw_1_13,Psihomodo Pop,Psihomodo Pop,Ja volim samo sebe,90142,"Tamne mrlje proslosti
na tvojoj bijeloj kosulji
ves masina buducnosti
nikad nece oprati

Ja ne gutam pilule 
da bi mi bilo bolje
ja ne trebam zene
da me zadovolje
 
Ref.
Ja volim samo sebe
svog jedinog sebe
ja volim samo sebe
svog predivnog sebe

Oci bojim zeleno
usta zarko crveno
uvijek sam izgledao
kao sto sam volio

Druge ne primjecujem
ni u prolazu
sebe uvijek pozdravljam
u ogledalu

Ref.","https://tekstovi.net/2,733,8877.html"
zdPtejCw_1_14,Psihomodo Pop,Psihomodo Pop,Kad sam imao 16,23783,"Ref.
Kad sam imao sesnaest
(2x)
nisam bio sasvim svoj
kad sam upoznao tebe
(2x)
oblio me hladan znoj
 
Usta su mi se osusila
glava mi se razletila
pudlica mi je otkacila
svjetla su se zgasila

Ref.

Zjenice tamne, siroke
ruke tanke, dugacke
nije mi jasno sta mi je
ha, srce mi preskakuje

Vau, vau
mijau, mijau
(2x)

Kad sam imao sesnaest
nisam bio sasvim svoj
kad sam upoznao tebe
oblio me hladan znoj

Kad sam imao sesnaest
(6x)","https://tekstovi.net/2,733,10199.html"
zdPtejCw_1_15,Psihomodo Pop,Psihomodo Pop,Lagano padam,3325,"Lagano padam
s pocetka na kraj
zivot je gadan
volim te, znaj

Pocetak je varka
ne postoji kraj
lagano padam
u tvoj zagrljaj
 
Ref. 2x
Lagano padam, lagano padam
padam, padam milion na sat
sigurno hvataj, slomit' cu vrat

Visina je varka
nize je, znaj
stvarno se rusim
u tvoj zagrljaj

Ref. 2x","https://tekstovi.net/2,733,45293.html"
zdPtejCw_1_16,Psihomodo Pop,Psihomodo Pop,Leteci odred,9607,"Mi smo leteci odred u osvajanju visina
mi nemamo nista osim lakih krila

Ref.
I samo ako zelis mozes dobiti krila i ti
samo ako zelis mozes poletjeti
 
Mi smo ljudi sa ceste i nemamo krila
mi nemamo nista osim nasih sudbina

Ref.

Tih dana nebo je plakalo
oblaci su plovili na jug
ja sam ih samo mirno promatrao
vise nisam imao kud

","https://tekstovi.net/2,733,13818.html"
zdPtejCw_1_17,Psihomodo Pop,Psihomodo Pop,Mila,1509,"Mila, htio bih ti biti drag
oh, draga, bio bih ti mali vrag
zelio bih biti tvoga milkica liz
zelio bih biti tih lizova niz

Mila, zelim biti tvoja vila
draga, zelim biti tvoja krema kakve nema
 
Prvo me razmazi, onda me razdrazi
zatim me razmotaj, onda me progutaj

Mila, sada sam ti post'o drag
o draga, sada sam ti mali vrag
i sada kad sam post'o tvoga milkica liz
baci se na koljena i reci mi pliz

Mili, zasto moje srce cvili
mali gade, sto to tvoji prsti rade","https://tekstovi.net/2,733,57356.html"
zdPtejCw_1_18,Psihomodo Pop,Psihomodo Pop,Natrag u garazu,9387,"Sto se k vragu dogadja
glava mi se raspada
sto ste mi napravili
s cim ste me otrovali

Ne mogu se promijeniti
ne mogu se otrijezniti
ne mogu obogatiti
al' se mogu vratiti, natrag
 
U garazu
(7x)

Sto se k vragu dogadja
glava mi se raspada
ne mogu se obogatiti
al' se mogu vratiti, natrag

U garazu
(8x)

U garazu, babe
u garazu
(2x)

Yeah, ole","https://tekstovi.net/2,733,13798.html"
zdPtejCw_1_19,Psihomodo Pop,Psihomodo Pop,Nebo,10960,"Au meme mama mema mem 
(8x)

U tvojoj glavi stanuju
mali crveni patuljci, ej
svakog dana ti pricaju
au meme mama mema mem
o izgubljenoj djevojcici, ej
 
Au meme mama mema mem
(4x)

U tvojoj glavi padaju
au meme mama mema mem
zelene pahuljice
au meme mama mema mem

Ruke ti podrhtavaju
au meme mama mema mem
noge ti otkazuju
au meme mama mema mem

Zar nebo, ne voli djeciji svijet
zar ne, ne, nebo ne voli

U tvojoj glavi stanuju
au meme mama mema mem
mali crveni patuljci
au meme mama mema mem

Svakog dana ti pricaju
au meme mama mema mem
o izgubljenoj djevojcici
au meme mama mema mem

Au meme mama mema mem
(16x)

Mem mem mama mema mem
(4x)

Au meme mama mema mem
(2x)

Mem mem mama mema mem
(2x)

Mem mem
(5x)

Au meme mama mema mem","https://tekstovi.net/2,733,13689.html"
zdPtejCw_1_20,Psihomodo Pop,Psihomodo Pop,Nema nje (zauvijek),17702,"Stan ima cetri sobe
sve, sve su sive
u mojoj glavi nastaju slike
cudne, ljigave i gljive

Praznina u zelucu
mjesaju se kiseline
gledam kroz mutno staklo
vani je inje
 
Ref. 2x
Nema nje, ouo (3x)
zaspala je zauvijek

Ja sam crna haljina
iz crne duge dolazim
molim se za miran put
moram da te uhvatim

Ti znas da sam pakao
zalijepio na zidove
na hladne male
crvene tapeta, zidove

Ref. 4x","https://tekstovi.net/2,733,13801.html"
zdPtejCw_1_21,Psihomodo Pop,Psihomodo Pop,Ona ludo pati,4311,"Kisno je vrijeme
kisa pada k'o da
nikad nece stati
oblaci su nisko
ona ludo pati

Stvari joj se sele
ona guta kolace
i cita prljave
francuske novele
i nikad nece stati
ona ludo pati

Ref.
Ona ludo pati
u casu depresije
bjeze joj kolaci
da se ne samoubije
ona ludo pati
ona ludo pati

Oblaci su nisko
zasto ne idemo u disco
ona guta tablete
odselila kod tete
i nikad nece stati
ona ludo pati

Ref.","https://tekstovi.net/2,733,47216.html"
