Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
CXljSNTE_1_0,Slavonske Lole,Cijeli zivot njeno ime,"https://tekstovi.net/2,532,35764.html",11030,[Vlado Tančik],[Franjo Ivić],2001.0,Malena,
CXljSNTE_1_1,Slavonske Lole,Crne oci,"https://tekstovi.net/2,532,24576.html",27781,,,1994.0,Crne Oči & Tamburo Miljenice,4:06
CXljSNTE_1_2,Slavonske Lole,Di se skrila Slavonija,https://lyricstranslate.com/en/slavonske-lole-di-se-skrila-slavonija-lyrics.html,10669,[Krešimir Bogutovac Stipa],[Krešimir Bogutovac Stipa],2003.0,Sve Je Ona Meni,
CXljSNTE_1_3,Slavonske Lole,Duša bećarska,https://lyricstranslate.com/en/du%C5%A1a-be%C4%87arska-batchelors-soul.html,34177,"[Miroslav Škoro, Marina Soldat]",[Franjo Ivić],,Ledina,3:15
CXljSNTE_1_4,Slavonske Lole,"Ej, da je kao nekad",https://cuspajz.com//tekstovi-pjesama/pjesma/slavonske-lole/ej-da-je-kao-nekad.html,4270,[Ivica Grujo Ićo],[Ivica Grujo Ićo],1997.0,"Viruj Mi, Dado",3:20
CXljSNTE_1_5,Slavonske Lole,"Ej Kato, moje zlato",https://cuspajz.com//tekstovi-pjesama/pjesma/slavonske-lole/ej-kato-moje-zlato.html,31050,[Krešimir Bogutovac Stipa],[Krešimir Bogutovac Stipa],1997.0,"Viruj Mi, Dado",2:51
CXljSNTE_1_6,Slavonske Lole,Ispod mjeseca,"https://tekstovi.net/2,532,36437.html",3931,,,,,
CXljSNTE_1_7,Slavonske Lole,Ja se vozim brzo,"https://tekstovi.net/2,532,52899.html",1994,,,2009.0,Zlatna Kolekcija,
CXljSNTE_1_8,Slavonske Lole,Kad procvatu jabuke,https://lyricstranslate.com/en/slavonske-lole-kad-procvatu-jabuke-lyrics.html,121150,[ivica pepelko],,,Ledina,3:03
CXljSNTE_1_9,Slavonske Lole,"Kad sam trijezan, svašta govorim",https://lyricstranslate.com/en/slavonske-lole-kad-sam-trijezan-sva%C5%A1ta-govorim-lyrics.html,2097,,,,,
CXljSNTE_1_10,Slavonske Lole,Ledina,"https://tekstovi.net/2,532,36435.html",15553,[Miroslav Škoro],[Aleksandar Homoky],2006,Ledina,3:05
CXljSNTE_1_11,Slavonske Lole,Ljubavi moja jedina,"https://tekstovi.net/2,532,35765.html",10868,,,,,
CXljSNTE_1_12,Slavonske Lole,Majko stara hvala ti za sve,"https://tekstovi.net/2,532,61553.html",2650,,,,,
CXljSNTE_1_13,Slavonske Lole,"Mjeseče, bekrijo",https://cuspajz.com//tekstovi-pjesama/pjesma/slavonske-lole/mjesece-bekrijo.html,15354,[Goran Živković],[Goran Živković],1997.0,"Viruj Mi, Dado",3:04
CXljSNTE_1_14,Slavonske Lole,Moj bagreme,https://cuspajz.com//tekstovi-pjesama/pjesma/slavonske-lole/moj-bagreme.html,18162,[Ivica Grujo Ićo],[Ivica Grujo Ićo],1997.0,"Viruj Mi, Dado",3:00
