Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
J8Cff2I3_1_0,Tereza Kesovija,"Andjele moj, moj andjele",https://lyricstranslate.com/en/andjele-moj-moj-andjele-my-angel-my-angel.html,944,,,1976.0,"Anđele Moj, Moj Anđele",
J8Cff2I3_1_1,Tereza Kesovija,Avantura (+Miro Ungar),https://lyricstranslate.com/en/avantura-miro-ungar-adventure-miro-ungar.html,139,,,,Single 1972.,
J8Cff2I3_1_2,Tereza Kesovija,Balada o zelenom kralju,https://lyricstranslate.com/en/balada-o-zelenom-kralju-green-king-ballad.html,3005,[Margit Antauer],[Đelo Jusić],,Moja Posljednja I Prva Ljubavi,3:20
J8Cff2I3_1_3,Tereza Kesovija,Bilo je lijepo,https://cuspajz.com//tekstovi-pjesama/pjesma/tereza-kesovija/bilo-je-lijepo.html,8093,[Margit Antauer],[Đelo Jusić],,Moja Posljednja I Prva Ljubavi,3:00
J8Cff2I3_1_4,Tereza Kesovija,"Bit će bolje, znam.",https://lyricstranslate.com/en/bit-%D1%81e-bolje-znam-itll-be-better-i-know.html,3294,,,1999.0,Samo Malo Intime,
J8Cff2I3_1_5,Tereza Kesovija,"Bože, kako te volim",https://lyricstranslate.com/en/bo%C5%BEe-kako-te-volim-god-how-i-love-you.html,5327,[Margit Antauer],[Domenico Modugno],2007.0,Zaustavi Vrijeme,3:35
J8Cff2I3_1_6,Tereza Kesovija,Ćakule o siromajima,https://lyricstranslate.com/en/%C4%87akule-o-siromajima-gossip-about-poor.html,1947,[Zdenko Runjić],[Zdenko Runjić],2002,Kronologija,3:50
J8Cff2I3_1_7,Tereza Kesovija,Con sordino,https://lyricstranslate.com/en/con-sordino-con-sordino.html-0,2000,[Margit Antauer],[Đelo Jusić sr.],1999,Gdje ima srca tu sam i ja,3:02
J8Cff2I3_1_8,Tereza Kesovija,Da li su me voljeli ?,https://lyricstranslate.com/en/tereza-kesovija-da-li-su-me-voljeli-lyrics.html,4558,[Arsen Dedić],[Arsen Dedić],,To Sam Ja,
J8Cff2I3_1_9,Tereza Kesovija,Da sam te prije srela,https://lyricstranslate.com/en/da-sam-te-prije-srela-had-i-met-you-earlier.html,7642,[Arsen Dedić],[Đelo Jusić sr.],,Stare ljubavi LP (1976),
J8Cff2I3_1_10,Tereza Kesovija,"Dalmacijo, sreco moja (feat. Ivo Pattiera)","https://tekstovi.net/2,837,63950.html",225,,,,,
J8Cff2I3_1_11,Tereza Kesovija,Dalmatinko,https://lyricstranslate.com/en/tereza-kesovija-dalmatinko-lyrics.html,7041,[Jakša Fiamengo],[Zdenko Runjić],1995,Svjetiljka djetinjstva,
J8Cff2I3_1_12,Tereza Kesovija,Divlja strast,https://lyricstranslate.com/en/dzika-nami%C4%99tno%C5%9B%C4%87-lyrics.html,3269,,,,Spomenar / Yearbook,2:55
J8Cff2I3_1_13,Tereza Kesovija,Dok istina postoji,https://cuspajz.com//tekstovi-pjesama/pjesma/tereza-kesovija/dok-istina-postoji.html,2849,,,,,
J8Cff2I3_1_14,Tereza Kesovija,Dubrovačka zvona,https://lyricstranslate.com/en/dubrova%C4%8Dka-zvona-bells-dubrovnik.html,9291,[Drago Britvić],[Đelo Jusić sr.],1995,To sam ja,
J8Cff2I3_1_15,Tereza Kesovija,"Forza, maestro","https://tekstovi.net/2,837,63102.html",263,,,,,
J8Cff2I3_1_16,Tereza Kesovija,"Gdje ima srca, tu sam i ja",https://lyricstranslate.com/en/gdje-ima-srca-tu-sam-i-ja-%D0%B3%D0%B4%D0%B5-%D0%B8%D0%BC%D0%B0-%D1%81%D1%80%D1%86%D0%B0-%D1%82%D1%83-%D1%81%D0%B0%D0%BC-%D0%B8-%D1%98%D0%B0.html,5366,[Margit Antauer],[Tereza Kesovija],,"Gdje Ima Srca, Tu Sam I Ja",2:38
J8Cff2I3_1_17,Tereza Kesovija,Gitara romana,"https://tekstovi.net/2,837,64818.html",148,,,,,
J8Cff2I3_1_18,Tereza Kesovija,Izlazi sunce,https://lyricstranslate.com/en/tereza-kesovija-izlazi-sunce-lyrics.html,589,[Željko Sabol],[Vangelis],1997,Kad jednog dana prisjetim se svega,
J8Cff2I3_1_19,Tereza Kesovija,Gledam moje Konavle,https://lyricstranslate.com/en/tereza-kesovija-gledam-moje-konavle-lyrics.html,489,,,,,
