,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Album_5_diskografija,Album_6_diskografija
0,Wm5tG4b5_1_0,Thompson,Thompson,Andjelina,5084,"Zvali su je dio neba
a u njega nikad ni ne gleda
dodir joj je kao plamen
koji kaze zelim da te imam

Zelim da mi pijes usne
kao vino tijelom i dusom
vito tilo cinilo bi cuda
sva posada za tobom je luda
 
Ref. 2x
Andjelina, vrati se
u nas kvart
o, Boze, pusti nas
da letimo kao nekad

Pogledom bi rekla sta bi htjela
glasnice ne bi trosila
o toj curi mog'o bih da pricam
kao otac sva prokleta stiva

Slika mi je pred ocima
o, sudbino, pusti da uzivam
zelio bih da odem sve do neba
gdje je moja Andjelina

Ref. 6x

Kao nekad, kao nekad","https://tekstovi.net/2,440,53393.html",Perkovic Marko-thompson,Anđelina,,Moli mala,"Zvali su je dio neba,
a u njega nikad ni ne gleda.
Dodir joj je kao plamen
koji kaže ""želim da te imam"".
Želim da mi piješ usne
kao vino tijelom i dušom,
vito tilo činilo bi čuda,
sva posada za tobom je luda.. Ref. x2
Anđelina, vrati se u naš kvart,
o, Bože, pusti nas da letimo kao nekad.. Pogledom bi rekla šta bi htjela,
glasnice ne bi trošila,
o toj curi mog'o bih da pričam
kao otac sva prokleta štiva.
Slika mi je pred očima,
o, sudbino, pusti da uživam,
želio bih da odem sve do neba,
gdje je moja Anđelina.. Ref. x6
Kao nekad, kao nekad",,https://lyricstranslate.com/en/thompson-marko-perkovi%C4%87-an%C4%91elina-lyrics.html,['Thompson'],https://diskografija.com/pjesma/andelina-1484.htm,Anđelina,,,,,,,,,
1,Wm5tG4b5_1_1,Thompson,Thompson,Anica Kninska Kraljica,16828,"Zbog Anice i bokala vina
zapalit cu Krajinu do Knina

Zapalit cu dva, tri srpska staba
da ja nisam dolazio djaba

           Ref. 3x
Hej, Anice Kninska Kraljice 
 
Zbog Anice i bokala vina
zapalit cu Krajinu do Knina

Ej, Hrvati sjetimo se Knina
Hrvatskoga kralja Zvonimira

          Ref. 3x

          Ref. 3x","https://tekstovi.net/2,440,43778.html",Perkovic Marko-thompson,Anica - Kninska kraljica,anica - kninska kraljica,Vrijeme škorpiona,"Zbog Anice i bokala vina,
1
zapalit ću Krajinu do Knina
Zapalit ću dva, tri srpska štaba,
da ja nisam dolazio džaba.. Ej, Anice kninska kraljice,
Ej, Anice kninska kraljice,
Ej, Anice kninska kraljice.. Zbog Anice i bokala vina,
Zapalit ću Krajinu do Knina
Ej, Hrvati sjetimo se Knina,
Hrvatskoga kralja Zvonimira.. Ej, Anice kninska kraljice,
Ej, Anice kninska kraljice.","Because of Anica and the jug of wine
I'll burn Krajina to Knin
I'll burn, two, three serbian headquarters
So that I wasn't coming in vain. Hey Anica, queen of Knin
Hey Anica, queen of Knin
Hey Anica, queen of Knin. Because of Anica and the jug of wine
I'll burn Krajina to Knin
Hey Croats let's remember Knin
Croatian King Zvonimir. Ej, Anice kninska kraljice,",https://lyricstranslate.com/en/anica-kninska-kraljica-anica-kninska-kraljica.html,['Thompson'],https://diskografija.com/pjesma/anica-kninska-kraljica-1500.htm,Anica - Kninska kraljica,1995 - Vrijeme škorpiona,2003 - Sve najbolje 1991-2003,2009 - Druga strana,,,,,,
2,Wm5tG4b5_1_2,Thompson,Thompson,Bez ljubavi,3089,"Ref.
Udat ces se bez ljubavi
da ti dusa zaboravi
kako smo se ludo voljeli

Udat ces se, al' bez srece
to ti, draga, pomoc nece
ja sam bio tvoja sudbina
a ti moja ljubav jedina
 
Kad se probudis tu noc
i moje ime zaustis
kad te zelja razvali

Okrenut ces moj broj
ali javit ce se stroj -
""Hvala sto ste nazvali""

Rekla si mi idi
a sad rezes vene
ali to je uzalud

Ref. 2x","https://tekstovi.net/2,440,56686.html",,Bez ljubavi,bez ljubavi,,"(Pripjev)
Udat ćeš se bez ljubavi
Da ti duša zaboravi
Kako smo se ludo voljeli.
Udat ćeš se, al' bez sreće.
To ti draga pomoć neće.
Ja sam bio tvoja sudbina,
A ti moja ljubav jedina.. Kad se probudiš tu noć
I moje ime zaustiš
Kad te želja razvali.
Okrenut ćeš moj broj,
Ali javit će se stroj -
""Hvala što ste nazvali"".
Rekla si mi idi, a sad režeš vene
Ali to je uzalud.. (Pripjev)","You'll marry without love
that your soul will forget
How madly we loved each other. You'll marry
But without happiness
It won't help you my dear. I was your destiny
and you were my only love. When you wake up that night
and say my name
when desire takes over you. You'll pick my number
But the machine will answer
''thank you for calling''
You told me to go, and now you cut your veins
but that's in vain",https://lyricstranslate.com/en/bez-ljubavi-bez-ljubavi.html,['Thompson'],https://diskografija.com/pjesma/bez-ljubavi-1535.htm,Bez ljubavi,,,,,,,,,
3,Wm5tG4b5_1_3,Thompson,Thompson,Bijeli golubovi,69652,"Bijeli kriz opomenu salje
putnice stani, ni koraka dalje
ovdje je palo golubova jato
a bili su za dom, bili samo za to

Ref.
Pomoli se, onda dalje kreni
na ovom su mjestu pali golubovi bijeli
s ognjem pakla tu su se sreli
ostala su polomljena krila
a bili su za dom spremni
 
Ref.

S ognjem pakla tu su se sreli
ostala su polomljena krila
a bili su za dom spremni","https://tekstovi.net/2,440,12070.html",,Bijeli golubovi,,,"Bijeli križ opomenu šalje
putniče stani, ni koraka dalje
ovdje je palo golubova jato
a bili su za dom, bili samo za to. Pomoli se, onda dalje kreni
na ovom su mjestu pali golubovi bijeli
s ognjem pakla tu su se sreli
ostala su polomljena krila
a bili su za dom spremni. S ognjem pakla tu su se sreli
ostala su polomljena krila
a bili su za dom spremni",,https://lyricstranslate.com/en/thompson-marko-perkovi%C4%87-bijeli-golubovi-lyrics.html,,,,,,,,,,,,
4,Wm5tG4b5_1_4,Thompson,Thompson,Bili brode moj,23136,"Sva sam mora 
oceane ja preplovio
sve sam brige 
i probleme prepolovio

Samo da bi tebi duso 
prsten donio
priko praga svu u bilom 
tebe prenio
 
Pisala si da me volis 
da si moja ti
i da ces me za zivota 
uvijek voljeti

A drugom si ruku dala 
mene izdala
i u srce svu od bola 
strijelu zabila

Ref.
Dabogd' puka na dva dila 
bili brode moj
zbog tebe me ostavila 
moja draga, joj

Dabogda se zapalia
bili brode moj
i sa tobom potonia
cili zivot moj

Neka ti je, nek' ti bude 
oprastam ti sve
kad zivota vise nema 
nema za mene

Svoje bitke predao sam 
hladnim morima
pa neka mi ona budu 
vjecna postelja

Ref. 2x","https://tekstovi.net/2,440,11971.html",,Bili brode moj,,,"Sva sam mora, oceane ja preplovio,
Sve sam brige i probleme prepolovio,
Samo da bih tebi dušo prsten donio,
Priko praga svu u bilom tebe prenio.. Pisala si da me voliš, da si moja ti,
I da ćeš me za života uvijek voljeti,
A drugom si ruku dala, mene izdala,
I u srce svu od bola strilu zabila.. Da Bog puka na dva dila, bili brode moj,
Zbog tebe me ostavila moja draga joj,
Da bog da se zapalija, bili brode moj,
I sa tobom potonija cili život moj.. Neka ti je, nek ti bude, opraštam ti sve,
Kad života više nema, nema za mene,
Svoje bitke predao sam, hladnim morima,
Pa neka mi ona budu vječna postelja.. Da Bog puka na dva dila, bili brode moj,
Zbog tebe me ostavila moja draga joj,
Da bog da se zapalia, bili brode moj,
I sa tobom potonija cili život moj.",,https://lyricstranslate.com/en/thompson-marko-perkovi%C4%87-bili-brode-moj-lyrics.html,,,,,,,,,,,,
5,Wm5tG4b5_1_5,Thompson,Thompson,Bludnica,11897,"Ni Bog ne bi mogao
grijehe ti oprostiti
samo ja, sto oduvijek gubim
samo ja, sto prokleto te ljubim
prastam ti sve

A ti idi grijesnice
svoje grijehe suzama operi
ali vrati mi se i budi ista
jer ja sam ti oprostio sve
 
Ref.
Eeeej stani, stani bludnice
eeeej stani, jer ja sam ti 
eee oprostio sve

I opet cu ludjak 
o tebi pjesme pjevati
i gledati te dugo u noc
jer ni pijan zivjeti ne mogu 
a ni voljeti te, prastam ti sve

Ref. 2x","https://tekstovi.net/2,440,31563.html",,Bludnica,,Vrijeme škorpiona,"Ni Bog ne bi mogao
grijehe ti oprostiti
samo ja, što oduvijek gubim
samo ja, što prokleto te ljubim
praštam ti sve. A ti idi griješnice
svoje grijehe suzama operi
ali vrati mi se i budi ista
jer ja sam ti oprostio sve. Ref.
Eeeej stani, stani bludnice
eeeej stani, jer ja sam ti
eee oprostio sve. I opet ću luđak
o tebi pjesme pjevati
i gledati te dugo u noć
jer ni pijan živjeti ne mogu
a ni voljeti te, praštam ti sve. Ref. 2x",,https://lyricstranslate.com/en/thompson-marko-perkovi%C4%87-bludnica-lyrics.html,['Thompson'],https://diskografija.com/pjesma/bludnica-1499.htm,Bludnica,,,,,,,,,
6,Wm5tG4b5_1_6,Thompson,Thompson,Bog i Hrvati,47586,"Udijelio Svevisnji narodu mom
najljepsu zemlju pod nebom
prosulo sunce cudesni sjaj
na zemlju sto bjese k'o raj

Ooo, zemlja k'o raj
ooo, cudesni sjaj
 
Prvog nam kralja pomaza Bog
i dao mu blagoslov svoj
da vodi svoj narod kroz trnje i led 
zakon da vlada i red

Ooo, trnje i led
ooo, zakon i red

Ref.
A narod k'o narod lako ga prevari zlo
i komad po komad on gubi to sveto tlo
Svevisnjeg bijes, puce k'o grom
i zakloni Sunce sto sjalo je narodu mom
Svevisnjeg bijes, puce k'o grom
i nikada, nikada mira u narodu mom
narodu mom

Kroz bespuca proslosti trpise bol
i putem ih odvede zlo
on ceka da cuje molitve glas
da udijeli nadu i spas

Ref. 

Macevi su sjekli andjele i svece
bune su se gušile krikovima djece
poslanicko ropstvo pet stoljeca tuge
boljsevicka neman radjala je sluge

Palile su silne vatre domove i sela
gonilo je more kamen prkos zemlja cijela
probodenih srca i nevine krvi
koji nisu krivi padali su prvi
prodane duse za lazni sjaj
prolise suze zemlji k'o raj

Gospine suze brisao Bog
ne placi kraljice naroda mog
nek' odbace zlo u duboki vir
vratit cu zemlju i dat cu im mir

Ref. 

Uslisi molitve narodu Bog
ugasi vatru i dim
vrati joj staru slavu i sjaj 
zemlji sto bjese k'o raj

Al' opet se nad nas nadvilo zlo
vreba i ceka svoj cas
cuje li narod povijesti glas
samo u Bogu je spas","https://tekstovi.net/2,440,39105.html","Marko Perkovic Thompson, Tiho Orlic",Bog i Hrvati,God and the Croats,Ora et Labora (2013),"Udijelio Svevišnji narodu mom
1
Najljepšu zemlju pod nebom
Prosulo sunce čudesni sjaj
Na zemlju što bješe k'o Raj. Ooo, zemlja k'o Raj
Ooo, čudesni sjaj. Prvog nam kralja pomaza Bog
I dao mu blagoslov svoj
Da vodi svoj narod kroz trnje i led
Zakon da vlada i red. Ooo, trnje i led
Ooo, zakon i red. [Refren]
A narod k'o narod, lako ga prevari zlo
I komad po komad on gubi to sveto tlo. Svevišnjeg bijes puče k'o grom
I zakloni Sunce što sjalo je narodu mom
Svevišnjeg bijes puče k'o grom
I nikada, nikada mira u narodu mom
narodu mom. Kroz bespuća prošlosti trpiše bol
I putem ih odvede zlo
On čeka da čuje molitve glas
Da udijeli nadu i spas. [Refren]. ""Convertamini...Convertamini...
In Domino salus popule convertamini
In Domino salus popule convertamini"". Mačevi su sjekli anđele i svece
Bune su se gušile krikovima djece
Osmanlijsko ropstvo, pet stoljeća tuge
Boljševička neman rađala je sluge. Palile su silne vatre, domove i sela
Gorjelo je more, kamen, brda, zemlja cijela
Probodenih srca i nevine krvi
Koji nisu krivi padali su prvi. Prodane duše za lažni sjaj
Proliše suze zemlji k'o Raj. ""Benedictus Sit Dominus Deus...
Benedictus Sit Dominus Deus"". Gospine suze brisao Bog
Ne plači kraljice naroda mog
Nek' odbace zlo u duboki vir
Vratit ću zemlju i dat ću im mir. [Refren]. Usliši molitve narodu Bog
Ugasi vatru i dim
Vrati joj staru slavu i sjaj
Zemlji sto bješe k'o Raj. Al' opet se nad nas nadvilo zlo
Vreba i čeka svoj čas
Čuje li narod povijesti glas
Samo u Bogu je spas","The Most High has granted my nation
The most beautiful land beneath the sky
The sun has spilled out its miraculous shine
Onto the land that was like Heaven. Ohh, a land like Heaven
Ohh, miraculous shine. Our first king was anointed by God
And He gave him his blessing
To lead his nation through thorns and ice
To govern the law and order. Ohh, thorns and ice
Ohh, law and order. Chorus
And a nation like a nation that evil easily deceives
And piece by piece it looses that holy land. The fury of the Most High, cracks like thunder
And blocks the Sun that shined on my nation
The fury of the Most High, cracks like thunder
And there will never be, never be, peace in my nation
My nation. Through the wasteland of the pain they suffered in the past
And by the path that evil leads them down
He waits to hear a voice of prayer
To grant hope and redemption. Chorus.. Turn back... turn back...
Salvation has turned you back to the Lord, people
Salvation has turned you back to the Lord, people. The swords have cut the angels and the saints
The mutinies have muffled the screams of the children
Ottoman slavery five centuries of grief
The Bolshevik monster gave birth to servants. Mighty fires burned down homes and villages
The sea, stone, hills, and the whole land burned
Of pierced hearts and innocent blood
Those who are not guilty fell first. Souls were sold for a false shine
Tears were spilled in the land like Heaven. Blessed be the Lord God
Blessed be the Lord God. God wiped away the Lady's tears
Don't cry, queen of my nation
Let them cast evil into the deep whirlpool
I will return the land and give peace to them. Chorus.. God heard the prayers of the nation
He extinguishes the fire and the smoke
He returns its old glory and shine
To the land that was like Heaven. But evil hangs over us again
It lies in ambush and waits for its hour
Do the people hear the voice of history
Salvation is in God alone",https://lyricstranslate.com/en/bog-i-hrvati-god-and-croats.html,['Thompson'],https://diskografija.com/pjesma/bog-i-hrvati-16327.htm,Bog i Hrvati,,,,,,,,,
7,Wm5tG4b5_1_7,Thompson,Thompson,Bojna Cavoglave,22633,"Za dom spremni

U Zagori na izvoru rijeke Cikole
stala braca da obrane nase domove
stala braca da obrane nase domove

Stoji Hrvat do Hrvata, mi smo braca svi
necete u Cavoglave dok smo zivi mi 
necete u Cavoglave dok smo zivi mi
 
Puce tomson, kalasnjikov a i zbrojevko
baci bombu, goni bandu preko izvora
baci bombu, goni bandu preko izvora

Korak naprijed, puska gotovs, i uz pjesmu svi
za dom, braco, za slobodu, borimo se mi
za dom, braco, za slobodu, borimo se mi

Cujte srpski dobrovoljci, bando, cetnici
stici ce vas nasa ruka i u Srbiji
stici ce vas nasa ruka i u Srbiji

Stici ce vas Bozija pravda, to vec svatko zna
sudit ce vam bojovnici iz Cavoglava
sudit ce vam bojovnici iz Cavoglava

Slusajte sad poruku od Svetog Ilije 
necete u Cavoglave, niste ni prije 
necete u Cavoglave, niste ni prije

Oj Hrvati, braco mila iz Cavoglava
Hrvatska vam zaboravit nece nikada
Hrvatska vam zaboravit nece nikada","https://tekstovi.net/2,440,53861.html",,,,,,,,['Thompson'],https://diskografija.com/pjesma/bojna-cavoglave-1488.htm,Bojna Čavoglave,1992 - Moli mala - remix,2001 - The best of,2003 - Sve najbolje 1991-2003,2009 - Druga strana,,,,,
8,Wm5tG4b5_1_8,Thompson,Thompson,Bosna,79572,"Pjesmo moja, pjevat' cu te tamo
tamo gdje je nasa loza pocela
staroj majci kolijevci Hrvata
gdje se nasa povijest krvlju pisala

Istina o Bosni kroz kanjone tece
i mnoge njene tajne kriju stoljeca
od davnina na nju svak' jurisa
k'o da nije dosta snjegova i kisa
 
Sa svih strana svijeta
dolazile tvrde sile mraka
k'o da narod tamo gine iz meraka
jucer svetinja, danas raspeta
Bosna ponosna, ranjena

Ref.
Tamo gdje sunce putuje 
vjetar nosi glas
Bosna zove nas
tamo gdje sunce putuje
tu me cekaj ti
stara ljubavi

Kreni preko planina
starom stazom djedova
Bosna ce ti reci sve

Gledaj lijepu Lasvansku dolinu
uvijek su je nasa zvona budila
zlatna polja, nasu Posavinu
grobovi su puni njenih sinova

Ref. 

Odakle nam prezime

Dala Bosna Tomislava kralja
prvog kralja od loze Hrvata
a kraljica dobra bjese Katarina
u narodu zbog nje nosi se crnina

Sred Duvanjskog polja siroka i ravna
pisala se tamo nasa povijest slavna
kada Bosni pogledas u lice
u suzi joj vidis drinske mucenice

Cuvali te, Bosno, usamljeni vuci
slavio ih narod, zvali se hajduci
a Srebrenu Bosnu sacuvase vjerom
franjevacka braca i dusom i tijelom

Bosno moja, cija li si sada
boli li te danas vise nego prije
tko to misli da te ima
da sa tobom vlada
njega povijest nista naucila nije

Jucer svetinja, danas raspeta
Bosna ponosna, ranjena

Ref.","https://tekstovi.net/2,440,38979.html",Marko Perkovic Thompson,Bosna,,,"Pjesmo moja, pjevat ću te tamo
Tamo gdje je naša loza počela
Staroj majci kolijevci Hrvata
Gdje se nasa povijest krvlju pisala
Istina o Bosni kroz kanjone teče
I mnoge njene tajne kriju stoljeća. Od davnina na nju svak' juriša
K'o da nije dosta snjegova i kiša. Sa svih strana svijeta dolazile tvrde sile mraka
K'o da narod tamo gine iz meraka. Jučer svetinja, danas raspeta
Bosna ponosna, ranjena. Tamo gdje sunce putuje
Vjetar nosi glas, Bosna zove nas
Tamo gdje sunce putuje
Tu me čekaj ti, stara ljubavi. Kreni preko planina, starom stazom djedova
Bosna će ti reći sve, odakle nam prezime. Gledaj lijepu Lašvansku dolinu
Uvijek su je naša zvona budila
Zlatna polja, našu Posavinu
Grobovi su puni njenih sinova. Sa svih strana svijeta dolazile tvrde sile mraka
K'o da narod tamo gine iz meraka. Jučer svetinja, danas raspeta
Bosna ponosna, ranjena. Tamo gdje sunce putuje
Vjetar nosi glas, Bosna zove nas
Tamo gdje sunce putuje
Tu me čekaj ti, stara ljubavi. Kreni preko planina, starom stazom djedova
Bosna će ti reći sve, odakle nam prezime. Dala Bosna Tomislava kralja
Prvog kralja od loze Hrvata
A kraljica dobra bješe Katarina
U narodu zbog nje nosi se crnina
Sred Duvanjskog polja široka i ravna
Pisala se naša povijest slavna. Kada Bosni pogledaš u lice
U suzi joj vidiš drinske mučenice
Čuvali te, Bosno, usamljeni vuci
Slavio ih narod, zvali se hajduci
A Srebrnu Bosnu sačuvaše vjerom
Franjevačka braća i dušom i tijelom. Bosno moja, čija li si sada
Boli li te danas više nego prije
Tko to misli da te ima, da sa tobom vlada
Njega povijest ništa naučila nije. Jučer svetinja, danas raspeta
Bosna ponosna, ranjena. Tamo gdje sunce putuje
Vjetar nosi glas, Bosna zove nas
Tamo gdje sunce putuje
Tu me čekaj ti, stara ljubavi. Tamo gdje sunce putuje
Vjetar nosi glas, Bosna zove nas
Tamo gdje sunce putuje
Tu me čekaj ti, stara ljubavi. Kreni preko planina, starom stazom djedova
Bosna će ti reći sve, odakle nam prezime",,https://lyricstranslate.com/en/thompson-bosna-lyrics.html,['Thompson'],https://diskografija.com/pjesma/bosna-16331.htm,Bosna,,,,,,,,,
9,Wm5tG4b5_1_9,Thompson,Thompson,Budi uz mene,2917,"Na obali mora ja sjedim
a ono se budi
lagano osjecam da pjeni
pustos u meni

Ta beskrajnost pusta
vodi me k tebi
cekam te

Ref. 2x
Hej, budi uz mene
pokazi mi te oci snene
i usne rumene
probudi se, pogledaj u nebo
i pozeli me, zauvijek cu biti tu","https://tekstovi.net/2,440,56681.html",,Budi uz mene,,Moli mala,"Na obali mora ja sjedim
A, ono se budi
Lagano osjećam da pjeni
Pustoš u meni. Ta beskrajnost pusta
Vodi me k tebi
Čekam te. Ref.
Heej, budi uz mene,
Pokaži mi te oči snene,
I usne rumene,
Probudi se, pogledaj u nebo,
I poželi me, zauvijek ću biti tu. (x2)",,https://lyricstranslate.com/en/thompson-marko-perkovi%C4%87-budi-uz-mene-lyrics.html,['Thompson'],https://diskografija.com/pjesma/budi-uz-mene-1492.htm,Budi uz mene,,,,,,,,,
