Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
rLIJvpNx_1_0,Tony Cetinski,23. Prosinac,https://lyricstranslate.com/en/23-prosinac-december-23d.html,385501,[G Mineo],,1995,Ljubav i bol,
rLIJvpNx_1_1,Tony Cetinski,Ako To Se Zove Ljubav,https://lyricstranslate.com/en/ako-se-zove-ljubav-if-called-love.html,255578,[Nenad Ninčević],[Miro Buljan],2008,Ako to se zove ljubav,5:02
rLIJvpNx_1_2,Tony Cetinski,Andrea,"https://tekstovi.net/2,135,31540.html",17383,[Stevo Cvikić],[Boris Novković],1992,Ljubomora I,3:28
rLIJvpNx_1_3,Tony Cetinski,Blago Onom Tko Te Ima,https://lyricstranslate.com/en/blago-onom-ko-te-ima-one-who-has-you-lucky.html,149907,"[Miro Buljan, Nenad Ninčević]","[Miro Buljan, Nenad Ninčević]",2003,Hrvatski Radijski Festival 2003,3:25
rLIJvpNx_1_4,Tony Cetinski,Blizanac,https://lyricstranslate.com/en/blizanac-twin.html,1101,"[Marko Vojvodic, Aleksandra Milutinovic]",,,Kao U Snu,3:53
rLIJvpNx_1_5,Tony Cetinski,Bolji svijet,"https://tekstovi.net/2,135,44794.html",13091,,,,,
rLIJvpNx_1_6,Tony Cetinski,Budi uz mene,https://lyricstranslate.com/en/budi-uz-mene-stay-my-side.html,216148,"[Miro Buljan, Nenad Ninčević]","[Miro Buljan, Nenad Ninčević]",2004,Hrvatski Radijski Festival 2004,3:15
rLIJvpNx_1_7,Tony Cetinski,Casanova,https://cuspajz.com//tekstovi-pjesama/pjesma/tony-cetinski/casanova.html,38311,,,1994.0,Ja Sam Zaljubljen,5:04
rLIJvpNx_1_8,Tony Cetinski,Čekam te,https://lyricstranslate.com/en/%C4%8Dekam-te-im-waiting-you.html-0,4586,[Amil Lojo],,,Kao U Snu,4:19
rLIJvpNx_1_9,Tony Cetinski,Čovjek od leda,https://lyricstranslate.com/en/covjek-od-leda-man-ice.html,121745,[Nenad Ninčević],[Miro Buljan],2005,Budi uz mene,3:44
