Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Producer_discogs,Composed By_discogs,Featuring_discogs,Edited By_discogs,Backing Vocals_discogs,Harmonica_discogs,Woodwind [Gajdile]_discogs,Woodwind [Sopile]_discogs,Bass_discogs,Cello_discogs,Keyboards_discogs,Synth_discogs,Violin_discogs,Drums_discogs,Electric Guitar_discogs,Vocals_discogs,Arranged By [Violins]_discogs,Recorded By_discogs,Mixed By_discogs,Programmed By [Computer]_discogs,Flute_discogs,Acoustic Guitar_discogs,Strings_discogs,Written-By_discogs,Programmed By_discogs,Drum_discogs,Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Tony Cetinski,Tony Cetinski,Nemoj Se Sa Mnom Igrati,3:45,Diana Alebić,Đorđe Novković,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Ti Si Moja Desna Ruka,3:42,Milorad Petrić,Zrinko Tutić,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Srce Nikad Ne Laže,2:28,Tony Cetinski,Peter Udell,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Dolina Našeg Djetinjstva,2:40,Đorđe Novković,Đorđe Novković,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,"Ruže, Vino I Pjesma Za Nju",3:08,Maja Maria Županović,Zrinko Tutić,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Nema Problema,2:53,Maja Maria Županović,Zrinko Tutić,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Ne Plači Marija,3:46,Željko Pavičić,Đorđe Novković,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Baby Blue,3:25,Diana Alebić,Đorđe Novković,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Što Te Mama Pušta Samu,3:39,Diana Alebić,Zrinko Tutić,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Tvoje Suze,3:30,Diana Alebić,Đorđe Novković,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Lako Je Reći Adio,3:38,Maja Maria Županović,Zrinko Tutić,Srce Nikad Ne Laže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Srce Nikad Ne Laže,nan-Srce Nikad Ne Laže
Tony Cetinski,Tony Cetinski,Ljubomora,3:22,,,Ljubomora,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0-Ljubomora,1992.0-Ljubomora/nan-Ljubomora
Tony Cetinski,Tony Cetinski,Tebe Ne Bi Mijenjao,4:04,,,Ljubomora,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.0-Ljubomora,1992.0-Ljubomora
Tony Cetinski,Tony Cetinski,Marina,3:00,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Uspomene,2:57,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Andrea,3:28,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Hej Dee Jay,3:40,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Tebe Nebi Mijenjao,4:04,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Putuje,2:50,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Prijatelj,4:38,,,Ljubomora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Elvis In Me,4:20,Perkins (3),Tony Cetinski,Ljubomora,,Tony Cetinski,Tony Cetinski,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubomora,nan-Ljubomora
Tony Cetinski,Tony Cetinski,Totalno Sam Lud,,,,Dance Hits 94,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Dance Hits 94,1994.0-Dance Hits 94/1994.0-Ja Sam Zaljubljen
Tony Cetinski,Tony Cetinski,U Tvojim Mislima,,,,Dance Hits 94,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Dance Hits 94,1994.0-Dance Hits 94
Tony Cetinski,Tony Cetinski,Ja Sam Zaljubljen,,,,Dance Hits 94,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Dance Hits 94,1994.0-Dance Hits 94/1994.0-Ja Sam Zaljubljen/nan-Ljubav I Bol/2001.0-Live/nan-Tony Cetinski I Prijatelji/nan-Tony Cetinski I Prijatelji/2009.0-Live In Arena Zagreb - Furia Tour '09./2009.0-Live In Arena Zagreb - Furia Tour '09./2009.0-Arena Live '08/2012.0-Opet Si Pobijedila [EP]
