Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Written-By_discogs,Vocals_discogs,Arranged By_discogs,Lyrics By_discogs,Mixed By_discogs,Music By_discogs,Programmed By_discogs,Keyboards_discogs,Bass Guitar_discogs,Guitar_discogs,Mastered By_discogs,Rap_discogs,Saxophone_discogs,Trumpet_discogs,Arranged By [Strings]_discogs,Conductor_discogs,Strings_discogs,Producer_discogs,Arranged By [Associate]_discogs,Acoustic Guitar_discogs,Featuring_discogs,Engineer_discogs,Bass_discogs,Percussion [Live]_discogs,Drum Programming_discogs,Saxophone [Sopran]_discogs,Double Bass_discogs,Drums_discogs,Piano_discogs,Guest_discogs,Vocals [Duet]_discogs,Accordion_discogs,Flute_discogs,Organ [Hammond]_discogs,Backing Vocals_discogs,Classical Guitar_discogs,Percussion_discogs,Violin_discogs,Solo Vocal_discogs,Written By_discogs,Album_year_title_discogs,All_albums_discogs
Vanna,Vanna (2),Sea Of Love (Radio Edit),3:43,Sea Of Love,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Sea Of Love,1994.0-Sea Of Love
Vanna,Vanna (2),Sea Of Love (Extended Club Mix),5:33,Sea Of Love,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Sea Of Love,1994.0-Sea Of Love
Vanna,Vanna (2),Sea Of Love (Trance Mix),6:42,Sea Of Love,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Sea Of Love,1994.0-Sea Of Love
Vanna,Vanna (2),Sea Of Love (Instrumental),4:11,Sea Of Love,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994.0-Sea Of Love,1994.0-Sea Of Love
Vanna,Vanna (2),You Must Love Me,,I To Sam Ja,,Andrew Lloyd Webber And Tim Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),Always On My Mind,,I To Sam Ja,,Wayne Carson Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),Sweet Dreams,,I To Sam Ja,,Don Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),I Fall To Pieces,,I To Sam Ja,,Harlan Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),Crazy,,I To Sam Ja,,Willie Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),Will You Love Me Tomorrow?,,I To Sam Ja,,Goffin And King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),Every Time We Say Goodbye,,I To Sam Ja,,Cole Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),One Day I'll Fly Away,,I To Sam Ja,,Will Jennings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja
Vanna,Vanna (2),Da Me Voliš (You Must Love Me),,I To Sam Ja,,Andrew Lloyd Webber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja/2010.0-Najljepše Ljubavne Pjesme
Vanna,Vanna (2),Crazy (Memphis Video Mix),,I To Sam Ja,,Willie Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-I To Sam Ja,nan-I To Sam Ja/2008.0-The Platinum Collection
Vanna,Vanna (2),Da Ne Volim Te,,Ispod Istog Neba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ispod Istog Neba,nan-Ispod Istog Neba
Vanna,Vanna (2),Ja Imam Snage Za To,,Ispod Istog Neba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ispod Istog Neba,nan-Ispod Istog Neba/nan-U Lisinskom/2005.0-S Prijateljima U Lisinskom/2008.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme
Vanna,Vanna (2),Svoju Riječ Ti Dajem,,Ispod Istog Neba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ispod Istog Neba,nan-Ispod Istog Neba/2010.0-Najljepše Ljubavne Pjesme
Vanna,Vanna (2),Ispod Istog Neba,,Ispod Istog Neba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ispod Istog Neba,nan-Ispod Istog Neba/nan-Hrabra Kao Prije/2005.0-S Prijateljima U Lisinskom/2008.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2013.0-Zajedno 20 Godina/2013.0-Zajedno 20 Godina/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere/2016.0-Ispuni Mi Želju - Koncert Povodom 25 Godina Glazbene Karijere
