Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
r01Z81Es_1_0,Vinko Coce,A ca san ti bidan ucinija,"https://tekstovi.net/2,972,19757.html",6837,[Mira Karavidović Kokanović],[Željko Barba],,,
r01Z81Es_1_1,Vinko Coce,Ako te 'ko pita,"https://tekstovi.net/2,972,60654.html",1897,,,,,
r01Z81Es_1_2,Vinko Coce,Croatio ponosna u dusi (feat. Najbolji HR Tamburasi),"https://tekstovi.net/2,972,55696.html",2238,,,2013.0,Morska Svitanja,3:50
r01Z81Es_1_3,Vinko Coce,Da je meni s tobom kroz Pašike,https://lyricstranslate.com/en/da-je-meni-s-tobom-kroz-pa%C5%A1ike-gdybym-m%C3%B3g%C5%82-z-tob%C4%85-przej%C5%9B%C4%87-przez-pa%C5%A1ike-trogir.html,972,[Nenad Ninčević],[Nenad Ninčević],1993,"Mirno spavaj, ružo moja",3:06
r01Z81Es_1_4,Vinko Coce,Daleko je srce,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/daleko-je-srce.html,18603,,,,Odriši mi dušu,3:42
r01Z81Es_1_5,Vinko Coce,"Dalmacija, more, ja i ti",https://lyricstranslate.com/en/Dalmacija-more-ja-i-ti-Dalmatia-sea-me-and-you.html,1114,[boris ostric],,2000.0,"Dalmacija, More, Ja I Ti",3:52
r01Z81Es_1_6,Vinko Coce,"Dalmacijo, sve ti cvitalo",https://lyricstranslate.com/en/Vinko-Coce-Dalmacijo-sve-ti-cvitalo-lyrics.html,766,[Nenad Ninčević],[Nenad Ninčević],1993,"Mirno spavaj, ružo moja",3:30
r01Z81Es_1_7,Vinko Coce,"Dalmatinko, crno oko moje",https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/dalmatinko-crno-oko-moje.html,553,[Nenad Ninčević],[Nenad Ninčević],2006,Da te mogu pismom zvati - Libar VI,3:15
r01Z81Es_1_8,Vinko Coce,Domenika,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/domenika.html,4502,,,,Odriši mi dušu,4:48
r01Z81Es_1_9,Vinko Coce,Gajeta,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/gajeta.html,4831,,,,Odriši mi dušu,3:55
r01Z81Es_1_10,Vinko Coce,Izliči mi dušu pismo,https://lyricstranslate.com/en/vinko-coce-izli%C4%8Di-mi-du%C5%A1u-pismo-lyrics.html,513,,,1998.0,Ljubav Je Ka I Cvit,3:36
r01Z81Es_1_11,Vinko Coce,Ljubav je ka i cvit,https://lyricstranslate.com/en/vinko-coce-ljubav-je-ka-i-cvit-lyrics.html,497,[Nenad Ninčević],[Joško Banov],1998.0,Ljubav Je Ka I Cvit,3:40
r01Z81Es_1_12,Vinko Coce,Kada umren umotan u bilo,https://lyricstranslate.com/en/kada-umren-umotan-u-bilo-whan-i-die-wrapped-white.html,71391,,,2008.0,Ne Damo Te Pismo Naša,
r01Z81Es_1_13,Vinko Coce,Ljubav mog zivota (duet Alen Nizetic),"https://tekstovi.net/2,972,32754.html",45340,,,2013.0,Morska Svitanja,4:31
r01Z81Es_1_14,Vinko Coce,"Mama, adio",https://lyricstranslate.com/en/mama-adio-%C5%BCegnaj-mamo.html,615,,,1995,"Mama, adio",
r01Z81Es_1_15,Vinko Coce,Marela,"https://tekstovi.net/2,972,62828.html",497,,,2000.0,"Dalmacija, More, Ja I Ti",4:04
r01Z81Es_1_16,Vinko Coce,"Mirno spavaj, ružo moja",https://lyricstranslate.com/en/mirno-spavaj-ruzo-moja-spij-spokojnie-rozo-moja.html-1,2627,[Nenad Ninčević],[Nenad Ninčević],1993,"Mirno spavaj, ružo moja",3:40
