Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
r01Z81Es_1_0,Vinko Coce,Vinko Coce,A ca san ti bidan ucinija,6837,"Cini mi se da sam ostarija
otkad me za tebe vise nima
kraj tvoje san kuce prolazija
pa mi srce uvatila zima

Iza skura stajala si lipa 
kosa ti se rasula ka more
e da tvoja ljubav nije slipa
ti bi moje ukrasila dvore
 
Ref.
A ca san ti bidan ucinija
lipa moja, naliplja na svitu
ja te nikad ne bi' ostavija
jedini moj iz djardina cvitu

Iza skura stajala si lipa 
kosa ti se rasula ka more
e da tvoja ljubav nije slipa
ti bi moje ukrasila dvore

Ref. 2x

Jedini moj iz djardina cvitu
","https://tekstovi.net/2,972,19757.html"
r01Z81Es_1_1,Vinko Coce,Vinko Coce,Ako te 'ko pita,1897,"Mater nas je rodila
kod Staroga Placa
cin smo oci otvorili
za Hajduk smo bili

Odma' su nas tamo
motali u bilo
to je nasa povist
tako je to bilo   
 
Ime su nan dali
Torcida iz Splita
zvonila su zvona
na sve strane svita

To je nasa povist
tako je to bilo
Hajduk zivi vjecno
sta bilo da bilo     

Ref.
Ako te 'ko pita
i na kraju svita
odakle si dosa
reci mu - iz Splita 

Ako te 'ko pita
reci mu bez stida
reci mu za Hajduk
i ime Torcida

Moje golube bijeli
rasiri krila
najlipsa boja
boja je bila

U svit odleti
i svima pokazi
naman se vrati
na Plac najdrazi

Sjeveroistok
 sjeverozapad
idemo bili 
svi u napad

Valovi krecu
Torcide, znajte
i sad s Torcidon 
svi zapivajte   

Ref. 2x","https://tekstovi.net/2,972,60654.html"
r01Z81Es_1_2,Vinko Coce,Vinko Coce,Croatio ponosna u dusi (feat. Najbolji HR Tamburasi),2238,"Ja san rodjen pokraj plavog mora
Dalmatinac i duson i tilom
di maslina u kamenu raste
di se dica radjaju u bilom

Ja sam rodjen ispod plavog neba
di se zita Slavonije zlate
di prolaze i Sava i Drava
di matere radjaju Hrvate
 
Ref.
Croatio ponosna u dusi
tukli su te topovi i kise
prije dat cu da se nebo srusi
nego da te dirne itko vise

Croatio ponosna u dusi
sve dok more svoje vale njise
prije dat cu da se nebo srusi
nego da te dirne itko vise

Ja sam cuvar livada zelenih
po kojima vrani konji kasu
di dusmani polomise zube
di oduvik stuju Lipu Nasu

Ja san covik od bure i soli
di je galeb gospodar visina
di se Gospa i voli i moli
cuvaj zemlju smokava i vina

Ref.","https://tekstovi.net/2,972,55696.html"
r01Z81Es_1_3,Vinko Coce,Vinko Coce,Da je meni s tobon kroz pasike,972,"Da je meni s tobon kroz pasike
samo jednon sottobrazzo proc'
svi bi znali da si moja vila
svi bi znali da ces za me poc'

Ref. 2x
Kad te vidin, kad te pozdravin
kad me boli, odma' ozdravin
bez tebe san ruza uvela
samo tebe volin ja  
 
Da je meni s tobon sve nedi'je
priko mosta o' Ciova proc'
svi bi znali, drag mi ni'ko nije
svi bi znali da cu za te poc'

Ref. 2x","https://tekstovi.net/2,972,60240.html"
r01Z81Es_1_4,Vinko Coce,Vinko Coce,Daleko je srce,18603,"Ne govori nista
nek' se zadnja svjetla pogase
daleko je srce
nije ono ovdje uz mene

Uspomene teku kao rijeka
iz mog djetinjstva
ja ne mogu vise
vracam ti se, mila mati ja
 
Ref.
Velebita vilo spusti se
puni vjetre malo s Neretve
ponosita Slavonijo
moja krsna Dalmacijo
evo mene, vratio sam se

Zapivaj mi licki sokole
oj, duboki plavi Jadrane
golubice svima reci
i od srece suzo teci
evo mene, vratio sam se

Stislo me u grlu
sjeta mi kroz grudi prolazi
korijeni su moji
daleko odavde ostali

Stisnut' cu vam ruku
prijatelji moji dobri svi
tu sam jos veceras
a vec sutra ja vam odlazim, odlazim

Ref.","https://tekstovi.net/2,972,25535.html"
r01Z81Es_1_5,Vinko Coce,Vinko Coce,"Dalmacija, more, ja i ti",1114,"Kada sunce u posteju ode
i kada galeb na siku sleti
snaga tisine zagrli more
bez krila covik moze da leti

Kada sunce u posteju ode
svitla lanterni na moru se pale
kalajte jidra, fermajte brode
slusati more dok vaja zale
 
Ref.
Kako je lipa litnja noc
kad zal sa moren govori
kako me smanta miris taj
kad miris puste borovi

Kako je lipo pod nebon
pod vedrin nebon moje jubavi
Dalmacija, more, ja i ti

Kada sunce u posteju ode
i kad maestral na moru padne
svitla lanterni tiho se pale
jos samo usne tvoje mi fale

Ref. 2x

Dalmacija dusu ozdravi","https://tekstovi.net/2,972,61920.html"
r01Z81Es_1_6,Vinko Coce,Vinko Coce,"Dalmacijo, sve ti cvitalo",766,"Pusti suzu, Dalmacijo moja
pusti suzu slanu kao sol
pusti suzu, Dalmacijo moja
i isplaci materinu bol

Pusti suzu, Dalmacijo moja
ni'ko nece zamiriti to
tukli su ti gradove i skoja
ranili ti dusu pritesko

Ref. 2x
Dalmacijo, Dalmacijo
Dalmacijo, sve ti cvitalo","https://tekstovi.net/2,972,61919.html"
r01Z81Es_1_7,Vinko Coce,Vinko Coce,"Dalmatinko, crno oko moje",553,"Zavele me crne oci
crna oka dva
Dalmatinke sve su lipe
ona je najlipsa

O, moj Bogo, kad je vidin
odma' sagrisin
razrisi me smrtni' grija
da je pojubin
 
Ref. 2x
Dalmatinko, crno oko moje
da je glavu naslonit'
na bile grudi tvoje

Dalmatinko, zlata neman ja
neman srca, neman duse
sve san tebi da

Dabogda presusilo more Jadransko
ako drugi jubi tvoje lice pribilo

Neman srca, neman duse
sve san tebi da
pa san kako vitar puse
ptica nebeska

O, moj Bogo, ja ne mogu
ne mogu bez nje
providi mi jubav
nek' je cuva za mene

Ref. 2x","https://tekstovi.net/2,972,61910.html"
r01Z81Es_1_8,Vinko Coce,Vinko Coce,Domenika,4502,"Ja san se rodi ka sritno dite
falinge niman, jedino ceznju
u srcu nosin i ne mogu daje
ja bojin se umrit, a sit san zivota

Ref.
Domenika
mudrosti tvojoj virujen
lipo ti sebe predajen
ti trazis da ti tilo dam
kom' da onda pripadam
 
Domenika
svitlost me tvoja vodila
kripost mi dusu zavela
i daje ja se borim sam
srcu tvom da pripadam

Iston mirom gledaj dobre ka' i lose
ne zamiri meni svaku grubu ric
jer u svome srcu jos san ka' mali, napravi mista
tamo te cekan, tamo ti je dom

Ref. 2x","https://tekstovi.net/2,972,25533.html"
r01Z81Es_1_9,Vinko Coce,Vinko Coce,Gajeta,4831,"Stara mati oca ceka
da se vrati iz daleka
iz daljina pogled ne spusta

Teski san joj lomi oci
more slusa svake noci
a u dusi bisni nevera
 
Ref.
Ka' i gajeta vezana za stine
sto je nije stra' kakvo god je vrime
ka' i gajeta navikla na vitre
sto sa moren vodi ljute bitke

Ti joj podaj majko sveta
da pozivi puno ljeta
ispuni joj zelju veliku

Muku tira mati stara
dragog ceka, svog mornara
svece moli da se smiluju

Ref.

Ref.","https://tekstovi.net/2,972,25536.html"
