Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
LC92qBcX_1_0,Vlado Kalember,"Adio, Bambina",https://lyricstranslate.com/en/vlado-kalember-adio-bambina-lyrics.html,5537,,,,Rano Mi Je Zaspati,3:00
LC92qBcX_1_1,Vlado Kalember,Često mi u noći dolaziš pred oči,https://lyricstranslate.com/en/%C4%8Desto-mi-u-no%C4%87i-dolazi%C5%A1-pred-o%C4%8Di-%D1%87%D0%B0%D1%81%D1%82%D0%BE-%D1%82%D1%8B-%D0%BF%D1%80%D0%B8%D1%85%D0%BE%D0%B4%D0%B8%D1%88.html,9634,,,,Ponoć Otkucava,3:29
LC92qBcX_1_2,Vlado Kalember,Ciao amore (feat. Izolda Barudzija),https://lyricstranslate.com/en/language/english-artists,1103,,,,Ciao Amore,
LC92qBcX_1_3,Vlado Kalember,Čija si u duši?,https://lyricstranslate.com/en/cija-si-u-dusi-whos-are-you-your-soul.html,8597,,,,Čija Si U Duši,3:30
LC92qBcX_1_4,Vlado Kalember,Crni Biseru,https://lyricstranslate.com/en/vlado-kalember-crni-biseru-lyrics.html,1591,,,1996.0,"Pjevaj, Raduj Se",4:30
LC92qBcX_1_5,Vlado Kalember,Da li uz njega sjetiš se svega,https://lyricstranslate.com/en/da-li-uz-njega-sjetis-se-svega-%D0%B0-%D1%82%D1%8B-%D1%80%D1%8F%D0%B4%D0%BE%D0%BC-%D0%BD%D0%B8%D0%BC-%D0%BF%D0%BE%D0%BC%D0%BD.html,8179,,,,Ponoć Otkucava,3:35
LC92qBcX_1_6,Vlado Kalember,Da Se Ja Pitam,https://lyricstranslate.com/en/vlado-kalember-da-se-ja-pitam-lyrics.html,7524,,,,Čija Si U Duši,4:12
LC92qBcX_1_7,Vlado Kalember,Djecak Je Tuzan I Sam,https://lyricstranslate.com/en/vlado-kalember-djecak-je-tuzan-i-sam-lyrics.html,8291,[Đorđe Novković],,,Čija Si U Duši,2:40
LC92qBcX_1_8,Vlado Kalember,Dobrodosla Ljubavi,https://lyricstranslate.com/en/vlado-kalember-dobrodosla-ljubavi-lyrics.html,8847,,,,Vino Na Usnama,3:54
LC92qBcX_1_9,Vlado Kalember,Duge su noći bez tebe,https://lyricstranslate.com/en/vlado-kalember-duge-su-noci-bez-tebe-lyrics.html,9487,[Željko Pavičić],[Vlado Kalember],2004,"Nakon svih ovih godina - 4 asa
Aranžman: Rajko Dujmić / Vlado Kalember / Alen Islamović / Jurica Pađen",
LC92qBcX_1_10,Vlado Kalember,Dunje Žute,https://lyricstranslate.com/en/vlado-kalember-dunje-zute-lyrics.html,6842,,,,Ponoć Otkucava,3:12
LC92qBcX_1_11,Vlado Kalember,"E, moj gospodine",https://lyricstranslate.com/en/e-moj-gospodine-%D1%8D%D1%85-%D0%BC%D0%BE%D0%B9-%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B8%D0%BD.html,2888,,,,Ponoć Otkucava,5:37
LC92qBcX_1_12,Vlado Kalember,"Evo noci, evo ludila","https://tekstovi.net/2,642,36717.html",21580,"[Miroslav Drljača Rus, Nenad Ninčević]",[Miro Buljan],1989,"Evo noći, evo ludila",4:09
LC92qBcX_1_13,Vlado Kalember,Hej Mladosti,https://lyricstranslate.com/en/vlado-kalember-hej-mladosti-lyrics.html,2633,,,,Čija Si U Duši,3:00
LC92qBcX_1_14,Vlado Kalember,Izdali me prijatelji,"https://tekstovi.net/2,642,40503.html",3032,[Nenad Ninčević],[Nenad Ninčević],,Evo Noći Evo Ludila,3:05
LC92qBcX_1_15,Vlado Kalember,Ja ne zelim da te s drugim dijelim,"https://tekstovi.net/2,642,62914.html",311,,,,,
LC92qBcX_1_16,Vlado Kalember,Ja noćas pijem,https://lyricstranslate.com/en/vlado-kalember-ja-nocas-pijem-lyrics.html,8979,,,2002,Hrvatski Radijski Festival 2002,
LC92qBcX_1_17,Vlado Kalember,"Ja odavde, ona s juga",https://lyricstranslate.com/en/vlado-kalember-ja-odavde-ona-s-juga-lyrics.html,7854,,,,Čija Si U Duši,4:10
LC92qBcX_1_18,Vlado Kalember,Ja plačem sad,https://lyricstranslate.com/en/vlado-kalember-ja-placem-sad-lyrics.html,3289,[Nenad Ninčević],[Mario Mihaljević],,Evo Noći Evo Ludila,4:14
LC92qBcX_1_19,Vlado Kalember,Javi Se,https://lyricstranslate.com/en/vlado-kalember-javi-se-lyrics.html,7475,[Vlado Kalember],[Vlado Kalember],2004.0,Volim Te Do Neba,
LC92qBcX_1_20,Vlado Kalember,Je li ti zao zbog nas (feat. Srebrna krila),"https://tekstovi.net/2,642,59172.html",1894,,,,,
LC92qBcX_1_21,Vlado Kalember,Jedina,https://lyricstranslate.com/en/vlado-kalember-jedina-lyrics.html,6468,,,,Sedam Ruža,3:02
LC92qBcX_1_22,Vlado Kalember,Jedino Moje,https://lyricstranslate.com/en/vlado-kalember-jedino-moje-lyrics.html,6154,[Željko Pavičić],[Vlado Kalember],2004.0,Volim Te Do Neba,
LC92qBcX_1_23,Vlado Kalember,Jednom Kad Odem,https://lyricstranslate.com/en/vlado-kalember-jednom-kad-odem-lyrics.html,8817,,,,,
LC92qBcX_1_24,Vlado Kalember,Kad na tebe pomislim,https://lyricstranslate.com/en/vlado-kalember-kad-na-tebe-pomislim-lyrics.html,10262,[Vlado Kalember],[Vlado Kalember],2004.0,Volim Te Do Neba,
LC92qBcX_1_25,Vlado Kalember,Kopija (feat. Srebrna Krila),"https://tekstovi.net/2,642,61503.html",820,,,,,
LC92qBcX_1_26,Vlado Kalember,"Laku noć, dame",https://lyricstranslate.com/en/vlado-kalember-laku-noc-dame-lyrics.html,4608,,,1996.0,"Pjevaj, Raduj Se",3:52
LC92qBcX_1_27,Vlado Kalember,Ljubav ima tvoje oci (feat. Srebrna krila),"https://tekstovi.net/2,642,64312.html",519,,,,,
LC92qBcX_1_28,Vlado Kalember,Ljubio bih nemam koga,https://lyricstranslate.com/en/ljubio-bih-nemam-koga-i-would-love-i-have-nobody.html,4952,,,,The Best Of Collection,3:23
LC92qBcX_1_29,Vlado Kalember,Mjesec ljubi zvjezdicu,https://lyricstranslate.com/en/vlado-kalember-mjesec-ljubi-zvjezdicu-lyrics.html,1524,[Štefanija Soldan],[Đorđe Novković],,Evo Noći Evo Ludila,2:31
LC92qBcX_1_30,Vlado Kalember,Moja gitaro,https://lyricstranslate.com/en/vlado-kalember-moja-gitaro-lyrics.html,3586,,,,Čija Si U Duši,4:00
LC92qBcX_1_31,Vlado Kalember,Moja golubice,https://lyricstranslate.com/en/vlado-kalember-moja-golubice-lyrics.html,6146,[Arijana Kunštek],[Ines Prajo],2004.0,Volim Te Do Neba,
LC92qBcX_1_32,Vlado Kalember,Moja je soba samica,https://lyricstranslate.com/en/vlado-kalember-moja-je-soba-samica-lyrics.html,8294,[Namik Tarabić],,,Sedam Ruža,3:40
