Song_ID,Artist,Song,Url,Views,Lyrics_by,Music_by,Year,Album,Song_duration_discogs
wNGUjqQ7_1_0,Zlatko Pejaković,150 godina,"https://tekstovi.net/2,685,32905.html",7875,[Mario Mihaljević],[Mario Mihaljević],1994,Zlatko Pejaković '94,3:31
wNGUjqQ7_1_1,Zlatko Pejaković,"Ako odem, prijatelji",https://lyricstranslate.com/en/ako-odem-prijatelji-if-i-die-my-friends.html,64658,[Dražen Zečić],[Dražen Zečić],1993,Zlatko Pejaković '93,3:12
wNGUjqQ7_1_2,Zlatko Pejaković,Baksuz,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/baksuz.html,4765,[Faruk Buljubašić Fayo],"[Mario Mihaljević, Branimir Mihaljević, Zlatko Pejaković]",,,
wNGUjqQ7_1_3,Zlatko Pejaković,Bog mi je svjedok,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/bog-mi-je-svjedok.html,4709,[Mario Mihaljević],[Mario Mihaljević],,"U Se, Na Se... (Zlatko '95)",3:15
wNGUjqQ7_1_4,Zlatko Pejaković,Cao amore,"https://tekstovi.net/2,685,31601.html",4940,,,2005.0,Zlatna Kolekcija,3:05
wNGUjqQ7_1_5,Zlatko Pejaković,Čerge,https://lyricstranslate.com/en/cerge-gypsy-caravan.html,103960,[Zlatko Pejaković],[Zlatko Pejaković],1977,Zlatko Pejaković,
wNGUjqQ7_1_6,Zlatko Pejaković,"Cvita, Cvita, cvite moj","https://tekstovi.net/2,685,60289.html",938,[Gordan Franić],[Teo Trumbić],,"Cvita, Cvita, Cvite Moj",
wNGUjqQ7_1_7,Zlatko Pejaković,Da smo znali,"https://tekstovi.net/2,685,60291.html",728,,,,,
wNGUjqQ7_1_8,Zlatko Pejaković,Da te vidim Ano,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/da-te-vidim-ano.html,4443,[Faruk Buljubašić Fayo],[Zlatko Pejaković],,2000,3:36
wNGUjqQ7_1_9,Zlatko Pejaković,Dajte neku losu,"https://tekstovi.net/2,685,39271.html",5661,[Dejan Abadžić],[Braya],2002.0,Bezobrazno Zelene,
wNGUjqQ7_1_10,Zlatko Pejaković,"Dalmacijo, fala ti (feat. klapa Cambi)","https://tekstovi.net/2,685,41938.html",2663,,,,,
wNGUjqQ7_1_11,Zlatko Pejaković,Dinamit,"https://tekstovi.net/2,685,48183.html",4114,,,,,
wNGUjqQ7_1_12,Zlatko Pejaković,Govore mi govore,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/govore-mi-govore.html,5818,[Marina Tucaković],[Tonči Huljić],1990,Kad prođe sve,3:22
wNGUjqQ7_1_13,Zlatko Pejaković,"Guram, guram","https://tekstovi.net/2,685,32906.html",3699,[Faruk Buljubašić Fayo],[Branimir Mihaljević],,2000,2:52
wNGUjqQ7_1_14,Zlatko Pejaković,Hoću,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/hocu.html,33733,[Faruk Buljubašić Fayo],[Branimir Mihaljević],2004,Hrvatski Radijski Festival 2004,
wNGUjqQ7_1_15,Zlatko Pejaković,Ja i kisna noc,"https://tekstovi.net/2,685,56062.html",948,[Zlatko Pejaković],[D. Petković],,Dilema,
wNGUjqQ7_1_16,Zlatko Pejaković,Ja sam svoje grijehe platio,"https://tekstovi.net/2,685,51517.html",2065,[Maja Maria],[Maja Maria],,2004,
wNGUjqQ7_1_17,Zlatko Pejaković,Još te volim,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/jos-te-volim.html,5032,[Mario Mihaljević],"[R. Livi, R. Ferro]",,Ni Na Nebu Ni Na Zemlji (Zlatko '97),4:55
wNGUjqQ7_1_18,Zlatko Pejaković,Kad jednom zazelis,"https://tekstovi.net/2,685,54108.html",1989,,,1996,Uspomene,
wNGUjqQ7_1_19,Zlatko Pejaković,Kad napuste te svi,"https://tekstovi.net/2,685,51515.html",6523,,,,"Koncert - Dom Športova, Zagreb '98",3:33
wNGUjqQ7_1_20,Zlatko Pejaković,Kad prođe sve,https://lyricstranslate.com/en/kad-pro%C4%91e-sve-when-everything-passes.html,586,[Bratislav Zlatanović],[Tonči Huljić],1990,Kad prođe sve,3:26
wNGUjqQ7_1_21,Zlatko Pejaković,Kaldrme i jorgovani,"https://tekstovi.net/2,685,54154.html",2137,,,,,
wNGUjqQ7_1_22,Zlatko Pejaković,Kao da me nema,https://cuspajz.com//tekstovi-pjesama/pjesma/zlatko-pejakovic/kao-da-me-nema.html,11428,[Faruk Buljubašić Fayo],[Amir Kazić Leo],,Ni Na Nebu Ni Na Zemlji (Zlatko '97),3:31
