,Song_ID,Song,Lyrics
0,pltir+OL_1_0,10 hiljada koraka (feat. Sonori),"Deset hiljada koraka u noc, deset hiljada koraka je spas, deset hiljada vojnika u glas, deset hiljada pjesama za nas. Znam da ne vrijedi svakom dat ruku, znam da ne vrijedi stati na pola puta, znam da ne vrijedi zalivati poljsko cvijece, znam da ne vrijedi jer cizma je uvijek luta. Znam i na tebe ce jednom doci red, znam svi ce reci hajde sad im pokazi, znam ti ces samo okrenuti glavu, znam za tebe ta igra vise ne vazi"
1,pltir+OL_1_1,…a svemir miruje,"Malo umoran prelazim most, rat je sumoran, u grlu kost. Stazom makova hoću u zrak, sunce javi se, ovdje je mrak. Oči dječije u paklu zla, svi me pitaju gdje sam ja?. Više ne pjevam, lomi se glas, svjetlo smiluj se, osvijetli nas. A svemir miruje, vječno samuje, mene ne vidi, Bože šta mu je. A svemir ne pada u provalije, ko da nema me, Bože šta mi je. Malo umoran u paklu zla, svi me pitaju gdje sam ja. Više ne pjevam, lomi se glas, svijetlo smiluj se, osvjetli nas."
2,pltir+OL_1_2,Ako voliš ovu ženu,"Ako voliš ovu ženu. Njene suze poštivaj. Kad je tužna budi s njom. Kad te ljubi, uživaj. Ako voliš ovu ženu. Ko’ što život voliš svoj. Sve dok ovo zlato nosi. Budi vjeran samo njoj. Ako voliš ovu ženu. Koja sad ti kaže da"". Ispod ovog bijelog vela. Nek’ ti bude ljubav sva. Budi dobar joj u dobru. Budi hrabar kad je zlo. Budi zvijezda njenog neba. To je ljubav, to je to. Budi dijete joj u krilu. Budi vojnik, brani je. Budi kraj nje kad je teško. To je ljubav, to je sve. Ako voliš ovu ženu. Nekad život nije raj. Kad je tužna budi s njom. Kad te ljubi, uživaj. Budi dobar joj u dobru. Budi hrabar kad je zlo. Budi zvijezda njenog neba. To je ljubav, to je to. Budi dijete joj u krilu. Budi vojnik, brani je. Budi kraj nje kad je teško. To je ljubav, to je sve. Ako voliš ovu ženu. Njene suze poštivaj. Kad je tužna budi s njom. Kad te ljubi, uživaj. Budi dobar joj u dobru. Budi hrabar kad je zlo. Budi zvijezda njenog neba. To je ljubav, to je to. Budi dijete joj u krilu. Budi vojnik, brani je. Budi kraj nje kad je teško. To je ljubav, to je sve. Ako voliš ovu ženu. Ako voliš ovu ženu. Ako voliš ovu ženu"
3,pltir+OL_1_3,Anava ni iveret (Ljubav je slijepa),"Anava, anava, anava, anava ni iveret. Zemlju, koju ljubila nisi, kojom hodala ti si, guši prašina. Nema, nema ptica ni glasa, plava obala spava, na te podsjeća."
4,pltir+OL_1_4,Budi sretna,"Ja s gitarom, ti sa njim, kako bol da prevarim, sve je proslo, ne vidim, kako da te zadrzim. Budi sretna, idi s njim, necu nista da ti pokvarim, budi sretna, idi s njim, pusti samo da te pozdravim. Ja s gitarom, ti sa njim, kako noc da prenocim, sve je proslo, ne vidim, kako da te zadrzim"
5,pltir+OL_1_5,Čaša otrova,"Lome grane trešnje rane, veče miriše, samo moje ludo srce za njom uzdiše. Gdje god podjem, gdje god dodjem, ja sam suvišan, izgubljen sam kao dijete, izgubljen i sam. Lome grane trešnje rane, zvijezde padaju, neke davne uspomene bol mi zadaju. Nema mjesta gdje bih mog'o, da se umirim, i da bez nje sa sudbinom da se pomirim. Daj, natoči ove noći jednu čašu otrova, ona me je ostavila, ona me zaboravila, a ne mogu da prebolim ja."
6,pltir+OL_1_6,Da je sreće bilo,"Meni je Bog dao, da sad poslije svega, gledam kako grlis, kako ljubis njega. Meni je Bog dao, da mi dusa luta, po zemaljskom paklu, tu na kraju puta. U dugim zimskim nocima, kad vjetar nosi sjecanja, a ja se pitam jesi li, jesi li me ikad voljela. A da je srece bilo, ti bi sa mnom spavala, a da je srece bilo, djecu bi mi rodila"
7,pltir+OL_1_7,Da se mrak u svjetlo pretvori,"Nije meni, što mi govore ljudi. Samo jedan na kraju nam sudi. I priznat će njemu. Što meni je krila. Da nije ni ljubav. Što nekad je bila. Nije meni, što za prsten od zlata. Stavlja ruke oko njegova vrata. A nije mi bez nas. Postelja svila. A nije ni pjesma. Što nekad je bila. Samo da ne poludim. Samo da ne naudim. I sebi, i svima, i svircima. Što ne znaju. Pa mi sviraju pjesmu ljubavnu. Da se mrak u svjetlo pretvori. I da ovoj noći dozori. Popucali bi joj prozori. Samo da sam, da sam htio. Ranije je zaprosio. Nije meni, što mi govore ljudi. Da je ima i da ljubi joj grudi. Nek' ljubi je samo. Nek' zove ga svojim. Jer nema to veze. Sa životom mojim"
8,pltir+OL_1_8,Da Bog da te voda odnijela,"Kako tužno živim bez tebe. Nemam kuda, bježim od sebe. Kao da sam suha grana. Slomljena od onog dana. Kad si draga s drugim otišla. Umrijet ću a neću moliti. Ma da neću te preboljeti. U snu ću ti ljubit lice. S krikom će me budit ptice. Tuđe žene greškom ljubljene. Da bog da te voda odnijela. Što si dušo mene varala. Poslije tebe ničeg nema. Život je ko uspomena. Stara slika već požutjela"
9,pltir+OL_1_9,Daj mi karmina,"Lijepa si mi kao ptica na prozoru, lijepa si mi kao snovi u zatvoru, lijepa si i ti bi mi to na sva zvona, lijepa si mi, lijepa do bola. Sam Bog te nocas meni poslao, i ja te sad vise ne bih mjenjao, da te gledam, a da te ne poljubim, da ti sudim, a da te ne osudim. Daj mi karmina sa tvojih usana, i svaka tvoja laz bit ce istina, daj mi karmina sa tvojih usana, i bit ce nam sve ko u Ruskim bajkama"
