Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate
pltir+OL_1_0,Željko Bebek,Željko Bebek,10 hiljada koraka (feat. Sonori),1959,"Ref.
Deset hiljada koraka u noc
deset hiljada koraka je spas
deset hiljada vojnika u glas
deset hiljada pjesama za nas

Znam da ne vrijedi svakom dat ruku
znam da ne vrijedi stati na pola puta
znam da ne vrijedi zalivati poljsko cvijece
znam da ne vrijedi jer cizma je uvijek luta
 
Ref.

Znam i na tebe ce jednom doci red
znam svi ce reci hajde sad im pokazi
znam ti ces samo okrenuti glavu
znam za tebe ta igra vise ne vazi","https://tekstovi.net/2,18,56539.html",,,,,,,
pltir+OL_1_1,Željko Bebek,Željko Bebek,A svemir miruje,16744,"Malo umoran prelazim most
rat je sumoran u grlu kost
stazom makova hocu u zrak
sunce javi se ovdje je mrak

Oci djecije u paklu zla
svi me pitaju gdje sam ja
vise ne pjevam lomi se glas
svjetlo smiluj se osvijetli nas
 
Ref.
A svemir miruje vjecno samuje
mene ne vidi, Boze sta mu je
a svemir ne pada u provalije
ko da nema me, Boze sta mi je

Malo umoran u paklu zla
svi me pitaju gdje sam ja
vise ne pjevam lomi se glas
svijetlo smiluj se osvjetli nas

Ref. 2x","https://tekstovi.net/2,18,10225.html",,…a svemir miruje,,…a svemir miruje,"Malo umoran prelazim most,
rat je sumoran, u grlu kost.
Stazom makova hoću u zrak,
sunce javi se, ovdje je mrak.. Oči dječije u paklu zla,
svi me pitaju gdje sam ja?
Više ne pjevam, lomi se glas,
svjetlo smiluj se, osvijetli nas.. A svemir miruje, vječno samuje,
mene ne vidi, Bože šta mu je.
A svemir ne pada u provalije,
ko da nema me, Bože šta mi je.. Malo umoran u paklu zla,
svi me pitaju gdje sam ja.
Više ne pjevam, lomi se glas
svijetlo smiluj se, osvjetli nas.",,https://lyricstranslate.com/en/%C5%BEeljko-bebek-%E2%80%A6a-svemir-miruje-lyrics.html
pltir+OL_1_2,Željko Bebek,Željko Bebek,Ako volis ovu zenu (ft. Oliver Dragojevic),47714,"Ako volis ovu zenu
njene suze postivaj
kad je tuzna budi s njom
kad te ljubi uzivaj

Ako volis ovu zenu
ko' sto zivot volis svoj
sve dok ovo zlato nosi
budi vjeran samo njoj
 
Ako volis ovu zenu
koja sad ti kaze da
ispod ovog bijelog vela
nek ti bude ljubav sva

Ref.
Budi dobar joj u dobru
budi hrabar kad je zlo
budi zvijezda njenog neba
to je ljubav to je to

Budi dijete joj u krilu
budi vojnik brani je
budi kraj nje kad je tesko
to je ljubav to je sve

Ako volis ovu zenu
nekad zivot nije raj
kad je tuzna budi s njom
kad te ljubi uzivaj

Ref.","https://tekstovi.net/2,18,54471.html",,Ako voliš ovu ženu,If you love this woman,Ono nešto naše,"Ako voliš ovu ženu
1
Njene suze poštivaj
Kad je tužna budi s njom
Kad te ljubi, uživaj. Ako voliš ovu ženu
Ko’ što život voliš svoj
Sve dok ovo zlato nosi
Budi vjeran samo njoj. Ako voliš ovu ženu
Koja sad ti kaže ""da""
Ispod ovog bijelog vela
Nek’ ti bude ljubav sva. Budi dobar joj u dobru
Budi hrabar kad je zlo
Budi zvijezda njenog neba
To je ljubav, to je to. Budi dijete joj u krilu
Budi vojnik, brani je
Budi kraj nje kad je teško
To je ljubav, to je sve. Ako voliš ovu ženu
Nekad život nije raj
Kad je tužna budi s njom
Kad te ljubi, uživaj. Budi dobar joj u dobru
Budi hrabar kad je zlo
Budi zvijezda njenog neba
To je ljubav, to je to. Budi dijete joj u krilu
Budi vojnik, brani je
Budi kraj nje kad je teško
To je ljubav, to je sve. Ako voliš ovu ženu
Njene suze poštivaj
Kad je tužna budi s njom
Kad te ljubi, uživaj. Budi dobar joj u dobru
Budi hrabar kad je zlo
Budi zvijezda njenog neba
To je ljubav, to je to. Budi dijete joj u krilu
Budi vojnik, brani je
Budi kraj nje kad je teško
To je ljubav, to je sve. Ako voliš ovu ženu
Ako voliš ovu ženu. Ako voliš ovu ženu","If you love this woman
respect her tears
when she is sad , be next to her
when she's kissing you, enjoy. If you love this woman
the way you love your life
as long as she's wearing a wedding ring
don't cheat on her. If you love the woman
who's saying ""yes""
underneath this white veil
you can have all her love. You should be kind to her when times are good
you should be brave in front of the evil
you should be a star in her sky
that's love, that's it. You should be a child on her lap
you should be a soldier and defend her
you should be next to her when times are tough
that's love , that's everything. If you love this woman
sometimes life isn't pink
when she is sad , be next to her
when she's kissing you , enjoy. You should be kind to her when times are good
you should be brave in front of the evil
you should be a star in her sky
that's love, that's it. You should be a child on her lap
you should be a soldier and defend her
you should be next to her when times are tough
that's love, that's everything. If you love this woman,
respect her tears
when she is sad , be next to her
when she' s kissing you , enjoy. You should be kind to her when times are good
you should be brave in front of the evil
you should be a star in her sky
that's love, that's it. You should be a child on her lap
you should be a soldier and defend her
you should be next to her when times are tough
that's love, that's everything. If you love this woman
if you love this woman. if you love this woman",https://lyricstranslate.com/en/ako-voli%C5%A1-ovu-%C5%BEenu-if-you-love-woman.html
pltir+OL_1_3,Željko Bebek,Željko Bebek,Anava ni iveret (Ljubav je slijepa),12081,"anava anava anava  
anava ni iveret  

zemlju koju ljubila nisi  
kojom hodala ti si  
gusi prasina  
nema nema ptica ni glasa  
plava obala spava  
na te podsjeca  ","https://tekstovi.net/2,18,243.html",,Anava ni iveret (Ljubav je slijepa),,Pjevaj moj narode,"Anava, anava, anava,
anava ni iveret.. Zemlju, koju ljubila nisi,
kojom hodala ti si,
guši prašina.
Nema, nema ptica ni glasa,
plava obala spava,
na te podsjeća.",,https://lyricstranslate.com/en/%C5%BEeljko-bebek-anava-ni-iveret-ljubav-je-slijepa-lyrics.html
pltir+OL_1_4,Željko Bebek,Željko Bebek,Budi sretna,5324,"Ja s gitarom, ti sa njim
kako bol da prevarim
sve je proslo, ne vidim
kako da te zadrzim

Ref.
Budi sretna, idi s njim
necu nista da ti pokvarim
budi sretna, idi s njim
pusti samo da te pozdravim
 
Ja s gitarom, ti sa njim
kako noc da prenocim
sve je proslo, ne vidim
kako da te zadrzim

Ref.","https://tekstovi.net/2,18,48148.html",,,,,,,
pltir+OL_1_5,Željko Bebek,Željko Bebek,Casa otrova,23080,"Lome grane tresnje rane, vece mirise
samo moje ludo srce za njom uzdise
gdje god podjem, gdje god dodjem 
ja sam suvisan
izgubljen sam kao dijete, izgubljen i sam

Lome grane tresnje rane, zvijezde padaju
neke davne uspomene bol mi zadaju
nema mjesta gdje bih mog'o da se umirim
i da bez nje sa sudbinom da se pomirim

Ref. 2x
Daj, natoci ove noci jednu casu otrova
ona me je ostavila, ona me zaboravila
a ne mogu da prebolim ja","https://tekstovi.net/2,18,15858.html",,Čaša otrova,,"... karmin, pjesma i rakija","Lome grane trešnje rane, veče miriše,
samo moje ludo srce za njom uzdiše.
Gdje god podjem, gdje god dodjem,
ja sam suvišan,
izgubljen sam kao dijete, izgubljen i sam.. Lome grane trešnje rane, zvijezde padaju,
neke davne uspomene bol mi zadaju.
Nema mjesta gdje bih mog'o, da se umirim,
i da bez nje sa sudbinom da se pomirim.. Daj, natoči ove noći jednu čašu otrova,
ona me je ostavila, ona me zaboravila,
a ne mogu da prebolim ja.",,https://lyricstranslate.com/en/%C5%BEeljko-bebek-%C4%8Da%C5%A1a-otrova-lyrics.html
pltir+OL_1_6,Željko Bebek,Željko Bebek,Da je srece bilo,154917,"Meni je Bog dao 
da sad poslije svega
gledam kako grlis 
kako ljubis njega

Meni je Bog dao 
da mi dusa luta 
po zemaljskom paklu 
tu na kraju puta
 
U dugim zimskim nocima 
kad vjetar nosi sjecanja
a ja se pitam jesi li
jesi li me ikad voljela

Ref.
A da je srece bilo 
ti bi sa mnom spavala
a da je srece bilo 
djecu bi mi rodila","https://tekstovi.net/2,18,8817.html",,Da je sreće bilo,If I Was Fortunate,,"Meni je Bog dao
1
da sad poslije svega
gledam kako grlis
kako ljubis njega. Meni je Bog dao
da mi dusa luta
po zemaljskom paklu
tu na kraju puta. U dugim zimskim nocima
kad vjetar nosi sjecanja
a ja se pitam jesi li
jesi li me ikad voljela. Ref.
A da je srece bilo
ti bi sa mnom spavala
a da je srece bilo
djecu bi mi rodila","God made me,
Now after everything that had happened,
Watch how you embrace
How you kiss him. God made my soul wander
Through earthly hell
Here at the end of the road. In long, winter nights
When the wind brings memories
And I ask myself, did you
did you ever really love me?. But if I was fortunate
You would have been sleeping with me
But if I was fortunate
You would have given birth to my children",https://lyricstranslate.com/en/da-je-srece-bilo-if-i-was-fortunate.html
pltir+OL_1_7,Željko Bebek,Željko Bebek,Da se mrak u svjetlo pretvori,7734,"Nije meni, sto mi govore ljudi
samo jedan na kraju nam sudi
i priznat ce njemu
sto meni je krila
da nije ni ljubav
 sto nekad je bila
 
Nije meni, sto za prsten od zlata
stavlja ruke oko njegova vrata
a nije mi bez nas
postelja svila
a nije ni pjesma
sto nekad je bila

Samo da ne poludim
samo da ne naudim
i sebi, i svima, i svircima
sto ne znaju
pa mi sviraju pjesmu ljubavnu

Ref.
Da se mrak u svjetlo pretvori
i da ovoj noci dozori
popucali bi joj prozori
samo da sam, da sam htio
ranije je zaprosio

Nije meni, sto mi govore ljudi
da je ima i da ljubi joj grudi
nek' ljubi je samo
nek' zove ga svojim
jer nema to veze
sa zivotom mojim

Ref.","https://tekstovi.net/2,18,37765.html",,,,,,,
pltir+OL_1_8,Željko Bebek,Željko Bebek,Dabogda te voda odnijela,31916,"Kako tuzno zivim bez tebe
nemam kuda bjezim od sebe
kao da sam suha grana
slomljena od onog dana 
kad si draga s drugim otisla

Umrijet cu, a necu moliti
mada necu te preboljeti
u snu cu ti ljubit' lice
s krikom ce me budit' ptice
tudje zene greskom ljubljene
 
Ref.
Dabogda te voda odnijela
sto si duso mene varala
poslije tebe niceg nema
zivot je k'o uspomena
stara slika vec pozutila

Umrijet cu, a necu moliti
mada necu te preboljeti
u snu cu ti ljubit' lice
s krikom ce me budit' ptice
tudje zene greskom ljubljene

Ref. 2x","https://tekstovi.net/2,18,10006.html",,Da Bog da te voda odnijela,,,"Kako tužno živim bez tebe
Nemam kuda, bježim od sebe
Kao da sam suha grana
Slomljena od onog dana
Kad si draga s drugim otišla.. Umrijet ću a neću moliti
Ma da neću te preboljeti
U snu ću ti ljubit lice
S krikom će me budit ptice
Tuđe žene greškom ljubljene.. Da bog da te voda odnijela
Što si dušo mene varala
Poslije tebe ničeg nema
Život je ko uspomena
Stara slika već požutjela",,https://lyricstranslate.com/en/Zeljko-Bebek-Da-Bog-da-te-voda-odnijela-lyrics.html
pltir+OL_1_9,Željko Bebek,Željko Bebek,Daj mi karmina,3390,"Lijepa si mi kao ptica na prozoru
lijepa si mi kao snovi u zatvoru
lijepa si i ti bi mi to na sva zvona
lijepa si mi, lijepa do bola

Sam Bog te nocas meni poslao
i ja te sad vise ne bih mjenjao
da te gledam, a da te ne poljubim
da ti sudim, a da te ne osudim
 
Ref.
Daj mi karmina sa tvojih usana
i svaka tvoja laz bit ce istina
daj mi karmina sa tvojih usana
i bit ce nam sve ko u Ruskim bajkama

Ref. 2x","https://tekstovi.net/2,18,45402.html",,,,,,,
