Artist,Song,Song_ID,Lyrics,Url
Novi fosili,Ako se rastanemo,oOIOCzZV_0,"ne govorim s tobom,
i ništa nije kao prije,
čija to pisma čitaš?
tišina, samo tišina lije.

hej, pogledaj me u oči,
što čovjek može da proguta,
ima li snage za još pet minuta?
ili smo stigli do kraja, do kraja puta?

ako se rastanemo, onako pošteno i sami,
što ćemo reći susjedima, poštaru i tvojoj mami?
ako se rastanemo, neće se srušiti svijet,
doći će novi stanari, u moše pijade 35

ne govorim s tobom,
drugačija si, nisi ista,
izgubili smo nepovratno,
djetelinu s četiri lista.

daj, pogledaj me u oči
što čovjek može da proguta,
ima li snage za još pet minuta?
ili smo stigli do kraja, do kraja puta?",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/ako-se-rastanemo.html
Novi fosili,Bilo mi je prvi put,oOIOCzZV_1,"Bilo je nebo na tvome čelu
U srcu zdjela vrućeg mlijeka
Bili smo djeca koja se vole
I koja ne znaju što ih čeka

Bilo je svile u tvome oku
I nedaj nikom da to uzme
Bilo je sjeno i karamele
Kad su se takle naše usne

Bilo mi je prvi put
Samo jednom prva zora sviče
Najljepše su čiste i nespretne ruke
Prve suze vrijede - drugo su priče

Bilo je pravo zrelo voče
U tvojoj ruci zlatne niti
Bilo je sve što sada nemam
Što više nikad neće biti",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/bilo-mi-je-prvi-put.html
Novi fosili,"Čuješ li me, je l' ti drago",oOIOCzZV_2,,https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/cujes-li-me-je-l-ti-drago.html
Novi fosili,Dijete sreće,oOIOCzZV_3,"ja sam dijete srece
i nepostojim
ne voli me, ne vrijedi
uvijek odlazim

ja sam dijete srece
nasmijani vrag
uspjeti ti nece
mada si mi drag

ne kuni se, ne placi
ne reci da si moj
svi drugi bit ce jaci
cuvaj ponos svoj

kocija ce doci
PRINC NE POSTOJI
i godine ce proci
ostajes mi ti

nekom se moram vratiti

doci cu,
jednom doci cu
ulicom tvojom proci cu
djecak ce biti isti ko ti
on bit ce samo moj, tvoj i moj...

ja sam dijete srece...",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/dijete-srece.html
Novi fosili,Djeca ljubavi,oOIOCzZV_4,"Prvi put ti kazem da, da se bojim svitanja
i da nemam odgovor na sva tvoja pitanja...

Uvijek sam te cuvala i od ljudi i od zla,
a sad meni trebas ti, trebas kao nikada...

Spavaj tu, tu kraj mene, na mom jastuku
nemir puni moje vene kada nisi tu
mirno teku, teku rijeke, rijeke ljubavi
zasto ne bi svi bili ko mi - djeca ljubavi?",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/djeca-ljubavi.html
Novi fosili,Dobre djevojke,oOIOCzZV_5,"Budi dobra ti, nemoj gradom lutati
mini ne nosi, lete strasni savjeti
ma, budi dobra ti, nocu se ne izlazi
i ne ne sljedite, to su lose djevojke

Budi dobra ti, nemoj se zaljubiti
nemoj ljubiti pamet ces izgubiti
ma, budi dobra ti, to mi uvijek kazu svi
i nemoj lagati, lose ces zavrsiti

Dobre djevojke
one idu u raj bas sve
lose djevojke
idu kud god zazele

Budi dobra ti, rano kuci dolazi
i ne neslusajte, to su lose djevojke
a te lose sve, moje prijateljice
nisu lose ne, sve su dobre djevojke",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/dobre-djevojke.html
Novi fosili,E da si barem noćas ovdje,oOIOCzZV_6,"Obuci cu nocas haljinu sto volis
Dignuti kosu, upalit cu svijece.
I lijepa si cujem kako govoris,
A niko me nocas vidjeti nece.
Smijesno al' tvoj cu staviti miris
u dvije cu case nasuti pice.
I ako u ponoc na sekund zazmiris
moje te misli moraju stici.
E da si barem nocas ovdje
da mi se mozes vratiti.
Bilo bi dobro da si ovdje
mogla bih s tobom umrijeti.
E da si barem nocas ovdje
da mi se mozes vratiti.
Jer jos si tu pod mojom kozom
venama mojim plovis ti.

Bojim se svakog koraka sto cujem
u mozgu se nesto samo presjece.
I smijesno je cuti zalud kako psujem,
jer nista te nocas vratiti nece.
E da si barem nocas ovdje",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/e-da-si-barem-nocas-ovdje.html
Novi fosili,Hoću li znati,oOIOCzZV_7,"Hoću li znati, hoću li
Tvoju ljubav zauvjek sačuvati
Kad se noći bezbrojne zaredaju
O, hoću li

Hoću li znati, hoću li
Biti osmijeh u tvojoj radosti
Topla ruka u tvojim patnjama
O, hoću li, o hoću li

Ljubavi moja
Hoću li biti žena ja
Kakvu bih željela tebi

Hoću li znati, hoću li
Ići putem bez cilja sigurnog
I ne prestat' u tebe vjerovati
O, hoću li

Hoću li znati, hoću li
Kad se kosa zabijeli od godina
Sretna tiho uz tebe stariti
O, hoću li, o hoću li

Ljubavi moja
Hoću li biti žena ja
Kakvu bih željela tebi",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/hocu-li-znati.html
Novi fosili,Ja sam za ples,oOIOCzZV_8,"I wanna dance! O ho...
Ja sam za ples! O je...

U nekom bistrou kod nas na moru ja pila sam sok
A tamo za barom, na đuboksu starom su svirali rock
Odjednom se stvori, ja čujem govori, ""this is okay""
Pogled mi sretne, i kaže mi hej...

Čujem nešto kao ""do you wanna dance""
Mislim da me pita da li sam za ples
I wanna dance! O ho...
Ja sam za ples! O je...

U nekom bistrou kod nas na moru ja pila sam sok
A dolje na plaži su momci na gaži svirali rock
I opet se stvori, ja čujem govori, ""this is okay""
Pogled mi sretne, i kaže mi hej...",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/ja-sam-za-ples.html
Novi fosili,Jedna suza,oOIOCzZV_9,"Jedna suza, jedna suza

Hej vlakovi zorom krecu
hej vidjet te vise necu
hej oprosti mi
nisam znala voljeti
hej naci ces svoju srecu

Hej zasto sad da se placem
hej suze nam malo znace
hej oprosti mi, dovidjenja reci mi
hej poljubi me i stisni jace

Jedna suza, jedna suza
na licu mi ostala
jedna suza, jedna suza
zlatna je postala
jedna suza, jedna suza
sve je oprostila
jedna suza",https://cuspajz.com//tekstovi-pjesama/pjesma/novi-fosili/jedna-suza.html
