Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Album_genres_discogs,Arranged By_discogs,Music By_discogs,Lyrics By_discogs,Written-By_discogs,Piano [Acoustic]_discogs,Producer_discogs,Lead Vocals_discogs,Vocals [Duet]_discogs,Drums_discogs,Backing Vocals_discogs,Composed By_discogs,Music By [Love Theme]_discogs,Album_year_title_discogs,All_albums_discogs
Aerodrom,Aerodrom,Kad Misli Mi Vrludaju,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/1980-Kad Misli Vrludaju/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Nestala Dobrota,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/2018-Original Album Collection
Aerodrom,Aerodrom,"Vrati Se, Ivane",,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Pusti Neka Traje,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/2018-Original Album Collection
Aerodrom,Aerodrom,Šareni Kolači,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/2018-Original Album Collection
Aerodrom,Aerodrom,Kraj Tebe U Tami,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/1980-Kad Misli Vrludaju/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Razgovor Pred Zoru,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/2018-Original Album Collection
Aerodrom,Aerodrom,Bjegunci,,Kad Misli Mi Vrludaju,1979,['Rock'],,,,,,,,,,,,,1979-Kad Misli Mi Vrludaju,1979-Kad Misli Mi Vrludaju/2018-Original Album Collection
Aerodrom,Aerodrom,Stavi Pravu Stvar,3:33,Stavi Pravu Stvar,1981,['Rock'],Ivan Piko Stančić,Jurica Pađen,Jurica Pađen,,,,,,,,,,1981-Stavi Pravu Stvar,1981-Stavi Pravu Stvar/1981-Tango Bango/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2009-Hitovi I Legende/2018-Original Album Collection
Aerodrom,Aerodrom,Aerodrom,2:30,Stavi Pravu Stvar,1981,['Rock'],,,,Mladen Krajnik,,,,,,,,,1981-Stavi Pravu Stvar,1981-Stavi Pravu Stvar/1981-Tango Bango/2018-Original Album Collection
Aerodrom,Aerodrom,Dobro Se Zabavljaj,2:57,Dobro Se Zabavljaj / Tvoje Lice,1981,['Rock'],Aerodrom,Remo Cartagine,,,,,,,,,,,1981-Dobro Se Zabavljaj / Tvoje Lice,1981-Dobro Se Zabavljaj / Tvoje Lice/1981-Tango Bango/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Tvoje Lice,4:12,Dobro Se Zabavljaj / Tvoje Lice,1981,['Rock'],Ivan Piko Stančić,Jurica Pađen,,,,,,,,,,,1981-Dobro Se Zabavljaj / Tvoje Lice,1981-Dobro Se Zabavljaj / Tvoje Lice/1981-Tango Bango/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Rock & Porok,3:45,Tango Bango,1981,['Rock'],,,,,,,,,,,,,1981-Tango Bango,1981-Tango Bango/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Nudistička Plaža,2:39,Tango Bango,1981,['Rock'],,,,,,,,,,,,,1981-Tango Bango,1981-Tango Bango/2018-Original Album Collection
Aerodrom,Aerodrom,Mordorea,3:21,Tango Bango,1981,['Rock'],,,,,,,,,,,,,1981-Tango Bango,1981-Tango Bango/2018-Original Album Collection
Aerodrom,Aerodrom,Mijenjam Se,3:22,Tango Bango,1981,['Rock'],,,,,,,,,,,,,1981-Tango Bango,1981-Tango Bango/2018-Original Album Collection
Aerodrom,Aerodrom,Djevojke,3:33,Tango Bango,1981,['Rock'],,,,,,,,,,,,,1981-Tango Bango,1981-Tango Bango/2018-Original Album Collection
Aerodrom,Aerodrom,Monotonija,4:02,Tango Bango,1981,['Rock'],,,,,,,,,,,,,1981-Tango Bango,1981-Tango Bango/2018-Original Album Collection
Aerodrom,Aerodrom,Kad Je Sa Mnom Kvari Sve,,Kad Je Sa Mnom Kvari Sve/ Stranac,1982,['Rock'],,,,,,,,,,,,,1982-Kad Je Sa Mnom Kvari Sve/ Stranac,1982-Kad Je Sa Mnom Kvari Sve/ Stranac/1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Stranac,,Kad Je Sa Mnom Kvari Sve/ Stranac,1982,['Rock'],,,,,,,,,,,,,1982-Kad Je Sa Mnom Kvari Sve/ Stranac,1982-Kad Je Sa Mnom Kvari Sve/ Stranac/1982-Obične Ljubavne Pjesme/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Početak,,Jugoton Express,1982,"['Rock', 'Non-Music', 'Pop']",,,,,,,,,,,,,1982-Jugoton Express,1982-Jugoton Express/1984-Jugoton Express
Aerodrom,Aerodrom,Nastavak,,Jugoton Express,1982,"['Rock', 'Non-Music', 'Pop']",,,,,,,,,,,,,1982-Jugoton Express,1982-Jugoton Express/1984-Jugoton Express
Aerodrom,Aerodrom,Obična Ljubavna Pjesma,5:09,Obične Ljubavne Pjesme,1982,['Rock'],,,,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2009-Hitovi I Legende/2018-Original Album Collection
Aerodrom,Aerodrom,Sutra Bit Će Bolje,3:49,Obične Ljubavne Pjesme,1982,['Rock'],,Remo Cartagine,Jurica Pađen,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Za Sve Su Krive Žene,4:10,Obične Ljubavne Pjesme,1982,['Rock'],,,,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Snovi,3:33,Obične Ljubavne Pjesme,1982,['Rock'],,,,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Muški Stroj,3:30,Obične Ljubavne Pjesme,1982,['Rock'],,,,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Ne Mogu Tako,3:01,Obične Ljubavne Pjesme,1982,['Rock'],,,,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Odlazim,3:55,Obične Ljubavne Pjesme,1982,['Rock'],,,,,,,,,,,,,1982-Obične Ljubavne Pjesme,1982-Obične Ljubavne Pjesme/2018-Original Album Collection
Aerodrom,Aerodrom,Fratello,,Fratello / 24 Sata Dnevno,1984,['Rock'],Rajko Dujmić,Jurica Pađen,Jurica Pađen,,,,,,,,,,1984-Fratello / 24 Sata Dnevno,1984-Fratello / 24 Sata Dnevno/1984-Dukat I Pribadače/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2009-Hitovi I Legende/2018-Original Album Collection
Aerodrom,Aerodrom,24 Sata Dnevno,,Fratello / 24 Sata Dnevno,1984,['Rock'],Jurica Pađen,Jurica Pađen,Jurica Pađen,,,,,,,,,,1984-Fratello / 24 Sata Dnevno,1984-Fratello / 24 Sata Dnevno/1984-Dukat I Pribadače/2018-Original Album Collection
Aerodrom,Aerodrom,Sedam Milja Iznad Mora,4:34,Dukat I Pribadače,1984,['Rock'],,,,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače
Aerodrom,Aerodrom,Daj Neku Lovu,2:47,Dukat I Pribadače,1984,['Rock'],,,,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/2018-Original Album Collection
Aerodrom,Aerodrom,Puno Mi Je Trebalo,3:32,Dukat I Pribadače,1984,['Rock'],,,,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/2018-Original Album Collection
Aerodrom,Aerodrom,Laž,4:05,Dukat I Pribadače,1984,['Rock'],,,,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Digni Me Visoko,3:05,Dukat I Pribadače,1984,['Rock'],,,,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2009-Hitovi I Legende/2018-Original Album Collection
Aerodrom,Aerodrom,Reci Mi Što Čuješ,4:18,Dukat I Pribadače,1984,['Rock'],,,,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/2018-Original Album Collection
Aerodrom,Aerodrom,"1, 2, 3.",3:21,Dukat I Pribadače,1984,['Rock'],,Jurica Pađen,Jurica Pađen,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače
Aerodrom,Aerodrom,Novogodišnja Noć,3:38,Dukat I Pribadače,1984,['Rock'],,Remo Cartagine,Jurica Pađen,,,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/2018-Original Album Collection
Aerodrom,Aerodrom,Dukat I Pribadače,3:35,Dukat I Pribadače,1984,['Rock'],,Remo Cartagine,Jurica Pađen,,Remo Cartagine,,,,,,,,1984-Dukat I Pribadače,1984-Dukat I Pribadače/2018-Original Album Collection/2018-Original Album Collection
Aerodrom,Aerodrom,"Zagreb, Ljubljana I Beograd",,"Zagreb, Ljubljana I Beograd / Pozdrav Sa Bardo Ravni",1986,['Rock'],,,,,,,,,,,,,"1986-Zagreb, Ljubljana I Beograd / Pozdrav Sa Bardo Ravni","1986-Zagreb, Ljubljana I Beograd / Pozdrav Sa Bardo Ravni/1986-Trojica U Mraku/2018-Original Album Collection"
Aerodrom,Aerodrom,Pozdrav Sa Bardo Ravni,,"Zagreb, Ljubljana I Beograd / Pozdrav Sa Bardo Ravni",1986,['Rock'],,,,,,,,,,,,,"1986-Zagreb, Ljubljana I Beograd / Pozdrav Sa Bardo Ravni","1986-Zagreb, Ljubljana I Beograd / Pozdrav Sa Bardo Ravni/1986-Trojica U Mraku/1996-Flash Back (15 Originalnih Hitova 1979-86)/2018-Original Album Collection"
Aerodrom,Aerodrom,Metar Vina,3:02,Metar Vina / Ljubav Nije Knjiga,1986,['Rock'],,,,,,Jurica Pađen,,,,,,,1986-Metar Vina / Ljubav Nije Knjiga,1986-Metar Vina / Ljubav Nije Knjiga/1986-Trojica U Mraku/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Ljubav Nije Knjiga,3:50,Metar Vina / Ljubav Nije Knjiga,1986,['Rock'],,,,,,Dragan Čačinović - Čač,,,,,,,1986-Metar Vina / Ljubav Nije Knjiga,1986-Metar Vina / Ljubav Nije Knjiga/1986-Trojica U Mraku/1996-Flash Back (15 Originalnih Hitova 1979-86)/2018-Original Album Collection
Aerodrom,Aerodrom,Vatra Je Na Nebu,,Trojica U Mraku,1986,"['Rock', 'Pop']",,,,,,,,,,,,,1986-Trojica U Mraku,1986-Trojica U Mraku/1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Eat A Shit,,Trojica U Mraku,1986,"['Rock', 'Pop']",,,,,,,,,,,,,1986-Trojica U Mraku,1986-Trojica U Mraku/2018-Original Album Collection
Aerodrom,Aerodrom,Razbi Sve Satove,,Trojica U Mraku,1986,"['Rock', 'Pop']",,,,,,,,,,,,,1986-Trojica U Mraku,1986-Trojica U Mraku/2018-Original Album Collection
Aerodrom,Aerodrom,Pogrešan Dan,,Trojica U Mraku,1986,"['Rock', 'Pop']",,,,,,,,,,,,,1986-Trojica U Mraku,1986-Trojica U Mraku/2008-The Ultimate Collection/2018-Original Album Collection
Aerodrom,Aerodrom,Šutnja,,Trojica U Mraku,1986,"['Rock', 'Pop']",,,,,,,,,,,,,1986-Trojica U Mraku,1986-Trojica U Mraku/2018-Original Album Collection
Aerodrom,Aerodrom,Fina Porodica,,Trojica U Mraku,1986,"['Rock', 'Pop']",,,,,,,,,,,,,1986-Trojica U Mraku,1986-Trojica U Mraku/2018-Original Album Collection
Aerodrom,Aerodrom,24 Sata,4:19,Flash Back (15 Originalnih Hitova 1979-86),1996,['Rock'],,,,,,,,,,,,,1996-Flash Back (15 Originalnih Hitova 1979-86),1996-Flash Back (15 Originalnih Hitova 1979-86)/2008-The Ultimate Collection/2009-Hitovi I Legende
Aerodrom,Aerodrom,Kvari Sve,2:56,Flash Back (15 Originalnih Hitova 1979-86),1996,['Rock'],,,,,,,,,,,,,1996-Flash Back (15 Originalnih Hitova 1979-86),1996-Flash Back (15 Originalnih Hitova 1979-86)
Aerodrom,Aerodrom,A Do Splita Pet,5:03,A Do Splita Pet,2001,['Rock'],,,,Jurica Pađen,,,,,,,,,2001-A Do Splita Pet,2001-A Do Splita Pet/2001-Na Travi
Aerodrom,Aerodrom,Ti Možda Možeš,4:36,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Zar Ne,5:20,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,Zlatan Živković,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Nebo Će Uz Tebe Stati,5:51,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Ne Gledaj U Pod,6:20,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Za Juliu Car,5:18,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Korak Unatrag,4:26,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,Mladen Krajnik,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Kakva Zabava,4:32,Na Travi,2001,['Rock'],,,,,,,Jurica Pađen,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Bistra Voda,5:20,Na Travi,2001,['Rock'],,,,,,,Zlatan Živković,,,,,,2001-Na Travi,2001-Na Travi/2008-The Ultimate Collection
Aerodrom,Aerodrom,Badnja Noć,4:34,Na Travi,2001,['Rock'],,,,,,,Zlatan Živković,,,,,,2001-Na Travi,2001-Na Travi/2008-The Ultimate Collection
Aerodrom,Aerodrom,Bonus Track,,Na Travi,2001,['Rock'],,,,,,,,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Christmas Jam,2:49,Na Travi,2001,['Rock'],,,,,,,,,,,,,2001-Na Travi,2001-Na Travi
Aerodrom,Aerodrom,Mili Moj Anđele,3:35,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,"Tvoj Pas Me Čudno Gleda (Čuko Haj, Šapu Daj)",3:02,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Nema Više Druga Tita,3:43,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Odma Mi Je Zapela Za Oko,4:10,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Što Će Nama Peć,4:04,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Kći Starog Vodeničara,3:34,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Rock @ Roll,3:08,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Osama,3:04,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Nije Meni Žao,2:40,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Sretna Vremena,3:38,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,Zdravko Tabain,Zdravko Tabain,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Samo Se Ovce Nadaju,3:25,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,Fait Accompli,2:49,Rock @ Roll,2007,"['Rock', 'Pop']",,,,,,,,,,,,,2007-Rock @ Roll,2007-Rock @ Roll
Aerodrom,Aerodrom,CD 1,,The Ultimate Collection,2008,['Rock'],,,,,,,,,,,,,2008-The Ultimate Collection,2008-The Ultimate Collection
Aerodrom,Aerodrom,"Kad Je Sa Mnom, Kvari Sve",2:52,The Ultimate Collection,2008,['Rock'],Tini Varga,,,Jurica Pađen,,Tini Varga,,,,,Jurica Pađen,,2008-The Ultimate Collection,2008-The Ultimate Collection
Aerodrom,Aerodrom,Pozdrav S Bardo Ravni,5:05,The Ultimate Collection,2008,['Rock'],Aerodrom,,,Jurica Pađen,,Jurica Pađen,,,,,Jurica Pađen,,2008-The Ultimate Collection,2008-The Ultimate Collection
Aerodrom,Aerodrom,A Do Splita 5,4:58,The Ultimate Collection,2008,['Rock'],Aerodrom,,,Jurica Pađen,,,,,,,Jurica Pađen,,2008-The Ultimate Collection,2008-The Ultimate Collection
Aerodrom,Aerodrom,CD 2,,The Ultimate Collection,2008,['Rock'],,,,,,,,,,,,,2008-The Ultimate Collection,2008-The Ultimate Collection
Aerodrom,Aerodrom,Slatka Mala Stvar,2:34,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Divljakuša,3:37,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Usne Vrele Višnje,4:00,Hitovi I Legende,2009,"['Rock', 'Pop']",,,Branimir Štulić,,,,,,,,,Nino Rota,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Otkazani Let,3:48,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Moja Prva Ljubav,4:26,Hitovi I Legende,2009,"['Rock', 'Pop']",,Srđan Sacher,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Lutka Za Bal,4:06,Hitovi I Legende,2009,"['Rock', 'Pop']",,Husein Hasanefendić,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Pjevajmo Do Zore,3:41,Hitovi I Legende,2009,"['Rock', 'Pop']",,Jura Stublić,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Tvoj Pas Me Čudno Gleda,4:51,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,A Šta Da Radim,2:48,Hitovi I Legende,2009,"['Rock', 'Pop']",,Branimir Štulić,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Što Si U Kavu Stavila,2:56,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Suzama,3:56,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Bonus Tracks,,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Ko Je Umro Više Puta,3:27,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Farma Band Aid,3:07,Hitovi I Legende,2009,"['Rock', 'Pop']",,,,,,,,,,,,,2009-Hitovi I Legende,2009-Hitovi I Legende
Aerodrom,Aerodrom,Taktika Noja,3:10,Taktika Noja,2012,['Rock'],,,,,,,,,,,,,2012-Taktika Noja,2012-Taktika Noja
Aerodrom,Aerodrom,Mila Moja,3:22,Taktika Noja,2012,['Rock'],,,,,,,,,,,,,2012-Taktika Noja,2012-Taktika Noja
Aerodrom,Aerodrom,Dovela Si Me U Red,2:54,Taktika Noja,2012,['Rock'],,,,,,,,,,,,,2012-Taktika Noja,2012-Taktika Noja
Aerodrom,Aerodrom,Široko Ti Bilo Polje,4:24,Taktika Noja,2012,['Rock'],,,,,,,,,,,,,2012-Taktika Noja,2012-Taktika Noja
