Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
M58jOCzX_1_0,Aerodrom,Aerodrom,24 sata,26055,"Priznajem, grijesio sam bas kao i svi
znam da sam prepun mana, ali, vjeruj mi
moja ljubav oduvijek je bila
cista i tebe dostojna

Zbog nje sam bio spreman se pokoriti
i protiv razuma se svoga boriti
i napustit' svoje staro drustvo
tebi je bilo svejedno
 
Ref.
Ti nikad nisi saznala
koliko mi je do tebe stalo
dvadeset i cet'ri sata dnevno
s tobom je bilo premalo

Ti uvijek imas pravo se potuziti
mozda su ti drugi mogli vise pruziti
ali, vjeruj, kunem ti se, nikad 
nisam za cijenu pitao

Koliko sam puta te na kisi cekao
kasnila si sate, nista nisam rekao
za tebe sam htio sve na svijetu
tebi je bilo svejedno

Ref. 3x","https://tekstovi.net/2,1073,18835.html"
M58jOCzX_1_1,Aerodrom,Aerodrom,7 milja iznad mora,1660,"Hajde ponudi me
uzet cu bilo sto
osjecam uzitak kad sebi cinim zlo
slatko samounistenje

Dati cu sve sto imam
al' hocu i tudje
kad je do kraja ludo
nek' bude jos ludje
reci kako ti se svidja
 
Ref.
Ja vise ne bojim se
zivjeti bez pameti
ne treba mi skola
odlazak u vojsku
ni roditeljski savjeti

Ja nisam prvak svijeta
ali sam uvjek tu
i nemoj brinut, neces
sjetit me se po zlu
tako pise na mom dlanu

Moje poene netko dijeli i zbraja
al' puca meni zato
ja idem do kraja
nista me zadrzat nece

Ref.

Poslije 12 vise nemam carolije
ostat ce zedan onaj
tko casu prolije
osim ako ne ukrade

Ova je prica upravo prestala
jos pogodi samo kako je nastala
7 milja iznad mora

Ref.","https://tekstovi.net/2,1073,51056.html"
M58jOCzX_1_2,Aerodrom,Aerodrom,Bistra voda,1730,"Da pospremim 
u srcu lom
mrka planina
dala mi dom

Jezera sva
ne znam im broj
u nijednom odraz
ja ne vidim svoj
 
Ref.
Bistra vodo
ko te je zamutio
neka zna 
da me je naljutio

Bistra vodo
niko ne vidi ti kraj
primi me
primi u svoj zagrljaj

Leptir na moj
spusta se dlan
ko od nas dvoje
sanja taj san

Ref.

Ref.

Bistra vodo","https://tekstovi.net/2,1073,51123.html"
M58jOCzX_1_3,Aerodrom,Aerodrom,Daj neku lovu,747,"Ako ti kazu da ti 
fali svijecica u glavi
ne idi kopilanu 
doktoru da ti je stavi

Jer on unaprijed vec
ozbiljno lice pravi
i samo jedno misli
dok lista svoje knjige
 
Daj mu neku lovu
i budi bez brige

Ako ti ne idu bas
predmeti u skoli
to nije zato jer te
profesor ne voli

Ti dobro znas da njega
za djakom srce boli
i on ti nudi sansu 
da svaris teske knjige

Daj mu neku lovu
i budi bez brige

Ako ti slucajno 
zaposlenje treba
ukopcaj, drago dijete
da to ne pada s neba

Kakav je postupak
to zna i mala beba
sef u komisiji
drzat' ce za tebe fige

Daj mu neku lovu
i budi bez brige","https://tekstovi.net/2,1073,57111.html"
M58jOCzX_1_4,Aerodrom,Aerodrom,Digni me visoko,35385,"Uzmi me sa sobom i odvedi me
i odvedi me, i odvedi me
digni me visoko da ti ispricam
svoje snove sve, svoje snove sve

O zemlji preko mora gdje su djevojke
gdje su djevojke, gdje su djevojke
koje nikad nikom nisu rekle ne
nisu rekle ne, nisu rekle ne
 
Ref.
Al' ja ipak nisam luda
koja vjeruje u cuda
sto se kriju iza mora
i gora dalekih

Spusti me na zemlju, ali oprezno
ali oprezno, ali oprezno
hrabar sam, al' necu izazivat' zlo
izazivat' zlo, izazivat' zlo

Mozda jednog dana ipak uspijem
ipak uspijem, ipak uspijem
samo ako prije se ne napijem
se ne napijem, se ne napijem

Jer ja ipak nisam luda
koja vjeruje u cuda
sto se kriju iza mora
i gora dalekih

Ref.

Ref.","https://tekstovi.net/2,1073,22231.html"
M58jOCzX_1_5,Aerodrom,Aerodrom,Dobro se zabavljaj,2788,"Nemoj mi priznati
kad posumnjam da si
s drugim otisla

Nemoj mi priznati
cak ni kada vidim
svojim ocima
 
Ref.
Dobro se zabavljaj
dobro se zabavljaj
dobro se zabavljaj
malo je vremena

U nikog ne vjeruj
najdrazi je ipak
svatko sebi Bog

Ne daj se smetati
pusti neka ljudi
svoje pricaju

Ref.

I kad nikog vise
nema kraj tebe
ukljuci radio

Slusaj svoju
najdrazu melodiju
jer ja ne marim

Ref.

Ref.","https://tekstovi.net/2,1073,44299.html"
M58jOCzX_1_6,Aerodrom,Aerodrom,Fratello,56079,"Dolje u luci, barka me ceka
neka priceka
jer Amerika
je zemlja daleka

Zbogom maslinici
zbogom toplo more
zbogom crno vino
zbogom Serafino i ostala braco
 
Ref. 2x
Pisi mi, brate
pisi mi, fratello
poslat' cu ti sto ti
srce bude htjelo

A na kraju samo
jedno te molim
zaklinjem te krvlju
cuvaj ono sto najvise volim

Cuvaj mi Rozi
i uvijek joj pomozi
mi smo Kalabrezi, Sicilijanezi
siamo Cosa Nostra

Ref. 2x","https://tekstovi.net/2,1073,14162.html"
M58jOCzX_1_7,Aerodrom,Aerodrom,Ja te jednostavno volim,3075,"Trazio sam ljubav
trazio sam spas
odveo me tebi
tajanstveni glas

Nikad nisam tako
na brzaka pao
ustreptalo srce
svoje sam ti dao
 
Ref.
Ne znam kako da odolim
ja te jednostavno volim 

Predugo su bili
skriveni u sjeni
zakopani negdje
duboko u meni

Osjecaja svojih
vise se ne bojim
bez njih ja sam nista
bez njih ne postojim

Ref. 2x

Ref. 2x","https://tekstovi.net/2,1073,54720.html"
M58jOCzX_1_8,Aerodrom,Aerodrom,Kad misli mi vrludaju,3357,"U kaficu stojim
hladnu coca-colu pijem
prolaznike brojim

Zrak je vruc i tezak
al' ne gubim nadu
dobro je dok sam u hladu
 
Ref. 2x
Jer ja ne marim
za sve te stvari
meni je najbolje
kad misli mi vrludaju

Svi se zure nekud
trce, jer umjesto srca
kucaju im ure

Za to vrijeme ja
vec ko zna kuda plovim
sitnis po dzepu lovim

Ref.

Ref. 2x","https://tekstovi.net/2,1073,44291.html"
M58jOCzX_1_9,Aerodrom,Aerodrom,Kraj tebe u tami,3610,"Ljudi prolaze
i nekud odlaze
sa koferom u glavi
i mukom pod rukom

Ref.
A meni je lijepo
kraj tebe u tami
gdje jedino svjetlo koje dolazi
je ono sto se pali
vani na reklami
 
I nekad netko stane
i uzasnut nesto vice
a ostali ne slusaju/idu dalje
njih se ne tice

Ref.

Ref. 2x","https://tekstovi.net/2,1073,44295.html"
