Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Album_genres_discogs,Arranged By_discogs,Featuring_discogs,Vocals [Duet]_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Alen Vitasović,Alen Vitasović,Ne Moren Bez Nje,,Ne Moren Bez Nje,1993,['Pop'],,,,,1993-Ne Moren Bez Nje,1993-Ne Moren Bez Nje/1994-Gušti Su Gušti/1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Sandra,,Ne Moren Bez Nje,1993,['Pop'],,,,,1993-Ne Moren Bez Nje,1993-Ne Moren Bez Nje/1994-Gušti Su Gušti/1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija/2015-The Best Of Collection
Alen Vitasović,Alen Vitasović,Ne Moren Bez Nje (Instrumental),,Ne Moren Bez Nje,1993,['Pop'],,,,,1993-Ne Moren Bez Nje,1993-Ne Moren Bez Nje
Alen Vitasović,Alen Vitasović,Gušti Su Gušti,,Gušti Su Gušti,1994,['Pop'],Davor Tolja,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti/1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Jednu Noć,,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti
Alen Vitasović,Alen Vitasović,Po Ud Mene,,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti/1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Ča Je?,,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti
Alen Vitasović,Alen Vitasović,Gušti Su Gušti (Verzija),,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti
Alen Vitasović,Alen Vitasović,Katarina,,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti
Alen Vitasović,Alen Vitasović,Uzmi Me,,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti/1995-Svi Festivali Plus Koncert
Alen Vitasović,Alen Vitasović,"Ča, Ja Ću Čekat",,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti
Alen Vitasović,Alen Vitasović,Finilo Je Sve,,Gušti Su Gušti,1994,['Pop'],,,,,1994-Gušti Su Gušti,1994-Gušti Su Gušti
Alen Vitasović,Alen Vitasović,Festivali,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert
Alen Vitasović,Alen Vitasović,Nisi Više Mala,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert/2000-Ja Ne Gren/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Bura,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija/2015-The Best Of Collection
Alen Vitasović,Alen Vitasović,Samo Bog Te Moga Učiniti,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Ko Mi Rečeš Da,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert
Alen Vitasović,Alen Vitasović,Samo Za Nju,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert
Alen Vitasović,Alen Vitasović,Vrime Ud Zime,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Koncert,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert
Alen Vitasović,Alen Vitasović,Ča Je,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert
Alen Vitasović,Alen Vitasović,Jenu Noć,,Svi Festivali Plus Koncert,1995,['Pop'],,,,,1995-Svi Festivali Plus Koncert,1995-Svi Festivali Plus Koncert/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Ribnjak,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?
Alen Vitasović,Alen Vitasović,Come Va?,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Pjesma O Gospodi,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?
Alen Vitasović,Alen Vitasović,Dva Kračuna,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?
Alen Vitasović,Alen Vitasović,Na Pola Puta,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?
Alen Vitasović,Alen Vitasović,Marija,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?/2010-Zlatna Kolekcija/2015-The Best Of Collection
Alen Vitasović,Alen Vitasović,Duša,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?/2010-Zlatna Kolekcija/2015-The Best Of Collection
Alen Vitasović,Alen Vitasović,Ni Me Briga,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Česta Priko Mora,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?
Alen Vitasović,Alen Vitasović,Jenu Noć Live,,Come Va?,1997,['Pop'],,,,,1997-Come Va?,1997-Come Va?
Alen Vitasović,Alen Vitasović,Ja Ne Gren,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Ludo Srce,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Ona Je Sama,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Kud Na Doček Nove Godine,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Nisam Bio Za tebe,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Ptice Umiru Pjevajući,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Tlocrt Života,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Ne Traži Me,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Mi Smo Sami,,Ja Ne Gren,2000,['Pop'],,,,,2000-Ja Ne Gren,2000-Ja Ne Gren
Alen Vitasović,Alen Vitasović,Loredana,,Grih,2003,"['Pop', 'Folk, World, & Country']",,Lisa Hunt (3),,,2003-Grih,2003-Grih/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Ud Subote,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Ki Me Voli,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Lakše Je Kad Se...,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Istrijan,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Bol Me Ne Boli,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Sve Ča San Ja Pasa,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Grih,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Niš Mi Se Ne Da,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih/2010-Zlatna Kolekcija
Alen Vitasović,Alen Vitasović,Nevera,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Roža,,Grih,2003,"['Pop', 'Folk, World, & Country']",,Bruno Krajcar,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Ako Tebi Lažen...,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Ima San Sve,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Ako Bog Da Sriće,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Života Me Nose Vjetri,,Grih,2003,"['Pop', 'Folk, World, & Country']",,,,,2003-Grih,2003-Grih
Alen Vitasović,Alen Vitasović,Katerina,4:03,Zlatna Kolekcija,2010,['Pop'],,,,,2010-Zlatna Kolekcija,2010-Zlatna Kolekcija/2015-The Best Of Collection
Alen Vitasović,Alen Vitasović,˙Ko Mi Rečeš Da,3:35,Zlatna Kolekcija,2010,['Pop'],,,,,2010-Zlatna Kolekcija,2010-Zlatna Kolekcija
