Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Piano_discogs,Producer_discogs,Panpipes [Sikus]_discogs,Remix_discogs,Arranged By_discogs,Lyrics By [Co-written]_discogs,Lyrics By_discogs,Music By_discogs,Voice [Dracula]_discogs,DJ Mix_discogs,Guitar_discogs,Featuring_discogs,Vocals [Duet With]_discogs,Engineer_discogs,Instruments [Additional]_discogs,Vocals [French]_discogs,Featuring [Rap]_discogs,Backing Vocals_discogs,Tamburitza [Brač_discogs,Bugarija_discogs,Prim]_discogs,Arranged By [Tambura]_discogs,Vocals_discogs,Saxophone_discogs,Guest_discogs,Album_year_title_discogs,All_albums_discogs
Colonia,Colonia,Sve Oko Mene Je Grijeh,4:53,Colonia Project,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0-Colonia Project,1996.0-Colonia Project/nan-Vatra I Led/nan-The Best Of Volume 1/2005.0-Gold Edition/nan-Retroactive Early Years/2011.0-Gold Edition/2013.0-Komplet 4 CDa/2013.0-Komplet 4 CDa/nan-C'est La Vie/0.0-The Best Of
Colonia,Colonia,Ljubavi Mi Treba,4:14,Colonia Project,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0-Colonia Project,1996.0-Colonia Project/nan-Vatra I Led
Colonia,Colonia,Nek' Vatre Gore,3:54,Colonia Project,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0-Colonia Project,1996.0-Colonia Project
Colonia,Colonia,Božićna Noć,3:51,Colonia Project,1996.0,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0-Colonia Project,1996.0-Colonia Project/nan-Vatra I Led/0.0-The Best Of
Colonia,Colonia,Vatra I Led,4:10,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led/nan-The Best Of Volume 1/nan-Retroactive Early Years/2013.0-Komplet 4 CDa/nan-C'est La Vie/0.0-The Best Of
Colonia,Colonia,Dio Nje,3:35,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led/nan-The Best Of Volume 1/2013.0-Komplet 4 CDa/nan-C'est La Vie/0.0-The Best Of
Colonia,Colonia,Suze Sa Zvijezda,5:00,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led
Colonia,Colonia,Dok Spava Grad,4:19,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led
Colonia,Colonia,Nek' Vatre Gore Sve,3:48,Vatra I Led,,,Fedor Boić,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led
Colonia,Colonia,Slijepi Putnik,3:54,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led/0.0-The Best Of
Colonia,Colonia,Mačka,3:22,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led
Colonia,Colonia,Novi Ratovi,5:29,Vatra I Led,,,,Ivan Androić,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led
Colonia,Colonia,Red Light Zone,4:08,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led/nan-The Best Of Volume 1/nan-Retroactive Early Years
Colonia,Colonia,Red Light Zone (Heavy Mix),4:06,Vatra I Led,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Vatra I Led,nan-Vatra I Led
Colonia,Colonia,Lady Blue,3:41,Lady Blue,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0-Lady Blue,1998.0-Lady Blue/nan-Ritam Ljubavi/nan-The Best Of Volume 1/2009.0-Special Dance Edition/nan-Retroactive Early Years/nan-C'est La Vie/0.0-The Best Of
Colonia,Colonia,U Ritmu Ljubavi,4:14,Lady Blue,1998.0,,,,,,,,,,,,,,,,,,,,,,,,,,1998.0-Lady Blue,1998.0-Lady Blue/nan-Ritam Ljubavi/nan-The Best Of Volume 1/2011.0-Gold Edition/2013.0-Komplet 4 CDa/0.0-The Best Of
Colonia,Colonia,Sve Oko Mene Je Grijeh (Neno D.J. Radio Edit),3:55,Lady Blue,1998.0,,,,Neno DJ,,,,,,,,,,,,,,,,,,,,,,1998.0-Lady Blue,1998.0-Lady Blue
Colonia,Colonia,Sve Oko Mene Je Grijeh (Neno D.J. Extended Mix),6:31,Lady Blue,1998.0,,,,Neno DJ,,,,,,,,,,,,,,,,,,,,,,1998.0-Lady Blue,1998.0-Lady Blue
Colonia,Colonia,Sve Oko Mene Je Grijeh (Neno D.J. Trance Mix),6:05,Lady Blue,1998.0,,,,Neno DJ,,,,,,,,,,,,,,,,,,,,,,1998.0-Lady Blue,1998.0-Lady Blue
Colonia,Colonia,Ti (Radio Mix),,Ti / MegaMix,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Ti / MegaMix,1999.0-Ti / MegaMix
Colonia,Colonia,Ti (Dee Jay Time Club Mix),,Ti / MegaMix,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Ti / MegaMix,1999.0-Ti / MegaMix
Colonia,Colonia,MegaMix (Dee Jay Time Radio Mix),,Ti / MegaMix,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Ti / MegaMix,1999.0-Ti / MegaMix
Colonia,Colonia,MegaMix (Dee Jay Time Extended Mix),,Ti / MegaMix,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Ti / MegaMix,1999.0-Ti / MegaMix
Colonia,Colonia,Ljubav Ne Stanuje Tu (Radio Edit),3:45,Ljubav Ne Stanuje Tu,1999.0,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0-Ljubav Ne Stanuje Tu,1999.0-Ljubav Ne Stanuje Tu
