,Song_ID,Song,Lyrics
0,QUgrhjBj_1_0,1001 noc,"Malo po malo i ovaj grad tone u san, prolazi još jedan dan dosadan, bilo bi vrijeme da se probaju haljine, i da se uskoči u najbolje cipele. Malo po malo i ovaj grad postat će naš, ma pusti priče i nagazi na gas, gdje je party, gdje je pjesma, gdje je vino tu je spas, gdje je ludi ritam noći, to je mjesto za nas. Zaboravi sve i pusti me, nek' se svijet oko nas okreče, zaboravi sve i osjeti moć, nije nam dovoljna ni 1001 noć. Malo po malo i zora već je svanula, a vatra je tek u nama planula, došlo je vrijeme kada najjači ostaju, vrijeme kada krinke padaju. Malo po malo i ovaj grad postat će nas, ma pusti priče i nagazi na gas, gdje je party, gdje je pjesma, gdje je vino tu je spas, gdje je ludi ritam noći, to je mjesto za nas."
1,QUgrhjBj_1_1,Ako odeš,"Gledam ti lice, slušam besmislice. Kao da su riječi stranca. Nudiš mi stalno neku drugu ljubav. Reci mi čemu sve ovo. Zar nismo ti i ja kao savršena harmonija. Možda su note postale nijeme. Izgubljene u tvojim lažima. Ako odeš, ne okreći se. Čekaju te mokre ulice. Samo idi, preživjet ću ja sve. I prije sam bila bez tebe. Gledam u lice kukavice. Kao da te ne poznajem više. Nudiš mi rame, svoje prijateljstvo. Reci mi čemu sve ovo. Zar nismo ti i ja kao savršena harmonija. Možda su note postale nijeme. Izgubljene u tvojim lažima. Ako odeš, ne okreći se. Čekaju te mokre ulice. Samo idi preživjet ću ja sve. I prije sam bila bez tebe"
2,QUgrhjBj_1_2,Alarmantno,"Pola tri u noći, ulazim u bar. Oko mene gužva, svira moja stvar. Ti stojiš sam, odakle te znam. Opasno me gledaš. Struja udara. Pokvari mi ruž. To me zanima. Daj mi znak. Ugrizi me za vrat. Tik, tik, tak zato bi se napili. Ma reci da si moj, daj slatko laži mi. Nije alarmantno, ali je delikatno. Tik, tik, tak samo tako nastavi. Lud je ovaj grad ma neka smo i mi. Nije alarmantno, ali je delikatno. Ha, la, la, la, la, laj, la. Yo estoy bailando. Yo estoy bailando. Yo estoy bailando. Reggeton, reggeton. Yo estoy bailando. Yo estoy bailando. Alaramante, alaramante. Yo estoy bailando. Alaramante, alaramante. Yo estoy bailando. Alaramante, alaramante. Yo estoy bailando. Ha, la, la, la, la, laj, la. Alaramante, alaramante. Ha, la, la, la, la, laj, la. Yo estoy bailando. Yo estoy bailando. Ne znam ti ni ime, al’ dobro izgledaš. Daj nam uzmi još piće ili dva. Nježno me diraj, po meni sviraj. Opasno me gledaš. Struja udara. Pokvari mi ruž. To me zanima. Daj mi znak. Ugrizi me za vrat. Tik, tik, tak zato bi se napili. Ma reci da si moj, daj slatko laži mi. Nije alarmantno, ali je delikatno. Tik, tik, tak samo tako nastavi. Lud je ovaj grad ma neka smo i mi. Nije alarmantno, ali je delikatno. Ha, la, la, la, la, laj, la. Yo estoy bailando. Yo estoy bailando. Yo estoy bailando. Reggeton, reggeton. Yo estoy bailando. Yo estoy bailando. Alaramante, alaramante. Yo estoy bailando. Alaramante, alaramante. Yo estoy bailando. Alaramante, alaramante. Yo estoy bailando. Ha, la, la, la, la, laj, la. Alaramante, alaramante. Ha, la, la, la, la, laj, la. Yo estoy bailando. Yo estoy bailando. Tik, tik, tak zato bi se napili. Ma reci da si moj, daj slatko laži mi. Nije alarmantno, ali je delikatno. Tik, tik, tak samo tako nastavi. Lud je ovaj grad ma neka smo i mi. Yo estoy bailando, ali je delikatno. Alaramante, alaramante"
3,QUgrhjBj_1_3,Ale Ale,"Ale ale ale ale!. Ale ale ale ale!. Hrvatska, ale ale!. Srce tuče samo za tebe!. Živim za taj doživljaj. Kada se skupe moji prijatelji svi. Emocije i vatromet. Uz pivo i nogomet. I nitko nije jači od nas. Kad pjesma krene, ajmo svi u jedan glas. Grla se ore, tribine gore. Hoćemo gol, gol, gol, gol!. Ale ale ale ale!. Ale ale ale ale!. Hrvatska, ale ale!. Srce tuče samo za tebe!"
4,QUgrhjBj_1_4,Anđele,"Prošla sam stotine cesta, da dođem do tebe, voljela sam krive ljude, tražila sebe. Ti kao da si uvijek bio tu, u blizini, pobijedila sam tugu i tamu, da te napokon vidim... Anđele, vratio si ljubav i osmijehe. Anđele, umrla bih sad za tebe. Anđele, anđele. Kao da si uvijek bio tu, u blizini, pobijedila sam tugu i tamu, da te napokon vidim... Anđele, vratio si ljubav i osmijehe. Anđele, umrla bih sad za tebe. Anđele, anđele."
5,QUgrhjBj_1_5,Avantura zove me,"Izludjuje me ovaj uspavan grad, kud bih sa sobom, mislim ponekad, zivot zna biti ovdje tako dosadan. Nije kasno da ostvarim san, okrenut cu pricu, nikog ne trebam, jer sutra je opet neki novi dan. U mome srcu vatra je, ja nikad ne odustajem, ucinut cu sve jer ne bojim se, avantura zove me. Nema vremena, nema cekanja, svjetla pale se opet sad, nema vremena, nema cekanja, samo jedna je prilika"
6,QUgrhjBj_1_6,Barem da si malo moj,"Opet sanjam, tako zelim da si tu, u mom krevetu. Gorim, ludim, mozda je slatko, sto si njen, pa si zabranjen. Barem da si malo moj. Kradom gledam, mozda ulovim sad taj, jedan pogled tvoj"
7,QUgrhjBj_1_7,Bijela zastava,"Ova je ljubav jos jedna bitka, izgubljena, srce je rusevina, kroz maglu i dim, kao ranjeni vojnik, bijela zastava u mojim rukama. I ostaje gorka spoznaja, samoce i ludila, moj najveci grijeh, duso, bio je neuspjeh. A dala sam ti zivot, dala sam ti sve, tebi podredila cijeli svijet, s tobom presla kamen, vodu, krivi i pravi put, sve je bilo uzalud. Ova je ljubav jos jedna bitka, izgubljena, srce je rusevina, kroz maglu i dim, kao ranjeni vojnik, bijela zastava u mojim rukama. I ostaje gorka spoznaja, samoce i ludila, moj najveci grijeh, duso, bio je neuspjeh"
8,QUgrhjBj_1_8,Bolja vremena,"Sjecam se dana, kad smo bili klinci ti i ja, dolje u predgradju, iza svih onih nebodera. Bez brige, bez pameti, bez problema, bez svih ovih zivotnih dilema, bilo je vazno samo, dobro zabavljati se. To, to su bila, bolja vremena, to su bile godine. Sjecas se dana kad se zivot, nije mjerio po cipelama, i ljudi nisu glumili, u losim filmovima. Netko ti slomi srce, netko ga zalijeci, uvijek smo znali, preko svakog mosta preci, bilo je slatko i ludo, zabavljati se"
9,QUgrhjBj_1_9,Brodolom,"Otavaram oci u praznoj sobi, ovo mjesto vise nije dom, posvuda slike i tragovi tvoji, sjeca me na brodolom. Ljuta sam sto nije stao svijet. Nema te, nema, usne su suhe, tako nedostajes mi, ja ne disem, ja ne zivim, samo cekam da prodje dan. Nema te, nema, oci su prazne, tako nedostajes mi, ja ne disem, ja ne zivim, samo cekam da prodje dan. Tisina je glasnija nego ikad, ovo mjesto vise nije dom, a nasa pjesma svira i dalje, sjeca me na brodolom. Ljuta sam sto nije stao svijet"
