Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Written By [Lyrics By]_discogs,Arranged By_discogs,Album_year_discogs,Vocals_discogs,Music By_discogs,Acoustic Guitar_discogs,Performer_discogs,Vocals [Guest]_discogs,Vocals [Duet]_discogs,Flute_discogs,Written-By_discogs,Performer [Guest]_discogs,Featuring [Uncredited]_discogs,Featuring_discogs,Composed By_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Doris Dragović,Doris Dragović,Srce Mi Slomi,,Rajko Šimunović,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica/1990.0-Budi Se Dan
Doris Dragović,Doris Dragović,Ko Je To Sa Nama,,,Tigrica,L. Vukašinović,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,Ne Propusti Niti Jedan Dan,,Katarina Šoškić Naglov,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,Dođi,,Rajko Šimunović,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica/nan-Živim Po Svom/2007.0-The Platinum Collection/2014.0-The Best Of Collection/2016.0-Live Spaladium Arena
Doris Dragović,Doris Dragović,Nazovi Me,,,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,"Hej, Jugosloveni",,,Tigrica,,Zvonimir Skerl,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,Tigrica,,,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,Santa Maria Del La Salute,,Laza Kostić,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,Tako Se To Radi,,,Tigrica,,,,,,,,,,,,,,,,,nan-Tigrica,nan-Tigrica
Doris Dragović,Doris Dragović,Početak,,,Jugoton Express,,,1986.0,,,,,,,,,,,,,,1986.0-Jugoton Express,1986.0-Jugoton Express/1986.0-Jugoton Express/1987.0-Jugoton Express/1987.0-Jugoton Express
Doris Dragović,Doris Dragović,Nastavak,,,Jugoton Express,,,1986.0,,,,,,,,,,,,,,1986.0-Jugoton Express,1986.0-Jugoton Express/1986.0-Jugoton Express/1987.0-Jugoton Express/1987.0-Jugoton Express
