Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet
dPHel+/u_1_0,Gibonni,Gibonni,Ako me nosis na dusi,190538,"K'o fina prasina u oku
sitan kamen na dnu cipele
ko fitilj zarobljen u vosku
mislim na tebe

Da mogu smrvio bih kamen
i svu bi tugu oci same isprale
a niti vezane za plamen
moraju da sagore
 
Ref. 2x
Ako me nosis na dusi
i nemas s kime sagraditi dom
ako me nosis na dusi
vjeruj, mila, briga me za to

Ljubim druge, a ne osjecam
i svaki dodir mi je ko da ustajem
na nogu sto mi je utrnula
bez ljubavi, nadanja, bez tebe ne ide

Ref.

K'o fina prasina u oku
sitan kamen na dnu cipele
ko fitilj zarobljen u vosku
mislim na tebe","https://tekstovi.net/2,153,7042.html"
dPHel+/u_1_1,Gibonni,Gibonni,Andjeo u tebi (duet Goran Bare),182482,"Pod njegove plahte kako si to zalutala
neki ljudi ne smiju se sresti
ne postoji slamka da bi se za nju drzala
dok mu nosis nenadane vijesti

Ljudi se kvare, valjda si to naucila
ni on nije kakav ti se cini
potonulu ladju sakrit ces ispod jezika
usidrena tajna u tisini
 
Ref. 2x
Sta on ima sa ditetom u tebi
da se stidi, da ga skriva
kad zavolio ga ne bi
sta on ima s ditetom u tebi
sta ti vridi da ga prizna
kad zavolio ga ne bi

U javnom wc-u flomasterom ispisan je zid
to brodolomci salju poruke u boci
to ne vidi nitko, cita ih samo dragi Bog
koji moze ovo ludilo zakocit

Toliko ljudi vuku se u kolonama
u svojim urnama na cesti
ti ne vidis nikoga na koga bi sad racunala
bar jednog kojeg vridilo bi sresti

Sta on ustvari ima sa andjelom u tebi
sta ti vridi da ga prizna kad zavolio ga ne bi

Ref. 2x
","https://tekstovi.net/2,153,17818.html"
dPHel+/u_1_2,Gibonni,Gibonni,"Bella Figura, Bella Pitura",10229,"Tamo dole, u bratove postole
na ono misto di ti prsti dodju
mater guzva novine i stavlja
da ti ne bi digod ispale sa nogu

I vrtis glavon kad ti mater rece
bit ce bolje, necemo se zalit
ako mislis da si rodjen za nesto puno vece
posrane postole ne mogu te smanjit
 
Bella Figura, Bella Pitura
kako materi ces kazat'
od toga nema kruva
svi su isli naprid
samo mi smo isli nazad

Tamo di ti mater drzi metle
ima buza koja tajnu cuva
novce sto ih ona sakriva od sebe
za crne dane, sibice i duvan

Duvan triba da joj smiri nerve
a sibice da more ga pripalit
novci sluze da uzmes ih za sebe
da se cili zivot imas cega sramit

Bella Figura, Bella Pitura
kako materi ces kazat'
od mene nema kruva
svi su isli naprid
samo ja san isa nazad

Bella Figura, Bella Pitura
kako materi ces kazat'
od mene nema kruva
svi su isli naprid
svi su isli naprid
samo ja san isa nazad
samo ja san isa nazad

Prvi puta se cutis kao netko
vridan pod svitlima casina
sve su tvoje muke sad dovoljno daleko
jos smo da te pogladi sudbina

A prid zoru, jedna kuzina u mraku
jedna sjena ceka kada ces otvorit
i kaze: dite moje, ako ubijes mi nadu
onda neman vise di cu se zaklonit'

Neman di cu se zaklonit'

Bella Figura, Bella Pitura
mater tila bi ti kazat'
od toga nema kruva
nek' drugi idu naprid
samo ti mi dodji nazad

Bella Figura, Bella Pitura
mater tila bi ti kazat'
od tega nema kruva
nek' drugi idu naprid
samo ti mi dodji nazad
samo ti mi dodji nazad
samo ti mi dodji nazad
neman di cu se zaklonit'","https://tekstovi.net/2,153,54520.html"
dPHel+/u_1_3,Gibonni,Gibonni,Bit cu kao ti,95580,"Sutnja prekrila je stazu
vidio sam gdje tvoji svati kuci odlaze
a ti si kasnila na svadbu
jer nisi htjela da ostaris kraj takva covjeka

I mada sutis ja te razumijem 
jer tvoji nisu znali tko je on
i da je srce dragi kamen 
sto sto put' vise vrijedi nego svo
njegovo blago, njegovo zlato
i ako stvarno nemas nista ti sa njim
 
Ref.
Bit ces bijela vrana, al' ti nista ne mogu
bit ces pjesma moja koju gluhi ne cuju
draga ja sam na to spreman i bit cu sve sto treba
bit cu kao ti

Bit cu bijela vrana koju crne kljucaju
bit cu pjesma tvoja, gluhi u nju pucaju
draga ja sam na to spreman i bit cu sve sto treba
bit cu kao ti, bit cu kao ti

Prstom prekrit ces mi usne
lagali su te, ptice ipak sutke umiru, ne pjevaju
i kad te hvale, slave ili ljube 
svaki drugi je Juda koji s tobom trguje

A sto da cinim u ovoj noci 
kad su znali da nas vezu zicama
ja cupam srce iz ovih grudi 
pa ga kroz prozor nudim gladnim pticama
one se smiju, one se smiju
znaju da nikad nismo bili dio njih

Ref. 2x

Jer svaki drugi je juda koji sa mnom tuguje","https://tekstovi.net/2,153,20353.html"
dPHel+/u_1_4,Gibonni,Gibonni,Bolje da sam sutio,75250,"Sta, sta da popravim sad
kad dobro znam da ispalo bi sretnije
samo da sam pricao pametnije

Sta, sta da popravim sad
kad ja sam tebe dobro iznervirao
s time sto sam drugu zenu dirao
 
Ref.
Bolje da sam sutio
ne bih te naljutio 
ne bih te naljutio, znam

Ali jezik prljavi 
uvijek sve zabrljavi
bolje da sam sutio ja
da sam sutio ja

Sta, sta da popravim sad
kad ja sam cijele noci s drugom bludio
i s time nasoj ljubavi presudio

Ref.

Ref. 2x

","https://tekstovi.net/2,153,19835.html"
dPHel+/u_1_5,Gibonni,Gibonni,"Bozjom voljom, svojom voljom",3363,"U pocetku kada krenemo u pricu
ti probaj zamisliti zenu
i usne sto se nijemo micu

Ko da cita u dnu salice od kave
iz tog ponora i tame
mozda pojavi se on
 
I vec me vidis
u biloj kosulji ti masem
jednim okom namigujem, a drugim placem

I jednu suzu ti samo pusti da te vodi
po toj mapi od sudbine
tom labirintu boli

Jednu suzu koja nikako da stane
i ko da kaze Kralju raspeti
sakri me u rane

Prstom po fundacu
razmaknula si more da ucrtas mu put
na lice iza skura zenu sto ga zove
glas joj rasparan i suv

Lice iza skura od sedam zalosti
i ko da cujes glas
izgubili smo nadu
Bog neka nam prosti

Pronadji svitlo
pronadji svitlo

I ovog jutra
ti stavljas vodu neka vrije
i jednu zlicicu od cukra
a od crne kave dvije

I sta to vidis
jedno lice di se smije
i pobice ti Gospe moja
sada znam da ziv je, znam da ziv je

I kao da ga cujes ide preko skala
i osjecas mu dah
to se tvoja nada 
s tobom poigrava

Pronadji svitlo
pronadji svitlo
pronadji svitlo

Ref. 4x
Bozjom voljom, Bozjom voljom
s tvojon robom u ta cetri zida
svojom voljom, svojom voljom
ja bi s tobom na srid mora sinja","https://tekstovi.net/2,153,64644.html"
dPHel+/u_1_6,Gibonni,Gibonni,"Cemu se nadas, srce moje (ft. Maya Azucena)",69612,"Da bi izaslo na dobro
neke stvari triba proc
sve su rici na svom mistu
ka i svicice na torti, kad smo zajedno

Mozda ne triba se kladit
i biti sigurna u to
da se necu s prvom kisom izmaknit
ka i dite kad se sakrije pod stol
mozda ne triba se kladit
bez da pogledas u pod
 
Valjda znam sta cinim

My heart is always running
back to you 

Ref.
I cemu se nadas srce moje?
Ja nisam dovoljno taj
od ovoga stvarno ne znam bolje
niti mogu da dam

Jel se primilo za srce?
Jel ljubav daje plod?
Da li osjecamo trnce?

Svaki dan ti dajem odgovor
kada gledas prema naprid
a ne gledam u pod

Valjda znam

Ref. 2x","https://tekstovi.net/2,153,33901.html"
dPHel+/u_1_7,Gibonni,Gibonni,Ciccolina,23721,"Sijedi car je bio star
on pozove sinove 
i posalje ih u daleki svijet

Rece nadjite mi nju
divnu sumsku kraljicu
koji nadje njegova je zauvijek
 
Prvi krenuo na jug
a drugi prema sjeveru
a ja treci, najmladji do zapada

Pratim zvijezdu danicu
trazim sumsku kraljicu
da joj kazem to
sto nikom nisam nikada

Ref. x2
Ciccolina, meni nije vazan broj
s kim s bila o, rado bit cu tvoj
ciccolina, ne meni nije vazan broj
s kim si bila o, bebo, rado bit cu tvoj

Sedam gora prodjoh ja
sedam mora prodjoh ja
nesto bijeli se u gori zelenoj

Nije labud, nije snijeg
a nije Hasan-Aga beg
vec je nesto bijelo posuto po njoj

Pali smo na koljena
jedno pored drugoga 
i tad u grcu rekla mi je sve

Prvi brat je bio tu
a drugi brat je bio tu
ali trecega, najvecega
ja cekam oduvijek

Ref.

Ciccolina, meni nije vazan broj
s kim s bila rado bit cu tvoj
ciccolina, ne meni nije vazan broj
s kim si bila bebo, rado bit cu tvoj

Ciccolina, s kim si bila
ciccolina, s kim si bila
ciccolina, ciccolina","https://tekstovi.net/2,153,22879.html"
dPHel+/u_1_8,Gibonni,Gibonni,Cijele noci molio sam nebo,119407,"Nocas sam po nebu nad gradom
kao po staklu napisao prstom
gdje je sad ona, a gdje li je

U noci bez zvijezda i bez mira i bez sna
sve me tjeralo opet da mislim na tebe
i kad mi je tesko da mi bude jos teze
da bude teze jos
 
Ref.
Cijele noci molio sam nebo
molio da posalje mi nekog
jer po ovom blatu ja ne mogu
ja ne mogu sam, ja ne mogu sam, to znam

Nocas je stotinu kisa palo u srcu
i tekla je voda ulicom tvojom, to znam
kroz tisuce rijeci i kroz samo jedno ime

Sve me tjeralo opet da mislim na tebe
i kad mi je tesko da bude jos teze
da bude teze jos

Ref.

Ref. 2x","https://tekstovi.net/2,153,7046.html"
dPHel+/u_1_9,Gibonni,Gibonni,Cinim pravu stvar,404917,"Mozda i dogodi se cudo 
i onda uspijem presutjeti 
teske rijeci i sve grubo 
sve sto ljudi govore
 kad se vise ne vole 

Mozda se jednom rodi nada 
i onda uspijem ti priznati 
da si najbolja do sada 
da sa tobom nijedna 
ne moze se mjeriti 
 
Nema pravila, tu nema pameti 
kad nastupi tisina 
mi smo dvoje ljudi 
sto se ne mogu razumjeti 

Ref.
I cinim pravu stvar
 ne spominjem te ja 
jezik pregrizem 
da ne bih opsovao 
da ne bih opsovao 
ovaj zivot sto ga 
dijelim na pola 

I kada pozelim te ja 
jezik pregrizem 
da ne bih opsovao 
da ne bih opsovao
 ovaj zivot sto ga 
dijelim na pola 

Sto je moje, sto je tvoje 
ja tako ne mogu razmisljati 
sve smo gradili u dvoje 
i sve iz temelja 
sad cemo podijeliti
 kome noc, a kome dan 

Ne, tu nema pameti 
kad nastupi tisina
mi smo dvoje ljudi 
sto se ne mogu razumjeti 

Ref.","https://tekstovi.net/2,153,5004.html"
dPHel+/u_1_10,Gibonni,Gibonni,Crno ili bijelo,19136,"Ja se ne brojim u ugodne ljude
i nije lako sa mnom provesti dan
to je ko da stavljas pozlacene zube
izvana sjaj iznutra mrak

I sve mi ide nazivce
otkad si otisla ti
svako jutro krivcu ja obrijem lice
tesko mi je priznati
 
Ref.
Crno ili bijelo
ja sam gledao na svijet
krojio odijelo
previse tijesno za tebe

Crno ili bijelo
ja sam gledao na svijet
hladno ili vrelo
takav tanjur mala guraj od sebe

Ljubav je krzno koje se linja
koje se linja iz dana u dan
al ovo malo zlobe sto u meni tinja
dodje mi ko padobran

Citaj oglase za samce
mozda ces mi i prepoznati lik
moje najbolje izdanje
pazi prevara i trik
tada znaj: ja sam taj
Boze sacuvaj 

Ref.","https://tekstovi.net/2,153,31844.html"
dPHel+/u_1_11,Gibonni,Gibonni,Divji cvit,267141,"Nije mi potriba sad
ka sempja gubiti mir
jer ja sam proguca kost
za jubav nimam lipu ric

I zali Boze i trud i ludu glavu
s kojom ne mislim
ko me je natira da je provan
da je 'vako zavolim
 
Ref.
U srce me potocaj ka divji cvit
pusti dazd iz oka da okripi
naciklu jubav u meni

A da je coviku bit ka raspa
i da je u dusi zal i grub
ja ne bi se da' do kraja
i ne bi vako ginija za nju

Da je coviku bit ka raspa
da nista ne cuti ka i zvir
ja ne bi se da' do kraja
ko me tira da je 'vako zavolim

Ref. 2x

Nije mi potriba sad 
ka sempja gubiti mir
ko me tira da je 'vako zavolin 
jer ja sam proguca kost
za jubav niman lipu ric

I zali Boze i trud i ludu glavu
s kojom ne mislim
ko me tira, ko me tira 
ko me je natira da je provan
da je 'vako zavolim

Nije mi potriba sad
ka sempja gubiti mir
jer ja sam proguca kost
za jubav nimam lipu ric

I zali Boze i trud i ludu glavu
s kojom ne mislim
ko me je natira da je provam
da je 'vako zavolim","https://tekstovi.net/2,153,5307.html"
dPHel+/u_1_12,Gibonni,Gibonni,Dobri ljudi,79076,"Priko mora ognjena 
priko cakla slomljena 
ja san budan isa nocima 
svojoj braci, svojim sestrama 

Evo sist cu tu do vas 
da vam recen svoju bol 
ja nisan vise s njon 
ne, ja nisan vise s njon 
 
Ref.
Dobri ljudi, sad mi pisme pivajte 
dobri ljudi, dusu mi zalicite 
jer je njeno srce tvrda stina
ni u jednom kutu tu za mene mista nima 

Dobri ljudi, sad mi pisme pivajte 
dobri ljudi dusu mi zalicite 
neka zna i viruje kako vasa ljubav sa mnom putuje 

Poje sivog pepela 
bilo mi je posteja 
vrica ladnog kamena 
misto perja njenog jastuka 

Evo sist cu tu do vas 
da vam recen svoju bol 
ja ustajen, nebesima zahvaljujem 
sto sam s vama sada tu 

Ref.

Ja ustajen, nebesima zahvaljujem
nocas vasa ljubav sa mnom putuje","https://tekstovi.net/2,153,1796.html"
dPHel+/u_1_13,Gibonni,Gibonni,Dvije duse,254861,"Previse sam gresan da bih bistrom vodom ruke umio 
da sakrio bih lice pred tvojim okom sto me bodrilo
i mislit cu na tebe onda kad mi svane sudnji dan 
a mislit cu na ljubav koje nikad nisam bio dostojan 


Ref.
Nisam bio dostojan ni ove dvije duse 
sto nam je Bog povjerio, povjerio 
mjesto da se ljube ja sam i to iznevjerio
 
I izdao sam te i izdala si me 
i bolje nismo ni zasluzili 
ni ove dvije duse 
sto nam je Bog povjerio

I koliko sam blesav, toliko sam spreman gubiti 
nauci se od mene to sto nikad ne smijes postati
jer previse sam gresan i onda kad mi svane sudnji dan 
ja mislit cu na ljubav koje nikad nisam bio dostojan 

Ref.

Ref. 2x","https://tekstovi.net/2,153,1797.html"
dPHel+/u_1_14,Gibonni,Gibonni,"Ej, vapore",45276,"Ej, vapore, nisam tamo di je meni misto
s dracon sa kojeg san poteka
i di san davno iscupa po' ditinstva svojega
pa ga u svit misto soldi odnija

Ej, vapore, ti odrisi sidra i konope
pa me vrati do ditinstva mog
di san davno iscupa pola srca svojega
pa ga ispod njenih skala zakopa
 
Ref.
Sad me vodi 
jer ce dusa skoncat bez jubavi moje
usne zedne nek' mi lici kapja njezine lipote
ej, vapore

Di san davno iscupa po' ditinstva svojega
pa ga ispod njenih skala zakopa

Ref.","https://tekstovi.net/2,153,20354.html"
dPHel+/u_1_15,Gibonni,Gibonni,Goli pod zvijezdama,52296,"Kad te sudba otrese s kaputa
k'o ugasen snijeg
znat ces covjek je zvijezdama sluga
sasvim nespreman za bijeg

Znat ces odavno slijede nas vuci
i njuse nam trag
u moje stihove ti se zavuci
tamo si sigurna
 
Sigurna od svih
na mojim rukama 
gdje smo ti i ja

Ref.
Goli pod zvijezdama
goli pod zvijezdama
i tko smo mi pod nebom
na podivljalom moru
nego ljuske oraha

Goli pod zvijezdama
goli pod zvijezdama
daj mi svoju ruku
da preplivamo more
sve do ruba svemira

Goli pod zvijezdama

Po kojoj boginji si dobila ime
pa mi puteve znas
ti me ucis da prebrodim zime
sa dva bosa stopala

Znas da odavno slijede nas vuci
i njuse nam trag
u moje stihove ti se zavuci
tamo si sigurna

Ref. 




","https://tekstovi.net/2,153,19834.html"
dPHel+/u_1_16,Gibonni,Gibonni,Hodaj,277409,"Naucila si zivit, tico lijepa
od svakoga ne primit ruku pomirenja
i pocinjes razumit' prvi puta
da jedno smo na vani a drugo smo iznutra

Ref.
Hodaj, nebo strpljive voli
hodaj, mozda se ipak sve u dobro pretvori
 
Jer tko ce to izvagat svaki puta
koje rici vratit', a koje ces progucat

I straj te izgovorit nakon svega
da godinama zivis s nekim
koga ne znas

Ref.

Zasto nosis oblak iza lipog lica
viruj, bit ce sve u redu, i za svako slovo
ti ne trazi krivca u sebi il' u meni
u svemu jer slomit' ce nas to

Ref.","https://tekstovi.net/2,153,17821.html"
dPHel+/u_1_17,Gibonni,Gibonni,Ja cu budan sanjati (duet Vanna),148357,"Zavedi me osmijehom kao zlatnim strunama
i kad bez rijeci budem ostao
to nazovi pobjedom, to nazovi kako znas

Zavedi me rijecima i ja cu budna sanjati
i poslije tako dugo trazenja sad znam da to si ti
 
Bit cu samo tvoja
moja radost i moj smijeh
sad znam da ima Boga
cim za me dosla si na svijet

Zavedi me osmijehom kao zlatnim strunama
i kad bez rijeci budem ostala
to nazovi pobjedom, to nazovi kako znas

Zavedi me rijecima i ja cu budan sanjati
i poslije tako dugo trazenja sad znam da to si ti

Budi samo moja
moja nada, dobra vijest
sad znam da ima Boga
cim za me dos'o si na svijet

Bit cu samo tvoja
moja radost i moj smijeh
sad znam da ima Boga
cim za me dos'o si na svijet
cim za me dosla si na svijet
cim za te dosla sam na svijet

Budi samo moja
moja nada, dobra vijest
sad znam da ima Boga
cim za me dosla si na svijet
cim za te dosla sam na svijet

Zavedi me osmijehom","https://tekstovi.net/2,153,9774.html"
dPHel+/u_1_18,Gibonni,Gibonni,"Judi, zviri i bestimje",215004,"Kojin imenon, kojon besidon bi ovu jubav krstija
i ko bi normalan, a ko bi nasmijan, ovakvu tebe trpija
i to triba znat ti dajes prazno tilo, ali dusu nemos dat
i nije lako bit  i svetica i kurva
sve po potribi, kako se namisti u taj cas

Ref. 2x
Medu jude, medu zviri i bestimje me stavi lec
ako za te ja ne vridin nista ti lipo niman rec'
 
Svojon mladosti, svojon liposti nadi jesku za mene
pa bi ka skarpun bez daha u tvoj sic, grubo ka gruba ric
i to triba znat ti dajes prazno tilo, ali dusu nemos dat
i nije lako bit  i svetica i kurva
sve po potribi, kako se namisti u taj cas

Ref. 3x","https://tekstovi.net/2,153,5312.html"
dPHel+/u_1_19,Gibonni,Gibonni,Kad mi nebo bude dom,55466,"Upoznat ces slobodu kao vijest iz novine
i sve sto ljudi cine 
u njeno ime, a protiv nje
pobrkani lonci cine svijet, kume moj
drzim glavu iznad mutne vode predugo

I sto se penjem vise, dalje
ove grane sve su tanje podamnom
i cak po cijenu ako padnem
stici cu tamo 
kad mi nebo bude dom
 
Podivljali ljudi krce put barutom
i s tom neslobodom u sebi 
sve sto cine je slicno njoj


","https://tekstovi.net/2,153,7043.html"
dPHel+/u_1_20,Gibonni,Gibonni,Kad sam nasamo s njom,157919,"Kad' sam nasamo s' njom
to vise nije moja muzika
vec neki daleki ton, hladan

Kad' sam nasamo s' njom
 ja nisam siguran sto osjecam
kako bih nazvao to, ne znam
mozda, bezdan
 
Ref.
Znaci, ovo je tren' kada covjeku postane malo
kad' u svemu sto volim na njoj nesto pofali
znaci, ovo je tren' kad' sve tudje mi izgleda slatko
i kad' sve ono, sto volim na njoj, vise ne volim

Kad' sam nasamo s' njom
to vise nije moja muzika
kako smo dosli do tog zida, zida

Kad sam nasamo s' njom
nema nicega u jedrima
polako napustam brod bez vitra
bez vitra

Ref.

znaci, ovo je tren' kad' sve tudje mi izgleda slatko
i kad' sve ono, sto volim na njoj, vise ne volim","https://tekstovi.net/2,153,17819.html"
dPHel+/u_1_21,Gibonni,Gibonni,Kad te spomenem,116495,"I to sto si rekla ne boli ko ono 
sto si mi presutiela 
i mjesta mi nema na usnama tvojim 
ni za jedno slovo moga imena 

Ref.
Reci mi sad sta cu sa sobom 
sve mi ide nizbrdo kad te spomenem 
I svaka kap moga sjecanja 
Boli me do ludila kad te spomenem 
 
Gradim jos uvijek mostove svoje 
koji nece doc do tvojih obala 
Poslije stotinu suza i pogresnih rijeci 
vec sam pomalo i umoran od poraza 
znam

Ref.","https://tekstovi.net/2,153,5311.html"
dPHel+/u_1_22,Gibonni,Gibonni,Kakav prijatelj je Isus,30330,"Pouzdanje dajes mome koraku
noge mi vise ne posrcu

Kakav prijatelj je Isus
nase boli nosi on
i nas teret, i sve jade
on nam laksa brigom svom
 
Ako dodju kusnje teske
pa te boli dusa stog
ti ne gubi nikad nadu
jer nam mir svoj nosi Bog

Ref.
Prijatelja vjernog znas li
kom' ces svoje tuge rec'
to je Isus sto nam uvijek zna
nase boli nosit' sve

Kad nas brige i umornost
tesko muce cijeli dan
Kriste, utociste nase
tada mir nas ti si sav

Ref.

Prijatelji kad te prezru
to za zrtvu Bogu daj
On ce uzet' te za ruku
i utjeha ce biti, znaj

Ako dodju kusnje teske
pa te boli dusa stog
ti ne gubi nikad nadu
jer nam mir svoj nosi Bog","https://tekstovi.net/2,153,19638.html"
dPHel+/u_1_23,Gibonni,Gibonni,Kao casna rijec,70446,"Dobar i glup ista je stvar 
tu nista promijenit ne mogu 
i sve sto sam cinio 
da bi nas odrzao 
sad sluzi na moju sramotu 
i na obraz moj 
 
Podigni zid bezbroj godina dug 
ucini mi uslugu tako 
jer lijepo govoris 
samo da mi ugodis 
sa figom u srcu je lako 
dati casnu rijec 

Ako te pokusam sacuvati 
sam cu sebi se narugati 
a to je prevelika cijena 
za nesto cega nema 
sto u tebi ne postoji 

Podigni zid bezbroj godina dug 
tako da ne mogu preko 
da te ne vidim 
i da ne osjetim 
da za tebe ima jos netko 
meni nepoznat

Ako te pokusam sacuvati
sam cu sebi se narugati
a to je prevelika cijena
za nesto cega nema
sto u tebi ne postoji
sto u tebi ne postoji
ono nesto, ono nesto
za ljubav sve je to
nesto kao casna rijec
ono nesto, ono nesto","https://tekstovi.net/2,153,1798.html"
