Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Aranžman_diskografija,Album_3_diskografija
YdU8F5rG_1_0,Jelena Rozga,Jelena Rozga,Aha,17773,"Aha, aha, aha 
ja hodam na prstima
jer i noc svoje srce sad je stisnula
ko ja aha, aha

A ti, a ti, a ti
na tren moj bio si ti
dovoljno znam sto s tobom gubim ja
 ljubav je bol sad znam
 
A mi, a mi, a mi
na tren pristali mi
da nam se ko od vina razum pomuti
od prve ljubavi

Govore da se sve ljubavi jednom prebole
ti ces tako i mene

Aha, aha, aha
ja hodam na prstima
da te moj korak ne probudi
bit ce, ti spavaj, ja odlazim

   Aha, aha, aha","https://tekstovi.net/2,1156,36784.html",,Aha,Aha,Bižuterija,"Aha, aha, aha
1
ja hodam na prstima
jer i noć svoje srce sad je stisnula
ko ja aha, aha. A ti, a ti, a ti
na tren moj bio si ti
dovoljno znam što s tobom gubim ja
ljubav je bol sad znam. A mi, a mi, a mi
na tren pristali mi
da nam se ko od vina razum pomuti
od prve ljubavi. Govore da se sve ljubavi jednom prebole
ti ćeš tako i mene. Aha, aha, aha
ja hodam na prstima
da te moj korak ne probudi
bit će, ti spavaj, ja odlazim. Aha, aha, aha","Aha, aha, aha
I´m walking on my toes
because the night pressed it´s heart
just as I, aha, aha. And you, and you, and you
for a moment you were mine
it was enough for me to know what I´m losing with you
love is the pain, I know that now. And we, and we, and we
we agreed for a moment
to let our mind blur like from the vine
because of the first love. They say that every love once you get over
so you´ll get over me. Aha, aha, aha
I´m walking on my toes
so that my step don´t wake you up
you just sleep, I´m leaving. Aha, aha, aha",https://lyricstranslate.com/en/aha-aha.html-2,['Tonči Huljić'],['Vjekoslava Huljić'],['Jelena Rozga'],1996 - Dora 1996,2011 - Bižuterija - uživo,https://diskografija.com/pjesma/aha-2117.htm,Aha,,
YdU8F5rG_1_1,Jelena Rozga,Jelena Rozga,Bizuterija,98218,"Ti si nadaren k'o niko
skolovani prevarant
imao si nisi znao
kako sjaji dijamant

Uvijek sretan kraj
izbjegnem za dlaku
mozda rodjena sam
u pogresnom znaku
 
Ni okrenuo se nisi
za mnom kao drugi svijet
niti gurnuo kamencic
za mnom jednom zauvijek

A ja samo sam, htjela oca djeci
malo ljubavi, pa ti sada reci

Ref.
Ja sam ti bila privjesak
sto se sija, obmana il' kopija
tvome srcu, samo bizuterija
a bila sam ti sudjena
blago meni, jos po sebi
tvoje prste osjecam

Ja sam ti bila privjesak
sto se sija, obmana il' kopija
sto se nosi, da se vidi ko je jak
idi al' priznaj da sam ja
sve u jednom, zena, majka
zena, majka, kraljica

Ref. 3x","https://tekstovi.net/2,1156,28246.html",,Bižuterija,Cheap jewelry,Bižuterija (2011),"Ti si nadaren ko niko,
1
školovani prevarant,
imao si, nisi znao,
kako sjaji dijamant.
Uvijek sretan kraj,
izbjegnem za dlaku,
možda rođena sam,
u pogrešnom znaku?. Ni okrenuo se nisi,
za mnom kao drugi svijet,
niti gurnuo kamenčić,
za mnom jednom zauvijek.
A ja samo sam htjela oca djeci
Malo ljubavi, pa ti sada reci.... Ref.. Ja sam ti bila privjesak,
što se sija, obmana il' kopija,
tvome srcu, samo bižuterija...
A bila sam ti suđena,
blago meni, još po sebi,
tvoje prste osjećam.... Ja sam ti bila privjesak,
što se sija, obmana il' kopija,
što se nosi, da se vidi ko je jak...
Idi pa priznaj da sam ja,
sve u jednom, žena, majka,
žena – majka, kraljica!. Ti si nadaren ko niko,
školovani prevarant,
imao si, nisi znao,
kako sjaji dijamant.
A ja samo sam htjela oca djeci
Malo ljubavi, pa ti sada reci.... Ref. X2. Ja sam ti bila privjesak,
sto se sija, obmana il' kopija,
tvome srcu, samo bižuterija...
A bila sam ti suđena,
blago meni, jos po sebi,
tvoje prste osjećam.... Ja sam ti bila privjesak,
što se sija, obmana il' kopija,
što se nosi, da se vidi ko je jak...
Idi pa priznaj da sam ja,
sve u jednom, žena, majka,
žena – majka, kraljica!","You are as talented as nobody else
You are a trained deceiver
You had a diamond, but you didn't know
How it shined
There is always a happy ending,
But I always avoid it narrowly
Maybe I was born
In a wrong sign?. You haven't even turned around
To look at me like other men
You haven't even pushed a pebble
For me, once and for all
And everything I wanted was a father for my kids
A little bit of love, so now you can say.... Chorus:. I was your pendant,
Your shiny thingy, delusion or copy,
Just a cheap jewelry for your heart
And I was meant for you
Good for me, I can still
Feel your fingers on my skin. I was your pendant,
Your shiny thingy, delusion or copy,
Which you wore to show others that you're strong
Go away and admit that I am
All in one: a woman, a mother,
A woman, a mother and a queen!. You are as talented as nobody else
You are a trained deceiver
You had a diamond,but you didn't know
How it shined
And everything I wanted was a father for my kids
A little bit of love, so now you can say.... Chorus 2x. I was your pendant,
Your shiny thingy, delusion or copy,
Just a cheap jewelry for your heart
And I was meant for you
Good for me, I can still
Feel your fingers on my skin. I was your pendant,
Your shiny thingy, delusion or copy,
Which you wore to show others that you're strong
Go away and admit that I am
All in one: a woman, a mother,
A woman, a mother and a queen!",https://lyricstranslate.com/en/bizuterija-cheap-jewelry.html,,,['Jelena Rozga'],2010 - Split 2010,2011 - Bižuterija,https://diskografija.com/pjesma/bizuterija-14577.htm,Bižuterija,,
YdU8F5rG_1_2,Jelena Rozga,Jelena Rozga,Cirkus,91126,"Ukradena, svaka minuta s tobom mi je
ko da praznik dolazi
trema i kava prolivena, ociti su dokazi
da imas pet minuta za me, izmedju posla i obitelji

S tobom je zivot, ko lijepi izlog 
s puno svijetla, prazna dekoracija
u njemu ima kolko hoces, pari novih cipela
 i praznih obecanja da se strpim
 da ti dam jos malo vremena
 
Ref.
Ovaj cirkus, nije mi bio ni u opisu zivota
 ti meni prvi, a ja tebi stota 
za tijelo parfem, za dusu arsen
i sebi krijem da sam ovisna

O tvojim muskim rukama, o svojim zenskim mukama
 i ne trazim nista i ne pitam nista
 jer vec odavno sam se pomirila 
da nam je ljubav anonimna

U knjizi postanka mog pise
 neka bude sretnica 
nek joj ne fali ni pticjeg mlijeka 
nek se dobro zabavlja
al predugo vec traje, iza kulisa
 ova tajna predstava

 Jer s tobom je zivot, ko lijepi izlog
 s puno svijetla, prazna dekoracija 
u njemu ima kolko hoces, pari novih cipela
 i praznih obecanja da se strpim
 da ti dam jos malo vremena

Ref.

Da nam je ljubav anonimna","https://tekstovi.net/2,1156,42171.html",,Cirkus,Circus,,"Ukradena,
1
svaka minuta s tobom
mi je ko' da praznik dolazi.
Trema i kava prolivena
očiti su dokazi,
da imaš pet minuta za me
između posla i obitelji... S tobom je život
ko' lijepi izlog s puno svjetla,
prazna dekoracija..
U njemu ima kol'ko hoćeš pari novih cipela,
i praznih obećanja da se strpim,
da ti dam još malo vremena... (Refren)
Ovaj cirkus..
Nije mi bio ni u opisu života.
Ti meni prvi, a ja tebi stota,
za tijelo parfem, za dušu arsen,
i sebi krijem da sam ovisna..
O tvojim muškim rukama,
o svojim ženskim mukama.
I ne tražim ništa,
i ne pitam ništa,
jer već odavno sam se pomirila,
da nam je ljubav anonimna... U knjizi postanka mog piše,
neka bude sretnica.
Nek' joj ne fali ni ptičijeg mlijeka,
nek' se dobro zabavlja..
Al' predugo već traje,
iza kulisa ova tajna predstava... Jer s tobom je život
ko' lijepi izlog s puno svjetla,
prazna dekoracija..
U njemu ima kol'ko hoćeš pari novih cipela,
i praznih obećanja da se strpim,
da ti dam još malo vremena... (Refren)","Stolen,
every minute with you
Was like a holiday coming to me.
Stage fright and spilled coffee
The evidence is obvious
you've got five minutes for me
between work and family ... With you life
is like a beautiful showcase with lots of light,
but empty of decoration ..
it has all the new shoes you could ever ask for
and empty promises to be patient,
to give you a little more time ... Refrain.
This circus ..
It was not even in my bio.
For me you were the most important thing, I for you the hundredth
For my body perfume, for my soul arsenic,
and hiding from myself that I'm addicted ..
To your manly hands
To my feminine torment.
I do not ask for anything,
and do not ask anything,
because long ago I was reconciled,
that we would love anonymously ... In my book of Genesis it says,
Let her be lucky.
Let her not miss any bird’s milk[1],
Let her have a good time ..
But already it takes too long,
behind the scenes of this secret show ... For with you life
Is like a beautiful showcase with lots of light,
empty of decoration ..
with all the new shoes that I want,
and empty promises to be patient,
to give you a little more time ... Refrain .2x",https://lyricstranslate.com/en/cirkus-circus.html-0,,,['Jelena Rozga'],,,https://diskografija.com/pjesma/cirkus-16838.htm,Cirkus,,
YdU8F5rG_1_3,Jelena Rozga,Jelena Rozga,Daj sta das,57078,"Ko da ces uc'
unijet mi svoj osmijeh u sobu
srce ce tuc'
a ja ni zamislit' ne mogu

Da dorucak podijeliti
ti neces sa mnom
da ulicom idemo sad
svak' svojom stranom
 
Ref.
Jer nema te
ni desetak dana
meni se cini godinama
i ti to znas ovdje pripadas

Ti i ja razbijaci casa
ti i ja saka tamburasa
zivot je nas
bio daj sta das

Namijestam svoj krevet
k'o da nije te bilo
svanuti jos nece a vec
bit' ce mi krivo

Ref. 3x","https://tekstovi.net/2,1156,29173.html",,Daj šta daš,Give what you give,,"Ko' da ćeš uć', unijet mi svoj osmijeh u sobu,
1
srce će tuć, a ja ni zamislit ne mogu
da doručak podijeliti ti nećeš sa mnom
da ulicom idemo sad svak' svojom stranom. (Refren)
Jer nema te ni desetak dana
meni se čini godinama
i ti to znaš, ovdje pripadaš,
ti i ja, razbijači čaša
ti i ja, šaka tamburaša
život je naš bio, daj šta daš. namještam svoj krevet k'o da nije te bilo
svanuti jos neće, a već bit će mi krivo
da doručak podijeliti ti nećeš sa mnom
da ulicom idemo sad svak' svojom stranom. (Refren). jer nema te ni desetak dana
meni se čini godinama. ti i ja, razbijači čaša
ti i ja, šaka tamburaša. ti i ja, razbijači čaša
ti i ja, šaka tamburaša
život je naš bio, daj šta daš. život je naš bio, daj šta daš","It's like you'd enter and bring your smile in my room
My heart would beat, and I can't even imagine
That you won't share your breakfast with me
That now we walk on the separate sides of the street. Chorus:
Because you're not here not even for ten days
And to me it seems like years passed
And you know it and you belong here
You and me, the glass breakers
You and me and a bunch of musicians
Life was ours, give what you give. I'm making my bed like you weren't here
It's not going to dawn yet and I'll already feel guilty
That you won't share your breakfast with me
That now we walk on the separate sides of the street. Chorus:
Because you're not here not even for ten days
And to me it seems like years passed
And you know it and you belong here
You and me, the glass breakers
You and me and a bunch of musicians
Life was ours, give what you give. Because you're not here not even for ten days
And to me it seems like years passed. You and me, the glass breakers
You and me and a bunch of musicians. You and me, the glass breakers
You and me and a bunch of musicians
Life was ours, give what you give. Life was ours, give what you give",https://lyricstranslate.com/en/daj-sta-das-give-what-you-give.html,,,['Jelena Rozga'],,,https://diskografija.com/pjesma/daj-sta-das-razbijaci-casa-14702.htm,Daj šta daš (Razbijači čaša),,
YdU8F5rG_1_4,Jelena Rozga,Jelena Rozga,Djevica,66239,"U mom kraju, u mom kraju
ljudi govore
sve sta cinis da se ne zna
suti, dobro je

Ja mirisem na prevaru
i na tudji stan
a zbog toga ne brinem se
jer sa tobom znam
 
Ref.
A ja djevica, kraj tebe lec cu
i opet cu, i opet cu
dusu ti uzeti samo tako
jer sutra cu otic i onako
jer sutra cu ostavit te lako

Obukla sam naopako zutu haljinu
necu palit svjetlo samo uc u postelju
samo jedna nausnica kao izdaja
ona druga ostala na tudjim plahtama

A ja djevica, kraj tebe lec cu
i opet cu, i opet cu
dusu ti uzeti samo tako
jer sutra cu otic i onako
(2x)

Ref.","https://tekstovi.net/2,1156,25974.html",,Djevica,Virgin,Bižuterija,"U mom kraju, u mom kraju
1
ljudi govore
sve šta činiš da se ne zna
šuti, dobro je. Ja mirišem na prevaru
i na tuđi stan
a zbog toga ne brinem se
jer sa tobom znam. Ref.
A ja djevica, kraj tebe leć ću
i opet ću, i opet ću
dušu ti uzeti samo tako
jer sutra ću otić i onako
jer sutra ću ostavit te lako. Obukla sam naopako žutu haljinu
neću palit svjetlo samo uć u postelju
samo jedna naušnica kao izdaja
ona druga ostala na tuđim plahtama. A ja djevica, kraj tebe leć ću
i opet ću, i opet ću
dušu ti uzeti samo tako
jer sutra ću otić i onako. Ref.","In my area, in my area
people say
everything you´re making that is not known
shut up, it´s good. I smell like fraud
and like someone else´s apartment
and I don´t worry because of that
because I know with you. Chorus
And I, the virgin, I´ll lie down next to you
and I will again, and I will again
take your soul so easy
because tomorrow I´ll go anyway
because tomorrow I´ll leave you easily. I put on upside down my yellow dress
I won´t turn on the light, I´ll just get in bed
just one earring like betrayal
the other one stayed on someone else´s sheets. And I, the virgin, I´ll lie down next to you
and I will again, and I will again
take your soul so easy
because tomorrow I´ll go anyway. Chorus:",https://lyricstranslate.com/en/djevica-virgin.html,,,['Jelena Rozga'],2008 - CMC Festival 2008,2011 - Bižuterija,https://diskografija.com/pjesma/kao-djevica-13812.htm,Kao djevica,,
YdU8F5rG_1_5,Jelena Rozga,Jelena Rozga,Dobitna kombinacija,82875,"O dajla, dajla, dajla
o dajla, dajla, daj
opa

U ovome lokalu
u izgubljenom gradu
nocas je prava zabava
 
I kucaju se case
sve u zdravlje nase
k'o da je Nova godina

Ref.
I kreni i kreni
i adio problemi
i dobro je tebi
i meni, meni, meni
ti crn, a ja plava
i to je, to je ta
dobitna kombinacija

I nece proci ponoc
i bit ce jasna stvar
otvorit ces mi dusu
sobu i mini bar

Ljubav je tu, blizu nama 
i, mirise skroz, isto kao ti

Ref. 

O dajla, dajla, dajla
o dajla, dajla, daj
nocas je prava zabava
o dajla, dajla, dajla
o dajla, dajla, daj
k'o da je Nova godina

Ref.

Ref.

O dajla, dajla, dajla
o dajla, dajla, daj","https://tekstovi.net/2,1156,34512.html",,Dobitna kombinacija,The winning combination,,"U ovome lokalu
1
U izgubljenom gradu
Noćas je prava zabava. Kucaju se čaše
Sve u zdravlje naše
K'o da je nova godina. I kreni i kreni
I adio problemi
I dobro je tebi
I meni, meni, meni
Ti crn, a ja plava
I to je, to je ta
Dobitna kombinacija. I neći proći ponoć
A bit će jasna stvar
Otvorit ćeš mi dušu
Sobu i minibar. Ljubav je tu
Blizu nama i
Miriše skroz
Isto kao ti","In this bar/pub
In the lost city
There's real fun tonight. Glasses are being raised
For our health
Like is the new year. And start going, and start going
And goodbye problems
And you're feeling good
And me too, me too
You're brunette, I'm blonde
And that's it, that's the one
The winning combination. And it won't pass the midnight
But one thing will be clear
You'll open my soul
A room and a mini bar. The love is here
Close to us
Smells completely
The same like you",https://lyricstranslate.com/en/dobitna-kombinacija-winning-combination.html,,,['Jelena Rozga'],,,https://diskografija.com/pjesma/dobitna-kombinacija-19893.htm,Dobitna kombinacija,,
YdU8F5rG_1_6,Jelena Rozga,Jelena Rozga,Gospe moja,53478,"Pozelim da me tjese ruke njegove
da me nasmijan docekuje
preko praga nosi me
pozelim da na hodnik udjem kao mrak
a on ceka kao izabran
cist ko suza, lijep ko dan
i reci, cujes, cujes li me
 
Ref.
Gospe moja, obuci mi bilo 
to mi dobro stoji
pa da sa njim budem jedno tilo
ucini ga mojim

Gospe moja, molit cu te stoput
ispuni mi zelju
samo jednu, da sam blizu njemu
da je moj u svemu

Pozelim da je oko mene dragi svit
a ja razlog sto se raduje
da ga svima pokazem
pozelim da me tjese ruke njegove
da me nasmijan docekuje
preko praga nosi me
i reci, cujes, cujes li me

Ref. 2x","https://tekstovi.net/2,1156,24065.html",,Gospe Moja,My Lady,,"Poželim da me tješe ruke njegove
1
da me nasmijan dočekuje
preko praga nosi me
poželim da na hodnik uđem kao mrak
a on čeka kao izabran
čist k'o suza, lijep k'o dan
i reci, čuješ, čuješ li me. Refren
Gospe moja, obuci mi bilo
to mi dobro stoji
pa da sa njim budem jedno tilo
učini ga mojim
molit ću te stoput, ispuni mi želju
samo jednu, da sam blizu njemu
da je moj u svemu. Poželim da je oko mene dragi svit
a ja razlog što se raduje
da ga svima pokažem
Poželim da me tješe ruke njegove
da me nasmijan dočekuje
preko praga nosi me
i reci, čuješ, čuješ li me. Chorus...","I wish that his arms comfort me
that he welcomes me with a smile
that he carries me across the doorstep
I wish that I enter the hall as darkness
And that he waits like a chosen one
clear as tear, beautiful as day
and tell me, do you hear me. Refren
My Lady, dress me in white
it looks nice on me
So that I become one with him
Make him mine
I'll pray 100 times, make my wish come true
only one wish, to be near him
that he's all mine. I wish that nice people surround me
that I'm the reason they rejoice
and that I can show him to all of them
I wish that his arms comfort me
that he welcomes me with a smile
that he carries me across the doorstep
and tell me, do you hear me. Chorus...",https://lyricstranslate.com/en/Gospe-Moja-My-Lady.html,,,['Jelena Rozga'],,,https://diskografija.com/pjesma/gospe-moja-11593.htm,Gospe moja,,
YdU8F5rG_1_7,Jelena Rozga,Jelena Rozga,Grizem,52704,"Ja sam rodjena bez prava da
nesto naslijedim i imam
i da izmicem se svima
i u ljubavi da budem sluskinja

Nisam ponos nasla na putu
necu trositi na te'
vise ni minutu
 
Ref.
Pa se grizem, pa se grizem tako cesto
a kroz glavu misli petsto prolazi
kako netko tko je bio prst i nokat
gleda kako onaj drugi odlazi

Propali kao dva zetona
svadili i svadbena zvona
nas dva pala sampiona

Ponekad se prijedju granice
ti si pretjerao bome
i sad nosim dvije tone
bivse ljubavi na svojim ledjima

Ref.

Ref.","https://tekstovi.net/2,1156,29515.html",,Grizem,I reproach myself,,"Ja sam rođena bez prava da
1
nešto naslijedim i imam
i da izmičem se svima i
u ljubavi da budem sluškinja.
(2x). Nisam ponos našla na putu,
neću dane više trošiti ni minutu.. Pa se grizem, pa se grizem tako često
a kroz glavu misli petsto prolazi,
kako neko ko je bio prst i nokat
gleda kako onaj drugi odlazi.. Propali kao dva žetona
slavili i svadbena zvona
nas dva pala šampiona.. Ponekad se prijeđu granice,
ti si pretjerao bome
i sad nosim dvije tone
bivše ljubavi na svojim leđima.. Nisam ponos našla na putu,
neću čekati na te više ni minutu.","I was born without a right to
inherit and have something
And give my place to everyone
And be maid of love
(x2). I didn't find my pride on the road,
And I will not waste another minute.. And I reproach myself, I reproach myself so often,
Five hunderd thoughts going around in my head
How someone who was inseparable
can watch the other one going away.. We collapsed as two chips
And we celebrated wedding bells
We, two defeated champions.. Sometimes borders can be crossed,
but you did it way much over the line
and now I carry two tones
of former love on my back.. I didn't find my pride on the road,
I won't wait for you not even a minute anymore.",https://lyricstranslate.com/en/grizem-i-bite.html,,,['Jelena Rozga'],,,https://diskografija.com/pjesma/grizem-14697.htm,Grizem,,
YdU8F5rG_1_8,Jelena Rozga,Jelena Rozga,Ima nade (duet Zeljko Samardzic),45006,"Ko da stajem pred
 streljacki vod
nisanis me ti 
ravno iz srca svog

A ja pitam se
 pitam sto sad radim tu
kad jos volim te za zlatnu medalju
i malo preko, i malo preko
 
Ref.
Vidi na sto zivot slici
kako mozes sada ici
jedrenjakom bez jedara
ko tu koga vara

Ima nade, kakve - takve
sirotista za ovakve
sto se prave par junaka
a samo su dva ludjaka

Boze mili
sve bilo je ko u snu
kao narucen vedar dan 
svaki put

Ref. 2x","https://tekstovi.net/2,1156,28215.html",,Ima nade,There's a hope,Bižuterija,"Ko da stajem pred streljački vod,
1
Nisaniš me ti ravno iz srca svog,
A ja pitam se, pitam što sad radim tu
Kad još volim te za zlatnu medalju
I malo preko, i malo preko. Vidi na što život sliči,
Kako možeš sada ići
Jedrenjakom bez jedara?
Ko tu koga vara?. Ima nade, kakve - takve,
Sirotišta za ovakve
Što se prave par junaka,
A samo su dva luđaka. Bože mili, sve bilo je ko u snu,
Kao naručen vedar dan svaki put,
A sad pitam se, pitam što sad radim tu
A još volim te za zlatnu medalju
I malo preko, i malo preko","I feel like I'm standing in front of firing squad,
You are giving me a shot straight from your heart,
And I am asking, asking myself what I am doing here
When I still love you so I could win a gold medal for that
And even more, even more. Look, how my life looks like,
How can you leave now
With a sailboat without sails?
Who's the one who's cheating here?. There is some kind of a hope,
Poor house for people like this
Who are acting they're pair of heroes,
But they are just two fools. Good God, everything was like in a dream,
Like it's just made - it was sunny day every time,
And now I am asking, asking myself what I am doing here
I still love you so I could win a gold medal for that
And even more, even more",https://lyricstranslate.com/en/ima-nade-theres-hope.html,,,['Jelena Rozga'],,,https://diskografija.com/pjesma/ima-nade-14700.htm,Ima nade,,
YdU8F5rG_1_9,Jelena Rozga,Jelena Rozga,Ja znam dobro sto mi je,70444,"Ovih dana nisam najbolje
ne spavam, samujem
sve sto kazem, radim, ucinim
ne valja, slabo je
ej, ja znam dobro sto mi je

Ref.
Ja bi samo da se pojavis
samo pridjes, samo zagrlis
i staru mi zelju probudis
da me volis dok ne ostaris
 
Ja bi samo da me pogledas
pa da vidim kako izgledas
da ti sapnem zasto postojim
da te volim dok ne ostarim

Tesko dobre dane nabrojim
tesko noc podnosim
da bar lose misli ostavim
sa sobom ne nosim
ej, ja znam dobro sto mi je

Ref. 2x","https://tekstovi.net/2,1156,19421.html",,Ja znam dobro što mi je,I know well what's going on with me,Oprosti mala,"Ovih dana nisam najbolje
1
Ne spavam, samujem
Sve što kažem, radim, učinim
Ne valja, slabo je
Ej, ja znam dobro što mi je. Ja bi samo da se pojaviš
Samo priđeš, samo zagrliš
I staru mi želju probudiš
Da me voliš dok ne ostariš. Ja bi samo da me pogledaš
Pa da vidim kako izgledaš
Da ti šapnem zašto postojim
Da te volim dok ne ostarim. Teško dobre dane nabrojim
Teško noć podnosim
Da bar loše misli ostavim
Sa sobom ne nosim
Ej, ja znam dobro što mi je","In these days I'm not very well
I can't sleep, I am alone
everything that I say, do, perform
is useless, weak
Hey, I know well what's going on with me. I just want you to contact me
to come near to me, to hug me
to arouse my old dream
to love me till you grow old. I just want you to look at me
So that I can see how you look like
to whisper to you what I am living for
to love you till I grow old. I barely have good days
I barely endure the night
I wish I could at least forget bad thoughts
And not carry them wherever I go
Hey, I know well what's going on with me",https://lyricstranslate.com/en/ja-znam-dobro-%C5%A1to-mi-je-i-know-well-whats-going-me.html,['Tonči Huljić'],['Vjekoslava Huljić'],['Jelena Rozga'],2006 - Oprosti mala,2006 - Split 2006,https://diskografija.com/pjesma/ja-znam-dobro-sto-mi-je-9889.htm,Ja znam dobro što mi je,['Remi Kazinoti'],
