Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Featuring_discogs,Album_title_discogs,Album_year_discogs,Album_genres_discogs,Album_year_title_discogs,All_albums_discogs
Mia Dimšić,Mia Dimšić,Božićno Jutro (The Christmas Song - Chestnuts Roasting On An Open Fire),3:58,Ante Gelo,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Cimet I Čaj,3:01,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Veselje Ti Navješćujem,3:26,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Snježna Ulica (Winter Wonderland),2:55,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,I'll Be Home For Christmas,3:25,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Božić Bez Tebe,3:52,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Radujte Se Narodi,2:46,Igor Geržina,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,It's Not Christmas Without You,4:31,Ivan Pešut,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Zlatnih Krila,3:44,Emanuel (28),Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Jingle Bell Rock,2:10,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Pjesma Prijatelja (Auld Lang Syne),3:44,,Božićno Jutro,2017,['Pop'],2017-Božićno Jutro,2017-Božićno Jutro
Mia Dimšić,Mia Dimšić,Budi Mi Blizu,4:34,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv/2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Život Nije Siv,3:34,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv/2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Nije Važno,3:58,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Bezimeni,3:41,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Sanjaj Me,4:05,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv/2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Do Posljednjeg Retka,3:43,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Svjetionik,4:00,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Kiša,4:19,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Slobodna,3:26,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv/2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Pieces Of The Puzzle,4:08,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv/2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Moja Posljednja I Prva Ljubavi,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Sway,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Sama,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,All Of Me,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Mili Moj,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,You & I,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,"Volim Te, Budalo Mala",,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Jolene,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Sve Smo Mogli Mi,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Don't Know Why,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Billie Jean,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Zbog Tebe,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,What A Wonderful World,,,Život Nije Siv,2017,"['Rock', 'Pop']",2017-Život Nije Siv,2017-Život Nije Siv
Mia Dimšić,Mia Dimšić,Sretan Put,3:09,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Pomiče Se Sat,3:41,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Unatrag,2:54,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Ovaj Grad,3:51,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Male Stvari,3:45,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Tko Je Tu Lud,3:46,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Sva Blaga Ovog Svijeta ,4:02,Marko Tolja,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Pomalo Slučajno,3:22,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Cesta Do Sna,3:44,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
Mia Dimšić,Mia Dimšić,Znaš Me Najbolje,4:19,,Sretan Put,2019,['Pop'],2019-Sretan Put,2019-Sretan Put
