Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Written-By_discogs,Album_year_discogs,Arranged By_discogs,Lyrics By_discogs,Music By_discogs,Conductor_discogs,Engineer_discogs,Orchestra_discogs,Backing Vocals_discogs,Featuring_discogs,Performer_discogs,Vocals_discogs,Bass Guitar_discogs,Drum Programming_discogs,Guitar_discogs,Keyboards_discogs,Vocals [Duet]_discogs,Featuring [Uncredited]_discogs,Directed By_discogs,Featuring [Piano]_discogs,Cello_discogs,Accordion_discogs,Acoustic Guitar_discogs,Percussion_discogs,Lead Guitar_discogs,Electric Guitar_discogs,Drums_discogs,Flugelhorn_discogs,Mandolin_discogs,Saxophone_discogs,Harmonica_discogs,Choir_discogs,Piano_discogs,Electric Guitar [Solo]_discogs,Album_year_title_discogs,All_albums_discogs
Oliver Dragojević,Oliver Dragojević,Ča Će Mi Copacabana,,Ča Će Mi Copacabana / Na Kraju Puta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ča Će Mi Copacabana / Na Kraju Puta,nan-Ča Će Mi Copacabana / Na Kraju Puta/2006.0-The Platinum Collection/2013.0-100 Originalnih Pjesama/2015.0-The Best Of Collection
Oliver Dragojević,Oliver Dragojević,Na Kraju Puta,,Ča Će Mi Copacabana / Na Kraju Puta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ča Će Mi Copacabana / Na Kraju Puta,"nan-Ča Će Mi Copacabana / Na Kraju Puta/1977.0-Majko, Da Li Znaš / Na Kraju Puta/nan-Malinkonija/nan-100/2006.0-Oliver 1/nan-Momenti/2016.0-Original Album Collection - Vol. 1"
Oliver Dragojević,Oliver Dragojević,2002. Godine U Splitu,,2002. Godine U Splitu / Galeb I Ja,Nenad Vilović,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0-2002. Godine U Splitu / Galeb I Ja,1975.0-2002. Godine U Splitu / Galeb I Ja
Oliver Dragojević,Oliver Dragojević,Galeb I Ja,,2002. Godine U Splitu / Galeb I Ja,,1975.0,Stipica Kalogjera,Tomislav Zuppa,Zdenko Runjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0-2002. Godine U Splitu / Galeb I Ja,1975.0-2002. Godine U Splitu / Galeb I Ja/nan-Malinkonija/1979.0-Danijela/nan-Oliver 5/nan-Za Sva Vrimena/nan-Oliver U HNK  ( Solistički Koncert )/nan-Mix - Split - Cvit Mediterana/nan-Sve Najbolje/nan-Oliver U Lisinskom/1997.0-Najveći Hitovi 1990 - 1997/nan-Sećanja 1 /nan-100/1999.0-Balade/2004.0-Oliver Live/2004.0-Oliver Live/2006.0-A L'Olympia/2006.0-The Platinum Collection/2006.0-Oliver 1/2006.0-Oliver 1/nan-A L'Olympia/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/nan-Momenti/2010.0-Antologija 1975 - 2010/nan-Noć Nek' Tiho Svira/2012.0-Untitled/2013.0-100 Originalnih Pjesama/2014.0-USA & Canada Tour 2014/2015.0-The Best Of Collection/2016.0-Original Album Collection - Vol. 1/nan-Kad Mi Dođeš Ti/2020.0-Original Album Collection – Oliver Live/2020.0-Original Album Collection – Oliver Live
Oliver Dragojević,Oliver Dragojević,Volim Je Ludo,,Volim Je Ludo / Cesta Sunca,Slobodan M. Kovačević,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0-Volim Je Ludo / Cesta Sunca,1975.0-Volim Je Ludo / Cesta Sunca/2013.0-100 Originalnih Pjesama
Oliver Dragojević,Oliver Dragojević,Cesta Sunca,,Volim Je Ludo / Cesta Sunca,,1975.0,Alfi Kabiljo,Toma Polić,Alfi Kabiljo,Alfi Kabiljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0-Volim Je Ludo / Cesta Sunca,1975.0-Volim Je Ludo / Cesta Sunca
Oliver Dragojević,Oliver Dragojević,Anđela,,Anđela / Najljepša Si Bila,,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0-Anđela / Najljepša Si Bila,1975.0-Anđela / Najljepša Si Bila
Oliver Dragojević,Oliver Dragojević,Najljepša Si Bila,,Anđela / Najljepša Si Bila,,1975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0-Anđela / Najljepša Si Bila,1975.0-Anđela / Najljepša Si Bila
Oliver Dragojević,Oliver Dragojević,Ljubavna Pjesma,,Ljubavna Pjesma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubavna Pjesma,nan-Ljubavna Pjesma/nan-100/2006.0-Oliver 1/2006.0-Oliver 1/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/2016.0-Original Album Collection - Vol. 1
Oliver Dragojević,Oliver Dragojević,Picaferaj,,Ljubavna Pjesma,,,,Ante Duplančić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Ljubavna Pjesma,nan-Ljubavna Pjesma/1979.0-Nocturno/nan-Oliver 5/nan-Oliver U HNK  ( Solistički Koncert )/nan-Oliver U Lisinskom/nan-100/nan-Oliver U Areni/2002.0-Live Zadar 2002/2006.0-Oliver 1/nan-Kozmički Dalmatinac (Antologija 1975. - 2005.)/2013.0-100 Originalnih Pjesama/2016.0-Original Album Collection - Vol. 1/2020.0-Original Album Collection – Oliver Live/2020.0-Original Album Collection – Oliver Live/2020.0-Original Album Collection – Oliver Live
